Image Tag,Algorithm Name,Analysis Region,% CD20 Positive Cells,% TCR-Alpha-Delta Positive Cells,% IL7R Positive Cells,% B-Cells:CD20+TCR- Positive Cells,% T-Cells:CD20-TCR+ Positive Cells,% Pool-ILCs:CD20-TCR-IL7R+ Positive Cells,% IL7R+CD20+ Positive Cells,% IL7R+CD20- Positive Cells,% IL7R+TCR+ Positive Cells,% IL7R+TCR- Positive Cells,% EOMES Positive Cells,% TBX Positive Cells,% ILC1:TBX+EOMES+CD20-TCR-IL7R+ Positive Cells,% ILC1:TBX+EOMES-CD20-TCR-IL7R+ Positive Cells,% ILC1s:TBX+EOMES+/-CD20-TCR-IL7R+ Positive Cells,% NK/ILC1ie:TBX+EOMES+CD20-TCR-IL7R- Positive Cells,% T-Helper:CD20-TCR+TBX+EOMES+ Positive Cells,% GATA Positive Cells,% ICOS Positive Cells,% ILC2:GATA+ICOS+CD20-TCR-IL7R+ Positive Cells,% T-Helper:CD20-TCR+GATA+ICOS+ Positive Cells,% ROR-GammaT Positive Cells,% AHR Positive Cells,% ILC3:ROR+AHR+CD20-TCR-IL7R+ Positive Cells,% T-Helper:CD20-TCR+ROR+AHR+ Positive Cells
168525_NVA_17-001.ILC1.RunAA_14T014134.01.czi,HighPlex FL v4.2.5_ILC1-Default,GerminalCenter,13.036865,3.962291,1.471756,12.240396,3.165821,1.166707,0.157121,1.314635,0.173836,1.29792,0.503122,0.34015,0.023401,0.043459,0.06686,0.017551,0.004179,,,,,,,,
168526_NVA_17-001.ILC1.RunAA_15T001781.01.czi,HighPlex FL v4.2.5_ILC1-Default,GerminalCenter,20.781443,13.411714,4.31136,18.651733,11.282006,1.864287,0.455461,3.8559,2.18672,2.12464,0.076016,0.212844,0.003167,0.036741,0.039908,0,0.000633,,,,,,,,
168527_NVA_17-001.ILC1.RunAA_20T003206.02.czi,HighPlex FL v4.2.5_ILC1-Default,GerminalCenter,25.353121,7.504917,12.837476,22.608618,4.760415,8.010013,2.225997,10.611479,3.124441,9.713034,0.143036,0.031289,0,0.01341,0.01341,0,0,,,,,,,,
168528_NVA_17-001.ILC1.RunAA_20T031119.02.czi,HighPlex FL v4.2.5_ILC1-Default,GerminalCenter,30.924187,20.675119,14.473549,25.594671,15.345604,5.221393,1.50856,12.964989,8.660703,5.812846,0.434419,0.54061,0.003862,0.095894,0.099756,0.000644,0.011585,,,,,,,,
168529_NVA_17-001.ILC1.RunAA_20T044556.01.czi,HighPlex FL v4.2.5_ILC1-Default,GerminalCenter,40.750267,25.752462,24.179499,32.409698,17.411896,8.682375,4.853901,19.325598,12.98981,11.189688,3.720253,0.94935,0.015001,0.208943,0.223944,0.002143,0.115722,,,,,,,,
168530_NVA_17-001.ILC1.RunAA_21T000228.03.czi,HighPlex FL v4.2.5_ILC1-Default,GerminalCenter,32.593369,16.274937,7.150892,26.459427,10.140993,2.244638,1.749663,5.40123,4.19304,2.957852,0.779211,0.965952,0.011999,0.110244,0.122243,0.0015,0.038998,,,,,,,,
168531_NVA_17-001.ILC1.RunAA_21T017425.03.czi,HighPlex FL v4.2.5_ILC1-Default,GerminalCenter,24.909763,21.159063,21.916826,20.697231,16.946531,8.180697,2.230692,19.686134,12.843852,9.072974,2.02892,0.99092,0.04708,0.125546,0.172626,0.01121,0.078467,,,,,,,,
168532_NVA_17-001.ILC1.RunAA_23T006612.01.czi,HighPlex FL v4.2.5_ILC1-Default,GerminalCenter,24.465313,36.124073,39.148823,19.79417,31.452932,10.563568,5.728868,33.419956,25.213455,13.935369,3.280295,5.664981,0.051157,1.305105,1.356262,0.003122,0.543994,,,,,,,,
168533_NVA_17-001.ILC2.RunAA_14T014134.01.czi,HighPlex FL v4.2.5_ILC2-Default,GerminalCenter,11.755013,2.985468,0.583504,11.220772,2.451226,0.40514,0.033974,0.54953,0.154582,0.428922,,,,,,,,7.480231,23.24333,0.220831,0.985247,,,,
168534_NVA_17-001.ILC2.RunAA_15T001781.01.czi,HighPlex FL v4.2.5_ILC2-Default,GerminalCenter,20.860981,13.805371,12.590939,18.697012,11.641403,4.587714,1.304011,11.286927,7.562369,5.028569,,,,,,,,11.448809,48.766052,1.850442,6.215488,,,,
