Image Tag,Algorithm Name,Analysis Region,% CD20 Positive Cells,% TCR-Alpha-Delta Positive Cells,% IL7R Positive Cells,% B-Cells:CD20+TCR- Positive Cells,% T-Cells:CD20-TCR+ Positive Cells,% Pool-ILCs:CD20-TCR-IL7R+ Positive Cells,% IL7R+CD20+ Positive Cells,% IL7R+CD20- Positive Cells,% IL7R+TCR+ Positive Cells,% IL7R+TCR- Positive Cells,% EOMES Positive Cells,% TBX Positive Cells,% ILC1:TBX+EOMES+CD20-TCR-IL7R+ Positive Cells,% ILC1:TBX+EOMES-CD20-TCR-IL7R+ Positive Cells,% ILC1s:TBX+EOMES+/-CD20-TCR-IL7R+ Positive Cells,% NK/ILC1ie:TBX+EOMES+CD20-TCR-IL7R- Positive Cells,% T-Helper:CD20-TCR+TBX+EOMES+ Positive Cells,% GATA Positive Cells,% ICOS Positive Cells,% ILC2:GATA+ICOS+CD20-TCR-IL7R+ Positive Cells,% T-Helper:CD20-TCR+GATA+ICOS+ Positive Cells,% ROR-GammaT Positive Cells,% AHR Positive Cells,% ILC3:ROR+AHR+CD20-TCR-IL7R+ Positive Cells,% T-Helper:CD20-TCR+ROR+AHR+ Positive Cells
168525_NVA_17-001.ILC1.RunAA_14T014134.01.czi,HighPlex FL v4.2.5_ILC1-Default,Layer 1,6.385497,4.328671,7.512686,5.944921,3.888094,5.803382,0.205984,7.306702,1.568669,5.944017,1.206692,2.089952,0.084923,0.381853,0.466776,0.032825,0.023188,,,,,,,,
168526_NVA_17-001.ILC1.RunAA_15T001781.01.czi,HighPlex FL v4.2.5_ILC1-Default,Layer 1,10.844062,24.422731,25.22732,9.316428,22.895098,8.783181,1.127743,24.099577,15.882583,9.344738,0.664823,2.431038,0.030446,0.597522,0.627968,0.001959,0.023146,,,,,,,,
168527_NVA_17-001.ILC1.RunAA_20T003206.02.czi,HighPlex FL v4.2.5_ILC1-Default,Layer 1,6.788699,13.396438,40.850723,5.40836,12.016098,27.498091,2.152699,38.698021,12.216097,28.634624,0.285362,0.304195,0.012897,0.136744,0.149641,0.000819,0.002456,,,,,,,,
168528_NVA_17-001.ILC1.RunAA_20T031119.02.czi,HighPlex FL v4.2.5_ILC1-Default,Layer 1,16.159855,22.044558,26.332804,12.696794,18.581497,10.695793,2.043084,24.289721,14.914417,11.418387,0.656463,1.367228,0.011442,0.305638,0.31708,0.002715,0.015321,,,,,,,,
168529_NVA_17-001.ILC1.RunAA_20T044556.01.czi,HighPlex FL v4.2.5_ILC1-Default,Layer 1,16.889013,32.465504,48.007061,12.42295,27.999443,17.57547,5.217003,42.790058,28.061882,19.945181,5.634378,2.978118,0.07266,0.754286,0.826946,0.006132,0.265552,,,,,,,,
168530_NVA_17-001.ILC1.RunAA_21T000228.03.czi,HighPlex FL v4.2.5_ILC1-Default,Layer 1,13.314843,22.025316,26.224283,9.915224,18.625698,10.285853,1.888738,24.335546,15.391623,10.832662,1.388156,2.344729,0.046908,0.381266,0.428174,0.008454,0.085226,,,,,,,,
168531_NVA_17-001.ILC1.RunAA_21T017425.03.czi,HighPlex FL v4.2.5_ILC1-Default,Layer 1,9.829518,31.382568,50.660446,7.077318,28.630367,21.796299,2.803715,47.856731,27.885838,22.774609,2.53621,2.098686,0.129825,0.52138,0.651205,0.02518,0.151771,,,,,,,,
168532_NVA_17-001.ILC1.RunAA_23T006612.01.czi,HighPlex FL v4.2.5_ILC1-Default,Layer 1,17.757399,39.090733,49.726681,13.788197,35.121529,14.391546,5.751669,43.97501,32.195515,17.531164,3.882248,8.034036,0.110669,1.87767,1.988339,0.007475,0.708691,,,,,,,,
168533_NVA_17-001.ILC2.RunAA_14T014134.01.czi,HighPlex FL v4.2.5_ILC2-Default,Layer 1,5.77518,3.358755,4.035051,5.459454,3.043029,2.960916,0.067266,3.967785,1.037472,2.997579,,,,,,,,7.507734,16.815592,0.413898,0.872034,,,,
168534_NVA_17-001.ILC2.RunAA_15T001781.01.czi,HighPlex FL v4.2.5_ILC2-Default,Layer 1,10.678814,24.259233,25.832861,9.257932,22.838352,7.918632,0.94414,24.888721,17.592928,8.239935,,,,,,,,13.649963,45.817226,1.435259,8.32583,,,,
168535_NVA_17-001.ILC2.RunAA_20T003206.02.czi,HighPlex FL v4.2.5_ILC2-Default,Layer 1,4.99342,10.94522,32.963989,4.034219,9.986019,22.501343,1.243947,31.720041,9.883723,23.080267,,,,,,,,2.081172,6.355243,0.258302,0.287822,,,,
168536_NVA_17-001.ILC2.RunAA_20T031119.02.czi,HighPlex FL v4.2.5_ILC2-Default,Layer 1,21.227249,28.528397,25.77751,16.045948,23.347095,5.685064,2.805378,22.972132,19.596302,6.181206,,,,,,,,18.70195,32.129242,0.61351,9.061082,,,,
168537_NVA_17-001.ILC2.RunAA_20T044556.01.czi,HighPlex FL v4.2.5_ILC2-Default,Layer 1,15.625978,31.406839,40.316029,11.826047,27.606909,12.220057,3.40555,36.910477,27.164812,13.151215,,,,,,,,34.375885,25.916994,1.567649,12.262737,,,,
168538_NVA_17-001.ILC2.RunAA_21T000228.03.czi,HighPlex FL v4.2.5_ILC2-Default,Layer 1,9.884111,24.624657,23.840557,7.146621,21.887167,7.47274,0.937455,22.903101,16.247601,7.592955,,,,,,,,15.505374,20.50421,0.508314,5.871538,,,,
168539_NVA_17-001.ILC2.RunAA_21T017425.03.czi,HighPlex FL v4.2.5_ILC2-Default,Layer 1,9.835827,30.174828,40.104374,7.318201,27.657202,14.776605,1.476153,38.62822,25.066458,15.037915,,,,,,,,33.332664,10.61222,0.501264,4.587255,,,,
168540_NVA_17-001.ILC2.RunAA_23T006612.01.czi,HighPlex FL v4.2.5_ILC2-Default,Layer 1,24.393909,41.352818,54.27562,18.770746,35.729656,13.641326,7.926186,46.349434,36.947041,17.328579,,,,,,,,51.386169,46.240261,4.017326,24.210926,,,,
168541_NVA_17-001.ILC3.RunAA_14T014134.01.czi,HighPlex FL v4.2.5_ILC3-Default,Layer 1,10.168992,3.775513,3.018342,9.634739,3.24126,2.107227,0.062706,2.955636,0.878821,2.13952,,,,,,,,,,,,0.595078,30.471233,0.06396,0.064273
168542_NVA_17-001.ILC3.RunAA_15T001781.01.czi,HighPlex FL v4.2.5_ILC3-Default,Layer 1,10.16347,22.844421,12.446462,8.46334,21.144291,2.952505,0.377728,12.068734,9.395812,3.05065,,,,,,,,,,,,0.766067,27.338608,0.055174,0.287717
