Image Tag,Algorithm Name,Analysis Region,Area Analyzed (μm²),Total Cells,CD20 Positive Cells,TCR-Alpha-Delta Positive Cells,IL7R Positive Cells,B-Cells:CD20+TCR- Cells,T-Cells:CD20-TCR+ Cells,Pool-ILCs:CD20-TCR-IL7R+ Cells,IL7R+CD20+ Cells,IL7R+CD20- Cells,IL7R+TCR+ Cells,IL7R+TCR- Cells,EOMES Positive Cells,TBX Positive Cells,ILC1:TBX+EOMES+CD20-TCR-IL7R+ Cells,ILC1:TBX+EOMES-CD20-TCR-IL7R+ Cells,ILC1s:TBX+EOMES+/-CD20-TCR-IL7R+ Positive Cells,NK/ILC1ie:TBX+EOMES+CD20-TCR-IL7R- Cells,T-Helper:CD20-TCR+TBX+EOMES+ Cells,GATA Positive Cells,ICOS Positive Cells,ILC2:GATA+ICOS+CD20-TCR-IL7R+ Cells,T-Helper:CD20-TCR+GATA+ICOS+ Cells,ROR-GammaT Positive Cells,AHR Positive Cells,ILC3:ROR+AHR+CD20-TCR-IL7R+ Cells,T-Helper:CD20-TCR+ROR+AHR+ Cells,% CD20 Positive Cells,% TCR-Alpha-Delta Positive Cells,% IL7R Positive Cells,% B-Cells:CD20+TCR- Positive Cells,% T-Cells:CD20-TCR+ Positive Cells,% Pool-ILCs:CD20-TCR-IL7R+ Positive Cells,% IL7R+CD20+ Positive Cells,% IL7R+CD20- Positive Cells,% IL7R+TCR+ Positive Cells,% IL7R+TCR- Positive Cells,% EOMES Positive Cells,% TBX Positive Cells,% ILC1:TBX+EOMES+CD20-TCR-IL7R+ Positive Cells,% ILC1:TBX+EOMES-CD20-TCR-IL7R+ Positive Cells,% ILC1s:TBX+EOMES+/-CD20-TCR-IL7R+ Positive Cells,% NK/ILC1ie:TBX+EOMES+CD20-TCR-IL7R- Positive Cells,% T-Helper:CD20-TCR+TBX+EOMES+ Positive Cells,% GATA Positive Cells,% ICOS Positive Cells,% ILC2:GATA+ICOS+CD20-TCR-IL7R+ Positive Cells,% T-Helper:CD20-TCR+GATA+ICOS+ Positive Cells,% ROR-GammaT Positive Cells,% AHR Positive Cells,% ILC3:ROR+AHR+CD20-TCR-IL7R+ Positive Cells,% T-Helper:CD20-TCR+ROR+AHR+ Positive Cells,%Pool-IL7R ILC1s:TBX+EOMES+/-CD20-TCR-IL7R+ Positive Cells,%Pool-IL7R ILC2:GATA+ICOS+CD20-TCR-IL7R+ Positive Cells,%Pool-IL7R ILC3:ROR+AHR+CD20-TCR-IL7R+ Positive Cells,B Cells - Density/mm²,T Cells - Density/mm²,Pool IL7R (Non B/T) - Density/mm²,NK/ILC1ie - Density/mm²,ILC1s - Density/mm²,TH1 - Density/mm²,ILC2 - Density/mm²,TH2 - Density/mm²,ILC3 - Density/mm²,TH17 - Density/mm²
168525_NVA_17-001.ILC1.RunAA_14T014134.01.czi,HighPlex FL v4.2.5_ILC1-Default,GerminalCenter,8261034.5,119653,15599,4741,1761,14646,3788,1396,188,1573,208,1553,602,407,28,52,80,21,5,,,,,,,,,13.036865,3.962291,1.471756,12.240396,3.165821,1.166707,0.157121,1.314635,0.173836,1.29792,0.503122,0.34015,0.023401,0.043459,0.06686,0.017551,0.004179,,,,,,,,,5.730659026,,,1772.901445,458.5382133,168.9860997,2.542054509,9.684017177,0.605251074,,,,
168526_NVA_17-001.ILC1.RunAA_15T001781.01.czi,HighPlex FL v4.2.5_ILC1-Default,GerminalCenter,11994295,157862,32806,21172,6806,29444,17810,2943,719,6087,3452,3354,120,336,5,58,63,0,1,,,,,,,,,20.781443,13.411714,4.31136,18.651733,11.282006,1.864287,0.455461,3.8559,2.18672,2.12464,0.076016,0.212844,0.003167,0.036741,0.039908,0,0.000633,,,,,,,,,2.140672783,,,2454.833736,1484.8726,245.3666514,0,5.252497125,0.08337297,,,,
168527_NVA_17-001.ILC1.RunAA_20T003206.02.czi,HighPlex FL v4.2.5_ILC1-Default,GerminalCenter,1463434.125,22372,5672,1679,2872,5058,1065,1792,498,2374,699,2173,32,7,0,3,3,0,0,,,,,,,,,25.353121,7.504917,12.837476,22.608618,4.760415,8.010013,2.225997,10.611479,3.124441,9.713034,0.143036,0.031289,0,0.01341,0.01341,0,0,,,,,,,,,0.167410714,,,3456.253967,727.7403074,1224.517024,0,2.049972697,0,,,,
168528_NVA_17-001.ILC1.RunAA_20T031119.02.czi,HighPlex FL v4.2.5_ILC1-Default,GerminalCenter,11079588,155380,48050,32125,22489,39769,23844,8113,2344,20145,13457,9032,675,840,6,149,155,1,18,,,,,,,,,30.924187,20.675119,14.473549,25.594671,15.345604,5.221393,1.50856,12.964989,8.660703,5.812846,0.434419,0.54061,0.003862,0.095894,0.099756,0.000644,0.011585,,,,,,,,,1.91051399,,,3589.393396,2152.065582,732.2474446,0.090256064,13.98968987,1.624609146,,,,
168529_NVA_17-001.ILC1.RunAA_20T044556.01.czi,HighPlex FL v4.2.5_ILC1-Default,GerminalCenter,6846044,93327,38031,24034,22566,30247,16250,8103,4530,18036,12123,10443,3472,886,14,195,209,2,108,,,,,,,,,40.750267,25.752462,24.179499,32.409698,17.411896,8.682375,4.853901,19.325598,12.98981,11.189688,3.720253,0.94935,0.015001,0.208943,0.223944,0.002143,0.115722,,,,,,,,,2.57929162,,,4418.172013,2373.63359,1183.603261,0.292139519,30.52857972,15.77553402,,,,
168530_NVA_17-001.ILC1.RunAA_21T000228.03.czi,HighPlex FL v4.2.5_ILC1-Default,GerminalCenter,9447364,133340,43460,21701,9535,35281,13522,2993,2333,7202,5591,3944,1039,1288,16,147,163,2,52,,,,,,,,,32.593369,16.274937,7.150892,26.459427,10.140993,2.244638,1.749663,5.40123,4.19304,2.957852,0.779211,0.965952,0.011999,0.110244,0.122243,0.0015,0.038998,,,,,,,,,5.446040762,,,3734.480856,1431.29872,316.8079477,0.211699263,17.25348997,5.504180849,,,,
168531_NVA_17-001.ILC1.RunAA_21T017425.03.czi,HighPlex FL v4.2.5_ILC1-Default,GerminalCenter,2886164,44605,11111,9438,9776,9232,7559,3649,995,8781,5729,4047,905,442,21,56,77,5,35,,,,,,,,,24.909763,21.159063,21.916826,20.697231,16.946531,8.180697,2.230692,19.686134,12.843852,9.072974,2.02892,0.99092,0.04708,0.125546,0.172626,0.01121,0.078467,,,,,,,,,2.110167169,,,3198.709429,2619.047289,1264.307919,1.732403287,26.67901062,12.12682301,,,,
168532_NVA_17-001.ILC1.RunAA_23T006612.01.czi,HighPlex FL v4.2.5_ILC1-Default,GerminalCenter,29644924,416365,101865,150408,163002,82416,130959,43983,23853,139149,104980,58022,13658,23587,213,5434,5647,13,2265,,,,,,,,,24.465313,36.124073,39.148823,19.79417,31.452932,10.563568,5.728868,33.419956,25.213455,13.935369,3.280295,5.664981,0.051157,1.305105,1.356262,0.003122,0.543994,,,,,,,,,12.83905145,,,2780.104952,4417.585958,1483.660407,0.438523641,190.487923,76.40431124,,,,
168533_NVA_17-001.ILC2.RunAA_14T014134.01.czi,HighPlex FL v4.2.5_ILC2-Default,GerminalCenter,8141725.5,117737,13840,3515,687,13211,2886,477,40,647,182,505,,,,,,,,8807,27366,260,1160,,,,,11.755013,2.985468,0.583504,11.220772,2.451226,0.40514,0.033974,0.54953,0.154582,0.428922,,,,,,,,7.480231,23.24333,0.220831,0.985247,,,,,,54.50733753,,1622.629012,354.4703147,58.58708943,,,,31.93426258,142.4759408,,
168534_NVA_17-001.ILC2.RunAA_15T001781.01.czi,HighPlex FL v4.2.5_ILC2-Default,GerminalCenter,11978285,156287,32603,21576,19678,29221,18194,7170,2038,17640,11819,7859,,,,,,,,17893,76215,2892,9714,,,,,20.860981,13.805371,12.590939,18.697012,11.641403,4.587714,1.304011,11.286927,7.562369,5.028569,,,,,,,,11.448809,48.766052,1.850442,6.215488,,,,,,40.33472803,,2439.497808,1518.91527,598.5831862,,,,241.4369002,810.9675133,,
