Image Tag,Algorithm Name,Analysis Region,Area Analyzed (μm²),Total Cells,CD20 Positive Cells,TCR-Alpha-Delta Positive Cells,IL7R Positive Cells,B-Cells:CD20+TCR- Cells,T-Cells:CD20-TCR+ Cells,Pool-ILCs:CD20-TCR-IL7R+ Cells,IL7R+CD20+ Cells,IL7R+CD20- Cells,IL7R+TCR+ Cells,IL7R+TCR- Cells,EOMES Positive Cells,TBX Positive Cells,ILC1:TBX+EOMES+CD20-TCR-IL7R+ Cells,ILC1:TBX+EOMES-CD20-TCR-IL7R+ Cells,ILC1s:TBX+EOMES+/-CD20-TCR-IL7R+ Positive Cells,NK/ILC1ie:TBX+EOMES+CD20-TCR-IL7R- Cells,T-Helper:CD20-TCR+TBX+EOMES+ Cells,GATA Positive Cells,ICOS Positive Cells,ILC2:GATA+ICOS+CD20-TCR-IL7R+ Cells,T-Helper:CD20-TCR+GATA+ICOS+ Cells,ROR-GammaT Positive Cells,AHR Positive Cells,ILC3:ROR+AHR+CD20-TCR-IL7R+ Cells,T-Helper:CD20-TCR+ROR+AHR+ Cells,% CD20 Positive Cells,% TCR-Alpha-Delta Positive Cells,% IL7R Positive Cells,% B-Cells:CD20+TCR- Positive Cells,% T-Cells:CD20-TCR+ Positive Cells,% Pool-ILCs:CD20-TCR-IL7R+ Positive Cells,% IL7R+CD20+ Positive Cells,% IL7R+CD20- Positive Cells,% IL7R+TCR+ Positive Cells,% IL7R+TCR- Positive Cells,% EOMES Positive Cells,% TBX Positive Cells,% ILC1:TBX+EOMES+CD20-TCR-IL7R+ Positive Cells,% ILC1:TBX+EOMES-CD20-TCR-IL7R+ Positive Cells,% ILC1s:TBX+EOMES+/-CD20-TCR-IL7R+ Positive Cells,% NK/ILC1ie:TBX+EOMES+CD20-TCR-IL7R- Positive Cells,% T-Helper:CD20-TCR+TBX+EOMES+ Positive Cells,% GATA Positive Cells,% ICOS Positive Cells,% ILC2:GATA+ICOS+CD20-TCR-IL7R+ Positive Cells,% T-Helper:CD20-TCR+GATA+ICOS+ Positive Cells,% ROR-GammaT Positive Cells,% AHR Positive Cells,% ILC3:ROR+AHR+CD20-TCR-IL7R+ Positive Cells,% T-Helper:CD20-TCR+ROR+AHR+ Positive Cells,%Pool-IL7R ILC1s:TBX+EOMES+/-CD20-TCR-IL7R+ Positive Cells,%Pool-IL7R ILC2:GATA+ICOS+CD20-TCR-IL7R+ Positive Cells,%Pool-IL7R ILC3:ROR+AHR+CD20-TCR-IL7R+ Positive Cells,B Cells - Density/mm²,T Cells - Density/mm²,Pool IL7R (Non B/T) - Density/mm²,NK/ILC1ie - Density/mm²,ILC1s - Density/mm²,TH1 - Density/mm²,ILC2 - Density/mm²,TH2 - Density/mm²,ILC3 - Density/mm²,TH17 - Density/mm²
168525_NVA_17-001.ILC1.RunAA_14T014134.01.czi,HighPlex FL v4.2.5_ILC1-Default,Layer 1,22843458,332065,21204,14374,24947,19741,12911,19271,684,24263,5209,19738,4007,6940,282,1268,1550,109,77,,,,,,,,,6.385497,4.328671,7.512686,5.944921,3.888094,5.803382,0.205984,7.306702,1.568669,5.944017,1.206692,2.089952,0.084923,0.381853,0.466776,0.032825,0.023188,,,,,,,,,8.043173681,,,864.186149,565.1946391,843.6113306,4.771606821,67.85312451,3.370768121,,,,
168526_NVA_17-001.ILC1.RunAA_15T001781.01.czi,HighPlex FL v4.2.5_ILC1-Default,Layer 1,41980532,561653,60906,137171,141690,52326,128591,49331,6334,135356,89205,52485,3734,13654,171,3356,3527,11,130,,,,,,,,,10.844062,24.422731,25.22732,9.316428,22.895098,8.783181,1.127743,24.099577,15.882583,9.344738,0.664823,2.431038,0.030446,0.597522,0.627968,0.001959,0.023146,,,,,,,,,7.149662484,,,1246.434895,3063.110301,1175.092302,0.262026217,84.01513349,3.096673477,,,,
168527_NVA_17-001.ILC1.RunAA_20T003206.02.czi,HighPlex FL v4.2.5_ILC1-Default,Layer 1,35723592,488503,33163,65442,199557,26420,58699,134329,10516,189041,59676,139881,1394,1486,63,668,731,4,12,,,,,,,,,6.788699,13.396438,40.850723,5.40836,12.016098,27.498091,2.152699,38.698021,12.216097,28.634624,0.285362,0.304195,0.012897,0.136744,0.149641,0.000819,0.002456,,,,,,,,,0.544186289,,,739.5672865,1643.143836,3760.232174,0.111970823,20.46266792,0.335912469,,,,
168528_NVA_17-001.ILC1.RunAA_20T031119.02.czi,HighPlex FL v4.2.5_ILC1-Default,Layer 1,38733592,515642,83327,113671,135783,65470,95814,55152,10535,125248,76905,58878,3385,7050,59,1576,1635,14,79,,,,,,,,,16.159855,22.044558,26.332804,12.696794,18.581497,10.695793,2.043084,24.289721,14.914417,11.418387,0.656463,1.367228,0.011442,0.305638,0.31708,0.002715,0.015321,,,,,,,,,2.964534378,,,1690.264099,2473.666785,1423.880336,0.361443369,42.21142206,2.039573299,,,,
168529_NVA_17-001.ILC1.RunAA_20T044556.01.czi,HighPlex FL v4.2.5_ILC1-Default,Layer 1,41355704,538125,90884,174705,258338,66851,150672,94578,28074,230264,151008,107330,30320,16026,391,4059,4450,33,1429,,,,,,,,,16.889013,32.465504,48.007061,12.42295,27.999443,17.57547,5.217003,42.790058,28.061882,19.945181,5.634378,2.978118,0.07266,0.754286,0.826946,0.006132,0.265552,,,,,,,,,4.705111125,,,1616.488018,3643.318465,2286.939669,0.797955223,107.6030528,34.55387919,,,,
168530_NVA_17-001.ILC1.RunAA_21T000228.03.czi,HighPlex FL v4.2.5_ILC1-Default,Layer 1,55967300,733347,97644,161522,192315,72713,136591,75431,13851,178464,112874,79441,10180,17195,344,2796,3140,62,625,,,,,,,,,13.314843,22.025316,26.224283,9.915224,18.625698,10.285853,1.888738,24.335546,15.391623,10.832662,1.388156,2.344729,0.046908,0.381266,0.428174,0.008454,0.085226,,,,,,,,,4.16274476,,,1299.205072,2440.550107,1347.769144,1.107789727,56.10418941,11.16723515,,,,
168531_NVA_17-001.ILC1.RunAA_21T017425.03.czi,HighPlex FL v4.2.5_ILC1-Default,Layer 1,30760782,432890,42551,135852,219304,30637,123938,94354,12137,207167,120715,98589,10979,9085,562,2257,2819,109,657,,,,,,,,,9.829518,31.382568,50.660446,7.077318,28.630367,21.796299,2.803715,47.856731,27.885838,22.774609,2.53621,2.098686,0.129825,0.52138,0.651205,0.02518,0.151771,,,,,,,,,2.987684677,,,995.9759801,4029.091328,3067.347248,3.543472985,91.6426637,21.35836469,,,,
168532_NVA_17-001.ILC1.RunAA_23T006612.01.czi,HighPlex FL v4.2.5_ILC1-Default,Layer 1,88358816,1163836,206667,454952,578737,160472,408757,167494,66940,511797,374703,204034,45183,93503,1288,21853,23141,87,8248,,,,,,,,,17.757399,39.090733,49.726681,13.788197,35.121529,14.391546,5.751669,43.97501,32.195515,17.531164,3.882248,8.034036,0.110669,1.87767,1.988339,0.007475,0.708691,,,,,,,,,13.81601729,,,1816.140225,4626.103184,1895.611639,0.984621614,261.8980318,93.34665598,,,,
168533_NVA_17-001.ILC2.RunAA_14T014134.01.czi,HighPlex FL v4.2.5_ILC2-Default,Layer 1,22540218,330033,19060,11085,13317,18018,10043,9772,222,13095,3424,9893,,,,,,,,24778,55497,1366,2878,,,,,5.77518,3.358755,4.035051,5.459454,3.043029,2.960916,0.067266,3.967785,1.037472,2.997579,,,,,,,,7.507734,16.815592,0.413898,0.872034,,,,,,13.9787147,,799.3711507,445.5591335,433.5361796,,,,60.60278565,127.6828822,,
168534_NVA_17-001.ILC2.RunAA_15T001781.01.czi,HighPlex FL v4.2.5_ILC2-Default,Layer 1,41740212,556485,59426,134999,143756,51519,127092,44066,5254,138502,97902,45854,,,,,,,,75960,254966,7987,46332,,,,,10.678814,24.259233,25.832861,9.257932,22.838352,7.918632,0.94414,24.888721,17.592928,8.239935,,,,,,,,13.649963,45.817226,1.435259,8.32583,,,,,,18.1250851,,1234.277392,3044.833601,1055.72056,,,,191.35025,1110.008737,,
