Image Tag,Algorithm Name,Analysis Region,Area Analyzed (µm²),Total Cells,CD20 Positive Cells,TCR-Alpha-Delta Positive Cells,IL7R Positive Cells,B-Cells:CD20+TCR- Cells,T-Cells:CD20-TCR+ Cells,Pool-ILCs:CD20-TCR-IL7R+ Cells,IL7R+CD20+ Cells,IL7R+CD20- Cells,IL7R+TCR+ Cells,IL7R+TCR- Cells,EOMES Positive Cells,TBX Positive Cells,ILC1:TBX+EOMES+CD20-TCR-IL7R+ Cells,ILC1:TBX+EOMES-CD20-TCR-IL7R+ Cells,ILC1s:TBX+EOMES+/-CD20-TCR-IL7R+ Positive Cells,NK/ILC1ie:TBX+EOMES+CD20-TCR-IL7R- Cells,T-Helper:CD20-TCR+TBX+EOMES+ Cells,GATA Positive Cells,ICOS Positive Cells,ILC2:GATA+ICOS+CD20-TCR-IL7R+ Cells,T-Helper:CD20-TCR+GATA+ICOS+ Cells,ROR-GammaT Positive Cells,AHR Positive Cells,ILC3:ROR+AHR+CD20-TCR-IL7R+ Cells,T-Helper:CD20-TCR+ROR+AHR+ Cells,% CD20 Positive Cells,% TCR-Alpha-Delta Positive Cells,% IL7R Positive Cells,% B-Cells:CD20+TCR- Positive Cells,% T-Cells:CD20-TCR+ Positive Cells,% Pool-ILCs:CD20-TCR-IL7R+ Positive Cells,% IL7R+CD20+ Positive Cells,% IL7R+CD20- Positive Cells,% IL7R+TCR+ Positive Cells,% IL7R+TCR- Positive Cells,% EOMES Positive Cells,% TBX Positive Cells,% ILC1:TBX+EOMES+CD20-TCR-IL7R+ Positive Cells,% ILC1:TBX+EOMES-CD20-TCR-IL7R+ Positive Cells,% ILC1s:TBX+EOMES+/-CD20-TCR-IL7R+ Positive Cells,% NK/ILC1ie:TBX+EOMES+CD20-TCR-IL7R- Positive Cells,% T-Helper:CD20-TCR+TBX+EOMES+ Positive Cells,% GATA Positive Cells,% ICOS Positive Cells,% ILC2:GATA+ICOS+CD20-TCR-IL7R+ Positive Cells,% T-Helper:CD20-TCR+GATA+ICOS+ Positive Cells,% ROR-GammaT Positive Cells,% AHR Positive Cells,% ILC3:ROR+AHR+CD20-TCR-IL7R+ Positive Cells,% T-Helper:CD20-TCR+ROR+AHR+ Positive Cells,%Pool-TCR+ T-Helper:CD20-TCR+TBX+EOMES+ Cells,%Pool-TCR+ T-Helper:CD20-TCR+GATA+ICOS+ Cells,%Pool-TCR+ T-Helper:CD20-TCR+ROR+AHR+ Cells,B Cells - Density/mm²,T Cells - Density/mm²,Pool IL7R (Non B/T) - Density/mm²,NK/ILC1ie - Density/mm²,ILC1s - Density/mm²,TH1 - Density/mm²,ILC2 - Density/mm²,TH2 - Density/mm²,ILC3 - Density/mm²,TH17 - Density/mm²
168525_NVA_17-001.ILC1.RunAA_14T014134.01.czi,HighPlex FL v4.2.5_ILC1-Default,GC Excluded,14582421,212400,5593,9631,23186,5081,9119,17875,496,22690,5002,18184,3405,6533,254,1216,1470,88,72,,,,,,,,,2.633239,4.534369,10.916196,2.392184,4.293314,8.415725,0.233522,10.682674,2.35499,8.561205,1.603107,3.0758,0.119586,0.572505,0.692091,0.041431,0.033898,,,,,,,,,0.74758592,,,348.4332266,625.3419785,1225.790971,6.034663243,100.8063064,4.937451744,,,,
168526_NVA_17-001.ILC1.RunAA_15T001781.01.czi,HighPlex FL v4.2.5_ILC1-Default,GC Excluded,29986234,403775,28088,115987,134879,22878,110777,46383,5616,129263,85750,49129,3614,13318,166,3298,3464,11,129,,,,,,,,,6.956349,28.725651,33.404495,5.666027,27.435329,11.487338,1.390874,32.013622,21.237076,12.16742,0.895053,3.298372,0.041112,0.816792,0.857904,0.002724,0.031948,,,,,,,,,0.111219361,,,762.9500924,3694.26184,1546.809779,0.366834995,115.5196748,4.301974032,,,,
168527_NVA_17-001.ILC1.RunAA_20T003206.02.czi,HighPlex FL v4.2.5_ILC1-Default,GC Excluded,34260152,466130,27493,63765,196685,21364,57636,132538,10015,186670,58978,137707,1362,1479,63,665,728,4,12,,,,,,,,,5.89814,13.67966,42.195309,4.583271,12.364791,28.433699,2.148542,40.046768,12.652694,29.542618,0.292193,0.317293,0.013516,0.142664,0.15618,0.000858,0.002574,,,,,,,,,0.018819101,,,623.5815883,1682.30427,3868.575948,0.116753714,21.24917601,0.350261143,,,,
168528_NVA_17-001.ILC1.RunAA_20T031119.02.czi,HighPlex FL v4.2.5_ILC1-Default,GC Excluded,27654072,360250,35268,81555,113277,25693,71980,47025,8186,105091,63441,49836,2709,6209,53,1428,1481,13,61,,,,,,,,,9.789868,22.638445,31.443996,7.131992,19.98057,13.053435,2.272311,29.171686,17.610271,13.833727,0.751978,1.723525,0.014712,0.396391,0.411103,0.003609,0.016933,,,,,,,,,0.07479615,,,929.0855972,2602.871649,1700.4729,0.470093518,53.55450004,2.205823432,,,,
168529_NVA_17-001.ILC1.RunAA_20T044556.01.czi,HighPlex FL v4.2.5_ILC1-Default,GC Excluded,34572644,444940,52871,150682,235821,36619,134430,86504,23559,212262,138894,96927,26852,15142,377,3865,4242,31,1321,,,,,,,,,11.882726,33.865688,53.000629,8.230099,30.213062,19.441723,5.294871,47.705757,31.216343,21.784285,6.034971,3.403156,0.084731,0.868656,0.953387,0.006967,0.296894,,,,,,,,,0.876680692,,,1059.190035,3888.334372,2502.093852,0.896662691,122.6981656,38.20940047,,,,
168530_NVA_17-001.ILC1.RunAA_21T000228.03.czi,HighPlex FL v4.2.5_ILC1-Default,GC Excluded,46520024,600000,54181,139838,182787,37429,123086,72437,11517,171270,107287,75500,9140,15907,328,2650,2978,60,573,,,,,,,,,9.030167,23.306334,30.4645,6.238167,20.514334,12.072833,1.9195,28.545,17.881166,12.583333,1.523333,2.651167,0.054667,0.441667,0.496334,0.01,0.0955,,,,,,,,,0.409759865,,,804.5782608,2645.871378,1557.114416,1.289767176,64.01544419,12.31727653,,,,
168531_NVA_17-001.ILC1.RunAA_21T017425.03.czi,HighPlex FL v4.2.5_ILC1-Default,GC Excluded,27875882,388298,31444,126417,209539,21408,116381,90702,11147,198392,114996,94543,10073,8643,541,2201,2742,104,622,,,,,,,,,8.097904,32.556698,53.963451,5.513291,29.972084,23.358864,2.870733,51.092716,29.615398,24.348053,2.594142,2.225868,0.139326,0.566833,0.706159,0.026784,0.160186,,,,,,,,,0.492022434,,,767.9757003,4174.971038,3253.780454,3.730823656,98.36460063,22.31319533,,,,
168532_NVA_17-001.ILC1.RunAA_23T006612.01.czi,HighPlex FL v4.2.5_ILC1-Default,GC Excluded,58709744,747411,104770,304509,415716,78044,277783,123531,43059,372657,269695,146021,31517,69913,1075,16421,17496,74,5983,,,,,,,,,14.017722,40.74184,55.620804,10.441912,37.166031,16.527855,5.761087,49.859715,36.083897,19.536907,4.216823,9.354023,0.14383,2.197051,2.340881,0.009901,0.800497,,,,,,,,,1.964802354,,,1329.319372,4731.463316,2104.097064,1.260438131,298.0084532,101.9081262,,,,
168533_NVA_17-001.ILC2.RunAA_14T014134.01.czi,HighPlex FL v4.2.5_ILC2-Default,GC Excluded,14398472,212288,5207,7568,12629,4792,7153,9295,182,12447,3241,9388,,,,,,,,15969,28132,1106,1719,,,,,2.4528,3.564968,5.948994,2.257311,3.369479,4.378486,0.085733,5.863261,1.5267,4.422294,,,,,,,,7.522328,13.251809,0.52099,0.809749,,,,,,22.7140592,,332.8130929,496.7888259,645.5546116,,,,76.81370634,119.3876684,,
168534_NVA_17-001.ILC2.RunAA_15T001781.01.czi,HighPlex FL v4.2.5_ILC2-Default,GC Excluded,29761902,400193,26832,113425,124079,22302,108895,36898,3216,120863,86085,37994,,,,,,,,58062,178743,5093,36617,,,,,6.704765,28.342575,31.004789,5.572811,27.210621,9.220052,0.803612,30.201178,21.510872,9.493919,,,,,,,,14.5085,44.6642,1.272636,9.149836,,,,,,32.28300639,,749.3472695,3658.87234,1239.772915,,,,171.1248159,1230.331314,,
168535_NVA_17-001.ILC2.RunAA_20T003206.02.czi,HighPlex FL v4.2.5_ILC2-Default,GC Excluded,34892076,465834,20699,52364,159398,16320,47985,108782,6001,153397,47840,111558,,,,,,,,9448,26020,1221,1350,,,,,4.443429,11.240914,34.21777,3.503394,10.300879,23.352095,1.288227,32.929543,10.269753,23.948015,,,,,,,,2.02819,5.585681,0.262111,0.289803,,,,,,2.578107096,,467.7279735,1375.240613,3117.670614,,,,34.99361861,38.69073311,,
168536_NVA_17-001.ILC2.RunAA_20T031119.02.czi,HighPlex FL v4.2.5_ILC2-Default,GC Excluded,28011956,369560,47825,109993,105737,32981,95149,24696,9183,96554,79494,26243,,,,,,,,67924,97175,1758,31331,,,,,12.941065,29.763231,28.611591,8.924397,25.746563,6.682541,2.484847,26.126745,21.510445,7.101147,,,,,,,,18.379694,26.294783,0.475701,8.47792,,,,,,28.48453993,,1177.390112,3396.728169,881.6235467,,,,62.75891623,1118.486692,,
168537_NVA_17-001.ILC2.RunAA_20T044556.01.czi,HighPlex FL v4.2.5_ILC2-Default,GC Excluded,33956656,442517,47331,145469,190290,33987,132125,58217,12274,178016,128869,61421,,,,,,,,157658,96736,5926,55421,,,,,10.69586,32.873089,43.00174,7.680383,29.857611,13.155879,2.773679,40.228058,29.121819,13.879919,,,,,,,,35.62756,21.860403,1.339158,12.524038,,,,,,38.0981515,,1000.89361,3890.989737,1714.450327,,,,174.5165955,1632.110064,,
168538_NVA_17-001.ILC2.RunAA_21T000228.03.czi,HighPlex FL v4.2.5_ILC2-Default,GC Excluded,45898664,587167,39668,152488,162479,26091,138911,51970,5805,156674,109730,52749,,,,,,,,95406,102267,3323,33998,,,,,6.755829,25.970125,27.671684,4.44354,23.657835,8.850974,0.988645,26.683039,18.68804,8.983645,,,,,,,,16.248529,17.417021,0.565938,5.790175,,,,,,22.29552489,,568.4479182,3026.471533,1132.276966,,,,72.39862145,740.7187277,,
168539_NVA_17-001.ILC2.RunAA_21T017425.03.czi,HighPlex FL v4.2.5_ILC2-Default,GC Excluded,26164116,355200,26302,112457,154622,18485,104640,57587,5244,149378,96104,58518,,,,,,,,125480,31931,1808,16024,,,,,7.404842,31.660191,43.530968,5.20411,29.459459,16.212557,1.476351,42.054619,27.056307,16.474663,,,,,,,,35.326576,8.989583,0.509009,4.511261,,,,,,14.24900184,,706.5019892,3999.370741,2200.991618,,,,69.10227733,612.441865,,
168540_NVA_17-001.ILC2.RunAA_23T006612.01.czi,HighPlex FL v4.2.5_ILC2-Default,GC Excluded,57570376,731613,135414,321518,418191,97494,283598,107195,50574,367617,289158,129033,,,,,,,,395112,301651,27282,180086,,,,,18.508966,43.946457,57.160137,13.325898,38.76339,14.651872,6.912671,50.247467,39.523354,17.636784,,,,,,,,54.0056,41.230953,3.729021,24.614925,,,,,,56.011172,,1693.47513,4926.109915,1861.981933,,,,473.8895574,3128.101856,,
