"Image Location"|"Image Tag"|"Algorithm Name"|"Start Time"|"Job Id"|"Analysis Region"|"Analysis Inputs"|"TH1 Count"|"ILC1 Count"|"TH1 within 50μm of ILC1"|"% TH1 within 50μm of ILC1"|"Average Distance (μm) to ILC1"|"Number of Unique ILC1"|"Average number of TH1 within 50μm of ILC1"|"TH1 within 0-5μm of ILC1"|"TH1 within 5-10μm of ILC1"|"TH1 within 10-15μm of ILC1"|"TH1 within 15-20μm of ILC1"|"TH1 within 20-25μm of ILC1"|"TH1 within 25-30μm of ILC1"|"TH1 within 30-35μm of ILC1"|"TH1 within 35-40μm of ILC1"|"TH1 within 40-45μm of ILC1"|"TH1 within 45-50μm of ILC1"|"TH2 Count"|"TH2 within 50μm of ILC1"|"% TH2 within 50μm of ILC1"|"Average number of TH2 within 50μm of ILC1"|"TH2 within 0-5μm of ILC1"|"TH2 within 5-10μm of ILC1"|"TH2 within 10-15μm of ILC1"|"TH2 within 15-20μm of ILC1"|"TH2 within 20-25μm of ILC1"|"TH2 within 25-30μm of ILC1"|"TH2 within 30-35μm of ILC1"|"TH2 within 35-40μm of ILC1"|"TH2 within 40-45μm of ILC1"|"TH2 within 45-50μm of ILC1"|"TH17 Count"|"TH17 within 50μm of ILC1"|"% TH17 within 50μm of ILC1"|"Average number of TH17 within 50μm of ILC1"|"TH17 within 0-5μm of ILC1"|"TH17 within 5-10μm of ILC1"|"TH17 within 10-15μm of ILC1"|"TH17 within 15-20μm of ILC1"|"TH17 within 20-25μm of ILC1"|"TH17 within 25-30μm of ILC1"|"TH17 within 30-35μm of ILC1"|"TH17 within 35-40μm of ILC1"|"TH17 within 40-45μm of ILC1"|"TH17 within 45-50μm of ILC1"|"ILC2 Count"|"TH1 within 50μm of ILC2"|"% TH1 within 50μm of ILC2"|"Average Distance (μm) to ILC2"|"Number of Unique ILC2"|"Average number of TH1 within 50μm of ILC2"|"TH1 within 0-5μm of ILC2"|"TH1 within 5-10μm of ILC2"|"TH1 within 10-15μm of ILC2"|"TH1 within 15-20μm of ILC2"|"TH1 within 20-25μm of ILC2"|"TH1 within 25-30μm of ILC2"|"TH1 within 30-35μm of ILC2"|"TH1 within 35-40μm of ILC2"|"TH1 within 40-45μm of ILC2"|"TH1 within 45-50μm of ILC2"|"TH2 within 50μm of ILC2"|"% TH2 within 50μm of ILC2"|"Average number of TH2 within 50μm of ILC2"|"TH2 within 0-5μm of ILC2"|"TH2 within 5-10μm of ILC2"|"TH2 within 10-15μm of ILC2"|"TH2 within 15-20μm of ILC2"|"TH2 within 20-25μm of ILC2"|"TH2 within 25-30μm of ILC2"|"TH2 within 30-35μm of ILC2"|"TH2 within 35-40μm of ILC2"|"TH2 within 40-45μm of ILC2"|"TH2 within 45-50μm of ILC2"|"TH17 within 50μm of ILC2"|"% TH17 within 50μm of ILC2"|"Average number of TH17 within 50μm of ILC2"|"TH17 within 0-5μm of ILC2"|"TH17 within 5-10μm of ILC2"|"TH17 within 10-15μm of ILC2"|"TH17 within 15-20μm of ILC2"|"TH17 within 20-25μm of ILC2"|"TH17 within 25-30μm of ILC2"|"TH17 within 30-35μm of ILC2"|"TH17 within 35-40μm of ILC2"|"TH17 within 40-45μm of ILC2"|"TH17 within 45-50μm of ILC2"|"ILC3 Count"|"TH1 within 50μm of ILC3"|"% TH1 within 50μm of ILC3"|"Average Distance (μm) to ILC3"|"Number of Unique ILC3"|"Average number of TH1 within 50μm of ILC3"|"TH1 within 0-5μm of ILC3"|"TH1 within 5-10μm of ILC3"|"TH1 within 10-15μm of ILC3"|"TH1 within 15-20μm of ILC3"|"TH1 within 20-25μm of ILC3"|"TH1 within 25-30μm of ILC3"|"TH1 within 30-35μm of ILC3"|"TH1 within 35-40μm of ILC3"|"TH1 within 40-45μm of ILC3"|"TH1 within 45-50μm of ILC3"|"TH2 within 50μm of ILC3"|"% TH2 within 50μm of ILC3"|"Average number of TH2 within 50μm of ILC3"|"TH2 within 0-5μm of ILC3"|"TH2 within 5-10μm of ILC3"|"TH2 within 10-15μm of ILC3"|"TH2 within 15-20μm of ILC3"|"TH2 within 20-25μm of ILC3"|"TH2 within 25-30μm of ILC3"|"TH2 within 30-35μm of ILC3"|"TH2 within 35-40μm of ILC3"|"TH2 within 40-45μm of ILC3"|"TH2 within 45-50μm of ILC3"|"TH17 within 50μm of ILC3"|"% TH17 within 50μm of ILC3"|"Average number of TH17 within 50μm of ILC3"|"TH17 within 0-5μm of ILC3"|"TH17 within 5-10μm of ILC3"|"TH17 within 10-15μm of ILC3"|"TH17 within 15-20μm of ILC3"|"TH17 within 20-25μm of ILC3"|"TH17 within 25-30μm of ILC3"|"TH17 within 30-35μm of ILC3"|"TH17 within 35-40μm of ILC3"|"TH17 within 40-45μm of ILC3"|"TH17 within 45-50μm of ILC3"
"\\srvnas01.icr.local\anapath\Imagin_Data\VAN ACKER Nathalie\17-001.ILC1.RunAA\168525_NVA_17-001.ILC1.RunAA_14T014134.01.czi"|"168525_NVA_17-001.ILC1.RunAA_14T014134.01.czi"|"Proximity Analysis ILC1 & TH1"|"20/01/2025 18:45:07"|"99362"|"Layer 1"|"Proximity Analysis ILC1 & TH1:;Population:TH1;Within:50;Population 2:ILC1;Number of Bands:10;Store Object (Pair) Data:False;Generate Markup Image:False"|"77"|"1550"|"56"|"72,73"|"43,53"|"74"|"0,7567568"|"1"|"9"|"11"|"6"|"5"|"5"|"8"|"7"|"1"|"3"||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
"\\srvnas01.icr.local\anapath\Imagin_Data\VAN ACKER Nathalie\17-001.ILC1.RunAA\168525_NVA_17-001.ILC1.RunAA_14T014134.01.czi"|"168525_NVA_17-001.ILC1.RunAA_14T014134.01.czi"|"Proximity Analysis ILC1 & TH2"|"20/01/2025 18:53:54"|"99363"|"Layer 1"|"Proximity Analysis ILC1 & TH2:;Population:TH2;Within:50;Population 2:ILC1;Number of Bands:10;Store Object (Pair) Data:False;Generate Markup Image:False"||"1550"|||"103,6"|"690"||||||||||||"2878"|"1060"|"36,83"|"1,5362319"|"36"|"77"|"113"|"138"|"142"|"136"|"129"|"91"|"100"|"98"||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
"\\srvnas01.icr.local\anapath\Imagin_Data\VAN ACKER Nathalie\17-001.ILC1.RunAA\168525_NVA_17-001.ILC1.RunAA_14T014134.01.czi"|"168525_NVA_17-001.ILC1.RunAA_14T014134.01.czi"|"Proximity Analysis ILC1 & TH17"|"20/01/2025 18:58:00"|"99364"|"Layer 1"|"Proximity Analysis ILC1 & TH17:;Population:TH17;Within:50;Population 2:ILC1;Number of Bands:10;Store Object (Pair) Data:False;Generate Markup Image:False"||"1550"|||"60,15"|"179"||||||||||||||||||||||||||"205"|"126"|"61,46"|"0,7039106"|"4"|"14"|"15"|"19"|"16"|"14"|"14"|"8"|"12"|"10"||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
"\\srvnas01.icr.local\anapath\Imagin_Data\VAN ACKER Nathalie\17-001.ILC1.RunAA\168525_NVA_17-001.ILC1.RunAA_14T014134.01.czi"|"168525_NVA_17-001.ILC1.RunAA_14T014134.01.czi"|"Proximity Analysis ILC2 & TH1"|"20/01/2025 18:59:22"|"99365"|"Layer 1"|"Proximity Analysis ILC2 & TH1:;Population:TH1;Within:50;Population 2:ILC2;Number of Bands:10;Store Object (Pair) Data:False;Generate Markup Image:False"|"77"|||||||||||||||||||||||||||||||||||||||||||||"1366"|"33"|"42,86"|"78,7"|"70"|"0,47142857"|"2"|"3"|"4"|"4"|"7"|"3"|"2"|"5"|"0"|"3"||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
"\\srvnas01.icr.local\anapath\Imagin_Data\VAN ACKER Nathalie\17-001.ILC1.RunAA\168525_NVA_17-001.ILC1.RunAA_14T014134.01.czi"|"168525_NVA_17-001.ILC1.RunAA_14T014134.01.czi"|"Proximity Analysis ILC2 & TH2"|"20/01/2025 19:00:31"|"99366"|"Layer 1"|"Proximity Analysis ILC2 & TH2:;Population:TH2;Within:50;Population 2:ILC2;Number of Bands:10;Store Object (Pair) Data:False;Generate Markup Image:False"||||||||||||||||||"2878"||||||||||||||||||||||||||||"1366"|||"65,57"|"913"||||||||||||"1662"|"57,75"|"1,8203723"|"29"|"277"|"258"|"209"|"190"|"171"|"155"|"136"|"124"|"113"|||||||||||||||||||||||||||||||||||||||||||||||||||||||
"\\srvnas01.icr.local\anapath\Imagin_Data\VAN ACKER Nathalie\17-001.ILC1.RunAA\168525_NVA_17-001.ILC1.RunAA_14T014134.01.czi"|"168525_NVA_17-001.ILC1.RunAA_14T014134.01.czi"|"Proximity Analysis ILC2 & TH17"|"20/01/2025 19:01:24"|"99367"|"Layer 1"|"Proximity Analysis ILC2 & TH17:;Population:TH17;Within:50;Population 2:ILC2;Number of Bands:10;Store Object (Pair) Data:False;Generate Markup Image:False"||||||||||||||||||||||||||||||||"205"||||||||||||||"1366"|||"82,96"|"174"|||||||||||||||||||||||||"115"|"56,1"|"0,66091955"|"5"|"16"|"15"|"15"|"17"|"10"|"9"|"12"|"8"|"8"||||||||||||||||||||||||||||||||||||||||||
"\\srvnas01.icr.local\anapath\Imagin_Data\VAN ACKER Nathalie\17-001.ILC1.RunAA\168525_NVA_17-001.ILC1.RunAA_14T014134.01.czi"|"168525_NVA_17-001.ILC1.RunAA_14T014134.01.czi"|"Proximity Analysis ILC3 & TH1"|"20/01/2025 19:02:31"|"99368"|"Layer 1"|"Proximity Analysis ILC3 & TH1:;Population:TH1;Within:50;Population 2:ILC3;Number of Bands:10;Store Object (Pair) Data:False;Generate Markup Image:False"|"77"|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||"204"|"16"|"20,78"|"134,43"|"63"|"0,25396827"|"0"|"2"|"0"|"1"|"2"|"3"|"4"|"0"|"1"|"3"||||||||||||||||||||||||||
"\\srvnas01.icr.local\anapath\Imagin_Data\VAN ACKER Nathalie\17-001.ILC1.RunAA\168525_NVA_17-001.ILC1.RunAA_14T014134.01.czi"|"168525_NVA_17-001.ILC1.RunAA_14T014134.01.czi"|"Proximity Analysis ILC3 & TH2"|"20/01/2025 19:03:35"|"99369"|"Layer 1"|"Proximity Analysis ILC3 & TH2:;Population:TH2;Within:50;Population 2:ILC3;Number of Bands:10;Store Object (Pair) Data:False;Generate Markup Image:False"||||||||||||||||||"2878"||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||"204"|||"195,9"|"178"||||||||||||"389"|"13,52"|"2,1853933"|"6"|"14"|"23"|"44"|"45"|"50"|"48"|"60"|"58"|"41"|||||||||||||
"\\srvnas01.icr.local\anapath\Imagin_Data\VAN ACKER Nathalie\17-001.ILC1.RunAA\168525_NVA_17-001.ILC1.RunAA_14T014134.01.czi"|"168525_NVA_17-001.ILC1.RunAA_14T014134.01.czi"|"Proximity Analysis ILC3 & TH17"|"20/01/2025 19:04:48"|"99370"|"Layer 1"|"Proximity Analysis ILC3 & TH17:;Population:TH17;Within:50;Population 2:ILC3;Number of Bands:10;Store Object (Pair) Data:False;Generate Markup Image:False"||||||||||||||||||||||||||||||||"205"||||||||||||||||||||||||||||||||||||||||||||||||||||||||"204"|||"140,08"|"104"|||||||||||||||||||||||||"47"|"22,93"|"0,45192307"|"2"|"10"|"1"|"5"|"3"|"1"|"5"|"8"|"5"|"7"
"\\srvnas01.icr.local\anapath\Imagin_Data\VAN ACKER Nathalie\17-001.ILC1.RunAA\168526_NVA_17-001.ILC1.RunAA_15T001781.01.czi"|"168526_NVA_17-001.ILC1.RunAA_15T001781.01.czi"|"Proximity Analysis ILC1 & TH1"|"20/01/2025 16:18:29"|"99349"|"Layer 1"|"Proximity Analysis ILC1 & TH1:;Population:TH1;Within:50;Population 2:ILC1;Number of Bands:10;Store Object (Pair) Data:False;Generate Markup Image:False"|"130"|"3527"|"97"|"74,62"|"36,83"|"125"|"0,776"|"4"|"11"|"9"|"9"|"9"|"12"|"12"|"10"|"12"|"9"||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
