Image Tag,Algorithm Name,Analysis Region,% CD20 Positive Cells,% TCR-Alpha-Delta Positive Cells,% IL7R Positive Cells,% B-Cells:CD20+TCR- Positive Cells,% T-Cells:CD20-TCR+ Positive Cells,% Pool-ILCs:CD20-TCR-IL7R+ Positive Cells,% IL7R+CD20+ Positive Cells,% IL7R+CD20- Positive Cells,% IL7R+TCR+ Positive Cells,% IL7R+TCR- Positive Cells,% EOMES Positive Cells,% TBX Positive Cells,% ILC1:TBX+EOMES+CD20-TCR-IL7R+ Positive Cells,% ILC1:TBX+EOMES-CD20-TCR-IL7R+ Positive Cells,% ILC1s:TBX+EOMES+/-CD20-TCR-IL7R+ Positive Cells,% NK/ILC1ie:TBX+EOMES+CD20-TCR-IL7R- Positive Cells,% T-Helper:CD20-TCR+TBX+EOMES+ Positive Cells,% GATA Positive Cells,% ICOS Positive Cells,% ILC2:GATA+ICOS+CD20-TCR-IL7R+ Positive Cells,% T-Helper:CD20-TCR+GATA+ICOS+ Positive Cells,% ROR-GammaT Positive Cells,% AHR Positive Cells,% ILC3:ROR+AHR+CD20-TCR-IL7R+ Positive Cells,% T-Helper:CD20-TCR+ROR+AHR+ Positive Cells
169508_NVA_17-001.ILC1.RunDA_19T041899.07.czi,HighPlex FL v4.2.5_ILC1-Default,GC Excluded,13.872221,11.880445,16.769901,8.773338,6.781562,7.584971,3.825372,12.944528,8.295974,8.473927,0.416433,4.042063,0.065774,1.054802,1.120576,0.02179,0.042773,,,,,,,,
169509_NVA_17-001.ILC1.RunDA_19T053321.33.czi,HighPlex FL v4.2.5_ILC1-Default,GC Excluded,7.826738,18.642876,27.998186,6.486117,17.302256,12.417039,1.080341,26.917847,15.24803,12.750156,0.687628,3.779918,0.062651,0.648917,0.711568,0.02394,0.063669,,,,,,,,
169510_NVA_17-001.ILC1.RunDA_19T061175.02.czi,HighPlex FL v4.2.5_ILC1-Default,GC Excluded,9.354327,42.210323,54.161243,5.215961,38.071957,13.373704,4.278172,49.883072,39.734097,14.427146,2.662567,8.377464,0.220702,1.513304,1.734006,0.030239,0.842753,,,,,,,,
169511_NVA_17-001.ILC1.RunDA_19T031219.21.czi,HighPlex FL v4.2.5_ILC1-Default,GC Excluded,9.844488,15.333847,28.88665,5.584208,11.073566,14.581646,3.932262,24.954388,13.376279,15.510371,0.447237,1.35752,0.022395,0.550648,0.573043,0.004611,0.023053,,,,,,,,
169512_NVA_17-001.ILC1.RunDA_19T032516.02.czi,HighPlex FL v4.2.5_ILC1-Default,GC Excluded,14.369865,9.979848,28.028214,11.064951,6.674934,18.790886,3.776159,24.252054,7.201984,20.826229,0.31468,4.596187,0.088358,2.035343,2.123701,0.00465,0.029453,,,,,,,,
169513_NVA_17-001.ILC1.RunDA_19T034716.02.czi,HighPlex FL v4.2.5_ILC1-Default,GC Excluded,10.637761,21.906073,34.109276,5.338094,16.606407,12.93361,5.121833,28.987442,20.068272,14.041002,0.142211,2.328667,0.058623,0.862802,0.921425,0.003927,0.012061,,,,,,,,
169514_NVA_17-001.ILC1.RunDA_19T041660.02.czi,HighPlex FL v4.2.5_ILC1-Default,GC Excluded,6.971196,7.868537,19.640722,5.399785,6.297126,12.564058,1.832108,17.808615,6.213771,13.426951,0.17479,2.682243,0.034022,0.870124,0.904146,0.004678,0.019138,,,,,,,,
169515_NVA_17-001.ILC1.RunDA_19T038508.01.czi,HighPlex FL v4.2.5_ILC1-Default,GC Excluded,0.804912,1.790828,5.221162,0.651263,1.637178,4.100221,0.104179,5.116983,1.070888,4.150273,0.227564,1.856594,0.057036,0.632639,0.689675,0.006402,0.003492,,,,,,,,
169516_NVA_17-001.ILC2.RunDA_19T041899.07.czi,HighPlex FL v4.2.5_ILC2-Default,GC Excluded,8.291356,11.203845,6.667819,4.848799,7.761289,2.13385,0.77617,5.891649,4.462772,2.205047,,,,,,,,8.383541,6.927091,0.064201,1.892274,,,,
169517_NVA_17-001.ILC2.RunDA_19T053321.33.czi,HighPlex FL v4.2.5_ILC2-Default,GC Excluded,7.770086,19.350807,18.846283,6.001918,17.58264,6.377849,0.530969,18.315315,12.404656,6.441627,,,,,,,,6.751705,22.309507,0.398745,3.162998,,,,
