Image Tag,Algorithm Name,Analysis Region,% CD20 Positive Cells,% TCR-Alpha-Delta Positive Cells,% IL7R Positive Cells,% B-Cells:CD20+TCR- Positive Cells,% T-Cells:CD20-TCR+ Positive Cells,% Pool-ILCs:CD20-TCR-IL7R+ Positive Cells,% IL7R+CD20+ Positive Cells,% IL7R+CD20- Positive Cells,% IL7R+TCR+ Positive Cells,% IL7R+TCR- Positive Cells,% EOMES Positive Cells,% TBX Positive Cells,% ILC1:TBX+EOMES+CD20-TCR-IL7R+ Positive Cells,% ILC1:TBX+EOMES-CD20-TCR-IL7R+ Positive Cells,% ILC1s:TBX+EOMES+/-CD20-TCR-IL7R+ Positive Cells,% NK/ILC1ie:TBX+EOMES+CD20-TCR-IL7R- Positive Cells,% T-Helper:CD20-TCR+TBX+EOMES+ Positive Cells,% GATA Positive Cells,% ICOS Positive Cells,% ILC2:GATA+ICOS+CD20-TCR-IL7R+ Positive Cells,% T-Helper:CD20-TCR+GATA+ICOS+ Positive Cells,% ROR-GammaT Positive Cells,% AHR Positive Cells,% ILC3:ROR+AHR+CD20-TCR-IL7R+ Positive Cells,% T-Helper:CD20-TCR+ROR+AHR+ Positive Cells
169508_NVA_17-001.ILC1.RunDA_19T041899.07.czi,HighPlex FL v4.2.5_ILC1-Default,GerminalCenter,66.361649,25.093584,11.716231,47.460228,6.19216,2.012062,7.390558,4.325673,7.294374,4.421857,0.314547,1.213996,0.005199,0.098783,0.103982,0.007799,0.012998,,,,,,,,
169509_NVA_17-001.ILC1.RunDA_19T053321.33.czi,HighPlex FL v4.2.5_ILC1-Default,GerminalCenter,36.434444,7.118852,3.19951,33.543758,4.228167,1.494164,0.531359,2.66815,1.500976,1.698533,0.211181,0.588128,0.009083,0.052228,0.061311,0.009083,0.018166,,,,,,,,
169510_NVA_17-001.ILC1.RunDA_19T061175.02.czi,HighPlex FL v4.2.5_ILC1-Default,GerminalCenter,50.455708,18.378109,21.518164,39.785599,7.707999,6.665292,10.418385,11.099779,8.94601,12.572154,0.95916,1.841283,0.065101,0.379758,0.444859,0.01736,0.132373,,,,,,,,
169511_NVA_17-001.ILC1.RunDA_19T031219.21.czi,HighPlex FL v4.2.5_ILC1-Default,GerminalCenter,74.897881,28.147047,5.867063,49.275902,2.525065,0.371333,4.121797,1.745265,5.068696,0.798366,0.185667,0.185667,0,0,0,0,0,,,,,,,,
169512_NVA_17-001.ILC1.RunDA_19T032516.02.czi,HighPlex FL v4.2.5_ILC1-Default,GerminalCenter,60.107635,33.030609,35.385132,38.008747,10.931719,11.738984,15.909855,19.475277,17.490749,17.894382,0.302725,3.464514,0,0.807265,0.807265,0,0.033636,,,,,,,,
169513_NVA_17-001.ILC1.RunDA_19T034716.02.czi,HighPlex FL v4.2.5_ILC1-Default,GerminalCenter,81.103287,29.95892,20.510563,57.482395,6.338028,3.169014,12.304381,8.206182,14.32903,6.181534,0.21518,1.496479,0,0.10759,0.10759,0,0.029343,,,,,,,,
169514_NVA_17-001.ILC1.RunDA_19T041660.02.czi,HighPlex FL v4.2.5_ILC1-Default,GerminalCenter,51.775085,14.615221,11.394558,42.899658,5.739796,3.443877,6.590136,4.804422,3.932823,7.461735,0,0.329507,0,0.021259,0.021259,0,0,,,,,,,,
169515_NVA_17-001.ILC1.RunDA_19T038508.01.czi,HighPlex FL v4.2.5_ILC1-Default,GerminalCenter,45.688046,16.648506,12.507783,39.391346,10.351806,4.428705,2.008095,10.499689,7.183998,5.323786,0.373599,1.486613,0.038917,0.256849,0.295766,0,0.015567,,,,,,,,
169516_NVA_17-001.ILC2.RunDA_19T041899.07.czi,HighPlex FL v4.2.5_ILC2-Default,GerminalCenter,57.242195,26.416435,2.212564,38.132492,7.30673,0.200184,0.921902,1.290662,1.970236,0.242328,,,,,,,,14.126169,32.672199,0.028974,3.835111,,,,
169517_NVA_17-001.ILC2.RunDA_19T053321.33.czi,HighPlex FL v4.2.5_ILC2-Default,GerminalCenter,46.959103,11.028101,1.740918,39.904045,3.973041,0.562029,0.3427,1.398218,1.142335,0.598584,,,,,,,,4.379712,25.85104,0.052547,1.338817,,,,
169518_NVA_17-001.ILC2.RunDA_19T061175.02.czi,HighPlex FL v4.2.5_ILC2-Default,GerminalCenter,51.408569,14.671721,4.351361,43.034233,6.297383,1.496209,0.659937,3.691424,2.760121,1.59124,,,,,,,,13.156506,21.676558,0.145714,2.93012,,,,
169519_NVA_17-001.ILC2.RunDA_19T031219.21.czi,HighPlex FL v4.2.5_ILC2-Default,GerminalCenter,74.321579,24.718479,5.648883,52.482925,2.879823,0.609193,3.581318,2.067565,4.485878,1.163005,,,,,,,,11.92542,12.331549,0.01846,0.978401,,,,
169520_NVA_17-001.ILC2.RunDA_19T032516.02.czi,HighPlex FL v4.2.5_ILC2-Default,GerminalCenter,55.898876,20.505617,28.019663,45.014046,9.620787,12.956461,7.549157,20.470505,10.884831,17.134832,,,,,,,,20.891853,17.942415,2.247191,2.949438,,,,
