Image Tag,Algorithm Name,Analysis Region,% CD20 Positive Cells,% TCR-Alpha-Delta Positive Cells,% IL7R Positive Cells,% B-Cells:CD20+TCR- Positive Cells,% T-Cells:CD20-TCR+ Positive Cells,% Pool-ILCs:CD20-TCR-IL7R+ Positive Cells,% IL7R+CD20+ Positive Cells,% IL7R+CD20- Positive Cells,% IL7R+TCR+ Positive Cells,% IL7R+TCR- Positive Cells,% EOMES Positive Cells,% TBX Positive Cells,% ILC1:TBX+EOMES+CD20-TCR-IL7R+ Positive Cells,% ILC1:TBX+EOMES-CD20-TCR-IL7R+ Positive Cells,% ILC1s:TBX+EOMES+/-CD20-TCR-IL7R+ Positive Cells,% NK/ILC1ie:TBX+EOMES+CD20-TCR-IL7R- Positive Cells,% T-Helper:CD20-TCR+TBX+EOMES+ Positive Cells,% GATA Positive Cells,% ICOS Positive Cells,% ILC2:GATA+ICOS+CD20-TCR-IL7R+ Positive Cells,% T-Helper:CD20-TCR+GATA+ICOS+ Positive Cells,% ROR-GammaT Positive Cells,% AHR Positive Cells,% ILC3:ROR+AHR+CD20-TCR-IL7R+ Positive Cells,% T-Helper:CD20-TCR+ROR+AHR+ Positive Cells
169508_NVA_17-001.ILC1.RunDA_19T041899.07.czi,HighPlex FL v4.2.5_ILC1-Default,Layer 1,20.924839,13.659847,16.092106,13.969337,6.704346,6.836036,4.304223,11.787884,8.162724,7.929383,0.402407,3.661489,0.057636,0.926026,0.983662,0.019911,0.038774,,,,,,,,
169509_NVA_17-001.ILC1.RunDA_19T053321.33.czi,HighPlex FL v4.2.5_ILC1-Default,Layer 1,13.06513,16.532356,23.456409,11.438853,14.90608,10.417074,0.980176,22.476234,12.729807,10.726604,0.600337,3.195141,0.052836,0.539596,0.592432,0.021218,0.055333,,,,,,,,
169510_NVA_17-001.ILC1.RunDA_19T061175.02.czi,HighPlex FL v4.2.5_ILC1-Default,Layer 1,15.651936,38.558292,49.161346,10.512603,33.418961,12.348031,5.219141,43.942204,35.015629,14.145717,2.401736,7.375964,0.197027,1.339951,1.536978,0.028099,0.733905,,,,,,,,
169511_NVA_17-001.ILC1.RunDA_19T031219.21.czi,HighPlex FL v4.2.5_ILC1-Default,Layer 1,12.073254,15.769654,28.099894,7.083018,10.779418,14.095428,3.940028,24.159866,13.092929,15.006966,0.438276,1.317371,0.021628,0.531783,0.553411,0.004453,0.022264,,,,,,,,
169512_NVA_17-001.ILC1.RunDA_19T032516.02.czi,HighPlex FL v4.2.5_ILC1-Default,Layer 1,16.383142,10.995199,28.35487,12.251793,6.863849,18.484381,4.307688,24.047182,7.652184,20.702684,0.314149,4.546263,0.084464,1.98121,2.065674,0.004445,0.029637,,,,,,,,
169513_NVA_17-001.ILC1.RunDA_19T034716.02.czi,HighPlex FL v4.2.5_ILC1-Default,Layer 1,12.601266,22.130814,33.730263,6.791317,16.320866,12.6618,5.321856,28.408405,19.907671,13.82259,0.144247,2.305492,0.05699,0.841757,0.898747,0.003817,0.012543,,,,,,,,
169514_NVA_17-001.ILC1.RunDA_19T041660.02.czi,HighPlex FL v4.2.5_ILC1-Default,Layer 1,8.697217,8.130842,19.322559,6.841881,6.275507,12.213235,2.013593,17.308966,6.1287,13.193859,0.168072,2.591826,0.032715,0.837498,0.870213,0.004498,0.018402,,,,,,,,
169515_NVA_17-001.ILC1.RunDA_19T038508.01.czi,HighPlex FL v4.2.5_ILC1-Default,Layer 1,3.923862,2.822408,5.724961,3.344976,2.243522,4.121517,0.236645,5.488317,1.49514,4.229822,0.237728,1.830883,0.055777,0.606504,0.662281,0.005957,0.004332,,,,,,,,
169516_NVA_17-001.ILC2.RunDA_19T041899.07.czi,HighPlex FL v4.2.5_ILC2-Default,Layer 1,14.907385,13.261173,6.066603,9.345502,7.699289,1.872589,0.795877,5.270726,4.127098,1.939505,,,,,,,,9.159702,10.40406,0.059442,2.154491,,,,
169517_NVA_17-001.ILC2.RunDA_19T053321.33.czi,HighPlex FL v4.2.5_ILC2-Default,Layer 1,15.014982,17.810217,15.682728,12.270462,15.065697,5.302662,0.49447,15.188258,10.321321,5.361407,,,,,,,,6.313156,22.968763,0.334718,2.825241,,,,
169518_NVA_17-001.ILC2.RunDA_19T061175.02.czi,HighPlex FL v4.2.5_ILC2-Default,Layer 1,14.985906,35.317905,34.421333,10.613053,30.945051,5.648835,1.928422,32.492912,28.591904,5.82943,,,,,,,,20.669874,17.154026,0.28534,8.176175,,,,
169519_NVA_17-001.ILC2.RunDA_19T031219.21.czi,HighPlex FL v4.2.5_ILC2-Default,Layer 1,11.924818,13.878551,24.59203,7.835052,9.788786,12.488056,3.182675,21.409353,11.193739,13.398291,,,,,,,,8.170732,3.239879,0.195499,0.85743,,,,
169520_NVA_17-001.ILC2.RunDA_19T032516.02.czi,HighPlex FL v4.2.5_ILC2-Default,Layer 1,14.768013,5.983083,20.684666,12.817939,4.033008,15.495786,2.165601,18.519066,3.832243,16.852423,,,,,,,,11.034677,5.771985,1.058443,0.912298,,,,
169521_NVA_17-001.ILC2.RunDA_19T034716.02.czi,HighPlex FL v4.2.5_ILC2-Default,Layer 1,11.808524,25.696774,32.613735,5.937682,19.825932,9.437547,4.427379,28.186356,22.60051,10.013226,,,,,,,,5.542045,9.207162,0.053757,2.018857,,,,
169522_NVA_17-001.ILC2.RunDA_19T041660.02.czi,HighPlex FL v4.2.5_ILC2-Default,Layer 1,9.266489,12.421471,5.889109,6.358257,9.513238,1.682197,0.396909,5.4922,4.156994,1.732115,,,,,,,,4.198795,5.29131,0.035308,1.024334,,,,
169523_NVA_17-001.ILC2.RunDA_19T038508.01.czi,HighPlex FL v4.2.5_ILC2-Default,Layer 1,5.314007,4.297526,3.602157,3.705651,2.689171,2.310997,0.094543,3.507614,1.271021,2.331137,,,,,,,,1.738143,2.605256,0.055943,0.338454,,,,
169524_NVA_17-001.ILC3.RunDA_19T041899.07.czi,HighPlex FL v4.2.5_ILC3-Default,Layer 1,18.224583,10.271977,8.77091,11.85194,3.899336,4.634002,1.595978,7.174932,3.809171,4.961739,,,,,,,,,,,,13.996323,45.362144,1.108672,0.301341
169525_NVA_17-001.ILC3.RunDA_19T053321.33.czi,HighPlex FL v4.2.5_ILC3-Default,Layer 1,13.810237,11.610721,13.530853,12.537537,10.33802,6.18282,0.34672,13.184134,7.269823,6.261031,,,,,,,,,,,,1.657061,64.79435,0.319116,0.30866
169526_NVA_17-001.ILC3.RunDA_19T061175.02.czi,HighPlex FL v4.2.5_ILC3-Default,Layer 1,14.158982,31.249743,35.268906,10.712343,27.803104,8.789914,1.814003,33.454903,26.193632,9.075273,,,,,,,,,,,,3.217137,41.535774,0.634458,0.555766
169527_NVA_17-001.ILC3.RunDA_19T031219.21.czi,HighPlex FL v4.2.5_ILC3-Default,Layer 1,9.812891,13.321492,21.836298,6.679603,10.188204,10.711331,2.135697,19.700602,10.556218,11.28008,,,,,,,,,,,,2.996423,40.440765,0.927638,0.21655
169528_NVA_17-001.ILC3.RunDA_19T032516.02.czi,HighPlex FL v4.2.5_ILC3-Default,Layer 1,11.871939,6.235262,20.407824,10.144204,4.507528,15.647862,1.69448,18.713345,3.664067,16.743757,,,,,,,,,,,,7.523127,68.01046,2.83421,0.424754
169529_NVA_17-001.ILC3.RunDA_19T034716.02.czi,HighPlex FL v4.2.5_ILC3-Default,Layer 1,12.829053,22.026756,31.371368,7.118176,16.31588,11.02319,4.80105,26.570318,19.4121,11.959269,,,,,,,,,,,,4.133332,27.67346,0.749393,0.460614
169530_NVA_17-001.ILC3.RunDA_19T041660.02.czi,HighPlex FL v4.2.5_ILC3-Default,Layer 1,8.930097,9.168932,10.16699,6.786796,7.025631,4.906408,0.991845,9.175146,4.968155,5.198835,,,,,,,,,,,,4.506796,29.182137,0.686214,0.347184
169531_NVA_17-001.ILC3.RunDA_19T038508.01.czi,HighPlex FL v4.2.5_ILC3-Default,Layer 1,4.58916,3.294151,5.716574,3.842128,2.547119,4.41184,0.090376,5.626198,1.270413,4.44616,,,,,,,,,,,,3.501215,31.835264,0.715573,0.364936
