Image Tag,Algorithm Name,Analysis Region,Area Analyzed (μm²),Total Cells,CD20 Positive Cells,TCR-Alpha-Delta Positive Cells,IL7R Positive Cells,B-Cells:CD20+TCR- Cells,T-Cells:CD20-TCR+ Cells,Pool-ILCs:CD20-TCR-IL7R+ Cells,IL7R+CD20+ Cells,IL7R+CD20- Cells,IL7R+TCR+ Cells,IL7R+TCR- Cells,EOMES Positive Cells,TBX Positive Cells,ILC1:TBX+EOMES+CD20-TCR-IL7R+ Cells,ILC1:TBX+EOMES-CD20-TCR-IL7R+ Cells,ILC1s:TBX+EOMES+/-CD20-TCR-IL7R+ Positive Cells,NK/ILC1ie:TBX+EOMES+CD20-TCR-IL7R- Cells,T-Helper:CD20-TCR+TBX+EOMES+ Cells,GATA Positive Cells,ICOS Positive Cells,ILC2:GATA+ICOS+CD20-TCR-IL7R+ Cells,T-Helper:CD20-TCR+GATA+ICOS+ Cells,ROR-GammaT Positive Cells,AHR Positive Cells,ILC3:ROR+AHR+CD20-TCR-IL7R+ Cells,T-Helper:CD20-TCR+ROR+AHR+ Cells,% CD20 Positive Cells,% TCR-Alpha-Delta Positive Cells,% IL7R Positive Cells,% B-Cells:CD20+TCR- Positive Cells,% T-Cells:CD20-TCR+ Positive Cells,% Pool-ILCs:CD20-TCR-IL7R+ Positive Cells,% IL7R+CD20+ Positive Cells,% IL7R+CD20- Positive Cells,% IL7R+TCR+ Positive Cells,% IL7R+TCR- Positive Cells,% EOMES Positive Cells,% TBX Positive Cells,% ILC1:TBX+EOMES+CD20-TCR-IL7R+ Positive Cells,% ILC1:TBX+EOMES-CD20-TCR-IL7R+ Positive Cells,% ILC1s:TBX+EOMES+/-CD20-TCR-IL7R+ Positive Cells,% NK/ILC1ie:TBX+EOMES+CD20-TCR-IL7R- Positive Cells,% T-Helper:CD20-TCR+TBX+EOMES+ Positive Cells,% GATA Positive Cells,% ICOS Positive Cells,% ILC2:GATA+ICOS+CD20-TCR-IL7R+ Positive Cells,% T-Helper:CD20-TCR+GATA+ICOS+ Positive Cells,% ROR-GammaT Positive Cells,% AHR Positive Cells,% ILC3:ROR+AHR+CD20-TCR-IL7R+ Positive Cells,% T-Helper:CD20-TCR+ROR+AHR+ Positive Cells,%Pool-IL7R ILC1s:TBX+EOMES+/-CD20-TCR-IL7R+ Positive Cells,%Pool-IL7R ILC2:GATA+ICOS+CD20-TCR-IL7R+ Positive Cells,%Pool-IL7R ILC3:ROR+AHR+CD20-TCR-IL7R+ Positive Cells,B Cells - Density/mm²,T Cells - Density/mm²,Pool IL7R (Non B/T) - Density/mm²,NK/ILC1ie - Density/mm²,ILC1s - Density/mm²,TH1 - Density/mm²,ILC2 - Density/mm²,TH2 - Density/mm²,ILC3 - Density/mm²,TH17 - Density/mm²
169508_NVA_17-001.ILC1.RunDA_19T041899.07.czi,HighPlex FL v4.2.5_ILC1-Default,GC Excluded,31621090,247819,34378,29442,41559,21742,16806,18797,9480,32079,20559,21000,1032,10017,163,2614,2777,54,106,,,,,,,,,13.872221,11.880445,16.769901,8.773338,6.781562,7.584971,3.825372,12.944528,8.295974,8.473927,0.416433,4.042063,0.065774,1.054802,1.120576,0.02179,0.042773,,,,,,,,,14.77363409,,,687.5790809,531.4807301,594.4450365,1.707721018,87.82113457,3.352193109,,,,
169509_NVA_17-001.ILC1.RunDA_19T053321.33.czi,HighPlex FL v4.2.5_ILC1-Default,GC Excluded,15773502,196327,15366,36601,54968,12734,33969,24378,2121,52847,29936,25032,1350,7421,123,1274,1397,47,125,,,,,,,,,7.826738,18.642876,27.998186,6.486117,17.302256,12.417039,1.080341,26.917847,15.24803,12.750156,0.687628,3.779918,0.062651,0.648917,0.711568,0.02394,0.063669,,,,,,,,,5.73057675,,,807.3032862,2153.5484,1545.503338,2.979680733,88.56625498,7.9246828,,,,
169510_NVA_17-001.ILC1.RunDA_19T061175.02.czi,HighPlex FL v4.2.5_ILC1-Default,GC Excluded,42489648,509283,47640,214970,275834,26564,193894,68110,21788,254046,202359,73475,13560,42665,1124,7707,8831,154,4292,,,,,,,,,9.354327,42.210323,54.161243,5.215961,38.071957,13.373704,4.278172,49.883072,39.734097,14.427146,2.662567,8.377464,0.220702,1.513304,1.734006,0.030239,0.842753,,,,,,,,,12.96579063,,,625.1875751,4563.323283,1602.978683,3.624412233,207.83886,101.0128396,,,,
169511_NVA_17-001.ILC1.RunDA_19T031219.21.czi,HighPlex FL v4.2.5_ILC1-Default,GC Excluded,20159530,151821,14946,23280,43856,8478,16812,22138,5970,37886,20308,23548,679,2061,34,836,870,7,35,,,,,,,,,9.844488,15.333847,28.88665,5.584208,11.073566,14.581646,3.932262,24.954388,13.376279,15.510371,0.447237,1.35752,0.022395,0.550648,0.573043,0.004611,0.023053,,,,,,,,,3.929894299,,,420.5455187,833.9480137,1098.140681,0.347230317,43.15576802,1.736151587,,,,
169512_NVA_17-001.ILC1.RunDA_19T032516.02.czi,HighPlex FL v4.2.5_ILC1-Default,GC Excluded,8675197,64510,9270,6438,18081,7138,4306,12122,2436,15645,4646,13435,203,2965,57,1313,1370,3,19,,,,,,,,,14.369865,9.979848,28.028214,11.064951,6.674934,18.790886,3.776159,24.252054,7.201984,20.826229,0.31468,4.596187,0.088358,2.035343,2.123701,0.00465,0.029453,,,,,,,,,11.30176539,,,822.8055225,496.3576043,1397.316972,0.345813473,157.9214858,2.190151993,,,,
169513_NVA_17-001.ILC1.RunDA_19T034716.02.czi,HighPlex FL v4.2.5_ILC1-Default,GC Excluded,38835800,356513,37925,78098,121604,19031,59204,46110,18260,103344,71546,50058,507,8302,209,3076,3285,14,43,,,,,,,,,10.637761,21.906073,34.109276,5.338094,16.606407,12.93361,5.121833,28.987442,20.068272,14.041002,0.142211,2.328667,0.058623,0.862802,0.921425,0.003927,0.012061,,,,,,,,,7.124268055,,,490.0375427,1524.46969,1187.306557,0.360492123,84.58690178,1.107225807,,,,
169514_NVA_17-001.ILC1.RunDA_19T041660.02.czi,HighPlex FL v4.2.5_ILC1-Default,GC Excluded,39297392,235139,16392,18502,46183,12697,14807,29543,4308,41875,14611,31572,411,6307,80,2046,2126,11,45,,,,,,,,,6.971196,7.868537,19.640722,5.399785,6.297126,12.564058,1.832108,17.808615,6.213771,13.426951,0.17479,2.682243,0.034022,0.870124,0.904146,0.004678,0.019138,,,,,,,,,7.196290153,,,323.1003218,376.7934523,751.780169,0.279916794,54.10028228,1.145114159,,,,
169515_NVA_17-001.ILC1.RunDA_19T038508.01.czi,HighPlex FL v4.2.5_ILC1-Default,GC Excluded,27944508,171820,1383,3077,8971,1119,2813,7045,179,8792,1840,7131,391,3190,98,1087,1185,11,6,,,,,,,,,0.804912,1.790828,5.221162,0.651263,1.637178,4.100221,0.104179,5.116983,1.070888,4.150273,0.227564,1.856594,0.057036,0.632639,0.689675,0.006402,0.003492,,,,,,,,,16.82044003,,,40.0436465,100.663787,252.1067825,0.393637276,42.40547016,0.214711241,,,,
169516_NVA_17-001.ILC2.RunDA_19T041899.07.czi,HighPlex FL v4.2.5_ILC2-Default,GC Excluded,31681212,242988,20147,27224,16202,11782,18859,5185,1886,14316,10844,5358,,,,,,,,20371,16832,156,4598,,,,,8.291356,11.203845,6.667819,4.848799,7.761289,2.13385,0.77617,5.891649,4.462772,2.205047,,,,,,,,8.383541,6.927091,0.064201,1.892274,,,,,,3.008678881,,371.892338,595.2739434,163.661668,,,,4.924054042,145.1333364,,
169517_NVA_17-001.ILC2.RunDA_19T053321.33.czi,HighPlex FL v4.2.5_ILC2-Default,GC Excluded,15766505,192855,14985,37319,36346,11575,33909,12300,1024,35322,23923,12423,,,,,,,,13021,43025,769,6100,,,,,7.770086,19.350807,18.846283,6.001918,17.58264,6.377849,0.530969,18.315315,12.404656,6.441627,,,,,,,,6.751705,22.309507,0.398745,3.162998,,,,,,6.25203252,,734.151291,2150.698585,780.1348492,,,,48.77428447,386.8961447,,
