Image Tag,Algorithm Name,Analysis Region,Area Analyzed (μm²),Total Cells,CD20 Positive Cells,TCR-Alpha-Delta Positive Cells,IL7R Positive Cells,B-Cells:CD20+TCR- Cells,T-Cells:CD20-TCR+ Cells,Pool-ILCs:CD20-TCR-IL7R+ Cells,IL7R+CD20+ Cells,IL7R+CD20- Cells,IL7R+TCR+ Cells,IL7R+TCR- Cells,EOMES Positive Cells,TBX Positive Cells,ILC1:TBX+EOMES+CD20-TCR-IL7R+ Cells,ILC1:TBX+EOMES-CD20-TCR-IL7R+ Cells,ILC1s:TBX+EOMES+/-CD20-TCR-IL7R+ Positive Cells,NK/ILC1ie:TBX+EOMES+CD20-TCR-IL7R- Cells,T-Helper:CD20-TCR+TBX+EOMES+ Cells,GATA Positive Cells,ICOS Positive Cells,ILC2:GATA+ICOS+CD20-TCR-IL7R+ Cells,T-Helper:CD20-TCR+GATA+ICOS+ Cells,ROR-GammaT Positive Cells,AHR Positive Cells,ILC3:ROR+AHR+CD20-TCR-IL7R+ Cells,T-Helper:CD20-TCR+ROR+AHR+ Cells,% CD20 Positive Cells,% TCR-Alpha-Delta Positive Cells,% IL7R Positive Cells,% B-Cells:CD20+TCR- Positive Cells,% T-Cells:CD20-TCR+ Positive Cells,% Pool-ILCs:CD20-TCR-IL7R+ Positive Cells,% IL7R+CD20+ Positive Cells,% IL7R+CD20- Positive Cells,% IL7R+TCR+ Positive Cells,% IL7R+TCR- Positive Cells,% EOMES Positive Cells,% TBX Positive Cells,% ILC1:TBX+EOMES+CD20-TCR-IL7R+ Positive Cells,% ILC1:TBX+EOMES-CD20-TCR-IL7R+ Positive Cells,% ILC1s:TBX+EOMES+/-CD20-TCR-IL7R+ Positive Cells,% NK/ILC1ie:TBX+EOMES+CD20-TCR-IL7R- Positive Cells,% T-Helper:CD20-TCR+TBX+EOMES+ Positive Cells,% GATA Positive Cells,% ICOS Positive Cells,% ILC2:GATA+ICOS+CD20-TCR-IL7R+ Positive Cells,% T-Helper:CD20-TCR+GATA+ICOS+ Positive Cells,% ROR-GammaT Positive Cells,% AHR Positive Cells,% ILC3:ROR+AHR+CD20-TCR-IL7R+ Positive Cells,% T-Helper:CD20-TCR+ROR+AHR+ Positive Cells,%Pool-IL7R ILC1s:TBX+EOMES+/-CD20-TCR-IL7R+ Positive Cells,%Pool-IL7R ILC2:GATA+ICOS+CD20-TCR-IL7R+ Positive Cells,%Pool-IL7R ILC3:ROR+AHR+CD20-TCR-IL7R+ Positive Cells,B Cells - Density/mm²,T Cells - Density/mm²,Pool IL7R (Non B/T) - Density/mm²,NK/ILC1ie - Density/mm²,ILC1s - Density/mm²,TH1 - Density/mm²,ILC2 - Density/mm²,TH2 - Density/mm²,ILC3 - Density/mm²,TH17 - Density/mm²
169508_NVA_17-001.ILC1.RunDA_19T041899.07.czi,HighPlex FL v4.2.5_ILC1-Default,GerminalCenter,3031059.25,38468,25528,9653,4507,18257,2382,774,2843,1664,2806,1701,121,467,2,38,40,3,5,,,,,,,,,66.361649,25.093584,11.716231,47.460228,6.19216,2.012062,7.390558,4.325673,7.294374,4.421857,0.314547,1.213996,0.005199,0.098783,0.103982,0.007799,0.012998,,,,,,,,,5.167958656,,,6023.306869,785.8638857,255.3562752,0.989753005,13.19670673,1.649588341,,,,
169509_NVA_17-001.ILC1.RunDA_19T053321.33.czi,HighPlex FL v4.2.5_ILC1-Default,GerminalCenter,3071682.75,44038,16045,3135,1409,14772,1862,658,234,1175,661,748,93,259,4,23,27,4,8,,,,,,,,,36.434444,7.118852,3.19951,33.543758,4.228167,1.494164,0.531359,2.66815,1.500976,1.698533,0.211181,0.588128,0.009083,0.052228,0.061311,0.009083,0.018166,,,,,,,,,4.103343465,,,4809.090392,606.182393,214.2148306,1.302217815,8.789970253,2.604435631,,,,
169510_NVA_17-001.ILC1.RunDA_19T061175.02.czi,HighPlex FL v4.2.5_ILC1-Default,GerminalCenter,7169607,92164,46502,16938,19832,36668,7104,6143,9602,10230,8245,11587,884,1697,60,350,410,16,122,,,,,,,,,50.455708,18.378109,21.518164,39.785599,7.707999,6.665292,10.418385,11.099779,8.94601,12.572154,0.95916,1.841283,0.065101,0.379758,0.444859,0.01736,0.132373,,,,,,,,,6.674263389,,,5114.366799,990.8492892,856.811259,2.231642543,57.18584017,17.01627439,,,,
169511_NVA_17-001.ILC1.RunDA_19T031219.21.czi,HighPlex FL v4.2.5_ILC1-Default,GerminalCenter,406760.5938,5386,4034,1516,316,2654,136,20,222,94,273,43,10,10,0,0,0,0,0,,,,,,,,,74.897881,28.147047,5.867063,49.275902,2.525065,0.371333,4.121797,1.745265,5.068696,0.798366,0.185667,0.185667,0,0,0,0,0,,,,,,,,,0,,,6524.722505,334.3490055,49.1689714,0,0,0,,,,
169512_NVA_17-001.ILC1.RunDA_19T032516.02.czi,HighPlex FL v4.2.5_ILC1-Default,GerminalCenter,258002.7969,2973,1787,982,1052,1130,325,349,473,579,520,532,9,103,0,24,24,0,1,,,,,,,,,60.107635,33.030609,35.385132,38.008747,10.931719,11.738984,15.909855,19.475277,17.490749,17.894382,0.302725,3.464514,0,0.807265,0.807265,0,0.033636,,,,,,,,,6.876790831,,,4379.797482,1259.676267,1352.698514,0,93.0222474,3.875926975,,,,
169513_NVA_17-001.ILC1.RunDA_19T034716.02.czi,HighPlex FL v4.2.5_ILC1-Default,GerminalCenter,641490.75,10224,8292,3063,2097,5877,648,324,1258,839,1465,632,22,153,0,11,11,0,3,,,,,,,,,81.103287,29.95892,20.510563,57.482395,6.338028,3.169014,12.304381,8.206182,14.32903,6.181534,0.21518,1.496479,0,0.10759,0.10759,0,0.029343,,,,,,,,,3.395061728,,,9161.47271,1010.147068,505.0735338,0,17.14755825,4.676606794,,,,
169514_NVA_17-001.ILC1.RunDA_19T041660.02.czi,HighPlex FL v4.2.5_ILC1-Default,GerminalCenter,725909.8125,9408,4871,1375,1072,4036,540,324,620,452,370,702,0,31,0,2,2,0,0,,,,,,,,,51.775085,14.615221,11.394558,42.899658,5.739796,3.443877,6.590136,4.804422,3.932823,7.461735,0,0.329507,0,0.021259,0.021259,0,0,,,,,,,,,0.617283951,,,5559.919332,743.8940633,446.336438,0,2.755163197,0,,,,
169515_NVA_17-001.ILC1.RunDA_19T038508.01.czi,HighPlex FL v4.2.5_ILC1-Default,GerminalCenter,1074670,12848,5870,2139,1607,5061,1330,569,258,1349,923,684,48,191,5,33,38,0,2,,,,,,,,,45.688046,16.648506,12.507783,39.391346,10.351806,4.428705,2.008095,10.499689,7.183998,5.323786,0.373599,1.486613,0.038917,0.256849,0.295766,0,0.015567,,,,,,,,,6.678383128,,,4709.352638,1237.589213,529.464859,0,35.35969181,1.861036411,,,,
169516_NVA_17-001.ILC2.RunDA_19T041899.07.czi,HighPlex FL v4.2.5_ILC2-Default,GerminalCenter,3020190,37965,21732,10029,840,14477,2774,76,350,490,748,92,,,,,,,,5363,12404,11,1456,,,,,57.242195,26.416435,2.212564,38.132492,7.30673,0.200184,0.921902,1.290662,1.970236,0.242328,,,,,,,,14.126169,32.672199,0.028974,3.835111,,,,,,14.47368421,,4793.407037,918.4852609,25.16397975,,,,3.642154964,482.0888752,,
169517_NVA_17-001.ILC2.RunDA_19T053321.33.czi,HighPlex FL v4.2.5_ILC2-Default,GerminalCenter,3087332.5,43770,20554,4827,762,17466,1739,246,150,612,500,262,,,,,,,,1917,11315,23,586,,,,,46.959103,11.028101,1.740918,39.904045,3.973041,0.562029,0.3427,1.398218,1.142335,0.598584,,,,,,,,4.379712,25.85104,0.052547,1.338817,,,,,,9.349593496,,5657.310963,563.2694243,79.6804361,,,,7.449796872,189.8078681,,
169518_NVA_17-001.ILC2.RunDA_19T061175.02.czi,HighPlex FL v4.2.5_ILC2-Default,GerminalCenter,7286633.5,94706,48687,13895,4121,40756,5964,1417,625,3496,2614,1507,,,,,,,,12460,20529,138,2775,,,,,51.408569,14.671721,4.351361,43.034233,6.297383,1.496209,0.659937,3.691424,2.760121,1.59124,,,,,,,,13.156506,21.676558,0.145714,2.93012,,,,,,9.738884968,,5593.255102,818.4849698,194.465661,,,,18.93878703,380.8343043,,
169519_NVA_17-001.ILC2.RunDA_19T031219.21.czi,HighPlex FL v4.2.5_ILC2-Default,GerminalCenter,417885.6563,5417,4026,1339,306,2843,156,33,194,112,243,63,,,,,,,,646,668,1,53,,,,,74.321579,24.718479,5.648883,52.482925,2.879823,0.609193,3.581318,2.067565,4.485878,1.163005,,,,,,,,11.92542,12.331549,0.01846,0.978401,,,,,,3.03030303,,6803.296446,373.3078599,78.96897035,,,,2.392999102,126.8289524,,
169520_NVA_17-001.ILC2.RunDA_19T032516.02.czi,HighPlex FL v4.2.5_ILC2-Default,GerminalCenter,254728.4219,2848,1592,584,798,1282,274,369,215,583,310,488,,,,,,,,595,511,64,84,,,,,55.898876,20.505617,28.019663,45.014046,9.620787,12.956461,7.549157,20.470505,10.884831,17.134832,,,,,,,,20.891853,17.942415,2.247191,2.949438,,,,,,17.34417344,,5032.810986,1075.65539,1448.601602,,,,251.2479743,329.7629663,,
169521_NVA_17-001.ILC2.RunDA_19T034716.02.czi,HighPlex FL v4.2.5_ILC2-Default,GerminalCenter,627581.9375,9805,6689,3394,2465,4555,1260,367,1023,1442,1945,520,,,,,,,,368,911,3,128,,,,,68.220299,34.614994,25.140234,46.455891,12.850587,3.742988,10.433453,14.706782,19.836819,5.303417,,,,,,,,3.753187,9.291178,0.030597,1.305456,,,,,,0.817438692,,7258.016408,2007.705966,584.784198,,,,4.7802523,203.9574315,,
169522_NVA_17-001.ILC2.RunDA_19T041660.02.czi,HighPlex FL v4.2.5_ILC2-Default,GerminalCenter,717423.1875,8808,5757,1943,75,4308,494,8,7,68,67,8,,,,,,,,801,1577,1,168,,,,,65.361038,22.059492,0.851499,48.91008,5.608538,0.090827,0.079473,0.772025,0.760672,0.090827,,,,,,,,9.094006,17.904179,0.011353,1.907357,,,,,,12.5,,6004.824036,688.5754581,11.15101956,,,,1.393877446,234.1714109,,
169523_NVA_17-001.ILC2.RunDA_19T038508.01.czi,HighPlex FL v4.2.5_ILC2-Default,GerminalCenter,1103960.125,12242,7520,3689,1043,5172,1341,342,88,955,693,350,,,,,,,,753,2133,14,239,,,,,61.427872,30.133965,8.51985,42.247997,10.954092,2.793661,0.718837,7.801013,5.66084,2.85901,,,,,,,,6.150956,17.423624,0.11436,1.952295,,,,,,4.093567251,,4684.951823,1214.717787,309.793798,,,,12.68161746,216.4933267,,
169524_NVA_17-001.ILC3.RunDA_19T041899.07.czi,HighPlex FL v4.2.5_ILC3-Default,GerminalCenter,3032185.75,37224,24226,6935,1256,18594,1303,335,620,636,831,425,,,,,,,,,,,,566,31017,45,17,65.081665,18.630453,3.374167,49.951645,3.50043,0.899957,1.665592,1.708575,2.232431,1.141737,,,,,,,,,,,,1.520524,83.325272,0.12089,0.045669,,,13.43283582,6132.210073,429.7230142,110.4813582,,,,,,14.84077946,5.606516685
169525_NVA_17-001.ILC3.RunDA_19T053321.33.czi,HighPlex FL v4.2.5_ILC3-Default,GerminalCenter,3100334.5,44358,19243,2060,498,18125,942,249,44,454,237,261,,,,,,,,,,,,195,34064,9,11,43.381126,4.644032,1.122684,40.860725,2.123631,0.561342,0.099193,1.023491,0.534289,0.588394,,,,,,,,,,,,0.439605,76.793365,0.020289,0.024798,,,3.614457831,5846.143376,303.8381826,80.31391451,,,,,,2.902912573,3.548004256
169526_NVA_17-001.ILC3.RunDA_19T061175.02.czi,HighPlex FL v4.2.5_ILC3-Default,GerminalCenter,7232560,94453,47687,11047,3693,41308,4668,1770,428,3265,1816,1877,,,,,,,,,,,,762,61091,133,31,50.487545,11.695764,3.909881,43.733921,4.942141,1.873948,0.453135,3.456746,1.922649,1.987232,,,,,,,,,,,,0.80675,64.678726,0.140811,0.032821,,,7.514124294,5711.394029,645.414625,244.7266252,,,,,,18.38906279,4.286172531
169527_NVA_17-001.ILC3.RunDA_19T031219.21.czi,HighPlex FL v4.2.5_ILC3-Default,GerminalCenter,385362.6875,5134,3966,1209,221,2912,155,33,99,122,164,57,,,,,,,,,,,,58,3058,1,0,77.24971,23.548889,4.304636,56.719906,3.019089,0.642774,1.928321,2.376315,3.19439,1.110245,,,,,,,,,,,,1.129723,59.563694,0.019478,0,,,3.03030303,7556.51778,402.2184945,85.63361496,,,,,,2.594958029,0
169528_NVA_17-001.ILC3.RunDA_19T032516.02.czi,HighPlex FL v4.2.5_ILC3-Default,GerminalCenter,253073.375,2911,1336,445,622,1118,227,393,106,516,160,462,,,,,,,,,,,,93,2154,29,8,45.894882,15.286843,21.367228,38.406048,7.798007,13.500515,3.64136,17.725868,5.496393,15.870834,,,,,,,,,,,,3.194778,73.995193,0.996221,0.27482,,,7.37913486,4417.691114,896.9730617,1552.909309,,,,,,114.5912722,31.61138543
169529_NVA_17-001.ILC3.RunDA_19T034716.02.czi,HighPlex FL v4.2.5_ILC3-Default,GerminalCenter,664290.1875,10516,8074,2716,1944,6099,741,319,1117,827,1293,651,,,,,,,,,,,,117,1816,14,24,76.778244,25.827311,18.486116,57.997337,7.046405,3.033473,10.621909,7.864207,12.295549,6.190567,,,,,,,,,,,,1.11259,17.268923,0.13313,0.228224,,,4.388714734,9181.228497,1115.476359,480.2118201,,,,,,21.0751269,36.12878897
169530_NVA_17-001.ILC3.RunDA_19T041660.02.czi,HighPlex FL v4.2.5_ILC3-Default,GerminalCenter,717321.5625,9376,5720,1438,112,4715,433,30,26,86,67,45,,,,,,,,,,,,98,6065,3,6,61.006824,15.33703,1.194539,50.287968,4.618174,0.319966,0.277304,0.917235,0.71459,0.479949,,,,,,,,,,,,1.045222,64.686432,0.031997,0.063993,,,10,6573.063249,603.6344404,41.82224761,,,,,,4.182224761,8.364449521
169531_NVA_17-001.ILC3.RunDA_19T038508.01.czi,HighPlex FL v4.2.5_ILC3-Default,GerminalCenter,1116785.875,12031,5899,2425,1283,5012,1538,459,64,1219,805,478,,,,,,,,,,,,373,9004,58,127,49.03167,20.156263,10.664118,41.659046,12.783642,3.815144,0.531959,10.132158,6.691048,3.97307,,,,,,,,,,,,3.100324,74.839996,0.482088,1.055606,,,12.63616558,4487.879111,1377.166415,411.0009002,,,,,,51.93475428,113.7192033
