Image Tag,Algorithm Name,Analysis Region,Area Analyzed (μm²),Total Cells,CD20 Positive Cells,TCR-Alpha-Delta Positive Cells,IL7R Positive Cells,B-Cells:CD20+TCR- Cells,T-Cells:CD20-TCR+ Cells,Pool-ILCs:CD20-TCR-IL7R+ Cells,IL7R+CD20+ Cells,IL7R+CD20- Cells,IL7R+TCR+ Cells,IL7R+TCR- Cells,EOMES Positive Cells,TBX Positive Cells,ILC1:TBX+EOMES+CD20-TCR-IL7R+ Cells,ILC1:TBX+EOMES-CD20-TCR-IL7R+ Cells,ILC1s:TBX+EOMES+/-CD20-TCR-IL7R+ Positive Cells,NK/ILC1ie:TBX+EOMES+CD20-TCR-IL7R- Cells,T-Helper:CD20-TCR+TBX+EOMES+ Cells,GATA Positive Cells,ICOS Positive Cells,ILC2:GATA+ICOS+CD20-TCR-IL7R+ Cells,T-Helper:CD20-TCR+GATA+ICOS+ Cells,ROR-GammaT Positive Cells,AHR Positive Cells,ILC3:ROR+AHR+CD20-TCR-IL7R+ Cells,T-Helper:CD20-TCR+ROR+AHR+ Cells,% CD20 Positive Cells,% TCR-Alpha-Delta Positive Cells,% IL7R Positive Cells,% B-Cells:CD20+TCR- Positive Cells,% T-Cells:CD20-TCR+ Positive Cells,% Pool-ILCs:CD20-TCR-IL7R+ Positive Cells,% IL7R+CD20+ Positive Cells,% IL7R+CD20- Positive Cells,% IL7R+TCR+ Positive Cells,% IL7R+TCR- Positive Cells,% EOMES Positive Cells,% TBX Positive Cells,% ILC1:TBX+EOMES+CD20-TCR-IL7R+ Positive Cells,% ILC1:TBX+EOMES-CD20-TCR-IL7R+ Positive Cells,% ILC1s:TBX+EOMES+/-CD20-TCR-IL7R+ Positive Cells,% NK/ILC1ie:TBX+EOMES+CD20-TCR-IL7R- Positive Cells,% T-Helper:CD20-TCR+TBX+EOMES+ Positive Cells,% GATA Positive Cells,% ICOS Positive Cells,% ILC2:GATA+ICOS+CD20-TCR-IL7R+ Positive Cells,% T-Helper:CD20-TCR+GATA+ICOS+ Positive Cells,% ROR-GammaT Positive Cells,% AHR Positive Cells,% ILC3:ROR+AHR+CD20-TCR-IL7R+ Positive Cells,% T-Helper:CD20-TCR+ROR+AHR+ Positive Cells,%Pool-IL7R ILC1s:TBX+EOMES+/-CD20-TCR-IL7R+ Positive Cells,%Pool-IL7R ILC2:GATA+ICOS+CD20-TCR-IL7R+ Positive Cells,%Pool-IL7R ILC3:ROR+AHR+CD20-TCR-IL7R+ Positive Cells,B Cells - Density/mm²,T Cells - Density/mm²,Pool IL7R (Non B/T) - Density/mm²,NK/ILC1ie - Density/mm²,ILC1s - Density/mm²,TH1 - Density/mm²,ILC2 - Density/mm²,TH2 - Density/mm²,ILC3 - Density/mm²,TH17 - Density/mm²
169508_NVA_17-001.ILC1.RunDA_19T041899.07.czi,HighPlex FL v4.2.5_ILC1-Default,Layer 1,34652152,286277,59903,39105,46068,39991,19193,19570,12322,33746,23368,22700,1152,10482,165,2651,2816,57,111,,,,,,,,,20.924839,13.659847,16.092106,13.969337,6.704346,6.836036,4.304223,11.787884,8.162724,7.929383,0.402407,3.661489,0.057636,0.926026,0.983662,0.019911,0.038774,,,,,,,,,14.38937149,,,1154.069739,553.8761344,564.7556896,1.644919484,81.26479417,3.203264259,,,,
169509_NVA_17-001.ILC1.RunDA_19T053321.33.czi,HighPlex FL v4.2.5_ILC1-Default,Layer 1,18845212,240365,31404,39738,56381,27495,35829,25039,2356,54025,30598,25783,1443,7680,127,1297,1424,51,133,,,,,,,,,13.06513,16.532356,23.456409,11.438853,14.90608,10.417074,0.980176,22.476234,12.729807,10.726604,0.600337,3.195141,0.052836,0.539596,0.592432,0.021218,0.055333,,,,,,,,,5.68712808,,,1458.991281,1901.225627,1328.666401,2.706257696,75.56295997,7.057495559,,,,
169510_NVA_17-001.ILC1.RunDA_19T061175.02.czi,HighPlex FL v4.2.5_ILC1-Default,Layer 1,49659296,601440,94137,231905,295676,63227,200995,74266,31390,264286,210598,85078,14445,44362,1185,8059,9244,169,4414,,,,,,,,,15.651936,38.558292,49.161346,10.512603,33.418961,12.348031,5.219141,43.942204,35.015629,14.145717,2.401736,7.375964,0.197027,1.339951,1.536978,0.028099,0.733905,,,,,,,,,12.44714944,,,1273.215794,4047.479852,1495.510528,3.403189606,186.1484303,88.88567409,,,,
169511_NVA_17-001.ILC1.RunDA_19T031219.21.czi,HighPlex FL v4.2.5_ILC1-Default,Layer 1,20566308,157207,18980,24791,44175,11135,16946,22159,6194,37981,20583,23592,689,2071,34,836,870,7,35,,,,,,,,,12.073254,15.769654,28.099894,7.083018,10.779418,14.095428,3.940028,24.159866,13.092929,15.006966,0.438276,1.317371,0.021628,0.531783,0.553411,0.004453,0.022264,,,,,,,,,3.926169954,,,541.4194906,823.9689885,1077.441804,0.3403625,42.30219639,1.701812498,,,,
169512_NVA_17-001.ILC1.RunDA_19T032516.02.czi,HighPlex FL v4.2.5_ILC1-Default,Layer 1,8933202,67484,11056,7420,19135,8268,4632,12474,2907,16228,5164,13971,212,3068,57,1337,1394,3,20,,,,,,,,,16.383142,10.995199,28.35487,12.251793,6.863849,18.484381,4.307688,24.047182,7.652184,20.702684,0.314149,4.546263,0.084464,1.98121,2.065674,0.004445,0.029637,,,,,,,,,11.17524451,,,925.5359948,518.5150856,1396.363812,0.335825833,156.0470702,2.238838884,,,,
169513_NVA_17-001.ILC1.RunDA_19T034716.02.czi,HighPlex FL v4.2.5_ILC1-Default,Layer 1,39477304,366733,46213,81161,123700,24906,59854,46435,19517,104183,73008,50692,529,8455,209,3087,3296,14,46,,,,,,,,,12.601266,22.130814,33.730263,6.791317,16.320866,12.6618,5.321856,28.408405,19.907671,13.82259,0.144247,2.305492,0.05699,0.841757,0.898747,0.003817,0.012543,,,,,,,,,7.09809411,,,630.8941462,1516.162299,1176.24547,0.354634146,83.49101043,1.165226481,,,,
169514_NVA_17-001.ILC1.RunDA_19T041660.02.czi,HighPlex FL v4.2.5_ILC1-Default,Layer 1,40023304,244538,21268,19883,47251,16731,15346,29866,4924,42327,14987,32264,411,6338,80,2048,2128,11,45,,,,,,,,,8.697217,8.130842,19.322559,6.841881,6.275507,12.213235,2.013593,17.308966,6.1287,13.193859,0.168072,2.591826,0.032715,0.837498,0.870213,0.004498,0.018402,,,,,,,,,7.125159044,,,418.0314549,383.4266157,746.215255,0.274839878,53.16902373,1.124344957,,,,
169515_NVA_17-001.ILC1.RunDA_19T038508.01.czi,HighPlex FL v4.2.5_ILC1-Default,Layer 1,29019180,184665,7246,5212,10572,6177,4143,7611,437,10135,2761,7811,439,3381,103,1120,1223,11,8,,,,,,,,,3.923862,2.822408,5.724961,3.344976,2.243522,4.121517,0.236645,5.488317,1.49514,4.229822,0.237728,1.830883,0.055777,0.606504,0.662281,0.005957,0.004332,,,,,,,,,16.06884772,,,212.8592193,142.7676454,262.2748127,0.379059643,42.14454027,0.27567974,,,,
169516_NVA_17-001.ILC2.RunDA_19T041899.07.czi,HighPlex FL v4.2.5_ILC2-Default,Layer 1,34701416,280948,41882,37257,17044,26256,21631,5261,2236,14808,11595,5449,,,,,,,,25734,29230,167,6053,,,,,14.907385,13.261173,6.066603,9.345502,7.699289,1.872589,0.795877,5.270726,4.127098,1.939505,,,,,,,,9.159702,10.40406,0.059442,2.154491,,,,,,3.174301464,,756.6261849,623.3463211,151.6076462,,,,4.812483733,174.4309224,,
169517_NVA_17-001.ILC2.RunDA_19T053321.33.czi,HighPlex FL v4.2.5_ILC2-Default,Layer 1,18853840,236617,35528,42142,37108,29034,35648,12547,1170,35938,24422,12686,,,,,,,,14938,54348,792,6685,,,,,15.014982,17.810217,15.682728,12.270462,15.065697,5.302662,0.49447,15.188258,10.321321,5.361407,,,,,,,,6.313156,22.968763,0.334718,2.825241,,,,,,6.31226588,,1539.951543,1890.755411,665.4877733,,,,42.00735765,354.5696792,,
