"Image Location"|"Image Tag"|"Algorithm Name"|"Start Time"|"Job Id"|"Analysis Region"|"Analysis Inputs"|"TH1 Count"|"ILC1 Count"|"TH1 within 50μm of ILC1"|"% TH1 within 50μm of ILC1"|"Average Distance (μm) to ILC1"|"Number of Unique ILC1"|"Average number of TH1 within 50μm of ILC1"|"TH1 within 0-5μm of ILC1"|"TH1 within 5-10μm of ILC1"|"TH1 within 10-15μm of ILC1"|"TH1 within 15-20μm of ILC1"|"TH1 within 20-25μm of ILC1"|"TH1 within 25-30μm of ILC1"|"TH1 within 30-35μm of ILC1"|"TH1 within 35-40μm of ILC1"|"TH1 within 40-45μm of ILC1"|"TH1 within 45-50μm of ILC1"|"TH2 Count"|"TH2 within 50μm of ILC1"|"% TH2 within 50μm of ILC1"|"Average number of TH2 within 50μm of ILC1"|"TH2 within 0-5μm of ILC1"|"TH2 within 5-10μm of ILC1"|"TH2 within 10-15μm of ILC1"|"TH2 within 15-20μm of ILC1"|"TH2 within 20-25μm of ILC1"|"TH2 within 25-30μm of ILC1"|"TH2 within 30-35μm of ILC1"|"TH2 within 35-40μm of ILC1"|"TH2 within 40-45μm of ILC1"|"TH2 within 45-50μm of ILC1"|"TH17 Count"|"TH17 within 50μm of ILC1"|"% TH17 within 50μm of ILC1"|"Average number of TH17 within 50μm of ILC1"|"TH17 within 0-5μm of ILC1"|"TH17 within 5-10μm of ILC1"|"TH17 within 10-15μm of ILC1"|"TH17 within 15-20μm of ILC1"|"TH17 within 20-25μm of ILC1"|"TH17 within 25-30μm of ILC1"|"TH17 within 30-35μm of ILC1"|"TH17 within 35-40μm of ILC1"|"TH17 within 40-45μm of ILC1"|"TH17 within 45-50μm of ILC1"|"ILC2 Count"|"TH1 within 50μm of ILC2"|"% TH1 within 50μm of ILC2"|"Average Distance (μm) to ILC2"|"Number of Unique ILC2"|"Average number of TH1 within 50μm of ILC2"|"TH1 within 0-5μm of ILC2"|"TH1 within 5-10μm of ILC2"|"TH1 within 10-15μm of ILC2"|"TH1 within 15-20μm of ILC2"|"TH1 within 20-25μm of ILC2"|"TH1 within 25-30μm of ILC2"|"TH1 within 30-35μm of ILC2"|"TH1 within 35-40μm of ILC2"|"TH1 within 40-45μm of ILC2"|"TH1 within 45-50μm of ILC2"|"TH2 within 50μm of ILC2"|"% TH2 within 50μm of ILC2"|"Average number of TH2 within 50μm of ILC2"|"TH2 within 0-5μm of ILC2"|"TH2 within 5-10μm of ILC2"|"TH2 within 10-15μm of ILC2"|"TH2 within 15-20μm of ILC2"|"TH2 within 20-25μm of ILC2"|"TH2 within 25-30μm of ILC2"|"TH2 within 30-35μm of ILC2"|"TH2 within 35-40μm of ILC2"|"TH2 within 40-45μm of ILC2"|"TH2 within 45-50μm of ILC2"|"TH17 within 50μm of ILC2"|"% TH17 within 50μm of ILC2"|"Average number of TH17 within 50μm of ILC2"|"TH17 within 0-5μm of ILC2"|"TH17 within 5-10μm of ILC2"|"TH17 within 10-15μm of ILC2"|"TH17 within 15-20μm of ILC2"|"TH17 within 20-25μm of ILC2"|"TH17 within 25-30μm of ILC2"|"TH17 within 30-35μm of ILC2"|"TH17 within 35-40μm of ILC2"|"TH17 within 40-45μm of ILC2"|"TH17 within 45-50μm of ILC2"|"ILC3 Count"|"TH1 within 50μm of ILC3"|"% TH1 within 50μm of ILC3"|"Average Distance (μm) to ILC3"|"Number of Unique ILC3"|"Average number of TH1 within 50μm of ILC3"|"TH1 within 0-5μm of ILC3"|"TH1 within 5-10μm of ILC3"|"TH1 within 10-15μm of ILC3"|"TH1 within 15-20μm of ILC3"|"TH1 within 20-25μm of ILC3"|"TH1 within 25-30μm of ILC3"|"TH1 within 30-35μm of ILC3"|"TH1 within 35-40μm of ILC3"|"TH1 within 40-45μm of ILC3"|"TH1 within 45-50μm of ILC3"|"TH2 within 50μm of ILC3"|"% TH2 within 50μm of ILC3"|"Average number of TH2 within 50μm of ILC3"|"TH2 within 0-5μm of ILC3"|"TH2 within 5-10μm of ILC3"|"TH2 within 10-15μm of ILC3"|"TH2 within 15-20μm of ILC3"|"TH2 within 20-25μm of ILC3"|"TH2 within 25-30μm of ILC3"|"TH2 within 30-35μm of ILC3"|"TH2 within 35-40μm of ILC3"|"TH2 within 40-45μm of ILC3"|"TH2 within 45-50μm of ILC3"|"TH17 within 50μm of ILC3"|"% TH17 within 50μm of ILC3"|"Average number of TH17 within 50μm of ILC3"|"TH17 within 0-5μm of ILC3"|"TH17 within 5-10μm of ILC3"|"TH17 within 10-15μm of ILC3"|"TH17 within 15-20μm of ILC3"|"TH17 within 20-25μm of ILC3"|"TH17 within 25-30μm of ILC3"|"TH17 within 30-35μm of ILC3"|"TH17 within 35-40μm of ILC3"|"TH17 within 40-45μm of ILC3"|"TH17 within 45-50μm of ILC3"
"\\srvnas01.icr.local\anapath\Imagin_Data\VAN ACKER Nathalie\17-001.ILC1.RunDA\169508_NVA_17-001.ILC1.RunDA_19T041899.07.czi"|"169508_NVA_17-001.ILC1.RunDA_19T041899.07.czi"|"Proximity Analysis ILC1 & TH1"|"21/01/2025 13:59:04"|"99604"|"Layer 1"|"Proximity Analysis ILC1 & TH1:;Population:TH1;Within:50;Population 2:ILC1;Number of Bands:10;Store Object (Pair) Data:False;Generate Markup Image:False"|"111"|"2816"|"74"|"66,67"|"42,32"|"102"|"0,7254902"|"1"|"10"|"7"|"13"|"9"|"9"|"6"|"9"|"4"|"6"||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
"\\srvnas01.icr.local\anapath\Imagin_Data\VAN ACKER Nathalie\17-001.ILC1.RunDA\169508_NVA_17-001.ILC1.RunDA_19T041899.07.czi"|"169508_NVA_17-001.ILC1.RunDA_19T041899.07.czi"|"Proximity Analysis ILC1 & TH2"|"21/01/2025 13:59:46"|"99605"|"Layer 1"|"Proximity Analysis ILC1 & TH2:;Population:TH2;Within:50;Population 2:ILC1;Number of Bands:10;Store Object (Pair) Data:False;Generate Markup Image:False"||"2816"|||"68,24"|"938"||||||||||||"6053"|"2370"|"39,15"|"2,5266523"|"36"|"98"|"162"|"231"|"273"|"269"|"299"|"332"|"316"|"354"||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
"\\srvnas01.icr.local\anapath\Imagin_Data\VAN ACKER Nathalie\17-001.ILC1.RunDA\169508_NVA_17-001.ILC1.RunDA_19T041899.07.czi"|"169508_NVA_17-001.ILC1.RunDA_19T041899.07.czi"|"Proximity Analysis ILC1 & TH17"|"21/01/2025 14:00:26"|"99606"|"Layer 1"|"Proximity Analysis ILC1 & TH17:;Population:TH17;Within:50;Population 2:ILC1;Number of Bands:10;Store Object (Pair) Data:False;Generate Markup Image:False"||"2816"|||"55,54"|"575"||||||||||||||||||||||||||"1016"|"590"|"58,07"|"1,0260869"|"16"|"31"|"54"|"63"|"75"|"73"|"63"|"78"|"73"|"64"||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
"\\srvnas01.icr.local\anapath\Imagin_Data\VAN ACKER Nathalie\17-001.ILC1.RunDA\169508_NVA_17-001.ILC1.RunDA_19T041899.07.czi"|"169508_NVA_17-001.ILC1.RunDA_19T041899.07.czi"|"Proximity Analysis ILC2 & TH1"|"21/01/2025 14:01:31"|"99607"|"Layer 1"|"Proximity Analysis ILC2 & TH1:;Population:TH1;Within:50;Population 2:ILC2;Number of Bands:10;Store Object (Pair) Data:False;Generate Markup Image:False"|"111"|||||||||||||||||||||||||||||||||||||||||||||"167"|"20"|"18,02"|"216,25"|"64"|"0,3125"|"0"|"1"|"2"|"3"|"4"|"1"|"3"|"1"|"2"|"3"||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
"\\srvnas01.icr.local\anapath\Imagin_Data\VAN ACKER Nathalie\17-001.ILC1.RunDA\169508_NVA_17-001.ILC1.RunDA_19T041899.07.czi"|"169508_NVA_17-001.ILC1.RunDA_19T041899.07.czi"|"Proximity Analysis ILC2 & TH2"|"21/01/2025 14:02:26"|"99608"|"Layer 1"|"Proximity Analysis ILC2 & TH2:;Population:TH2;Within:50;Population 2:ILC2;Number of Bands:10;Store Object (Pair) Data:False;Generate Markup Image:False"||||||||||||||||||"6053"||||||||||||||||||||||||||||"167"|||"184,24"|"163"||||||||||||"1007"|"16,64"|"6,177914"|"7"|"76"|"84"|"97"|"106"|"120"|"131"|"132"|"128"|"126"|||||||||||||||||||||||||||||||||||||||||||||||||||||||
"\\srvnas01.icr.local\anapath\Imagin_Data\VAN ACKER Nathalie\17-001.ILC1.RunDA\169508_NVA_17-001.ILC1.RunDA_19T041899.07.czi"|"169508_NVA_17-001.ILC1.RunDA_19T041899.07.czi"|"Proximity Analysis ILC2 & TH17"|"21/01/2025 14:03:04"|"99610"|"Layer 1"|"Proximity Analysis ILC2 & TH17:;Population:TH17;Within:50;Population 2:ILC2;Number of Bands:10;Store Object (Pair) Data:False;Generate Markup Image:False"||||||||||||||||||||||||||||||||"1016"||||||||||||||"167"|||"299,17"|"127"|||||||||||||||||||||||||"131"|"12,89"|"1,031496"|"3"|"7"|"5"|"13"|"16"|"13"|"13"|"23"|"20"|"18"||||||||||||||||||||||||||||||||||||||||||
"\\srvnas01.icr.local\anapath\Imagin_Data\VAN ACKER Nathalie\17-001.ILC1.RunDA\169508_NVA_17-001.ILC1.RunDA_19T041899.07.czi"|"169508_NVA_17-001.ILC1.RunDA_19T041899.07.czi"|"Proximity Analysis ILC3 & TH1"|"21/01/2025 14:03:56"|"99611"|"Layer 1"|"Proximity Analysis ILC3 & TH1:;Population:TH1;Within:50;Population 2:ILC3;Number of Bands:10;Store Object (Pair) Data:False;Generate Markup Image:False"|"111"|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||"3738"|"75"|"67,57"|"45,39"|"99"|"0,75757575"|"7"|"7"|"7"|"9"|"9"|"7"|"10"|"9"|"5"|"5"||||||||||||||||||||||||||
"\\srvnas01.icr.local\anapath\Imagin_Data\VAN ACKER Nathalie\17-001.ILC1.RunDA\169508_NVA_17-001.ILC1.RunDA_19T041899.07.czi"|"169508_NVA_17-001.ILC1.RunDA_19T041899.07.czi"|"Proximity Analysis ILC3 & TH2"|"21/01/2025 14:04:48"|"99612"|"Layer 1"|"Proximity Analysis ILC3 & TH2:;Population:TH2;Within:50;Population 2:ILC3;Number of Bands:10;Store Object (Pair) Data:False;Generate Markup Image:False"||||||||||||||||||"6053"||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||"3738"|||"67,84"|"1028"||||||||||||"2701"|"44,62"|"2,6274319"|"58"|"200"|"236"|"289"|"343"|"318"|"333"|"323"|"299"|"302"|||||||||||||
"\\srvnas01.icr.local\anapath\Imagin_Data\VAN ACKER Nathalie\17-001.ILC1.RunDA\169508_NVA_17-001.ILC1.RunDA_19T041899.07.czi"|"169508_NVA_17-001.ILC1.RunDA_19T041899.07.czi"|"Proximity Analysis ILC3 & TH17"|"21/01/2025 14:06:05"|"99613"|"Layer 1"|"Proximity Analysis ILC3 & TH17:;Population:TH17;Within:50;Population 2:ILC3;Number of Bands:10;Store Object (Pair) Data:False;Generate Markup Image:False"||||||||||||||||||||||||||||||||"1016"||||||||||||||||||||||||||||||||||||||||||||||||||||||||"3738"|||"39"|"679"|||||||||||||||||||||||||"742"|"73,03"|"1,0927835"|"20"|"163"|"112"|"95"|"80"|"76"|"48"|"56"|"48"|"44"
"\\srvnas01.icr.local\anapath\Imagin_Data\VAN ACKER Nathalie\17-001.ILC1.RunDA\169509_NVA_17-001.ILC1.RunDA_19T053321.33.czi"|"169509_NVA_17-001.ILC1.RunDA_19T053321.33.czi"|"Proximity Analysis ILC1 & TH1"|"21/01/2025 13:47:52"|"99592"|"Layer 1"|"Proximity Analysis ILC1 & TH1:;Population:TH1;Within:50;Population 2:ILC1;Number of Bands:10;Store Object (Pair) Data:False;Generate Markup Image:False"|"133"|"1424"|"91"|"68,42"|"41,4"|"115"|"0,79130435"|"2"|"7"|"13"|"10"|"12"|"11"|"15"|"9"|"4"|"8"||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
