Image Tag,Algorithm Name,Analysis Region,% CD3 Positive Cells,% TCR-Alpha-Delta Positive Cells,% IL7R Positive Cells,% Early T-Cells:CD3+TCR- Positive Cells,% Mature T-Cells:CD3+TCR+ Positive Cells,% Pool-ILCs:CD3-TCR-IL7R+ Positive Cells,% IL7R+CD3+ Positive Cells,% IL7R+CD3- Positive Cells,% IL7R+TCR+ Positive Cells,% IL7R+TCR- Positive Cells,% EOMES Positive Cells,% TBX Positive Cells,% ILC1:TBX+EOMES+CD3-TCR-IL7R+ Positive Cells,% ILC1:TBX+EOMES-CD3-TCR-IL7R+ Positive Cells,% ILC1s:TBX+EOMES+/-CD3-TCR-IL7R+ Positive Cells,% NK/ILC1ie:TBX+EOMES+CD3-TCR-IL7R- Positive Cells,% T-Helper:CD3+TCR+TBX+EOMES+ Positive Cells,% Resting T ILC1-like:TBX+EOMES+CD3+TCR-IL7R+ Positive Cells,% Resting T ILC1-like:TBX+EOMES-CD3+TCR-IL7R+ Positive Cells,% Resting T ILC1s-like:TBX+EOMES+/-CD3+TCR-IL7R+ Positive Cells,% Resting T NK/ILC1ie-like:TBX+EOMES+CD3+TCR-IL7R- Positive Cells,% ROR-GammaT Positive Cells,% AHR Positive Cells,% ILC3:ROR+AHR+CD3-TCR-IL7R+ Positive Cells,% T-Helper:CD3+TCR+ROR+AHR+ Positive Cells,% Resting T ILC3-like:ROR+AHR+CD3+TCR-IL7R+ Positive Cells
173918_NVA_17-001.ILC3.RunDC.CD3_19T006813.10.czi,HighPlex FL v4.2.5_ILC3-Default,GC Excluded,7.91668,14.821897,12.828752,1.261194,6.655486,5.251664,2.59762,10.231132,7.52432,5.304431,,,,,,,,,,,,1.150957,28.357523,0.394972,0.07471,0.006269
173919_NVA_17-001.ILC3.RunDC.CD3_19T029473.01.czi,HighPlex FL v4.2.5_ILC3-Default,GC Excluded,4.66752,8.64204,10.555098,0.53064,4.13688,5.270949,1.9866,8.568498,5.198537,5.35656,,,,,,,,,,,,7.629412,78.446281,0.705069,0.23628,0.008486
173920_NVA_17-001.ILC3.RunDC.CD3_19T053799.30.czi,HighPlex FL v4.2.5_ILC3-Default,GC Excluded,5.759339,5.413707,12.376093,2.63224,3.127099,7.68288,2.583524,9.792569,4.132715,8.243379,,,,,,,,,,,,3.913233,51.016129,0.929207,0.460501,0.11692
173921_NVA_17-001.ILC3.RunDC.CD3_19T058771.01.czi,HighPlex FL v4.2.5_ILC3-Default,GC Excluded,7.283833,12.345617,14.415197,1.56437,5.719463,6.529299,2.88004,11.535157,7.6925,6.722697,,,,,,,,,,,,5.491697,76.15609,0.740475,0.720166,0.041242
173922_NVA_17-001.ILC3.RunDC.CD3_20T034660.04.czi,HighPlex FL v4.2.5_ILC3-Default,GC Excluded,17.26193,30.658648,26.109402,0.432012,16.829918,5.531258,11.249526,14.859876,20.542547,5.566855,,,,,,,,,,,,4.116565,78.188156,0.716789,0.88575,0.007186
173923_NVA_17-001.ILC3.RunDC.CD3_20T040991.01.czi,HighPlex FL v4.2.5_ILC3-Default,GC Excluded,15.816461,21.384575,32.356441,5.506411,10.31005,13.201953,10.264181,22.092262,16.885088,15.471354,,,,,,,,,,,,6.636197,87.918549,2.313086,0.443942,0.126139
173924_NVA_17-001.ILC3.RunDC.CD3_20T044736.01.czi,HighPlex FL v4.2.5_ILC3-Default,GC Excluded,7.141154,8.146807,9.700998,2.153962,4.987192,4.246533,3.398993,6.302005,4.632541,5.068457,,,,,,,,,,,,2.07358,84.557014,0.240261,0.321968,0.064924
173925_NVA_17-001.ILC3.RunDC.CD3_20T047891.01.czi,HighPlex FL v4.2.5_ILC3-Default,GC Excluded,9.355971,11.772173,13.63685,4.198198,5.157773,5.024999,3.12044,10.51641,8.478105,5.158746,,,,,,,,,,,,4.992899,59.998932,0.34677,0.562224,0.015077
193700_NVA_17-001.ILC1.RunDC.CD3_19T006813.10-Rescan.czi,HighPlex FL v4.2.5_ILC1-Default,GC Excluded,13.870378,6.602657,10.415452,7.540832,6.329545,6.63943,3.553138,6.862314,2.219422,8.196031,0.022871,0.13095,0.005382,0.037671,0.043053,0,0,0,0.003139,0.003139,0,,,,,
193701_NVA_17-001.ILC1.RunDC.CD3_19T029473.01.czi,HighPlex FL v4.2.5_ILC1-Default,GC Excluded,6.704624,4.918291,12.081645,2.366875,4.337749,8.197836,3.407515,8.67413,2.961787,9.119859,0.065468,1.464698,0.009353,0.348097,0.35745,0.005247,0.00479,0.000684,0.070714,0.071398,0.001825,,,,,
193702_NVA_17-001.ILC1.RunDC.CD3_19T053799.30.czi,HighPlex FL v4.2.5_ILC1-Default,GC Excluded,4.871823,2.128667,13.716323,3.037065,1.834758,10.482774,2.958145,10.758178,1.669842,12.046481,0.182333,1.438524,0.05987,0.547543,0.607413,0.00762,0.002177,0.000544,0.053339,0.053883,0.001089,,,,,
193703_NVA_17-001.ILC1.RunDC.CD3_19T058771.01.czi,HighPlex FL v4.2.5_ILC1-Default,GC Excluded,13.335078,9.854149,7.626124,4.181715,9.153362,2.743622,4.408314,3.21781,4.287251,3.338874,0.428179,6.577676,0.055787,0.31718,0.372967,0.099496,0.080805,0.004026,0.079079,0.083105,0.015528,,,,,
193704_NVA_17-001.ILC1.RunDC.CD3_20T034660.04.czi,HighPlex FL v4.2.5_ILC1-Default,GC Excluded,19.163397,22.459425,19.817621,1.433936,17.729462,6.5004,10.521482,9.296139,13.071817,6.745803,1.186116,4.599639,0.037554,0.460503,0.498057,0.029188,0.23964,0.005577,0.034394,0.039971,0.007251,,,,,
193705_NVA_17-001.ILC1.RunDC.CD3_20T040991.01.czi,HighPlex FL v4.2.5_ILC1-Default,GC Excluded,24.849152,21.97415,48.224876,7.577502,17.271648,22.379299,21.47637,26.748505,20.105963,28.118914,1.416291,11.913811,0.11687,3.559772,3.676642,0.012986,0.296071,0.102153,1.225836,1.327989,0.013851,,,,,
193706_NVA_17-001.ILC1.RunDC.CD3_20T044736.01.czi,HighPlex FL v4.2.5_ILC1-Default,GC Excluded,8.193151,4.79573,10.719639,3.828596,4.364556,6.085384,4.313451,6.406188,2.969685,7.749954,0.046811,1.497082,0.009019,0.356019,0.365038,0.004724,0.002577,0.000429,0.075584,0.076013,0,,,,,
193707_NVA_17-001.ILC1.RunDC.CD3_20T047891.01.czi,HighPlex FL v4.2.5_ILC1-Default,GC Excluded,6.858019,7.597274,23.976519,1.845482,5.012537,16.427624,5.091596,18.884922,6.579545,17.396973,0.121538,0.949881,0.01121,0.258415,0.269625,0,0.00649,0.00177,0.051329,0.053099,0.00059,,,,,
