Image Tag,Algorithm Name,Analysis Region,% CD3 Positive Cells,% TCR-Alpha-Delta Positive Cells,% IL7R Positive Cells,% Early T-Cells:CD3+TCR- Positive Cells,% Mature T-Cells:CD3+TCR+ Positive Cells,% Pool-ILCs:CD3-TCR-IL7R+ Positive Cells,% IL7R+CD3+ Positive Cells,% IL7R+CD3- Positive Cells,% IL7R+TCR+ Positive Cells,% IL7R+TCR- Positive Cells,% EOMES Positive Cells,% TBX Positive Cells,% ILC1:TBX+EOMES+CD3-TCR-IL7R+ Positive Cells,% ILC1:TBX+EOMES-CD3-TCR-IL7R+ Positive Cells,% ILC1s:TBX+EOMES+/-CD3-TCR-IL7R+ Positive Cells,% NK/ILC1ie:TBX+EOMES+CD3-TCR-IL7R- Positive Cells,% T-Helper:CD3+TCR+TBX+EOMES+ Positive Cells,% Resting T ILC1-like:TBX+EOMES+CD3+TCR-IL7R+ Positive Cells,% Resting T ILC1-like:TBX+EOMES-CD3+TCR-IL7R+ Positive Cells,% Resting T ILC1s-like:TBX+EOMES+/-CD3+TCR-IL7R+ Positive Cells,% Resting T NK/ILC1ie-like:TBX+EOMES+CD3+TCR-IL7R- Positive Cells,% ROR-GammaT Positive Cells,% AHR Positive Cells,% ILC3:ROR+AHR+CD3-TCR-IL7R+ Positive Cells,% T-Helper:CD3+TCR+ROR+AHR+ Positive Cells,% Resting T ILC3-like:ROR+AHR+CD3+TCR-IL7R+ Positive Cells
173918_NVA_17-001.ILC3.RunDC.CD3_19T006813.10.czi,HighPlex FL v4.2.5_ILC3-Default,GerminalCenter,6.381113,7.63833,0.548206,0.74556,5.635553,0.292376,0.087713,0.460493,0.255829,0.292376,,,,,,,,,,,,0.102332,58.716469,0.043856,0,0
173919_NVA_17-001.ILC3.RunDC.CD3_19T029473.01.czi,HighPlex FL v4.2.5_ILC3-Default,GerminalCenter,15.889364,29.157505,19.899317,1.03576,14.853605,4.773753,6.278209,13.621109,14.923041,4.976276,,,,,,,,,,,,2.314547,84.521469,0.514987,0.271959,0.005786
173920_NVA_17-001.ILC3.RunDC.CD3_19T053799.30.czi,HighPlex FL v4.2.5_ILC3-Default,GerminalCenter,22.269625,26.493174,33.959045,2.474403,19.795221,12.073379,16.211603,17.74744,21.16041,12.798635,,,,,,,,,,,,5.84471,68.131401,2.602389,1.535836,0.127986
173921_NVA_17-001.ILC3.RunDC.CD3_19T058771.01.czi,HighPlex FL v4.2.5_ILC3-Default,GerminalCenter,12.185305,26.667192,19.090837,0.449846,11.735459,5.477074,5.003551,14.087286,13.519059,5.571778,,,,,,,,,,,,3.180491,83.671379,0.765528,0.441954,0.023676
173922_NVA_17-001.ILC3.RunDC.CD3_20T034660.04.czi,HighPlex FL v4.2.5_ILC3-Default,GerminalCenter,10.339211,13.1664,2.603547,0.483479,9.855732,0.921713,0.884224,1.719324,1.671493,0.932054,,,,,,,,,,,,1.807229,91.449921,0.159005,0.228812,0
173923_NVA_17-001.ILC3.RunDC.CD3_20T040991.01.czi,HighPlex FL v4.2.5_ILC3-Default,GerminalCenter,8.38377,7.318987,2.499439,2.835687,5.548083,1.199283,0.941493,1.557947,0.907868,1.591571,,,,,,,,,,,,2.151984,96.704773,0.123291,0.145707,0.011208
173924_NVA_17-001.ILC3.RunDC.CD3_20T044736.01.czi,HighPlex FL v4.2.5_ILC3-Default,GerminalCenter,26.586853,29.320082,21.436638,5.782697,20.804157,4.065959,13.259543,8.177095,15.563587,5.873052,,,,,,,,,,,,3.275356,95.075668,1.084256,0.384007,0.203298
173925_NVA_17-001.ILC3.RunDC.CD3_20T047891.01.czi,HighPlex FL v4.2.5_ILC3-Default,GerminalCenter,33.031265,62.573627,52.74128,0.362483,32.668781,7.20435,24.0145,28.726778,45.491619,7.24966,,,,,,,,,,,,9.469869,84.186676,2.038967,2.40145,0.04531
193700_NVA_17-001.ILC1.RunDC.CD3_19T006813.10-Rescan.czi,HighPlex FL v4.2.5_ILC1-Default,GerminalCenter,10.01627,3.701444,1.789709,6.386008,3.630262,0.854179,0.905023,0.884686,0.538947,1.250763,0.030506,0.010169,0,0,0,0,0,0,0,0,0,,,,,
193701_NVA_17-001.ILC1.RunDC.CD3_19T029473.01.czi,HighPlex FL v4.2.5_ILC1-Default,GerminalCenter,25.792606,21.985325,17.388897,5.371729,20.420877,6.188564,10.092759,7.296137,9.995847,7.39305,0.373806,1.772117,0,0.193825,0.193825,0,0.041534,0.013845,0.041534,0.055379,0,,,,,
