Image Tag,Algorithm Name,Analysis Region,% CD3 Positive Cells,% TCR-Alpha-Delta Positive Cells,% IL7R Positive Cells,% Early T-Cells:CD3+TCR- Positive Cells,% Mature T-Cells:CD3+TCR+ Positive Cells,% Pool-ILCs:CD3-TCR-IL7R+ Positive Cells,% IL7R+CD3+ Positive Cells,% IL7R+CD3- Positive Cells,% IL7R+TCR+ Positive Cells,% IL7R+TCR- Positive Cells,% EOMES Positive Cells,% TBX Positive Cells,% ILC1:TBX+EOMES+CD3-TCR-IL7R+ Positive Cells,% ILC1:TBX+EOMES-CD3-TCR-IL7R+ Positive Cells,% ILC1s:TBX+EOMES+/-CD3-TCR-IL7R+ Positive Cells,% NK/ILC1ie:TBX+EOMES+CD3-TCR-IL7R- Positive Cells,% T-Helper:CD3+TCR+TBX+EOMES+ Positive Cells,% Resting T ILC1-like:TBX+EOMES+CD3+TCR-IL7R+ Positive Cells,% Resting T ILC1-like:TBX+EOMES-CD3+TCR-IL7R+ Positive Cells,% Resting T ILC1s-like:TBX+EOMES+/-CD3+TCR-IL7R+ Positive Cells,% Resting T NK/ILC1ie-like:TBX+EOMES+CD3+TCR-IL7R- Positive Cells,% ROR-GammaT Positive Cells,% AHR Positive Cells,% ILC3:ROR+AHR+CD3-TCR-IL7R+ Positive Cells,% T-Helper:CD3+TCR+ROR+AHR+ Positive Cells,% Resting T ILC3-like:ROR+AHR+CD3+TCR-IL7R+ Positive Cells
173918_NVA_17-001.ILC3.RunDC.CD3_19T006813.10.czi,HighPlex FL v4.2.5_ILC3-Default,Layer 1,7.813757,14.342206,12.009538,1.226796,6.586961,4.920351,2.430188,9.57935,7.039939,4.969598,,,,,,,,,,,,1.081005,30.380766,0.37155,0.069727,0.005851
173919_NVA_17-001.ILC3.RunDC.CD3_19T029473.01.czi,HighPlex FL v4.2.5_ILC3-Default,Layer 1,5.021485,9.289483,10.851426,0.54658,4.474905,5.254325,2.121307,8.73012,5.507983,5.343443,,,,,,,,,,,,7.461645,78.637184,0.699067,0.237223,0.0084
173920_NVA_17-001.ILC3.RunDC.CD3_19T053799.30.czi,HighPlex FL v4.2.5_ILC3-Default,Layer 1,5.955409,5.663035,12.633392,2.631366,3.324044,7.734989,2.74639,9.887003,4.335444,8.297948,,,,,,,,,,,,3.936154,51.218647,0.949075,0.473778,0.117051
173921_NVA_17-001.ILC3.RunDC.CD3_19T058771.01.czi,HighPlex FL v4.2.5_ILC3-Default,Layer 1,7.471366,12.893065,14.593508,1.521622,5.949744,6.488909,2.962099,11.631409,7.91496,6.678548,,,,,,,,,,,,5.403667,76.442657,0.741426,0.709569,0.040573
173922_NVA_17-001.ILC3.RunDC.CD3_20T034660.04.czi,HighPlex FL v4.2.5_ILC3-Default,Layer 1,16.470009,28.657244,23.418583,0.438356,16.031652,5.003056,10.063089,13.355493,18.382967,5.035614,,,,,,,,,,,,3.852113,79.704514,0.652946,0.810262,0.006364
173923_NVA_17-001.ILC3.RunDC.CD3_20T040991.01.czi,HighPlex FL v4.2.5_ILC3-Default,Layer 1,15.472452,20.730431,30.970419,5.383986,10.088466,12.645079,9.831243,21.139177,16.143108,14.827312,,,,,,,,,,,,6.42798,88.3255,2.211392,0.430094,0.120801
173924_NVA_17-001.ILC3.RunDC.CD3_20T044736.01.czi,HighPlex FL v4.2.5_ILC3-Default,Layer 1,7.512097,8.55264,9.924147,2.223608,5.288488,4.24318,3.586451,6.337696,4.840128,5.084019,,,,,,,,,,,,2.096681,84.759209,0.256454,0.323166,0.067579
173925_NVA_17-001.ILC3.RunDC.CD3_20T047891.01.czi,HighPlex FL v4.2.5_ILC3-Default,Layer 1,9.607399,12.311193,14.052613,4.157464,5.449935,5.049105,3.34185,10.710763,8.8707,5.181913,,,,,,,,,,,,5.040444,60.255798,0.36474,0.581756,0.015398
193700_NVA_17-001.ILC1.RunDC.CD3_19T006813.10-Rescan.czi,HighPlex FL v4.2.5_ILC1-Default,Layer 1,13.715491,6.485054,10.054733,7.49594,6.219551,6.394405,3.445091,6.609643,2.150228,7.904505,0.023199,0.125877,0.005155,0.036088,0.041243,0,0,0,0.003007,0.003007,0,,,,,
193701_NVA_17-001.ILC1.RunDC.CD3_19T029473.01.czi,HighPlex FL v4.2.5_ILC1-Default,Layer 1,7.013548,5.195362,12.168067,2.414673,4.598875,8.1668,3.514965,8.653102,3.076015,9.092052,0.070465,1.469674,0.009201,0.345594,0.354795,0.005161,0.005386,0.000898,0.070017,0.070915,0.001795,,,,,
193702_NVA_17-001.ILC1.RunDC.CD3_19T053799.30.czi,HighPlex FL v4.2.5_ILC1-Default,Layer 1,4.934619,2.172297,13.76819,3.057608,1.877012,10.494548,2.996814,10.771377,1.700058,12.068132,0.18401,1.43897,0.059708,0.546602,0.60631,0.007599,0.002171,0.000543,0.053737,0.05428,0.001086,,,,,
193703_NVA_17-001.ILC1.RunDC.CD3_19T058771.01.czi,HighPlex FL v4.2.5_ILC1-Default,Layer 1,13.791243,10.297399,7.709489,4.210081,9.581161,2.720309,4.512431,3.197058,4.39978,3.309709,0.437252,6.490913,0.054517,0.312085,0.366602,0.097353,0.082889,0.004172,0.077048,0.08122,0.015298,,,,,
193704_NVA_17-001.ILC1.RunDC.CD3_20T034660.04.czi,HighPlex FL v4.2.5_ILC1-Default,Layer 1,18.177505,21.092979,18.103151,1.426026,16.751478,5.973431,9.58989,8.513262,11.902115,6.201036,1.102365,4.24107,0.034317,0.420726,0.455043,0.027084,0.220372,0.005047,0.031121,0.036168,0.006897,,,,,
193705_NVA_17-001.ILC1.RunDC.CD3_20T040991.01.czi,HighPlex FL v4.2.5_ILC1-Default,Layer 1,22.965216,20.081701,45.012844,7.159657,15.805558,21.471235,19.588865,25.423979,18.209389,26.803453,1.363228,11.209885,0.104447,3.305945,3.410392,0.012379,0.28162,0.095163,1.114876,1.210039,0.013926,,,,,
193706_NVA_17-001.ILC1.RunDC.CD3_20T044736.01.czi,HighPlex FL v4.2.5_ILC1-Default,Layer 1,9.017608,5.410397,11.278306,4.076896,4.940712,6.12185,4.807236,6.47107,3.399442,7.878864,0.049529,1.501396,0.008814,0.357195,0.366009,0.004617,0.002938,0.00042,0.078491,0.078911,0,,,,,
193707_NVA_17-001.ILC1.RunDC.CD3_20T047891.01.czi,HighPlex FL v4.2.5_ILC1-Default,Layer 1,6.937717,7.698321,24.040134,1.84273,5.094987,16.437037,5.130255,18.90988,6.636767,17.403366,0.128139,0.953988,0.011168,0.26098,0.272148,0,0.006466,0.001763,0.051138,0.052901,0.000588,,,,,
