Image Tag,Algorithm Name,Analysis Region,Area Analyzed (µm²),Total Cells,CD3 Positive Cells,TCR-Alpha-Delta Positive Cells,IL7R Positive Cells,Early T-Cells:CD3+TCR- Cells,Mature T-Cells:CD3+TCR+ Cells,Pool-ILCs:CD3-TCR-IL7R+ Cells,IL7R+CD3+ Cells,IL7R+CD3- Cells,IL7R+TCR+ Cells,IL7R+TCR- Cells,EOMES Positive Cells,TBX Positive Cells,ILC1:TBX+EOMES+CD3-TCR-IL7R+ Cells,ILC1:TBX+EOMES-CD3-TCR-IL7R+ Cells,ILC1s:TBX+EOMES+/-CD3-TCR-IL7R+ Positive Cells,NK/ILC1ie:TBX+EOMES+CD3-TCR-IL7R- Cells,T-Helper:CD3+TCR+TBX+EOMES+ Cells,Resting T ILC1-like:TBX+EOMES+CD3+TCR-IL7R+ Cells,Resting T ILC1-like:TBX+EOMES-CD3+TCR-IL7R+ Cells,Resting T ILC1s-like:TBX+EOMES+/-CD3+TCR-IL7R+ Positive Cells,Resting T NK/ILC1ie-like:TBX+EOMES+CD3+TCR-IL7R- Cells,ROR-GammaT Positive Cells,AHR Positive Cells,ILC3:ROR+AHR+CD3-TCR-IL7R+ Cells,T-Helper:CD3+TCR+ROR+AHR+ Cells,Resting T ILC3-like:ROR+AHR+CD3+TCR-IL7R+ Cells,% CD3 Positive Cells,% TCR-Alpha-Delta Positive Cells,% IL7R Positive Cells,% Early T-Cells:CD3+TCR- Positive Cells,% Mature T-Cells:CD3+TCR+ Positive Cells,% Pool-ILCs:CD3-TCR-IL7R+ Positive Cells,% IL7R+CD3+ Positive Cells,% IL7R+CD3- Positive Cells,% IL7R+TCR+ Positive Cells,% IL7R+TCR- Positive Cells,% EOMES Positive Cells,% TBX Positive Cells,% ILC1:TBX+EOMES+CD3-TCR-IL7R+ Positive Cells,% ILC1:TBX+EOMES-CD3-TCR-IL7R+ Positive Cells,% ILC1s:TBX+EOMES+/-CD3-TCR-IL7R+ Positive Cells,% NK/ILC1ie:TBX+EOMES+CD3-TCR-IL7R- Positive Cells,% T-Helper:CD3+TCR+TBX+EOMES+ Positive Cells,% Resting T ILC1-like:TBX+EOMES+CD3+TCR-IL7R+ Positive Cells,% Resting T ILC1-like:TBX+EOMES-CD3+TCR-IL7R+ Positive Cells,% Resting T ILC1s-like:TBX+EOMES+/-CD3+TCR-IL7R+ Positive Cells,% Resting T NK/ILC1ie-like:TBX+EOMES+CD3+TCR-IL7R- Positive Cells,% ROR-GammaT Positive Cells,% AHR Positive Cells,% ILC3:ROR+AHR+CD3-TCR-IL7R+ Positive Cells,% T-Helper:CD3+TCR+ROR+AHR+ Positive Cells,% Resting T ILC3-like:ROR+AHR+CD3+TCR-IL7R+ Positive Cells,%Pool-IL7R ILC1s:TBX+EOMES+/-CD3-TCR-IL7R+ Positive Cells,%Pool-IL7R Resting T ILC1s-like:TBX+EOMES+/-CD3+TCR-IL7R+ Positive Cells,%Pool-IL7R ILC3:ROR+AHR+CD3-TCR-IL7R+ Positive Cells,%Pool-IL7R Resting T ILC3-like:ROR+AHR+CD3+TCR-IL7R+ Positive Cells,Early T-Cells - Density/mm²,Mature T-Cells - Density/mm²,Pool IL7R (Non T) - Density/mm²,NK/ILC1ie - Density/mm²,ILC1s - Density/mm²,TH1 - Density/mm²,Resting T NK/ILC1ie-like - Density/mm²,Resting T ILC1s-like - Density/mm²,ILC3 - Density/mm²,TH17 - Density/mm²,Resting T ILC3-like - Density/mm²
173918_NVA_17-001.ILC3.RunDC.CD3_19T006813.10.czi,HighPlex FL v4.2.5_ILC3-Default,GC Excluded,35509556,191406,15153,28370,24555,2414,12739,10052,4972,19583,14402,10153,,,,,,,,,,,,2203,54278,756,143,12,7.91668,14.821897,12.828752,1.261194,6.655486,5.251664,2.59762,10.231132,7.52432,5.304431,,,,,,,,,,,,1.150957,28.357523,0.394972,0.07471,0.006269,,,7.520891365,0.119379228,67.98170048,358.7485014,283.0787296,,,,,,21.29004373,4.027084991,0.337937202
173919_NVA_17-001.ILC3.RunDC.CD3_19T029473.01.czi,HighPlex FL v4.2.5_ILC3-Default,GC Excluded,127379496,530303,24752,45829,55974,2814,21938,27952,10535,45439,27568,28406,,,,,,,,,,,,40459,416003,3739,1253,45,4.66752,8.64204,10.555098,0.53064,4.13688,5.270949,1.9866,8.568498,5.198537,5.35656,,,,,,,,,,,,7.629412,78.446281,0.705069,0.23628,0.008486,,,13.37650258,0.160990269,22.09146753,172.2255205,219.4387706,,,,,,29.3532328,9.83674798,0.353275067
173920_NVA_17-001.ILC3.RunDC.CD3_19T053799.30.czi,HighPlex FL v4.2.5_ILC3-Default,GC Excluded,31317558,195005,11231,10557,24134,5133,6098,14982,5038,19096,8059,16075,,,,,,,,,,,,7631,99484,1812,898,228,5.759339,5.413707,12.376093,2.63224,3.127099,7.68288,2.583524,9.792569,4.132715,8.243379,,,,,,,,,,,,3.913233,51.016129,0.929207,0.460501,0.11692,,,12.09451342,1.521826191,163.9016682,194.7150541,478.3897902,,,,,,57.85891735,28.67401092,7.280261124
173921_NVA_17-001.ILC3.RunDC.CD3_19T058771.01.czi,HighPlex FL v4.2.5_ILC3-Default,GC Excluded,56682984,320065,23313,39514,46138,5007,18306,20898,9218,36920,24621,21517,,,,,,,,,,,,17577,243749,2370,2305,132,7.283833,12.345617,14.415197,1.56437,5.719463,6.529299,2.88004,11.535157,7.6925,6.722697,,,,,,,,,,,,5.491697,76.15609,0.740475,0.720166,0.041242,,,11.34079816,0.631639391,88.33338767,322.9540633,368.6820722,,,,,,41.81148967,40.66476105,2.328741197
173922_NVA_17-001.ILC3.RunDC.CD3_20T034660.04.czi,HighPlex FL v4.2.5_ILC3-Default,GC Excluded,57216868,598363,103289,183450,156229,2585,100704,33097,67313,88916,122919,33310,,,,,,,,,,,,24632,467849,4289,5300,43,17.26193,30.658648,26.109402,0.432012,16.829918,5.531258,11.249526,14.859876,20.542547,5.566855,,,,,,,,,,,,4.116565,78.188156,0.716789,0.88575,0.007186,,,12.95887845,0.129921141,45.17898463,1760.040413,578.4482995,,,,,,74.96041202,92.63002652,0.75152663
173923_NVA_17-001.ILC3.RunDC.CD3_20T040991.01.czi,HighPlex FL v4.2.5_ILC3-Default,GC Excluded,21209398,183132,28965,39162,59255,10084,18881,24177,18797,40458,30922,28333,,,,,,,,,,,,12153,161007,4236,813,231,15.816461,21.384575,32.356441,5.506411,10.31005,13.201953,10.264181,22.092262,16.885088,15.471354,,,,,,,,,,,,6.636197,87.918549,2.313086,0.443942,0.126139,,,17.52078422,0.95545353,475.4496096,890.218572,1139.9192,,,,,,199.7227833,38.33206393,10.89139824
173924_NVA_17-001.ILC3.RunDC.CD3_20T044736.01.czi,HighPlex FL v4.2.5_ILC3-Default,GC Excluded,33887020,226420,16169,18446,21965,4877,11292,9615,7696,14269,10489,11476,,,,,,,,,,,,4695,191454,544,729,147,7.141154,8.146807,9.700998,2.153962,4.987192,4.246533,3.398993,6.302005,4.632541,5.068457,,,,,,,,,,,,2.07358,84.557014,0.240261,0.321968,0.064924,,,5.657826313,1.528861154,143.9194122,333.2249339,283.7369589,,,,,,16.05334432,21.51266178,4.337944145
173925_NVA_17-001.ILC3.RunDC.CD3_20T047891.01.czi,HighPlex FL v4.2.5_ILC3-Default,GC Excluded,43083868,205612,19237,24205,28039,8632,10605,10332,6416,21623,17432,10607,,,,,,,,,,,,10266,123365,713,1156,31,9.355971,11.772173,13.63685,4.198198,5.157773,5.024999,3.12044,10.51641,8.478105,5.158746,,,,,,,,,,,,4.992899,59.998932,0.34677,0.562224,0.015077,,,6.900890437,0.300038715,200.353413,246.1478157,239.8113373,,,,,,16.54911764,26.83138849,0.719526854
193700_NVA_17-001.ILC1.RunDC.CD3_19T006813.10-Rescan.czi,HighPlex FL v4.2.5_ILC1-Default,GC Excluded,35575160,222986,30929,14723,23225,16815,14114,14805,7923,15302,4949,18276,51,292,12,84,96,0,0,0,7,7,0,,,,,,13.870378,6.602657,10.415452,7.540832,6.329545,6.63943,3.553138,6.862314,2.219422,8.196031,0.022871,0.13095,0.005382,0.037671,0.043053,0,0,0,0.003139,0.003139,0,,,,,,0.648429585,0.047281324,,,472.6612614,396.7374989,416.1611641,0,2.698512108,0,0,0.196766508,,,
193701_NVA_17-001.ILC1.RunDC.CD3_19T029473.01.czi,HighPlex FL v4.2.5_ILC1-Default,GC Excluded,112199960,438384,29392,21561,52964,10376,19016,35938,14938,38026,12984,39980,287,6421,41,1526,1567,23,21,3,310,313,8,,,,,,6.704624,4.918291,12.081645,2.366875,4.337749,8.197836,3.407515,8.67413,2.961787,9.119859,0.065468,1.464698,0.009353,0.348097,0.35745,0.005247,0.00479,0.000684,0.070714,0.071398,0.001825,,,,,,4.360287161,0.870944404,,,92.47775133,169.4831264,320.3031445,0.20499116,13.96613689,0.187165842,0.071301273,2.789662314,,,
