Image Tag,Algorithm Name,Analysis Region,Area Analyzed (µm²),Total Cells,CD3 Positive Cells,TCR-Alpha-Delta Positive Cells,IL7R Positive Cells,Early T-Cells:CD3+TCR- Cells,Mature T-Cells:CD3+TCR+ Cells,Pool-ILCs:CD3-TCR-IL7R+ Cells,IL7R+CD3+ Cells,IL7R+CD3- Cells,IL7R+TCR+ Cells,IL7R+TCR- Cells,EOMES Positive Cells,TBX Positive Cells,ILC1:TBX+EOMES+CD3-TCR-IL7R+ Cells,ILC1:TBX+EOMES-CD3-TCR-IL7R+ Cells,ILC1s:TBX+EOMES+/-CD3-TCR-IL7R+ Positive Cells,NK/ILC1ie:TBX+EOMES+CD3-TCR-IL7R- Cells,T-Helper:CD3+TCR+TBX+EOMES+ Cells,Resting T ILC1-like:TBX+EOMES+CD3+TCR-IL7R+ Cells,Resting T ILC1-like:TBX+EOMES-CD3+TCR-IL7R+ Cells,Resting T ILC1s-like:TBX+EOMES+/-CD3+TCR-IL7R+ Positive Cells,Resting T NK/ILC1ie-like:TBX+EOMES+CD3+TCR-IL7R- Cells,ROR-GammaT Positive Cells,AHR Positive Cells,ILC3:ROR+AHR+CD3-TCR-IL7R+ Cells,T-Helper:CD3+TCR+ROR+AHR+ Cells,Resting T ILC3-like:ROR+AHR+CD3+TCR-IL7R+ Cells,% CD3 Positive Cells,% TCR-Alpha-Delta Positive Cells,% IL7R Positive Cells,% Early T-Cells:CD3+TCR- Positive Cells,% Mature T-Cells:CD3+TCR+ Positive Cells,% Pool-ILCs:CD3-TCR-IL7R+ Positive Cells,% IL7R+CD3+ Positive Cells,% IL7R+CD3- Positive Cells,% IL7R+TCR+ Positive Cells,% IL7R+TCR- Positive Cells,% EOMES Positive Cells,% TBX Positive Cells,% ILC1:TBX+EOMES+CD3-TCR-IL7R+ Positive Cells,% ILC1:TBX+EOMES-CD3-TCR-IL7R+ Positive Cells,% ILC1s:TBX+EOMES+/-CD3-TCR-IL7R+ Positive Cells,% NK/ILC1ie:TBX+EOMES+CD3-TCR-IL7R- Positive Cells,% T-Helper:CD3+TCR+TBX+EOMES+ Positive Cells,% Resting T ILC1-like:TBX+EOMES+CD3+TCR-IL7R+ Positive Cells,% Resting T ILC1-like:TBX+EOMES-CD3+TCR-IL7R+ Positive Cells,% Resting T ILC1s-like:TBX+EOMES+/-CD3+TCR-IL7R+ Positive Cells,% Resting T NK/ILC1ie-like:TBX+EOMES+CD3+TCR-IL7R- Positive Cells,% ROR-GammaT Positive Cells,% AHR Positive Cells,% ILC3:ROR+AHR+CD3-TCR-IL7R+ Positive Cells,% T-Helper:CD3+TCR+ROR+AHR+ Positive Cells,% Resting T ILC3-like:ROR+AHR+CD3+TCR-IL7R+ Positive Cells,%Pool-IL7R ILC1s:TBX+EOMES+/-CD3-TCR-IL7R+ Positive Cells,%Pool-IL7R Resting T ILC1s-like:TBX+EOMES+/-CD3+TCR-IL7R+ Positive Cells,%Pool-IL7R ILC3:ROR+AHR+CD3-TCR-IL7R+ Positive Cells,%Pool-IL7R Resting T ILC3-like:ROR+AHR+CD3+TCR-IL7R+ Positive Cells,Early T-Cells - Density/mm²,Mature T-Cells - Density/mm²,Pool IL7R (Non T) - Density/mm²,NK/ILC1ie - Density/mm²,ILC1s - Density/mm²,TH1 - Density/mm²,Resting T NK/ILC1ie-like - Density/mm²,Resting T ILC1s-like - Density/mm²,ILC3 - Density/mm²,TH17 - Density/mm²,Resting T ILC3-like - Density/mm²
173918_NVA_17-001.ILC3.RunDC.CD3_19T006813.10.czi,HighPlex FL v4.2.5_ILC3-Default,GerminalCenter,1228359.875,13681,873,1045,75,102,771,40,12,63,35,40,,,,,,,,,,,,14,8033,6,0,0,6.381113,7.63833,0.548206,0.74556,5.635553,0.292376,0.087713,0.460493,0.255829,0.292376,,,,,,,,,,,,0.102332,58.716469,0.043856,0,0,,,15,0,83.03755445,627.6662204,32.56374684,,,,,,4.884562026,0,0
173919_NVA_17-001.ILC3.RunDC.CD3_19T029473.01.czi,HighPlex FL v4.2.5_ILC3-Default,GerminalCenter,1471506.625,17282,2746,5039,3439,179,2567,825,1085,2354,2579,860,,,,,,,,,,,,400,14607,89,47,1,15.889364,29.157505,19.899317,1.03576,14.853605,4.773753,6.278209,13.621109,14.923041,4.976276,,,,,,,,,,,,2.314547,84.521469,0.514987,0.271959,0.005786,,,10.78787879,0.121212121,121.6440327,1744.470569,560.6498714,,,,,,60.48222855,31.94005328,0.679575602
173920_NVA_17-001.ILC3.RunDC.CD3_19T053799.30.czi,HighPlex FL v4.2.5_ILC3-Default,GerminalCenter,168192.5,2344,522,621,796,58,464,283,380,416,496,300,,,,,,,,,,,,137,1597,61,36,3,22.269625,26.493174,33.959045,2.474403,19.795221,12.073379,16.211603,17.74744,21.16041,12.798635,,,,,,,,,,,,5.84471,68.131401,2.602389,1.535836,0.127986,,,21.55477032,1.060070671,344.8429627,2758.743701,1682.595835,,,,,,362.6796676,214.0404596,17.83670497
173921_NVA_17-001.ILC3.RunDC.CD3_19T058771.01.czi,HighPlex FL v4.2.5_ILC3-Default,GerminalCenter,1099032,12671,1544,3379,2419,57,1487,694,634,1785,1713,706,,,,,,,,,,,,403,10602,97,56,3,12.185305,26.667192,19.090837,0.449846,11.735459,5.477074,5.003551,14.087286,13.519059,5.571778,,,,,,,,,,,,3.180491,83.671379,0.765528,0.441954,0.023676,,,13.97694524,0.432276657,51.86382198,1353.00883,631.4647799,,,,,,88.25948653,50.95393037,2.729674841
173922_NVA_17-001.ILC3.RunDC.CD3_20T034660.04.czi,HighPlex FL v4.2.5_ILC3-Default,GerminalCenter,6439345.5,77356,7998,10185,2014,374,7624,713,684,1330,1293,721,,,,,,,,,,,,1398,70742,123,177,0,10.339211,13.1664,2.603547,0.483479,9.855732,0.921713,0.884224,1.719324,1.671493,0.932054,,,,,,,,,,,,1.807229,91.449921,0.159005,0.228812,0,,,17.25105189,0,58.0804369,1183.971259,110.7255388,,,,,,19.10132016,27.48726559,0
173923_NVA_17-001.ILC3.RunDC.CD3_20T040991.01.czi,HighPlex FL v4.2.5_ILC3-Default,GerminalCenter,681937.3125,8922,748,653,223,253,495,107,84,139,81,142,,,,,,,,,,,,192,8628,11,13,1,8.38377,7.318987,2.499439,2.835687,5.548083,1.199283,0.941493,1.557947,0.907868,1.591571,,,,,,,,,,,,2.151984,96.704773,0.123291,0.145707,0.011208,,,10.28037383,0.934579439,371.0018434,725.8731718,156.9059179,,,,,,16.13051493,19.06333583,1.466410448
173924_NVA_17-001.ILC3.RunDC.CD3_20T044736.01.czi,HighPlex FL v4.2.5_ILC3-Default,GerminalCenter,332934.2188,4427,1177,1298,949,256,921,180,587,362,689,260,,,,,,,,,,,,145,4209,48,17,9,26.586853,29.320082,21.436638,5.782697,20.804157,4.065959,13.259543,8.177095,15.563587,5.873052,,,,,,,,,,,,3.275356,95.075668,1.084256,0.384007,0.203298,,,26.66666667,5,768.9206623,2766.312227,540.6473407,,,,,,144.1726242,51.06113773,27.03236704
173925_NVA_17-001.ILC3.RunDC.CD3_20T047891.01.czi,HighPlex FL v4.2.5_ILC3-Default,GerminalCenter,224359.125,2207,729,1381,1164,8,721,159,530,634,1004,160,,,,,,,,,,,,209,1858,45,53,1,33.031265,62.573627,52.74128,0.362483,32.668781,7.20435,24.0145,28.726778,45.491619,7.24966,,,,,,,,,,,,9.469869,84.186676,2.038967,2.40145,0.04531,,,28.30188679,0.628930818,35.65711892,3213.597842,708.6852385,,,,,,200.5712939,236.2284128,4.457139864
193700_NVA_17-001.ILC1.RunDC.CD3_19T006813.10-Rescan.czi,HighPlex FL v4.2.5_ILC1-Default,GerminalCenter,820465.625,9834,985,364,176,628,357,84,89,87,53,123,3,1,0,0,0,0,0,0,0,0,0,,,,,,10.01627,3.701444,1.789709,6.386008,3.630262,0.854179,0.905023,0.884686,0.538947,1.250763,0.030506,0.010169,0,0,0,0,0,0,0,0,0,,,,,,0,0,,,765.4190265,435.1187778,102.3808889,0,0,0,0,0,,,
193701_NVA_17-001.ILC1.RunDC.CD3_19T029473.01.czi,HighPlex FL v4.2.5_ILC1-Default,GerminalCenter,598669.125,7223,1863,1588,1256,388,1475,447,729,527,722,534,27,128,0,14,14,0,3,1,3,4,0,,,,,,25.792606,21.985325,17.388897,5.371729,20.420877,6.188564,10.092759,7.296137,9.995847,7.39305,0.373806,1.772117,0,0.193825,0.193825,0,0.041534,0.013845,0.041534,0.055379,0,,,,,,3.131991051,0.894854586,,,648.1042429,2463.798346,746.6561767,0,23.38520464,5.01111528,0,6.68148704,,,
193702_NVA_17-001.ILC1.RunDC.CD3_19T053799.30.czi,HighPlex FL v4.2.5_ILC1-Default,GerminalCenter,36008.23047,499,141,92,165,54,87,75,86,79,64,101,4,8,0,1,1,0,0,0,1,1,0,,,,,,28.256514,18.436874,33.066132,10.821643,17.43487,15.03006,17.234468,15.831663,12.825651,20.24048,0.801603,1.603206,0,0.200401,0.200401,0,0,0,0.200401,0.200401,0,,,,,,1.333333333,1.333333333,,,1499.657142,2416.114285,2082.857142,0,27.77142856,0,0,27.77142856,,,
193703_NVA_17-001.ILC1.RunDC.CD3_19T058771.01.czi,HighPlex FL v4.2.5_ILC1-Default,GerminalCenter,880674.25,11771,3211,2752,1196,592,2619,240,893,303,908,288,83,462,2,19,21,4,17,1,2,3,1,,,,,,27.278906,23.379492,10.160564,5.029309,22.249596,2.038909,7.586441,2.574123,7.713873,2.446691,0.705123,3.9249,0.016991,0.161414,0.178405,0.033982,0.144423,0.008495,0.016991,0.025486,0.008495,,,,,,8.75,1.25,,,672.2122283,2973.857814,272.5184709,4.541974516,23.84536621,19.30339169,1.135493629,3.406480887,,,
193704_NVA_17-001.ILC1.RunDC.CD3_20T034660.04.czi,HighPlex FL v4.2.5_ILC1-Default,GerminalCenter,4662655.5,56551,4978,4570,1022,768,4210,548,417,605,439,583,173,470,2,23,25,4,21,0,1,1,2,,,,,,8.802673,8.081201,1.807218,1.358066,7.444608,0.969037,0.737387,1.069831,0.77629,1.030928,0.305919,0.831108,0.003537,0.040671,0.044208,0.007073,0.037135,0,0.001768,0.001768,0.003537,,,,,,4.562043796,0.182481752,,,164.7130053,902.9189482,117.5295923,0.857880236,5.361751474,4.503871238,0.428940118,0.214470059,,,
193705_NVA_17-001.ILC1.RunDC.CD3_20T040991.01.czi,HighPlex FL v4.2.5_ILC1-Default,GerminalCenter,952098.5625,13740,976,574,2467,497,479,1896,509,1958,312,2155,126,724,0,160,160,1,22,5,26,31,2,,,,,,7.103348,4.177584,17.954876,3.617176,3.486172,13.799127,3.704512,14.250364,2.270742,15.684134,0.917031,5.269287,0,1.164483,1.164483,0.007278,0.160116,0.03639,0.189229,0.225619,0.014556,,,,,,8.438818565,1.635021097,,,522.0047793,503.0991736,1991.390466,1.050311427,168.0498283,23.1068514,2.100622854,32.55965424,,,
193706_NVA_17-001.ILC1.RunDC.CD3_20T044736.01.czi,HighPlex FL v4.2.5_ILC1-Default,GerminalCenter,434294.9688,5390,2405,1726,1907,794,1611,415,1406,501,1187,720,9,91,0,22,22,0,1,0,11,11,0,,,,,,44.619667,32.022263,35.380333,14.730984,29.888683,7.699443,26.085342,9.294991,22.022263,13.35807,0.166976,1.688312,0,0.408163,0.408163,0,0.018553,0,0.204082,0.204082,0,,,,,,5.301204819,2.65060241,,,1828.250514,3709.460426,955.5717424,0,50.65681526,2.302582512,0,25.32840763,,,
193707_NVA_17-001.ILC1.RunDC.CD3_20T047891.01.czi,HighPlex FL v4.2.5_ILC1-Default,GerminalCenter,48584.50781,633,179,220,260,7,172,120,98,162,139,121,12,13,0,6,6,0,0,0,0,0,0,,,,,,28.278042,34.755135,41.074249,1.105845,27.172195,18.957346,15.481833,25.592417,21.958925,19.115324,1.895735,2.053712,0,0.947867,0.947867,0,0,0,0,0,0,,,,,,5,0,,,144.0788497,3540.223165,2469.923138,0,123.4961569,0,0,0,,,
