Image Tag,Algorithm Name,Analysis Region,Area Analyzed (µm²),Total Cells,CD3 Positive Cells,TCR-Alpha-Delta Positive Cells,IL7R Positive Cells,Early T-Cells:CD3+TCR- Cells,Mature T-Cells:CD3+TCR+ Cells,Pool-ILCs:CD3-TCR-IL7R+ Cells,IL7R+CD3+ Cells,IL7R+CD3- Cells,IL7R+TCR+ Cells,IL7R+TCR- Cells,EOMES Positive Cells,TBX Positive Cells,ILC1:TBX+EOMES+CD3-TCR-IL7R+ Cells,ILC1:TBX+EOMES-CD3-TCR-IL7R+ Cells,ILC1s:TBX+EOMES+/-CD3-TCR-IL7R+ Positive Cells,NK/ILC1ie:TBX+EOMES+CD3-TCR-IL7R- Cells,T-Helper:CD3+TCR+TBX+EOMES+ Cells,Resting T ILC1-like:TBX+EOMES+CD3+TCR-IL7R+ Cells,Resting T ILC1-like:TBX+EOMES-CD3+TCR-IL7R+ Cells,Resting T ILC1s-like:TBX+EOMES+/-CD3+TCR-IL7R+ Positive Cells,Resting T NK/ILC1ie-like:TBX+EOMES+CD3+TCR-IL7R- Cells,ROR-GammaT Positive Cells,AHR Positive Cells,ILC3:ROR+AHR+CD3-TCR-IL7R+ Cells,T-Helper:CD3+TCR+ROR+AHR+ Cells,Resting T ILC3-like:ROR+AHR+CD3+TCR-IL7R+ Cells,% CD3 Positive Cells,% TCR-Alpha-Delta Positive Cells,% IL7R Positive Cells,% Early T-Cells:CD3+TCR- Positive Cells,% Mature T-Cells:CD3+TCR+ Positive Cells,% Pool-ILCs:CD3-TCR-IL7R+ Positive Cells,% IL7R+CD3+ Positive Cells,% IL7R+CD3- Positive Cells,% IL7R+TCR+ Positive Cells,% IL7R+TCR- Positive Cells,% EOMES Positive Cells,% TBX Positive Cells,% ILC1:TBX+EOMES+CD3-TCR-IL7R+ Positive Cells,% ILC1:TBX+EOMES-CD3-TCR-IL7R+ Positive Cells,% ILC1s:TBX+EOMES+/-CD3-TCR-IL7R+ Positive Cells,% NK/ILC1ie:TBX+EOMES+CD3-TCR-IL7R- Positive Cells,% T-Helper:CD3+TCR+TBX+EOMES+ Positive Cells,% Resting T ILC1-like:TBX+EOMES+CD3+TCR-IL7R+ Positive Cells,% Resting T ILC1-like:TBX+EOMES-CD3+TCR-IL7R+ Positive Cells,% Resting T ILC1s-like:TBX+EOMES+/-CD3+TCR-IL7R+ Positive Cells,% Resting T NK/ILC1ie-like:TBX+EOMES+CD3+TCR-IL7R- Positive Cells,% ROR-GammaT Positive Cells,% AHR Positive Cells,% ILC3:ROR+AHR+CD3-TCR-IL7R+ Positive Cells,% T-Helper:CD3+TCR+ROR+AHR+ Positive Cells,% Resting T ILC3-like:ROR+AHR+CD3+TCR-IL7R+ Positive Cells,%Pool-IL7R ILC1s:TBX+EOMES+/-CD3-TCR-IL7R+ Positive Cells,%Pool-IL7R Resting T ILC1s-like:TBX+EOMES+/-CD3+TCR-IL7R+ Positive Cells,%Pool-IL7R ILC3:ROR+AHR+CD3-TCR-IL7R+ Positive Cells,%Pool-IL7R Resting T ILC3-like:ROR+AHR+CD3+TCR-IL7R+ Positive Cells,Early T-Cells - Density/mm²,Mature T-Cells - Density/mm²,Pool IL7R (Non T) - Density/mm²,NK/ILC1ie - Density/mm²,ILC1s - Density/mm²,TH1 - Density/mm²,Resting T NK/ILC1ie-like - Density/mm²,Resting T ILC1s-like - Density/mm²,ILC3 - Density/mm²,TH17 - Density/mm²,Resting T ILC3-like - Density/mm²
173918_NVA_17-001.ILC3.RunDC.CD3_19T006813.10.czi,HighPlex FL v4.2.5_ILC3-Default,Layer 1,36737944,205087,16025,29414,24630,2516,13509,10091,4984,19646,14438,10192,,,,,,,,,,,,2217,62307,762,143,12,7.813757,14.342206,12.009538,1.226796,6.586961,4.920351,2.430188,9.57935,7.039939,4.969598,,,,,,,,,,,,1.081005,30.380766,0.37155,0.069727,0.005851,,,7.551283322,0.118917848,68.48505186,367.7124664,274.6751424,,,,,,20.74149822,3.892433393,0.326637767
173919_NVA_17-001.ILC3.RunDC.CD3_19T029473.01.czi,HighPlex FL v4.2.5_ILC3-Default,Layer 1,128851040,547587,27497,50868,59421,2993,24504,28772,11616,47805,30161,29260,,,,,,,,,,,,40859,430607,3828,1299,46,5.021485,9.289483,10.851426,0.54658,4.474905,5.254325,2.121307,8.73012,5.507983,5.343443,,,,,,,,,,,,7.461645,78.637184,0.699067,0.237223,0.0084,,,13.3046017,0.159877659,23.22837286,190.1730867,223.2966067,,,,,,29.70872412,10.08140873,0.357001387
173920_NVA_17-001.ILC3.RunDC.CD3_19T053799.30.czi,HighPlex FL v4.2.5_ILC3-Default,Layer 1,31485770,197350,11753,11176,24932,5193,6560,15265,5420,19512,8556,16376,,,,,,,,,,,,7768,101080,1873,935,231,5.955409,5.663035,12.633392,2.631366,3.324044,7.734989,2.74639,9.887003,4.335444,8.297948,,,,,,,,,,,,3.936154,51.218647,0.949075,0.473778,0.117051,,,12.26989846,1.51326564,164.9316501,208.3480887,484.8221911,,,,,,59.48719056,29.69595471,7.336647635
173921_NVA_17-001.ILC3.RunDC.CD3_19T058771.01.czi,HighPlex FL v4.2.5_ILC3-Default,Layer 1,57782108,332737,24860,42900,48558,5063,19797,21591,9856,38702,26336,22222,,,,,,,,,,,,17980,254353,2467,2361,135,7.471366,12.893065,14.593508,1.521622,5.949744,6.488909,2.962099,11.631409,7.91496,6.678548,,,,,,,,,,,,5.403667,76.442657,0.741426,0.709569,0.040573,,,11.42605715,0.625260525,87.6222792,342.614707,373.6623801,,,,,,42.69487711,40.86039921,2.33636336
173922_NVA_17-001.ILC3.RunDC.CD3_20T034660.04.czi,HighPlex FL v4.2.5_ILC3-Default,Layer 1,63656232,675707,111289,193639,158241,2962,108327,33806,67997,90244,124215,34026,,,,,,,,,,,,26029,538569,4412,5475,43,16.470009,28.657244,23.418583,0.438356,16.031652,5.003056,10.063089,13.355493,18.382967,5.035614,,,,,,,,,,,,3.852113,79.704514,0.652946,0.810262,0.006364,,,13.0509377,0.127196356,46.53118645,1701.750113,531.0713333,,,,,,69.30978887,86.00886084,0.675503382
173923_NVA_17-001.ILC3.RunDC.CD3_20T040991.01.czi,HighPlex FL v4.2.5_ILC3-Default,Layer 1,21891360,192051,29715,39813,59479,10340,19375,24285,18881,40598,31003,28476,,,,,,,,,,,,12345,169630,4247,826,232,15.472452,20.730431,30.970419,5.383986,10.088466,12.645079,9.831243,21.139177,16.143108,14.827312,,,,,,,,,,,,6.42798,88.3255,2.211392,0.430094,0.120801,,,17.48816142,0.955322215,472.3324636,885.0523677,1109.341768,,,,,,194.003479,37.73178094,10.59778835
173924_NVA_17-001.ILC3.RunDC.CD3_20T044736.01.czi,HighPlex FL v4.2.5_ILC3-Default,Layer 1,34219980,230841,17341,19743,22909,5133,12208,9795,8279,14630,11173,11736,,,,,,,,,,,,4840,195659,592,746,156,7.512097,8.55264,9.924147,2.223608,5.288488,4.24318,3.586451,6.337696,4.840128,5.084019,,,,,,,,,,,,2.096681,84.759209,0.256454,0.323166,0.067579,,,6.043899949,1.592649311,150.0000877,356.7506468,286.2362865,,,,,,17.29983477,21.80012963,4.558740245
173925_NVA_17-001.ILC3.RunDC.CD3_20T047891.01.czi,HighPlex FL v4.2.5_ILC3-Default,Layer 1,43308260,207819,19966,25585,29204,8640,11326,10493,6945,22259,18435,10769,,,,,,,,,,,,10475,125223,758,1209,32,9.607399,12.311193,14.052613,4.157464,5.449935,5.049105,3.34185,10.710763,8.8707,5.181913,,,,,,,,,,,,5.040444,60.255798,0.36474,0.581756,0.015398,,,7.223863528,0.304965215,199.5000492,261.5205506,242.2863445,,,,,,17.50243487,27.91615272,0.738889071
193700_NVA_17-001.ILC1.RunDC.CD3_19T006813.10-Rescan.czi,HighPlex FL v4.2.5_ILC1-Default,Layer 1,36395644,232766,31925,15095,23404,17448,14477,14884,8019,15385,5005,18399,54,293,12,84,96,0,0,0,7,7,0,,,,,,13.715491,6.485054,10.054733,7.49594,6.219551,6.394405,3.445091,6.609643,2.150228,7.904505,0.023199,0.125877,0.005155,0.036088,0.041243,0,0,0,0.003007,0.003007,0,,,,,,0.644987906,0.047030368,,,479.3980291,397.7673812,408.9500381,0,2.637678289,0,0,0.192330709,,,
193701_NVA_17-001.ILC1.RunDC.CD3_19T029473.01.czi,HighPlex FL v4.2.5_ILC1-Default,Layer 1,112798696,445609,31253,23151,54222,10760,20493,36392,15663,38559,13707,40515,314,6549,41,1540,1581,23,24,4,312,316,8,,,,,,7.013548,5.195362,12.168067,2.414673,4.598875,8.1668,3.514965,8.653102,3.076015,9.092052,0.070465,1.469674,0.009201,0.345594,0.354795,0.005161,0.005386,0.000898,0.070017,0.070915,0.001795,,,,,,4.344361398,0.868322708,,,95.39117367,181.6776322,322.6278431,0.203903066,14.01611948,0.212768417,0.070922806,2.801450825,,,
