Image Tag,Algorithm Name,Analysis Region,% CD20 Positive Cells,% TCR-Alpha-Delta Positive Cells,% IL7R Positive Cells,% B-Cells:CD20+TCR- Positive Cells,% T-Cells:CD20-TCR+ Positive Cells,% Pool-ILCs:CD20-TCR-IL7R+ Positive Cells,% IL7R+CD20+ Positive Cells,% IL7R+CD20- Positive Cells,% IL7R+TCR+ Positive Cells,% IL7R+TCR- Positive Cells,% EOMES Positive Cells,% TBX Positive Cells,% ILC1:TBX+EOMES+CD20-TCR-IL7R+ Positive Cells,% ILC1:TBX+EOMES-CD20-TCR-IL7R+ Positive Cells,% ILC1s:TBX+EOMES+/-CD20-TCR-IL7R+ Positive Cells,% NK/ILC1ie:TBX+EOMES+CD20-TCR-IL7R- Positive Cells,% T-Helper:CD20-TCR+TBX+EOMES+ Positive Cells,% GATA Positive Cells,% ICOS Positive Cells,% ILC2:GATA+ICOS+CD20-TCR-IL7R+ Positive Cells,% T-Helper:CD20-TCR+GATA+ICOS+ Positive Cells,% ROR-GammaT Positive Cells,% AHR Positive Cells,% ILC3:ROR+AHR+CD20-TCR-IL7R+ Positive Cells,% T-Helper:CD20-TCR+ROR+AHR+ Positive Cells
169898_NVA_17-001.ILC1.RunDC_19T006813.10.czi,HighPlex FL v4.2.5_ILC1-Default,GC Excluded,4.404099,5.518605,15.247659,3.658507,4.773013,11.136486,0.629157,14.618502,3.835814,11.411844,0.181802,0.819538,0.017976,0.292109,0.310085,0.004085,0.004494,,,,,,,,
169899_NVA_17-001.ILC1.RunDC_19T029473.01.czi,HighPlex FL v4.2.5_ILC1-Default,GC Excluded,1.297251,3.761251,19.975725,0.830202,3.294202,16.789886,0.447241,19.528484,3.034946,16.940779,0.823987,3.707652,0.048161,1.650111,1.698272,0.007768,0.015924,,,,,,,,
169900_NVA_17-001.ILC1.RunDC_19T053799.30.czi,HighPlex FL v4.2.5_ILC1-Default,GC Excluded,0.841113,1.418528,20.01816,0.537181,1.114597,18.565922,0.412129,19.606031,1.271184,18.746975,0.243036,2.591302,0.093517,1.416354,1.509871,0.006524,0.005437,,,,,,,,
169901_NVA_17-001.ILC1.RunDC_19T058771.01.czi,HighPlex FL v4.2.5_ILC1-Default,GC Excluded,0.97923,6.426568,24.179146,0.662149,6.109487,18.307388,0.328276,23.85087,5.749601,18.429544,0.455701,9.88647,0.210729,3.716728,3.927457,0.024036,0.065853,,,,,,,,
169902_NVA_17-001.ILC1.RunDC_20T034660.04.czi,HighPlex FL v4.2.5_ILC1-Default,GC Excluded,7.209297,19.459307,35.29147,5.60466,17.85467,16.618467,2.958961,32.332512,16.946356,18.345114,1.075868,8.309234,0.123676,2.184506,2.308182,0.019255,0.292897,,,,,,,,
169903_NVA_17-001.ILC1.RunDC_20T040991.01.czi,HighPlex FL v4.2.5_ILC1-Default,GC Excluded,7.701312,9.279145,41.027168,6.551758,8.129591,31.014132,2.528318,38.498852,8.306931,32.720238,1.206331,6.324651,0.207481,3.607778,3.815259,0.017524,0.072198,,,,,,,,
169904_NVA_17-001.ILC1.RunDC_20T044736.01.czi,HighPlex FL v4.2.5_ILC1-Default,GC Excluded,0.478268,0.423932,14.74669,0.453521,0.399184,14.34643,0.140414,14.606277,0.271682,14.475008,0.015064,0.81935,0.000538,0.413172,0.41371,0.000538,0,,,,,,,,
169905_NVA_17-001.ILC1.RunDC_20T047891.01.czi,HighPlex FL v4.2.5_ILC1-Default,GC Excluded,2.005812,5.937871,22.929327,1.189419,5.121479,17.430786,0.868858,22.060469,5.217186,17.712141,0.191991,1.654694,0.01845,0.762197,0.780647,0,0.01499,,,,,,,,
169906_NVA_17-001.ILC2.RunDC_19T006813.10.czi,HighPlex FL v4.2.5_ILC2-Default,GC Excluded,5.3771,2.580715,9.858736,4.415209,1.618824,8.108353,0.528824,9.329911,1.596825,8.26191,,,,,,,,1.030906,0.379149,0.006901,0.073759,,,,
169907_NVA_17-001.ILC2.RunDC_19T029473.01.czi,HighPlex FL v4.2.5_ILC2-Default,GC Excluded,1.289712,7.468895,10.725869,0.680358,6.859542,5.932674,0.262355,10.463514,4.767922,5.957947,,,,,,,,2.409334,1.921129,0.028081,0.307284,,,,
