Image Tag,Algorithm Name,Analysis Region,% CD20 Positive Cells,% TCR-Alpha-Delta Positive Cells,% IL7R Positive Cells,% B-Cells:CD20+TCR- Positive Cells,% T-Cells:CD20-TCR+ Positive Cells,% Pool-ILCs:CD20-TCR-IL7R+ Positive Cells,% IL7R+CD20+ Positive Cells,% IL7R+CD20- Positive Cells,% IL7R+TCR+ Positive Cells,% IL7R+TCR- Positive Cells,% EOMES Positive Cells,% TBX Positive Cells,% ILC1:TBX+EOMES+CD20-TCR-IL7R+ Positive Cells,% ILC1:TBX+EOMES-CD20-TCR-IL7R+ Positive Cells,% ILC1s:TBX+EOMES+/-CD20-TCR-IL7R+ Positive Cells,% NK/ILC1ie:TBX+EOMES+CD20-TCR-IL7R- Positive Cells,% T-Helper:CD20-TCR+TBX+EOMES+ Positive Cells,% GATA Positive Cells,% ICOS Positive Cells,% ILC2:GATA+ICOS+CD20-TCR-IL7R+ Positive Cells,% T-Helper:CD20-TCR+GATA+ICOS+ Positive Cells,% ROR-GammaT Positive Cells,% AHR Positive Cells,% ILC3:ROR+AHR+CD20-TCR-IL7R+ Positive Cells,% T-Helper:CD20-TCR+ROR+AHR+ Positive Cells
169898_NVA_17-001.ILC1.RunDC_19T006813.10.czi,HighPlex FL v4.2.5_ILC1-Default,GerminalCenter,32.095879,5.104502,1.435984,29.808535,2.817159,0.785589,0.321543,1.11444,0.522508,0.913476,0.069424,0.062116,0,0.003654,0.003654,0,0,,,,,,,,
169899_NVA_17-001.ILC1.RunDC_19T029473.01.czi,HighPlex FL v4.2.5_ILC1-Default,GerminalCenter,53.166008,19.314562,21.187412,40.552937,6.70149,7.185629,9.950313,11.237101,8.217607,12.969805,0.662505,5.223595,0.063702,1.044719,1.108421,0.01274,0.050962,,,,,,,,
169900_NVA_17-001.ILC1.RunDC_19T053799.30.czi,HighPlex FL v4.2.5_ILC1-Default,GerminalCenter,79.505661,30.99897,27.600412,51.750771,3.244078,5.561277,19.207003,8.393409,15.808445,11.791967,0.669413,1.596292,0,0.051493,0.051493,0,0,,,,,,,,
169901_NVA_17-001.ILC1.RunDC_19T058771.01.czi,HighPlex FL v4.2.5_ILC1-Default,GerminalCenter,59.841724,28.37178,21.400909,40.478195,9.00825,4.882977,9.984846,11.416063,13.992254,7.408655,1.010271,6.331032,0.016838,0.505136,0.521974,0,0.185216,,,,,,,,
169902_NVA_17-001.ILC1.RunDC_20T034660.04.czi,HighPlex FL v4.2.5_ILC1-Default,GerminalCenter,23.47242,11.063695,19.421526,19.924135,7.51541,8.583847,7.716137,11.70539,5.043465,14.378062,0.371424,2.36605,0.012644,0.379327,0.391971,0.004742,0.053738,,,,,,,,
169903_NVA_17-001.ILC1.RunDC_20T040991.01.czi,HighPlex FL v4.2.5_ILC1-Default,GerminalCenter,22.556728,4.661874,14.013705,20.860481,2.965626,9.907886,2.252303,11.761402,2.499438,11.514266,1.039092,2.35902,0.078634,0.505504,0.584138,0.005617,0.078634,,,,,,,,
169904_NVA_17-001.ILC1.RunDC_20T044736.01.czi,HighPlex FL v4.2.5_ILC1-Default,GerminalCenter,42.787796,3.571429,9.084604,39.909847,0.693481,6.345354,2.565881,6.518724,0.624133,8.460471,0,0.034674,0,0.034674,0.034674,0,0,,,,,,,,
169905_NVA_17-001.ILC1.RunDC_20T047891.01.czi,HighPlex FL v4.2.5_ILC1-Default,GerminalCenter,22.24379,20.147516,31.560558,18.322981,16.226707,16.479036,2.620342,28.940218,14.227485,17.333075,1.339286,3.357919,0.01941,1.125776,1.145186,0,0.13587,,,,,,,,
169906_NVA_17-001.ILC2.RunDC_19T006813.10.czi,HighPlex FL v4.2.5_ILC2-Default,GerminalCenter,9.753226,1.785859,1.465216,9.042942,1.075574,1.030928,0.280055,1.185161,0.29629,1.168926,,,,,,,,0.779284,2.163325,0,0.016235,,,,
169907_NVA_17-001.ILC2.RunDC_19T029473.01.czi,HighPlex FL v4.2.5_ILC2-Default,GerminalCenter,56.722034,31.19647,9.680768,36.932262,11.406696,1.894628,2.413704,7.267065,7.539579,2.141189,,,,,,,,6.099144,25.240072,0.025954,1.920581,,,,
169908_NVA_17-001.ILC2.RunDC_19T053799.30.czi,HighPlex FL v4.2.5_ILC2-Default,GerminalCenter,65.932915,29.350105,23.584906,41.981133,5.398323,7.075472,12.054507,11.530398,13.469602,10.115304,,,,,,,,5.083858,7.756814,0.209644,0.681342,,,,
169909_NVA_17-001.ILC2.RunDC_19T058771.01.czi,HighPlex FL v4.2.5_ILC2-Default,GerminalCenter,60.198704,33.536091,14.253853,38.503651,11.841038,2.656123,4.460665,9.793187,11.253041,3.000811,,,,,,,,13.442822,25.729927,0.182482,4.237632,,,,
169910_NVA_17-001.ILC2.RunDC_20T034660.04.czi,HighPlex FL v4.2.5_ILC2-Default,GerminalCenter,28.474915,17.758617,7.820869,21.451895,10.7356,1.368894,1.86755,5.953319,6.310422,1.510448,,,,,,,,12.05141,30.69635,0.429488,5.519005,,,,
169911_NVA_17-001.ILC2.RunDC_20T040991.01.czi,HighPlex FL v4.2.5_ILC2-Default,GerminalCenter,35.582474,7.030454,9.283369,31.920073,3.368052,5.666252,1.760444,7.522925,2.575569,6.7078,,,,,,,,10.455112,8.309748,0.662289,1.137779,,,,
169912_NVA_17-001.ILC2.RunDC_20T044736.01.czi,HighPlex FL v4.2.5_ILC2-Default,GerminalCenter,58.341278,16.396568,8.261837,47.537338,5.592628,2.287893,4.194471,4.067366,4.067366,4.194471,,,,,,,,6.736575,43.5653,0.508421,1.11217,,,,
169913_NVA_17-001.ILC2.RunDC_20T047891.01.czi,HighPlex FL v4.2.5_ILC2-Default,GerminalCenter,23.93606,39.402119,24.704172,14.220469,29.686527,4.795516,3.632967,21.071207,19.763338,4.940835,,,,,,,,21.548681,16.026573,0.103799,4.29728,,,,
169914_NVA_17-001.ILC3.RunDC_19T006813.10.czi,HighPlex FL v4.2.5_ILC3-Default,GerminalCenter,56.435383,8.412193,1.53357,51.281094,3.257902,0.748083,0.377782,1.155788,0.602207,0.931363,,,,,,,,,,,,0.112212,40.972507,0.041145,0
169915_NVA_17-001.ILC3.RunDC_19T029473.01.czi,HighPlex FL v4.2.5_ILC3-Default,GerminalCenter,58.658123,30.015694,7.389485,37.470573,8.828145,1.634842,2.040282,5.349202,5.571541,1.817944,,,,,,,,,,,,1.621763,86.568138,0.287732,0.196181
169916_NVA_17-001.ILC3.RunDC_19T053799.30.czi,HighPlex FL v4.2.5_ILC3-Default,GerminalCenter,72.112381,24.71384,13.371488,50.416233,3.01769,3.64204,7.648283,5.723205,8.012487,5.359001,,,,,,,,,,,,2.653486,43.860561,0.780437,0.312175
169917_NVA_17-001.ILC3.RunDC_19T058771.01.czi,HighPlex FL v4.2.5_ILC3-Default,GerminalCenter,70.009674,28.877781,3.99871,47.371815,6.239923,0.532086,1.870364,2.128346,3.224766,0.773944,,,,,,,,,,,,1.660755,53.337631,0.112867,0.322477
169918_NVA_17-001.ILC3.RunDC_20T034660.04.czi,HighPlex FL v4.2.5_ILC3-Default,GerminalCenter,40.156685,11.28895,0.751312,35.005058,6.137323,0.17338,0.142878,0.608435,0.557063,0.19425,,,,,,,,,,,,0.789841,74.778061,0.048161,0.142878
169919_NVA_17-001.ILC3.RunDC_20T040991.01.czi,HighPlex FL v4.2.5_ILC3-Default,GerminalCenter,30.04896,4.873706,7.9615,28.212975,3.037721,5.163013,1.346389,6.615111,1.847113,6.114388,,,,,,,,,,,,1.769222,52.342274,0.767776,0.172471
169920_NVA_17-001.ILC3.RunDC_20T044736.01.czi,HighPlex FL v4.2.5_ILC3-Default,GerminalCenter,65.057098,11.810767,1.468189,55.040783,1.794454,0.750408,0.652529,0.815661,0.358891,1.109299,,,,,,,,,,,,0.358891,85.187599,0,0.032626
169921_NVA_17-001.ILC3.RunDC_20T047891.01.czi,HighPlex FL v4.2.5_ILC3-Default,GerminalCenter,28.109404,32.082253,18.36694,19.784388,23.757236,5.330405,1.657017,16.709923,12.81693,5.55001,,,,,,,,,,,,2.116191,78.498703,0.558994,0.578958
