Image Tag,Algorithm Name,Analysis Region,% CD20 Positive Cells,% TCR-Alpha-Delta Positive Cells,% IL7R Positive Cells,% B-Cells:CD20+TCR- Positive Cells,% T-Cells:CD20-TCR+ Positive Cells,% Pool-ILCs:CD20-TCR-IL7R+ Positive Cells,% IL7R+CD20+ Positive Cells,% IL7R+CD20- Positive Cells,% IL7R+TCR+ Positive Cells,% IL7R+TCR- Positive Cells,% EOMES Positive Cells,% TBX Positive Cells,% ILC1:TBX+EOMES+CD20-TCR-IL7R+ Positive Cells,% ILC1:TBX+EOMES-CD20-TCR-IL7R+ Positive Cells,% ILC1s:TBX+EOMES+/-CD20-TCR-IL7R+ Positive Cells,% NK/ILC1ie:TBX+EOMES+CD20-TCR-IL7R- Positive Cells,% T-Helper:CD20-TCR+TBX+EOMES+ Positive Cells,% GATA Positive Cells,% ICOS Positive Cells,% ILC2:GATA+ICOS+CD20-TCR-IL7R+ Positive Cells,% T-Helper:CD20-TCR+GATA+ICOS+ Positive Cells,% ROR-GammaT Positive Cells,% AHR Positive Cells,% ILC3:ROR+AHR+CD20-TCR-IL7R+ Positive Cells,% T-Helper:CD20-TCR+ROR+AHR+ Positive Cells
169898_NVA_17-001.ILC1.RunDC_19T006813.10.czi,HighPlex FL v4.2.5_ILC1-Default,Layer 1,7.190654,5.478611,13.859134,6.287045,4.575003,10.094403,0.599344,13.25979,3.503092,10.356042,0.170506,0.743392,0.016169,0.263109,0.279278,0.003675,0.004042,,,,,,,,
169899_NVA_17-001.ILC1.RunDC_19T029473.01.czi,HighPlex FL v4.2.5_ILC1-Default,Layer 1,2.076188,3.995524,19.993689,1.42659,3.345926,16.645084,0.589917,19.40377,3.113134,16.880552,0.821561,3.730405,0.048395,1.641019,1.689414,0.007843,0.01645,,,,,,,,
169900_NVA_17-001.ILC1.RunDC_19T053799.30.czi,HighPlex FL v4.2.5_ILC1-Default,Layer 1,1.664084,1.731336,20.098673,1.069038,1.13629,18.429209,0.610648,19.488024,1.425743,18.67293,0.247487,2.581402,0.092539,1.40207,1.494609,0.006456,0.00538,,,,,,,,
169901_NVA_17-001.ILC1.RunDC_19T058771.01.czi,HighPlex FL v4.2.5_ILC1-Default,Layer 1,2.108187,6.846117,24.124334,1.427418,6.165348,18.048765,0.512514,23.61182,5.907315,18.21702,0.466333,9.818182,0.207008,3.655094,3.862102,0.023575,0.068141,,,,,,,,
169902_NVA_17-001.ILC1.RunDC_20T034660.04.czi,HighPlex FL v4.2.5_ILC1-Default,Layer 1,8.914615,18.578011,33.62574,7.106633,16.770029,15.775631,3.456197,30.169544,15.697736,17.928005,1.002188,7.686698,0.112036,1.995592,2.107628,0.017733,0.267659,,,,,,,,
169903_NVA_17-001.ILC1.RunDC_20T040991.01.czi,HighPlex FL v4.2.5_ILC1-Default,Layer 1,9.345049,8.76924,38.028294,8.137346,7.561538,28.66704,2.499533,35.528759,7.662491,30.365801,1.187761,5.883966,0.193183,3.264785,3.457968,0.016202,0.072288,,,,,,,,
169904_NVA_17-001.ILC1.RunDC_20T044736.01.czi,HighPlex FL v4.2.5_ILC1-Default,Layer 1,1.124685,0.473078,14.660105,1.055286,0.403679,14.224111,0.17747,14.482635,0.277066,14.383039,0.014833,0.807357,0.00053,0.407387,0.407917,0.00053,0,,,,,,,,
169905_NVA_17-001.ILC1.RunDC_20T047891.01.czi,HighPlex FL v4.2.5_ILC1-Default,Layer 1,2.59184,6.34662,23.175941,1.68422,5.439,17.403793,0.919378,22.256563,5.474835,17.701107,0.225085,1.703817,0.018477,0.772121,0.790598,0,0.018477,,,,,,,,
169906_NVA_17-001.ILC2.RunDC_19T006813.10.czi,HighPlex FL v4.2.5_ILC2-Default,Layer 1,5.797011,2.504318,9.051884,4.858915,1.566222,7.427567,0.505308,8.546576,1.472257,7.579627,,,,,,,,1.006328,0.551706,0.006238,0.068232,,,,
169907_NVA_17-001.ILC2.RunDC_19T029473.01.czi,HighPlex FL v4.2.5_ILC2-Default,Layer 1,2.135636,7.829481,10.70939,1.234924,6.928769,5.870629,0.294707,10.414683,4.809922,5.899468,,,,,,,,2.465305,2.275681,0.028048,0.332236,,,,
