Image Tag,Algorithm Name,Analysis Region,Area Analyzed (μm²),Total Cells,CD20 Positive Cells,TCR-Alpha-Delta Positive Cells,IL7R Positive Cells,B-Cells:CD20+TCR- Cells,T-Cells:CD20-TCR+ Cells,Pool-ILCs:CD20-TCR-IL7R+ Cells,IL7R+CD20+ Cells,IL7R+CD20- Cells,IL7R+TCR+ Cells,IL7R+TCR- Cells,EOMES Positive Cells,TBX Positive Cells,ILC1:TBX+EOMES+CD20-TCR-IL7R+ Cells,ILC1:TBX+EOMES-CD20-TCR-IL7R+ Cells,ILC1s:TBX+EOMES+/-CD20-TCR-IL7R+ Positive Cells,NK/ILC1ie:TBX+EOMES+CD20-TCR-IL7R- Cells,T-Helper:CD20-TCR+TBX+EOMES+ Cells,GATA Positive Cells,ICOS Positive Cells,ILC2:GATA+ICOS+CD20-TCR-IL7R+ Cells,T-Helper:CD20-TCR+GATA+ICOS+ Cells,ROR-GammaT Positive Cells,AHR Positive Cells,ILC3:ROR+AHR+CD20-TCR-IL7R+ Cells,T-Helper:CD20-TCR+ROR+AHR+ Cells,% CD20 Positive Cells,% TCR-Alpha-Delta Positive Cells,% IL7R Positive Cells,% B-Cells:CD20+TCR- Positive Cells,% T-Cells:CD20-TCR+ Positive Cells,% Pool-ILCs:CD20-TCR-IL7R+ Positive Cells,% IL7R+CD20+ Positive Cells,% IL7R+CD20- Positive Cells,% IL7R+TCR+ Positive Cells,% IL7R+TCR- Positive Cells,% EOMES Positive Cells,% TBX Positive Cells,% ILC1:TBX+EOMES+CD20-TCR-IL7R+ Positive Cells,% ILC1:TBX+EOMES-CD20-TCR-IL7R+ Positive Cells,% ILC1s:TBX+EOMES+/-CD20-TCR-IL7R+ Positive Cells,% NK/ILC1ie:TBX+EOMES+CD20-TCR-IL7R- Positive Cells,% T-Helper:CD20-TCR+TBX+EOMES+ Positive Cells,% GATA Positive Cells,% ICOS Positive Cells,% ILC2:GATA+ICOS+CD20-TCR-IL7R+ Positive Cells,% T-Helper:CD20-TCR+GATA+ICOS+ Positive Cells,% ROR-GammaT Positive Cells,% AHR Positive Cells,% ILC3:ROR+AHR+CD20-TCR-IL7R+ Positive Cells,% T-Helper:CD20-TCR+ROR+AHR+ Positive Cells,%Pool-IL7R ILC1s:TBX+EOMES+/-CD20-TCR-IL7R+ Positive Cells,%Pool-IL7R ILC2:GATA+ICOS+CD20-TCR-IL7R+ Positive Cells,%Pool-IL7R ILC3:ROR+AHR+CD20-TCR-IL7R+ Positive Cells,B Cells - Density/mm²,T Cells - Density/mm²,Pool IL7R (Non B/T) - Density/mm²,NK/ILC1ie - Density/mm²,ILC1s - Density/mm²,TH1 - Density/mm²,ILC2 - Density/mm²,TH2 - Density/mm²,ILC3 - Density/mm²,TH17 - Density/mm²
169898_NVA_17-001.ILC1.RunDC_19T006813.10.czi,HighPlex FL v4.2.5_ILC1-Default,GerminalCenter,2335183.75,27368,8784,1397,393,8158,771,215,88,305,143,250,19,17,0,1,1,0,0,,,,,,,,,32.095879,5.104502,1.435984,29.808535,2.817159,0.785589,0.321543,1.11444,0.522508,0.913476,0.069424,0.062116,0,0.003654,0.003654,0,0,,,,,,,,,0.465116279,,,3493.515232,330.1667374,92.06984247,0,0.428231825,0,,,,
169899_NVA_17-001.ILC1.RunDC_19T029473.01.czi,HighPlex FL v4.2.5_ILC1-Default,GerminalCenter,616783.4375,7849,4173,1516,1663,3183,526,564,781,882,645,1018,52,410,5,82,87,1,4,,,,,,,,,53.166008,19.314562,21.187412,40.552937,6.70149,7.185629,9.950313,11.237101,8.217607,12.969805,0.662505,5.223595,0.063702,1.044719,1.108421,0.01274,0.050962,,,,,,,,,15.42553191,,,5160.644412,852.8114862,914.4214415,1.621314613,141.0543713,6.48525845,,,,
169900_NVA_17-001.ILC1.RunDC_19T053799.30.czi,HighPlex FL v4.2.5_ILC1-Default,GerminalCenter,126026.5781,1942,1544,602,536,1005,63,108,373,163,307,229,13,31,0,1,1,0,0,,,,,,,,,79.505661,30.99897,27.600412,51.750771,3.244078,5.561277,19.207003,8.393409,15.808445,11.791967,0.669413,1.596292,0,0.051493,0.051493,0,0,,,,,,,,,0.925925926,,,7974.508353,499.8945535,856.9620917,0,7.934834182,0,,,,
169901_NVA_17-001.ILC1.RunDC_19T058771.01.czi,HighPlex FL v4.2.5_ILC1-Default,GerminalCenter,437284.875,5939,3554,1685,1271,2404,535,290,593,678,831,440,60,376,1,30,31,0,11,,,,,,,,,59.841724,28.37178,21.400909,40.478195,9.00825,4.882977,9.984846,11.416063,13.992254,7.408655,1.010271,6.331032,0.016838,0.505136,0.521974,0,0.185216,,,,,,,,,10.68965517,,,5497.560372,1223.458735,663.1832395,0,70.89200147,25.15522633,,,,
169902_NVA_17-001.ILC1.RunDC_20T034660.04.czi,HighPlex FL v4.2.5_ILC1-Default,GerminalCenter,4963047.5,63270,14851,7000,12288,12606,4755,5431,4882,7406,3191,9097,235,1497,8,240,248,3,34,,,,,,,,,23.47242,11.063695,19.421526,19.924135,7.51541,8.583847,7.716137,11.70539,5.043465,14.378062,0.371424,2.36605,0.012644,0.379327,0.391971,0.004742,0.053738,,,,,,,,,4.566378199,,,2539.971661,958.0806954,1094.287331,0.604467316,49.9692981,6.850629578,,,,
169903_NVA_17-001.ILC1.RunDC_20T040991.01.czi,HighPlex FL v4.2.5_ILC1-Default,GerminalCenter,1142865.25,17804,4016,830,2495,3714,528,1764,401,2094,445,2050,185,420,14,90,104,1,14,,,,,,,,,22.556728,4.661874,14.013705,20.860481,2.965626,9.907886,2.252303,11.761402,2.499438,11.514266,1.039092,2.35902,0.078634,0.505504,0.584138,0.005617,0.078634,,,,,,,,,5.89569161,,,3249.726947,461.9967227,1543.489051,0.874993793,90.99935447,12.2499131,,,,
169904_NVA_17-001.ILC1.RunDC_20T044736.01.czi,HighPlex FL v4.2.5_ILC1-Default,GerminalCenter,224940.4844,2884,1234,103,262,1151,20,183,74,188,18,244,0,1,0,1,1,0,0,,,,,,,,,42.787796,3.571429,9.084604,39.909847,0.693481,6.345354,2.565881,6.518724,0.624133,8.460471,0,0.034674,0,0.034674,0.034674,0,0,,,,,,,,,0.546448087,,,5116.909049,88.91240746,813.5485282,0,4.445620373,0,,,,
169905_NVA_17-001.ILC1.RunDC_20T047891.01.czi,HighPlex FL v4.2.5_ILC1-Default,GerminalCenter,464159.4375,5152,1146,1038,1626,944,836,849,135,1491,733,893,69,173,1,58,59,0,7,,,,,,,,,22.24379,20.147516,31.560558,18.322981,16.226707,16.479036,2.620342,28.940218,14.227485,17.333075,1.339286,3.357919,0.01941,1.125776,1.145186,0,0.13587,,,,,,,,,6.949352179,,,2033.783919,1801.105251,1829.112868,0,127.111495,15.08102483,,,,
169906_NVA_17-001.ILC2.RunDC_19T006813.10.czi,HighPlex FL v4.2.5_ILC2-Default,GerminalCenter,2268221.75,24638,2403,440,361,2228,265,254,69,292,73,288,,,,,,,,192,533,0,4,,,,,9.753226,1.785859,1.465216,9.042942,1.075574,1.030928,0.280055,1.185161,0.29629,1.168926,,,,,,,,0.779284,2.163325,0,0.016235,,,,,,0,,982.2672761,116.8316105,111.9819965,,,,0,1.763496007,,
169907_NVA_17-001.ILC2.RunDC_19T029473.01.czi,HighPlex FL v4.2.5_ILC2-Default,GerminalCenter,624017.1875,7706,4371,2404,746,2846,879,146,186,560,581,165,,,,,,,,470,1945,2,148,,,,,56.722034,31.19647,9.680768,36.932262,11.406696,1.894628,2.413704,7.267065,7.539579,2.141189,,,,,,,,6.099144,25.240072,0.025954,1.920581,,,,,,1.369863014,,4560.771814,1408.615047,233.9679145,,,,3.205039925,237.1729545,,
169908_NVA_17-001.ILC2.RunDC_19T053799.30.czi,HighPlex FL v4.2.5_ILC2-Default,GerminalCenter,127409.9453,1908,1258,560,450,801,103,135,230,220,257,193,,,,,,,,97,148,4,13,,,,,65.932915,29.350105,23.584906,41.981133,5.398323,7.075472,12.054507,11.530398,13.469602,10.115304,,,,,,,,5.083858,7.756814,0.209644,0.681342,,,,,,2.962962963,,6286.793374,808.4141293,1059.571917,,,,31.39472347,102.0328513,,
