Image Tag,Algorithm Name,Analysis Region,Area Analyzed (μm²),Total Cells,CD20 Positive Cells,TCR-Alpha-Delta Positive Cells,IL7R Positive Cells,B-Cells:CD20+TCR- Cells,T-Cells:CD20-TCR+ Cells,Pool-ILCs:CD20-TCR-IL7R+ Cells,IL7R+CD20+ Cells,IL7R+CD20- Cells,IL7R+TCR+ Cells,IL7R+TCR- Cells,EOMES Positive Cells,TBX Positive Cells,ILC1:TBX+EOMES+CD20-TCR-IL7R+ Cells,ILC1:TBX+EOMES-CD20-TCR-IL7R+ Cells,ILC1s:TBX+EOMES+/-CD20-TCR-IL7R+ Positive Cells,NK/ILC1ie:TBX+EOMES+CD20-TCR-IL7R- Cells,T-Helper:CD20-TCR+TBX+EOMES+ Cells,GATA Positive Cells,ICOS Positive Cells,ILC2:GATA+ICOS+CD20-TCR-IL7R+ Cells,T-Helper:CD20-TCR+GATA+ICOS+ Cells,ROR-GammaT Positive Cells,AHR Positive Cells,ILC3:ROR+AHR+CD20-TCR-IL7R+ Cells,T-Helper:CD20-TCR+ROR+AHR+ Cells,% CD20 Positive Cells,% TCR-Alpha-Delta Positive Cells,% IL7R Positive Cells,% B-Cells:CD20+TCR- Positive Cells,% T-Cells:CD20-TCR+ Positive Cells,% Pool-ILCs:CD20-TCR-IL7R+ Positive Cells,% IL7R+CD20+ Positive Cells,% IL7R+CD20- Positive Cells,% IL7R+TCR+ Positive Cells,% IL7R+TCR- Positive Cells,% EOMES Positive Cells,% TBX Positive Cells,% ILC1:TBX+EOMES+CD20-TCR-IL7R+ Positive Cells,% ILC1:TBX+EOMES-CD20-TCR-IL7R+ Positive Cells,% ILC1s:TBX+EOMES+/-CD20-TCR-IL7R+ Positive Cells,% NK/ILC1ie:TBX+EOMES+CD20-TCR-IL7R- Positive Cells,% T-Helper:CD20-TCR+TBX+EOMES+ Positive Cells,% GATA Positive Cells,% ICOS Positive Cells,% ILC2:GATA+ICOS+CD20-TCR-IL7R+ Positive Cells,% T-Helper:CD20-TCR+GATA+ICOS+ Positive Cells,% ROR-GammaT Positive Cells,% AHR Positive Cells,% ILC3:ROR+AHR+CD20-TCR-IL7R+ Positive Cells,% T-Helper:CD20-TCR+ROR+AHR+ Positive Cells,%Pool-IL7R ILC1s:TBX+EOMES+/-CD20-TCR-IL7R+ Positive Cells,%Pool-IL7R ILC2:GATA+ICOS+CD20-TCR-IL7R+ Positive Cells,%Pool-IL7R ILC3:ROR+AHR+CD20-TCR-IL7R+ Positive Cells,B Cells - Density/mm²,T Cells - Density/mm²,Pool IL7R (Non B/T) - Density/mm²,NK/ILC1ie - Density/mm²,ILC1s - Density/mm²,TH1 - Density/mm²,ILC2 - Density/mm²,TH2 - Density/mm²,ILC3 - Density/mm²,TH17 - Density/mm²
169898_NVA_17-001.ILC1.RunDC_19T006813.10.czi,HighPlex FL v4.2.5_ILC1-Default,Layer 1,46045120,272131,19568,14909,37715,17109,12450,27470,1631,36084,9533,28182,464,2023,44,716,760,10,11,,,,,,,,,7.190654,5.478611,13.859134,6.287045,4.575003,10.094403,0.599344,13.25979,3.503092,10.356042,0.170506,0.743392,0.016169,0.263109,0.279278,0.003675,0.004042,,,,,,,,,2.766654532,,,371.5703206,270.3869596,596.5887373,0.217178281,16.50554934,0.238896109,,,,
169899_NVA_17-001.ILC1.RunDC_19T029473.01.czi,HighPlex FL v4.2.5_ILC1-Default,Layer 1,150152752,522785,10854,20888,104524,7458,17492,87018,3084,101440,16275,88249,4295,19502,253,8579,8832,41,86,,,,,,,,,2.076188,3.995524,19.993689,1.42659,3.345926,16.645084,0.589917,19.40377,3.113134,16.880552,0.821561,3.730405,0.048395,1.641019,1.689414,0.007843,0.01645,,,,,,,,,10.14962422,,,49.66941931,116.4947013,579.5298377,0.273055268,58.82010075,0.572750075,,,,
169900_NVA_17-001.ILC1.RunDC_19T053799.30.czi,HighPlex FL v4.2.5_ILC1-Default,Layer 1,30676768,185868,3093,3218,37357,1987,2112,34254,1135,36222,2650,34707,460,4798,172,2606,2778,12,10,,,,,,,,,1.664084,1.731336,20.098673,1.069038,1.13629,18.429209,0.610648,19.488024,1.425743,18.67293,0.247487,2.581402,0.092539,1.40207,1.494609,0.006456,0.00538,,,,,,,,,8.110001752,,,64.77214288,68.84688765,1116.610459,0.391175498,90.55712779,0.325979582,,,,
169901_NVA_17-001.ILC1.RunDC_19T058771.01.czi,HighPlex FL v4.2.5_ILC1-Default,Layer 1,68479936,309650,6528,21199,74701,4420,19091,55888,1587,73114,18292,56409,1444,30402,641,11318,11959,73,211,,,,,,,,,2.108187,6.846117,24.124334,1.427418,6.165348,18.048765,0.512514,23.61182,5.907315,18.21702,0.466333,9.818182,0.207008,3.655094,3.862102,0.023575,0.068141,,,,,,,,,21.39815345,,,64.54445285,278.7823867,816.1222581,1.066005669,174.6350931,3.081194468,,,,
169902_NVA_17-001.ILC1.RunDC_20T034660.04.czi,HighPlex FL v4.2.5_ILC1-Default,Layer 1,61130596,603380,53789,112096,202891,42880,101187,95187,20854,182037,94717,108174,6047,46380,676,12041,12717,107,1615,,,,,,,,,8.914615,18.578011,33.62574,7.106633,16.770029,15.775631,3.456197,30.169544,15.697736,17.928005,1.002188,7.686698,0.112036,1.995592,2.107628,0.017733,0.267659,,,,,,,,,13.36001765,,,701.4490747,1655.259504,1557.10898,1.750351003,208.0300346,26.41884925,,,,
169903_NVA_17-001.ILC1.RunDC_20T040991.01.czi,HighPlex FL v4.2.5_ILC1-Default,Layer 1,18325558,160470,14996,14072,61024,13058,12134,46002,4011,57013,12296,48728,1906,9442,310,5239,5549,26,116,,,,,,,,,9.345049,8.76924,38.028294,8.137346,7.561538,28.66704,2.499533,35.528759,7.662491,30.365801,1.187761,5.883966,0.193183,3.264785,3.457968,0.016202,0.072288,,,,,,,,,12.06251902,,,712.5567472,662.1353631,2510.264626,1.418783537,302.801148,6.32995732,,,,
169904_NVA_17-001.ILC1.RunDC_20T044736.01.czi,HighPlex FL v4.2.5_ILC1-Default,Layer 1,28569504,188764,2123,893,27673,1992,762,26850,335,27338,523,27150,28,1524,1,769,770,1,0,,,,,,,,,1.124685,0.473078,14.660105,1.055286,0.403679,14.224111,0.17747,14.482635,0.277066,14.383039,0.014833,0.807357,0.00053,0.407387,0.407917,0.00053,0,,,,,,,,,2.867783985,,,69.72469666,26.67179661,939.8133058,0.035002358,26.95181547,0,,,,
169905_NVA_17-001.ILC1.RunDC_20T047891.01.czi,HighPlex FL v4.2.5_ILC1-Default,Layer 1,34249744,178599,4629,11335,41392,3008,9714,31083,1642,39750,9778,31614,402,3043,33,1379,1412,0,33,,,,,,,,,2.59184,6.34662,23.175941,1.68422,5.439,17.403793,0.919378,22.256563,5.474835,17.701107,0.225085,1.703817,0.018477,0.772121,0.790598,0,0.018477,,,,,,,,,4.542676061,,,87.82547397,283.6225579,907.5396301,0,41.22658552,0.963510851,,,,
169906_NVA_17-001.ILC2.RunDC_19T006813.10.czi,HighPlex FL v4.2.5_ILC2-Default,Layer 1,42737068,256477,14868,6423,23216,12462,4017,19050,1296,21920,3776,19440,,,,,,,,2581,1415,16,175,,,,,5.797011,2.504318,9.051884,4.858915,1.566222,7.427567,0.505308,8.546576,1.472257,7.579627,,,,,,,,1.006328,0.551706,0.006238,0.068232,,,,,,0.083989501,,291.5969809,93.99334554,445.7488754,,,,0.374382258,4.094805942,,
169907_NVA_17-001.ILC2.RunDC_19T029473.01.czi,HighPlex FL v4.2.5_ILC2-Default,Layer 1,148645792,506266,10812,39638,54218,6252,35078,29721,1492,52726,24351,29867,,,,,,,,12481,11521,142,1682,,,,,2.135636,7.829481,10.70939,1.234924,6.928769,5.870629,0.294707,10.414683,4.809922,5.899468,,,,,,,,2.465305,2.275681,0.028048,0.332236,,,,,,0.477776656,,42.05971737,235.9838077,199.9451152,,,,0.955291086,11.31549018,,
169908_NVA_17-001.ILC2.RunDC_19T053799.30.czi,HighPlex FL v4.2.5_ILC2-Default,Layer 1,30832814,186231,2327,3928,24117,1496,3097,20852,594,23523,3056,21061,,,,,,,,3353,1407,132,131,,,,,1.249523,2.109208,12.950046,0.803303,1.662988,11.196847,0.318959,12.631087,1.640973,11.309073,,,,,,,,1.800452,0.755513,0.07088,0.070343,,,,,,0.633032803,,48.51973615,100.4449351,676.292472,,,,4.28115319,4.248720211,,
169909_NVA_17-001.ILC2.RunDC_19T058771.01.czi,HighPlex FL v4.2.5_ILC2-Default,Layer 1,68084608,272827,6218,31281,45204,3838,28901,22469,875,44329,22637,22567,,,,,,,,20355,10286,353,3113,,,,,2.2791,11.465508,16.568741,1.406752,10.59316,8.235621,0.320716,16.248026,8.297199,8.271542,,,,,,,,7.460772,3.770155,0.129386,1.141016,,,,,,1.571053451,,56.37103764,424.4865447,330.0158532,,,,5.184725452,45.72252219,,
169910_NVA_17-001.ILC2.RunDC_20T034660.04.czi,HighPlex FL v4.2.5_ILC2-Default,Layer 1,60912808,599684,50955,146998,138537,37664,133707,35475,5382,133155,102291,36246,,,,,,,,102566,112852,1661,51313,,,,,8.496975,24.512577,23.101667,6.280641,22.296242,5.915616,0.897473,22.204195,17.057484,6.044183,,,,,,,,17.10334,18.818579,0.276979,8.556673,,,,,,4.682170543,,618.3264446,2195.055595,582.3898317,,,,27.26848514,842.4008297,,
169911_NVA_17-001.ILC2.RunDC_20T040991.01.czi,HighPlex FL v4.2.5_ILC2-Default,Layer 1,18338782,160755,20282,17664,50893,16905,14287,35265,3213,47680,13952,36941,,,,,,,,39030,11568,2357,4037,,,,,12.616714,10.98815,31.658735,10.516003,8.887438,21.937109,1.998694,29.660042,8.679046,22.979689,,,,,,,,24.279182,7.196043,1.466206,2.511275,,,,,,6.683680703,,921.8169451,779.0593726,1922.973947,,,,128.5254386,220.134576,,
169912_NVA_17-001.ILC2.RunDC_20T044736.01.czi,HighPlex FL v4.2.5_ILC2-Default,Layer 1,28778670,191966,3631,7102,18415,2851,6322,13646,508,17907,4537,13878,,,,,,,,1711,6894,167,301,,,,,1.891481,3.699614,9.592845,1.485159,3.293292,7.108551,0.26463,9.328215,2.363439,7.229405,,,,,,,,0.891304,3.591261,0.086995,0.156799,,,,,,1.223801847,,99.06642663,219.6765869,474.1706271,,,,5.802908891,10.45913519,,
169913_NVA_17-001.ILC2.RunDC_20T047891.01.czi,HighPlex FL v4.2.5_ILC2-Default,Layer 1,34450488,178400,4126,21910,35550,2148,19932,18744,1030,34520,16698,18852,,,,,,,,11053,4880,82,1728,,,,,2.31278,12.28139,19.92713,1.204036,11.172646,10.506726,0.577354,19.349775,9.359865,10.567265,,,,,,,,6.195628,2.735426,0.045964,0.96861,,,,,,0.437473325,,62.35035045,578.5694531,544.085181,,,,2.380227531,50.15894114,,
169914_NVA_17-001.ILC3.RunDC_19T006813.10.czi,HighPlex FL v4.2.5_ILC3-Default,Layer 1,45217464,265494,34118,24626,40083,28663,19171,24341,2662,37421,14811,25272,,,,,,,,,,,,5513,65400,1536,312,12.850761,9.275539,15.097516,10.796101,7.220879,9.168192,1.002659,14.094857,5.578657,9.518859,,,,,,,,,,,,2.076506,24.633326,0.578544,0.117517,,,6.310340578,633.8922501,423.9733568,538.3097115,,,,,,33.96917616,6.899988907
169915_NVA_17-001.ILC3.RunDC_19T029473.01.czi,HighPlex FL v4.2.5_ILC3-Default,Layer 1,151021920,525984,12563,34428,52572,6887,28752,32381,1742,50830,20020,32552,,,,,,,,,,,,69675,394467,6418,4589,2.388476,6.545446,9.994981,1.309355,5.466326,6.156271,0.331189,9.663792,3.806199,6.188781,,,,,,,,,,,,13.246601,74.99601,1.220189,0.87246,,,19.82026497,45.60265159,190.382959,214.4125833,,,,,,42.49714214,30.38631743
169916_NVA_17-001.ILC3.RunDC_19T053799.30.czi,HighPlex FL v4.2.5_ILC3-Default,Layer 1,31412724,192206,4569,4947,21275,3021,3399,17504,888,20387,3490,17785,,,,,,,,,,,,9872,80241,2508,509,2.377137,2.573801,11.068853,1.571751,1.768415,9.106895,0.462004,10.606849,1.81576,9.253093,,,,,,,,,,,,5.136156,41.747395,1.30485,0.26482,,,14.32815356,96.1712203,108.2045607,557.2264284,,,,,,79.84025836,16.203625
169917_NVA_17-001.ILC3.RunDC_19T058771.01.czi,HighPlex FL v4.2.5_ILC3-Default,Layer 1,67202088,319888,14050,28722,31519,9293,23965,15821,1074,30445,15560,15959,,,,,,,,,,,,55892,210838,4281,6613,4.392162,8.978767,9.853136,2.905079,7.491684,4.945794,0.335743,9.517393,4.864202,4.988934,,,,,,,,,,,,17.472364,65.909943,1.338281,2.067286,,,27.05897225,138.2843938,356.6109434,235.4242327,,,,,,63.70337779,98.40468052
169918_NVA_17-001.ILC3.RunDC_20T034660.04.czi,HighPlex FL v4.2.5_ILC3-Default,Layer 1,61024284,592385,80783,117487,72150,65406,102110,19101,2849,69301,52545,19605,,,,,,,,,,,,19971,374030,3625,5112,13.636909,19.832878,12.179579,11.04113,17.237101,3.224423,0.480937,11.698642,8.870076,3.309503,,,,,,,,,,,,3.371287,63.139683,0.611933,0.862952,,,18.97806398,1071.802825,1673.268301,313.0065402,,,,,,59.40258144,83.76993002
169919_NVA_17-001.ILC3.RunDC_20T040991.01.czi,HighPlex FL v4.2.5_ILC3-Default,Layer 1,18346184,159243,20308,14966,45005,17964,12622,31478,3127,41878,11598,33407,,,,,,,,,,,,12311,107225,5175,1101,12.752837,9.398215,28.261839,11.280872,7.926251,19.767275,1.963666,26.298174,7.283209,20.97863,,,,,,,,,,,,7.730952,67.334198,3.24975,0.691396,,,16.44005337,979.168202,687.9904835,1715.779151,,,,,,282.0750081,60.01247998
169920_NVA_17-001.ILC3.RunDC_20T044736.01.czi,HighPlex FL v4.2.5_ILC3-Default,Layer 1,28228472,184703,3838,5092,17516,3183,4437,14376,279,17237,2996,14520,,,,,,,,,,,,6003,143689,1138,404,2.07793,2.756858,9.483333,1.723307,2.402235,7.783306,0.151053,9.332279,1.622064,7.861269,,,,,,,,,,,,3.250082,77.794624,0.616124,0.21873,,,7.915971063,112.7584943,157.1817277,509.2730489,,,,,,40.31390718,14.3117913
169921_NVA_17-001.ILC3.RunDC_20T047891.01.czi,HighPlex FL v4.2.5_ILC3-Default,Layer 1,34672968,180056,5636,17065,33471,3315,14744,21143,1135,32336,12144,21327,,,,,,,,,,,,4886,111897,1536,1021,3.130137,9.477607,18.589216,1.841094,8.188563,11.742458,0.630359,17.958857,6.744568,11.844648,,,,,,,,,,,,2.7136,62.145664,0.853068,0.567046,,,7.264815778,95.60762148,425.2303985,609.7833909,,,,,,44.29964,29.4465706
