"Image Location"|"Image Tag"|"Algorithm Name"|"Start Time"|"Job Id"|"Analysis Region"|"Analysis Inputs"|"TH1 Count"|"ILC1 Count"|"TH1 within 50μm of ILC1"|"% TH1 within 50μm of ILC1"|"Average Distance (μm) to ILC1"|"Number of Unique ILC1"|"Average number of TH1 within 50μm of ILC1"|"TH1 within 0-5μm of ILC1"|"TH1 within 5-10μm of ILC1"|"TH1 within 10-15μm of ILC1"|"TH1 within 15-20μm of ILC1"|"TH1 within 20-25μm of ILC1"|"TH1 within 25-30μm of ILC1"|"TH1 within 30-35μm of ILC1"|"TH1 within 35-40μm of ILC1"|"TH1 within 40-45μm of ILC1"|"TH1 within 45-50μm of ILC1"|"TH2 Count"|"TH2 within 50μm of ILC1"|"% TH2 within 50μm of ILC1"|"Average number of TH2 within 50μm of ILC1"|"TH2 within 0-5μm of ILC1"|"TH2 within 5-10μm of ILC1"|"TH2 within 10-15μm of ILC1"|"TH2 within 15-20μm of ILC1"|"TH2 within 20-25μm of ILC1"|"TH2 within 25-30μm of ILC1"|"TH2 within 30-35μm of ILC1"|"TH2 within 35-40μm of ILC1"|"TH2 within 40-45μm of ILC1"|"TH2 within 45-50μm of ILC1"|"TH17 Count"|"TH17 within 50μm of ILC1"|"% TH17 within 50μm of ILC1"|"Average number of TH17 within 50μm of ILC1"|"TH17 within 0-5μm of ILC1"|"TH17 within 5-10μm of ILC1"|"TH17 within 10-15μm of ILC1"|"TH17 within 15-20μm of ILC1"|"TH17 within 20-25μm of ILC1"|"TH17 within 25-30μm of ILC1"|"TH17 within 30-35μm of ILC1"|"TH17 within 35-40μm of ILC1"|"TH17 within 40-45μm of ILC1"|"TH17 within 45-50μm of ILC1"|"ILC2 Count"|"TH1 within 50μm of ILC2"|"% TH1 within 50μm of ILC2"|"Average Distance (μm) to ILC2"|"Number of Unique ILC2"|"Average number of TH1 within 50μm of ILC2"|"TH1 within 0-5μm of ILC2"|"TH1 within 5-10μm of ILC2"|"TH1 within 10-15μm of ILC2"|"TH1 within 15-20μm of ILC2"|"TH1 within 20-25μm of ILC2"|"TH1 within 25-30μm of ILC2"|"TH1 within 30-35μm of ILC2"|"TH1 within 35-40μm of ILC2"|"TH1 within 40-45μm of ILC2"|"TH1 within 45-50μm of ILC2"|"TH2 within 50μm of ILC2"|"% TH2 within 50μm of ILC2"|"Average number of TH2 within 50μm of ILC2"|"TH2 within 0-5μm of ILC2"|"TH2 within 5-10μm of ILC2"|"TH2 within 10-15μm of ILC2"|"TH2 within 15-20μm of ILC2"|"TH2 within 20-25μm of ILC2"|"TH2 within 25-30μm of ILC2"|"TH2 within 30-35μm of ILC2"|"TH2 within 35-40μm of ILC2"|"TH2 within 40-45μm of ILC2"|"TH2 within 45-50μm of ILC2"|"TH17 within 50μm of ILC2"|"% TH17 within 50μm of ILC2"|"Average number of TH17 within 50μm of ILC2"|"TH17 within 0-5μm of ILC2"|"TH17 within 5-10μm of ILC2"|"TH17 within 10-15μm of ILC2"|"TH17 within 15-20μm of ILC2"|"TH17 within 20-25μm of ILC2"|"TH17 within 25-30μm of ILC2"|"TH17 within 30-35μm of ILC2"|"TH17 within 35-40μm of ILC2"|"TH17 within 40-45μm of ILC2"|"TH17 within 45-50μm of ILC2"|"ILC3 Count"|"TH1 within 50μm of ILC3"|"% TH1 within 50μm of ILC3"|"Average Distance (μm) to ILC3"|"Number of Unique ILC3"|"Average number of TH1 within 50μm of ILC3"|"TH1 within 0-5μm of ILC3"|"TH1 within 5-10μm of ILC3"|"TH1 within 10-15μm of ILC3"|"TH1 within 15-20μm of ILC3"|"TH1 within 20-25μm of ILC3"|"TH1 within 25-30μm of ILC3"|"TH1 within 30-35μm of ILC3"|"TH1 within 35-40μm of ILC3"|"TH1 within 40-45μm of ILC3"|"TH1 within 45-50μm of ILC3"|"TH2 within 50μm of ILC3"|"% TH2 within 50μm of ILC3"|"Average number of TH2 within 50μm of ILC3"|"TH2 within 0-5μm of ILC3"|"TH2 within 5-10μm of ILC3"|"TH2 within 10-15μm of ILC3"|"TH2 within 15-20μm of ILC3"|"TH2 within 20-25μm of ILC3"|"TH2 within 25-30μm of ILC3"|"TH2 within 30-35μm of ILC3"|"TH2 within 35-40μm of ILC3"|"TH2 within 40-45μm of ILC3"|"TH2 within 45-50μm of ILC3"|"TH17 within 50μm of ILC3"|"% TH17 within 50μm of ILC3"|"Average number of TH17 within 50μm of ILC3"|"TH17 within 0-5μm of ILC3"|"TH17 within 5-10μm of ILC3"|"TH17 within 10-15μm of ILC3"|"TH17 within 15-20μm of ILC3"|"TH17 within 20-25μm of ILC3"|"TH17 within 25-30μm of ILC3"|"TH17 within 30-35μm of ILC3"|"TH17 within 35-40μm of ILC3"|"TH17 within 40-45μm of ILC3"|"TH17 within 45-50μm of ILC3"
"\\srvnas01.icr.local\anapath\Imagin_Data\VAN ACKER Nathalie\17-001.ILC1.RunDC\169898_NVA_17-001.ILC1.RunDC_19T006813.10.czi"|"169898_NVA_17-001.ILC1.RunDC_19T006813.10.czi"|"Proximity Analysis ILC1 & TH1"|"21/01/2025 17:01:20"|"99731"|"Layer 1"|"Proximity Analysis ILC1 & TH1:;Population:TH1;Within:50;Population 2:ILC1;Number of Bands:10;Store Object (Pair) Data:False;Generate Markup Image:False"|"11"|"760"|"2"|"18,18"|"82,02"|"11"|"0,18181819"|"0"|"0"|"1"|"0"|"0"|"0"|"1"|"0"|"0"|"0"||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
"\\srvnas01.icr.local\anapath\Imagin_Data\VAN ACKER Nathalie\17-001.ILC1.RunDC\169898_NVA_17-001.ILC1.RunDC_19T006813.10.czi"|"169898_NVA_17-001.ILC1.RunDC_19T006813.10.czi"|"Proximity Analysis ILC1 & TH2"|"21/01/2025 17:02:01"|"99732"|"Layer 1"|"Proximity Analysis ILC1 & TH2:;Population:TH2;Within:50;Population 2:ILC1;Number of Bands:10;Store Object (Pair) Data:False;Generate Markup Image:False"||"760"|||"53,11"|"25"||||||||||||"175"|"92"|"52,57"|"3,68"|"1"|"8"|"3"|"5"|"7"|"10"|"12"|"15"|"17"|"14"||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
"\\srvnas01.icr.local\anapath\Imagin_Data\VAN ACKER Nathalie\17-001.ILC1.RunDC\169898_NVA_17-001.ILC1.RunDC_19T006813.10.czi"|"169898_NVA_17-001.ILC1.RunDC_19T006813.10.czi"|"Proximity Analysis ILC1 & TH17"|"21/01/2025 17:02:50"|"99733"|"Layer 1"|"Proximity Analysis ILC1 & TH17:;Population:TH17;Within:50;Population 2:ILC1;Number of Bands:10;Store Object (Pair) Data:False;Generate Markup Image:False"||"760"|||"137,49"|"169"||||||||||||||||||||||||||"312"|"79"|"25,32"|"0,46745563"|"0"|"6"|"5"|"7"|"9"|"14"|"9"|"9"|"10"|"10"||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
"\\srvnas01.icr.local\anapath\Imagin_Data\VAN ACKER Nathalie\17-001.ILC1.RunDC\169898_NVA_17-001.ILC1.RunDC_19T006813.10.czi"|"169898_NVA_17-001.ILC1.RunDC_19T006813.10.czi"|"Proximity Analysis ILC2 & TH1"|"21/01/2025 17:03:46"|"99734"|"Layer 1"|"Proximity Analysis ILC2 & TH1:;Population:TH1;Within:50;Population 2:ILC2;Number of Bands:10;Store Object (Pair) Data:False;Generate Markup Image:False"|"11"|||||||||||||||||||||||||||||||||||||||||||||"16"|"0"|"0"|"596,8"|"9"|"0"|"0"|"0"|"0"|"0"|"0"|"0"|"0"|"0"|"0"|"0"||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
"\\srvnas01.icr.local\anapath\Imagin_Data\VAN ACKER Nathalie\17-001.ILC1.RunDC\169898_NVA_17-001.ILC1.RunDC_19T006813.10.czi"|"169898_NVA_17-001.ILC1.RunDC_19T006813.10.czi"|"Proximity Analysis ILC2 & TH2"|"21/01/2025 17:06:43"|"99735"|"Layer 1"|"Proximity Analysis ILC2 & TH2:;Population:TH2;Within:50;Population 2:ILC2;Number of Bands:10;Store Object (Pair) Data:False;Generate Markup Image:False"||||||||||||||||||"175"||||||||||||||||||||||||||||"16"|||"128,81"|"6"||||||||||||"31"|"17,71"|"5,1666665"|"1"|"0"|"1"|"4"|"3"|"6"|"4"|"3"|"4"|"5"|||||||||||||||||||||||||||||||||||||||||||||||||||||||
"\\srvnas01.icr.local\anapath\Imagin_Data\VAN ACKER Nathalie\17-001.ILC1.RunDC\169898_NVA_17-001.ILC1.RunDC_19T006813.10.czi"|"169898_NVA_17-001.ILC1.RunDC_19T006813.10.czi"|"Proximity Analysis ILC2 & TH17"|"21/01/2025 17:14:44"|"99736"|"Layer 1"|"Proximity Analysis ILC2 & TH17:;Population:TH17;Within:50;Population 2:ILC2;Number of Bands:10;Store Object (Pair) Data:False;Generate Markup Image:False"||||||||||||||||||||||||||||||||"312"||||||||||||||"16"|||"943,81"|"16"|||||||||||||||||||||||||"8"|"2,56"|"0,5"|"0"|"0"|"1"|"0"|"0"|"3"|"1"|"1"|"1"|"1"||||||||||||||||||||||||||||||||||||||||||
"\\srvnas01.icr.local\anapath\Imagin_Data\VAN ACKER Nathalie\17-001.ILC1.RunDC\169898_NVA_17-001.ILC1.RunDC_19T006813.10.czi"|"169898_NVA_17-001.ILC1.RunDC_19T006813.10.czi"|"Proximity Analysis ILC3 & TH1"|"21/01/2025 17:16:22"|"99737"|"Layer 1"|"Proximity Analysis ILC3 & TH1:;Population:TH1;Within:50;Population 2:ILC3;Number of Bands:10;Store Object (Pair) Data:False;Generate Markup Image:False"|"11"|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||"1536"|"6"|"54,55"|"61,5"|"11"|"0,54545456"|"0"|"0"|"1"|"1"|"0"|"1"|"1"|"2"|"0"|"0"||||||||||||||||||||||||||
"\\srvnas01.icr.local\anapath\Imagin_Data\VAN ACKER Nathalie\17-001.ILC1.RunDC\169898_NVA_17-001.ILC1.RunDC_19T006813.10.czi"|"169898_NVA_17-001.ILC1.RunDC_19T006813.10.czi"|"Proximity Analysis ILC3 & TH2"|"21/01/2025 17:17:19"|"99738"|"Layer 1"|"Proximity Analysis ILC3 & TH2:;Population:TH2;Within:50;Population 2:ILC3;Number of Bands:10;Store Object (Pair) Data:False;Generate Markup Image:False"||||||||||||||||||"175"||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||"1536"|||"50,04"|"27"||||||||||||"90"|"51,43"|"3,3333333"|"1"|"4"|"9"|"9"|"7"|"16"|"5"|"13"|"17"|"9"|||||||||||||
"\\srvnas01.icr.local\anapath\Imagin_Data\VAN ACKER Nathalie\17-001.ILC1.RunDC\169898_NVA_17-001.ILC1.RunDC_19T006813.10.czi"|"169898_NVA_17-001.ILC1.RunDC_19T006813.10.czi"|"Proximity Analysis ILC3 & TH17"|"21/01/2025 17:18:30"|"99739"|"Layer 1"|"Proximity Analysis ILC3 & TH17:;Population:TH17;Within:50;Population 2:ILC3;Number of Bands:10;Store Object (Pair) Data:False;Generate Markup Image:False"||||||||||||||||||||||||||||||||"312"||||||||||||||||||||||||||||||||||||||||||||||||||||||||"1536"|||"50,2"|"230"|||||||||||||||||||||||||"210"|"67,31"|"0,9130435"|"7"|"32"|"29"|"27"|"15"|"23"|"22"|"29"|"14"|"12"
"\\srvnas01.icr.local\anapath\Imagin_Data\VAN ACKER Nathalie\17-001.ILC1.RunDC\169899_NVA_17-001.ILC1.RunDC_19T029473.01.czi"|"169899_NVA_17-001.ILC1.RunDC_19T029473.01.czi"|"Proximity Analysis ILC1 & TH1"|"21/01/2025 16:43:13"|"99713"|"Layer 1"|"Proximity Analysis ILC1 & TH1:;Population:TH1;Within:50;Population 2:ILC1;Number of Bands:10;Store Object (Pair) Data:False;Generate Markup Image:False"|"86"|"8832"|"73"|"84,88"|"31,18"|"76"|"0,9605263"|"1"|"23"|"15"|"9"|"6"|"5"|"4"|"4"|"6"|"0"||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
