Image Tag,Algorithm Name,Analysis Region,% CD20 Positive Cells,% TCR-Alpha-Delta Positive Cells,% IL7R Positive Cells,% B-Cells:CD20+TCR- Positive Cells,% T-Cells:CD20-TCR+ Positive Cells,% Pool-ILCs:CD20-TCR-IL7R+ Positive Cells,% IL7R+CD20+ Positive Cells,% IL7R+CD20- Positive Cells,% IL7R+TCR+ Positive Cells,% IL7R+TCR- Positive Cells,% EOMES Positive Cells,% TBX Positive Cells,% ILC1:TBX+EOMES+CD20-TCR-IL7R+ Positive Cells,% ILC1:TBX+EOMES-CD20-TCR-IL7R+ Positive Cells,% ILC1s:TBX+EOMES+/-CD20-TCR-IL7R+ Positive Cells,% NK/ILC1ie:TBX+EOMES+CD20-TCR-IL7R- Positive Cells,% T-Helper:CD20-TCR+TBX+EOMES+ Positive Cells,% GATA Positive Cells,% ICOS Positive Cells,% ILC2:GATA+ICOS+CD20-TCR-IL7R+ Positive Cells,% T-Helper:CD20-TCR+GATA+ICOS+ Positive Cells,% ROR-GammaT Positive Cells,% AHR Positive Cells,% ILC3:ROR+AHR+CD20-TCR-IL7R+ Positive Cells,% T-Helper:CD20-TCR+ROR+AHR+ Positive Cells
178933_NVA_17-001.ILC1.RunFL_15T030077.01.czi,HighPlex FL v4.2.5_ILC1-Default,LF Excluded,1.615473,5.422247,1.780334,1.204111,5.010886,1.185574,0.028003,1.752331,0.589238,1.191096,1.777967,1.02032,0.00986,0.037863,0.047723,0.021692,0.006705,,,,,,,,
178934_NVA_17-001.ILC1.RunFL_21T006796.00.czi,HighPlex FL v4.2.5_ILC1-Default,LF Excluded,11.468048,46.969807,26.09255,7.462331,42.964088,1.265559,0.594962,25.497587,24.813889,1.278661,0.298374,0.198321,0.000596,0.015484,0.01608,0,0.002382,,,,,,,,
178935_NVA_17-001.ILC1.RunFL_21T011790.01.czi,HighPlex FL v4.2.5_ILC1-Default,LF Excluded,4.274229,29.267275,33.874622,2.004,26.997046,10.800143,1.165578,32.709042,22.953947,10.920674,4.280851,1.086107,0.118545,0.223844,0.342389,0.007947,0.124505,,,,,,,,
178936_NVA_17-001.ILC1.RunFL_21T017026.01.czi,HighPlex FL v4.2.5_ILC1-Default,LF Excluded,11.825192,44.075161,63.69392,4.713322,36.963291,23.899805,6.344871,57.349049,38.261646,25.432274,1.862988,18.179245,0.306035,4.715234,5.021269,0.085307,0.927286,,,,,,,,
178937_NVA_17-001.ILC1.RunFL_21T013762.00.czi,HighPlex FL v4.2.5_ILC1-Default,LF Excluded,9.70566,48.835888,53.814121,2.49858,41.628811,11.749952,5.035018,48.779102,41.941132,11.872989,8.233958,7.396366,0.345448,0.610449,0.955897,0.085179,2.219383,,,,,,,,
178938_NVA_17-001.ILC1.RunFL_21T026643.01.czi,HighPlex FL v4.2.5_ILC1-Default,LF Excluded,8.196032,26.215794,15.676142,4.45819,22.477953,4.880883,0.656169,15.019973,10.734401,4.941741,1.41082,1.242628,0.044261,0.237903,0.282164,0.034302,0.021024,,,,,,,,
178939_NVA_17-001.ILC1.RunFL_22T007116.00.czi,HighPlex FL v4.2.5_ILC1-Default,LF Excluded,17.096581,36.322735,27.698097,6.552326,25.778481,6.216938,5.210776,22.48732,21.006708,6.691389,7.550308,2.10367,0.185417,0.259039,0.444456,0.053171,0.597153,,,,,,,,
178940_NVA_17-001.ILC1.RunFL_22T023296.07.czi,HighPlex FL v4.2.5_ILC1-Default,LF Excluded,13.445345,52.263546,40.222591,5.686008,44.504211,5.076723,4.276731,35.945858,34.851494,5.371097,8.425345,5.632219,0.12616,0.463565,0.589725,0.016626,1.112948,,,,,,,,
178941_NVA_17-001.ILC2.RunFL_15T030077.01.czi,HighPlex FL v4.2.5_ILC2-Default,LF Excluded,0.817902,5.525401,0.540553,0.5923,5.299798,0.320534,0.004095,0.536458,0.219274,0.321279,,,,,,,,0.512632,0.410254,0,0.021592,,,,
178942_NVA_17-001.ILC2.RunFL_21T006796.00.czi,HighPlex FL v4.2.5_ILC2-Default,LF Excluded,8.299436,37.613766,21.489567,6.017383,35.331715,1.610137,0.395072,21.094496,19.860701,1.628867,,,,,,,,2.977964,11.369289,0.011706,1.599017,,,,
