Image Tag,Algorithm Name,Analysis Region,% CD20 Positive Cells,% TCR-Alpha-Delta Positive Cells,% IL7R Positive Cells,% B-Cells:CD20+TCR- Positive Cells,% T-Cells:CD20-TCR+ Positive Cells,% Pool-ILCs:CD20-TCR-IL7R+ Positive Cells,% IL7R+CD20+ Positive Cells,% IL7R+CD20- Positive Cells,% IL7R+TCR+ Positive Cells,% IL7R+TCR- Positive Cells,% EOMES Positive Cells,% TBX Positive Cells,% ILC1:TBX+EOMES+CD20-TCR-IL7R+ Positive Cells,% ILC1:TBX+EOMES-CD20-TCR-IL7R+ Positive Cells,% ILC1s:TBX+EOMES+/-CD20-TCR-IL7R+ Positive Cells,% NK/ILC1ie:TBX+EOMES+CD20-TCR-IL7R- Positive Cells,% T-Helper:CD20-TCR+TBX+EOMES+ Positive Cells,% GATA Positive Cells,% ICOS Positive Cells,% ILC2:GATA+ICOS+CD20-TCR-IL7R+ Positive Cells,% T-Helper:CD20-TCR+GATA+ICOS+ Positive Cells,% ROR-GammaT Positive Cells,% AHR Positive Cells,% ILC3:ROR+AHR+CD20-TCR-IL7R+ Positive Cells,% T-Helper:CD20-TCR+ROR+AHR+ Positive Cells
178933_NVA_17-001.ILC1.RunFL_15T030077.01.czi,HighPlex FL v4.2.5_ILC1-Default,Layer 1,2.942642,6.285802,1.827246,2.251713,5.594873,1.190545,0.037437,1.789809,0.627342,1.199904,1.924141,0.922156,0.007708,0.032482,0.04019,0.017617,0.007157,,,,,,,,
178934_NVA_17-001.ILC1.RunFL_21T006796.00.czi,HighPlex FL v4.2.5_ILC1-Default,Layer 1,24.824127,32.898373,11.604843,19.024858,27.099104,0.669572,0.435699,11.169144,10.918906,0.685937,0.234896,0.108754,0.000511,0.0075,0.008011,0.000341,0.000682,,,,,,,,
178935_NVA_17-001.ILC1.RunFL_21T011790.01.czi,HighPlex FL v4.2.5_ILC1-Default,Layer 1,24.146688,37.369301,26.681599,12.951027,26.173639,6.834965,2.353309,24.328289,19.688833,6.992765,5.238705,0.833015,0.073684,0.147041,0.220725,0.004891,0.103679,,,,,,,,
178936_NVA_17-001.ILC1.RunFL_21T017026.01.czi,HighPlex FL v4.2.5_ILC1-Default,Layer 1,18.897713,42.86013,59.245037,9.670859,33.633278,21.723898,7.228065,52.016972,35.703289,23.541748,1.745416,16.573116,0.277618,4.160933,4.438551,0.074254,0.831035,,,,,,,,
178937_NVA_17-001.ILC1.RunFL_21T013762.00.czi,HighPlex FL v4.2.5_ILC1-Default,Layer 1,31.404156,51.518093,40.955093,12.957894,33.071831,6.982591,7.923045,33.032047,33.547626,7.407466,11.33955,9.391808,0.230737,0.41851,0.649247,0.068426,2.730658,,,,,,,,
178938_NVA_17-001.ILC1.RunFL_21T026643.01.czi,HighPlex FL v4.2.5_ILC1-Default,Layer 1,19.388681,27.123108,10.62916,12.59228,20.326706,3.032553,0.641553,9.987607,7.538381,3.090779,1.543253,0.821038,0.028312,0.139956,0.168268,0.021901,0.019231,,,,,,,,
178939_NVA_17-001.ILC1.RunFL_22T007116.00.czi,HighPlex FL v4.2.5_ILC1-Default,Layer 1,11.583625,30.180769,21.70591,4.87088,23.468023,5.135197,3.19839,18.507519,16.259304,5.446605,6.924654,1.766672,0.153425,0.202795,0.35622,0.040255,0.502051,,,,,,,,
178940_NVA_17-001.ILC1.RunFL_22T023296.07.czi,HighPlex FL v4.2.5_ILC1-Default,Layer 1,28.031384,39.677963,24.186979,19.547644,31.194221,2.886146,3.357522,20.829456,20.981758,3.205221,5.571751,3.839236,0.067192,0.243269,0.310461,0.007925,0.640906,,,,,,,,
178941_NVA_17-001.ILC2.RunFL_15T030077.01.czi,HighPlex FL v4.2.5_ILC2-Default,Layer 1,1.673017,6.472268,0.521641,1.237285,6.036535,0.316545,0.00516,0.516481,0.203806,0.317835,,,,,,,,0.652954,0.617868,0.000258,0.041793,,,,
178942_NVA_17-001.ILC2.RunFL_21T006796.00.czi,HighPlex FL v4.2.5_ILC2-Default,Layer 1,16.506737,24.34297,9.096408,13.751631,21.587866,0.768435,0.269512,8.826896,8.308089,0.788319,,,,,,,,1.546227,11.294109,0.00518,0.839614,,,,
