Image Tag,Algorithm Name,Analysis Region,% CD20 Positive Cells,% TCR-Alpha-Delta Positive Cells,% IL7R Positive Cells,% B-Cells:CD20+TCR- Positive Cells,% T-Cells:CD20-TCR+ Positive Cells,% Pool-ILCs:CD20-TCR-IL7R+ Positive Cells,% IL7R+CD20+ Positive Cells,% IL7R+CD20- Positive Cells,% IL7R+TCR+ Positive Cells,% IL7R+TCR- Positive Cells,% EOMES Positive Cells,% TBX Positive Cells,% ILC1:TBX+EOMES+CD20-TCR-IL7R+ Positive Cells,% ILC1:TBX+EOMES-CD20-TCR-IL7R+ Positive Cells,% ILC1s:TBX+EOMES+/-CD20-TCR-IL7R+ Positive Cells,% NK/ILC1ie:TBX+EOMES+CD20-TCR-IL7R- Positive Cells,% T-Helper:CD20-TCR+TBX+EOMES+ Positive Cells,% GATA Positive Cells,% ICOS Positive Cells,% ILC2:GATA+ICOS+CD20-TCR-IL7R+ Positive Cells,% T-Helper:CD20-TCR+GATA+ICOS+ Positive Cells,% ROR-GammaT Positive Cells,% AHR Positive Cells,% ILC3:ROR+AHR+CD20-TCR-IL7R+ Positive Cells,% T-Helper:CD20-TCR+ROR+AHR+ Positive Cells
178933_NVA_17-001.ILC1.RunFL_15T030077.01.czi,HighPlex FL v4.2.5_ILC1-Default,LymphomatousFollicle,6.033559,8.28162,1.946338,4.686163,6.934225,1.210495,0.061245,1.885093,0.71693,1.229409,2.274181,0.695314,0.002702,0.019815,0.022517,0.009007,0.008106,,,,,,,,
178934_NVA_17-001.ILC1.RunFL_21T006796.00.czi,HighPlex FL v4.2.5_ILC1-Default,LymphomatousFollicle,30.379347,27.295994,5.826474,23.7372,20.653847,0.430605,0.394643,5.431831,5.378356,0.448118,0.206662,0.073091,0.000467,0.004203,0.00467,0.000467,0,,,,,,,,
178935_NVA_17-001.ILC1.RunFL_21T011790.01.czi,HighPlex FL v4.2.5_ILC1-Default,LymphomatousFollicle,43.386543,45.215702,19.726812,23.547451,25.37661,2.99941,3.501129,16.225683,16.534927,3.191885,6.168198,0.589617,0.030796,0.072499,0.103295,0.001925,0.084689,,,,,,,,
178936_NVA_17-001.ILC1.RunFL_21T017026.01.czi,HighPlex FL v4.2.5_ILC1-Default,LymphomatousFollicle,45.873219,38.22525,42.270313,28.583937,20.935968,13.42371,10.601506,31.668806,25.935385,16.334929,1.29728,10.443906,0.169274,2.045879,2.215153,0.032104,0.466962,,,,,,,,
178937_NVA_17-001.ILC1.RunFL_21T013762.00.czi,HighPlex FL v4.2.5_ILC1-Default,LymphomatousFollicle,42.337093,52.940475,34.506973,18.218517,28.821899,4.545671,9.404262,25.102713,29.388018,5.118957,12.925186,10.409899,0.169597,0.315307,0.484904,0.059717,2.995414,,,,,,,,
178938_NVA_17-001.ILC1.RunFL_21T026643.01.czi,HighPlex FL v4.2.5_ILC1-Default,LymphomatousFollicle,29.786928,27.982904,5.962728,20.137049,18.333025,1.316033,0.630792,5.331936,4.591218,1.37151,1.681769,0.428404,0.014383,0.048285,0.062668,0.010273,0.017465,,,,,,,,
178939_NVA_17-001.ILC1.RunFL_22T007116.00.czi,HighPlex FL v4.2.5_ILC1-Default,LymphomatousFollicle,4.610872,22.433401,14.187694,2.73599,20.558519,3.773779,0.660411,13.527283,10.304132,3.883562,6.142683,1.343122,0.113213,0.133798,0.247011,0.024015,0.382524,,,,,,,,
178940_NVA_17-001.ILC1.RunFL_22T023296.07.czi,HighPlex FL v4.2.5_ILC1-Default,LymphomatousFollicle,35.773235,32.885139,15.602474,26.927948,24.039852,1.725575,2.860128,12.742346,13.547087,2.055387,4.042174,2.89179,0.035356,0.129814,0.16517,0.003166,0.386803,,,,,,,,
178941_NVA_17-001.ILC2.RunFL_15T030077.01.czi,HighPlex FL v4.2.5_ILC2-Default,LymphomatousFollicle,3.597003,8.592101,0.480154,2.6774,7.672498,0.309857,0.007476,0.472678,0.167805,0.312349,,,,,,,,0.992706,1.0899,0.000831,0.086395,,,,
178942_NVA_17-001.ILC2.RunFL_21T006796.00.czi,HighPlex FL v4.2.5_ILC2-Default,LymphomatousFollicle,19.964449,19.084135,4.176914,16.925217,16.044903,0.435353,0.233347,3.943567,3.720972,0.455942,,,,,,,,0.973195,11.232233,0.002745,0.534411,,,,
178943_NVA_17-001.ILC2.RunFL_21T011790.01.czi,HighPlex FL v4.2.5_ILC2-Default,LymphomatousFollicle,42.752346,47.497925,14.807014,20.849318,25.594898,1.738037,2.228602,12.578413,13.020374,1.78664,,,,,,,,30.97426,44.85458,0.230701,13.967157,,,,
178944_NVA_17-001.ILC2.RunFL_21T017026.01.czi,HighPlex FL v4.2.5_ILC2-Default,LymphomatousFollicle,46.282803,31.771179,37.209435,32.450962,17.939339,12.794885,9.149696,28.05974,21.685341,15.524095,,,,,,,,14.314313,15.972002,0.946222,2.864591,,,,
178945_NVA_17-001.ILC2.RunFL_21T013762.00.czi,HighPlex FL v4.2.5_ILC2-Default,LymphomatousFollicle,32.313164,39.445404,22.347036,17.178782,24.311022,5.212115,4.388508,17.958527,16.764542,5.582495,,,,,,,,34.223545,43.353882,0.947879,12.483248,,,,
178946_NVA_17-001.ILC2.RunFL_21T026643.01.czi,HighPlex FL v4.2.5_ILC2-Default,LymphomatousFollicle,11.668063,12.241273,2.041558,9.221827,9.795037,0.820458,0.051468,1.99009,1.216054,0.825504,,,,,,,,3.759171,28.847221,0.058532,1.053577,,,,
178947_NVA_17-001.ILC2.RunFL_22T007116.00.czi,HighPlex FL v4.2.5_ILC2-Default,LymphomatousFollicle,3.830545,31.720881,2.967782,1.057931,28.948265,0.354709,0.150248,2.817534,2.611524,0.356258,,,,,,,,14.66233,4.433085,0.003098,1.553594,,,,
178948_NVA_17-001.ILC2.RunFL_22T023296.07.czi,HighPlex FL v4.2.5_ILC2-Default,LymphomatousFollicle,24.031929,25.430071,6.474075,18.912167,20.310308,0.928077,0.609769,5.864306,5.491212,0.982863,,,,,,,,11.981175,34.317474,0.091493,7.241081,,,,
178949_NVA_17-001.ILC3.RunFL_15T030077.01.czi,HighPlex FL v4.2.5_ILC3-Default,LymphomatousFollicle,9.218207,7.363262,0.599757,7.85842,6.003475,0.391403,0.032055,0.567703,0.19064,0.409117,,,,,,,,,,,,0.150994,27.684988,0.033742,0.003374
178950_NVA_17-001.ILC3.RunFL_21T006796.00.czi,HighPlex FL v4.2.5_ILC3-Default,LymphomatousFollicle,34.565189,22.22636,4.120809,28.258461,15.919634,0.382675,0.306093,3.814715,3.725178,0.395631,,,,,,,,,,,,0.099486,74.866562,0.004396,0.00856
178951_NVA_17-001.ILC3.RunFL_21T011790.01.czi,HighPlex FL v4.2.5_ILC3-Default,LymphomatousFollicle,43.839764,27.730907,4.988349,30.977079,14.868223,1.447189,0.44797,4.540379,3.487584,1.500765,,,,,,,,,,,,0.38213,17.22039,0.021301,0.038729
178952_NVA_17-001.ILC3.RunFL_21T017026.01.czi,HighPlex FL v4.2.5_ILC3-Default,LymphomatousFollicle,36.94521,26.252422,29.077208,27.245033,16.552246,11.490081,5.407611,23.669596,16.104771,12.972437,,,,,,,,,,,,0.768143,50.815514,0.246331,0.214264
178953_NVA_17-001.ILC3.RunFL_21T013762.00.czi,HighPlex FL v4.2.5_ILC3-Default,LymphomatousFollicle,38.355892,48.096088,8.70643,13.186078,22.926273,1.249442,1.48991,7.21652,7.444593,1.261837,,,,,,,,,,,,1.132927,65.67009,0.012395,0.404085
178954_NVA_17-001.ILC3.RunFL_21T026643.01.czi,HighPlex FL v4.2.5_ILC3-Default,LymphomatousFollicle,20.123838,14.642555,1.216276,16.370472,10.889188,0.349805,0.044228,1.172048,0.863455,0.352821,,,,,,,,,,,,0.062322,8.233485,0.007036,0.005026
178955_NVA_17-001.ILC3.RunFL_22T007116.00.czi,HighPlex FL v4.2.5_ILC3-Default,LymphomatousFollicle,8.511788,17.999352,1.300005,5.897883,15.385447,0.296438,0.108076,1.191928,0.994303,0.305702,,,,,,,,,,,,0.342757,66.491684,0.044775,0.098813
178956_NVA_17-001.ILC3.RunFL_22T023296.07.czi,HighPlex FL v4.2.5_ILC3-Default,LymphomatousFollicle,38.056293,31.017286,4.54704,28.297621,21.258612,0.500824,0.619691,3.927349,4.017687,0.529352,,,,,,,,,,,,0.073961,24.901737,0.005811,0.02166
