Image Tag,Algorithm Name,Analysis Region,Area Analyzed (μm²),Total Cells,CD20 Positive Cells,TCR-Alpha-Delta Positive Cells,IL7R Positive Cells,B-Cells:CD20+TCR- Cells,T-Cells:CD20-TCR+ Cells,Pool-ILCs:CD20-TCR-IL7R+ Cells,IL7R+CD20+ Cells,IL7R+CD20- Cells,IL7R+TCR+ Cells,IL7R+TCR- Cells,EOMES Positive Cells,TBX Positive Cells,ILC1:TBX+EOMES+CD20-TCR-IL7R+ Cells,ILC1:TBX+EOMES-CD20-TCR-IL7R+ Cells,ILC1s:TBX+EOMES+/-CD20-TCR-IL7R+ Positive Cells,NK/ILC1ie:TBX+EOMES+CD20-TCR-IL7R- Cells,T-Helper:CD20-TCR+TBX+EOMES+ Cells,GATA Positive Cells,ICOS Positive Cells,ILC2:GATA+ICOS+CD20-TCR-IL7R+ Cells,T-Helper:CD20-TCR+GATA+ICOS+ Cells,ROR-GammaT Positive Cells,AHR Positive Cells,ILC3:ROR+AHR+CD20-TCR-IL7R+ Cells,T-Helper:CD20-TCR+ROR+AHR+ Cells,% CD20 Positive Cells,% TCR-Alpha-Delta Positive Cells,% IL7R Positive Cells,% B-Cells:CD20+TCR- Positive Cells,% T-Cells:CD20-TCR+ Positive Cells,% Pool-ILCs:CD20-TCR-IL7R+ Positive Cells,% IL7R+CD20+ Positive Cells,% IL7R+CD20- Positive Cells,% IL7R+TCR+ Positive Cells,% IL7R+TCR- Positive Cells,% EOMES Positive Cells,% TBX Positive Cells,% ILC1:TBX+EOMES+CD20-TCR-IL7R+ Positive Cells,% ILC1:TBX+EOMES-CD20-TCR-IL7R+ Positive Cells,% ILC1s:TBX+EOMES+/-CD20-TCR-IL7R+ Positive Cells,% NK/ILC1ie:TBX+EOMES+CD20-TCR-IL7R- Positive Cells,% T-Helper:CD20-TCR+TBX+EOMES+ Positive Cells,% GATA Positive Cells,% ICOS Positive Cells,% ILC2:GATA+ICOS+CD20-TCR-IL7R+ Positive Cells,% T-Helper:CD20-TCR+GATA+ICOS+ Positive Cells,% ROR-GammaT Positive Cells,% AHR Positive Cells,% ILC3:ROR+AHR+CD20-TCR-IL7R+ Positive Cells,% T-Helper:CD20-TCR+ROR+AHR+ Positive Cells,%Pool-IL7R ILC1s:TBX+EOMES+/-CD20-TCR-IL7R+ Positive Cells,%Pool-IL7R ILC2:GATA+ICOS+CD20-TCR-IL7R+ Positive Cells,%Pool-IL7R ILC3:ROR+AHR+CD20-TCR-IL7R+ Positive Cells,B Cells - Density/mm²,T Cells - Density/mm²,Pool IL7R (Non B/T) - Density/mm²,NK/ILC1ie - Density/mm²,ILC1s - Density/mm²,TH1 - Density/mm²,ILC2 - Density/mm²,TH2 - Density/mm²,ILC3 - Density/mm²,TH17 - Density/mm²
178933_NVA_17-001.ILC1.RunFL_15T030077.01.czi,HighPlex FL v4.2.5_ILC1-Default,LF Excluded,24461792,253548,4096,13748,4514,3053,12705,3006,71,4443,1494,3020,4508,2587,25,96,121,55,17,,,,,,,,,1.615473,5.422247,1.780334,1.204111,5.010886,1.185574,0.028003,1.752331,0.589238,1.191096,1.777967,1.02032,0.00986,0.037863,0.047723,0.021692,0.006705,,,,,,,,,4.025282768,,,124.8068825,519.3814092,122.8855188,2.248404369,4.946489611,0.69496135,,,,
178934_NVA_17-001.ILC1.RunFL_21T006796.00.czi,HighPlex FL v4.2.5_ILC1-Default,LF Excluded,12398281,167910,19256,78867,43812,12530,72141,2125,999,42813,41665,2147,501,333,1,26,27,0,4,,,,,,,,,11.468048,46.969807,26.09255,7.462331,42.964088,1.265559,0.594962,25.497587,24.813889,1.278661,0.298374,0.198321,0.000596,0.015484,0.01608,0,0.002382,,,,,,,,,1.270588235,,,1010.623973,5818.629212,171.394728,0,2.17772125,0.32262537,,,,
178935_NVA_17-001.ILC1.RunFL_21T011790.01.czi,HighPlex FL v4.2.5_ILC1-Default,LF Excluded,10604031,150998,6454,44193,51150,3026,40765,16308,1760,49390,34660,16490,6464,1640,179,338,517,12,188,,,,,,,,,4.274229,29.267275,33.874622,2.004,26.997046,10.800143,1.165578,32.709042,22.953947,10.920674,4.280851,1.086107,0.118545,0.223844,0.342389,0.007947,0.124505,,,,,,,,,3.170223203,,,285.3631793,3844.292798,1537.905727,1.131645126,48.75504419,17.72910698,,,,
178936_NVA_17-001.ILC1.RunFL_21T017026.01.czi,HighPlex FL v4.2.5_ILC1-Default,LF Excluded,23048150,261408,30912,115216,166501,12321,96625,62476,16586,149915,100019,66482,4870,47522,800,12326,13126,223,2424,,,,,,,,,11.825192,44.075161,63.69392,4.713322,36.963291,23.899805,6.344871,57.349049,38.261646,25.432274,1.862988,18.179245,0.306035,4.715234,5.021269,0.085307,0.927286,,,,,,,,,21.00966771,,,534.5765278,4192.310446,2710.673091,9.675396941,569.5034092,105.1711309,,,,
178937_NVA_17-001.ILC1.RunFL_21T013762.00.czi,HighPlex FL v4.2.5_ILC1-Default,LF Excluded,1712207.625,21132,2051,10320,11372,528,8797,2483,1064,10308,8863,2509,1740,1563,73,129,202,18,469,,,,,,,,,9.70566,48.835888,53.814121,2.49858,41.628811,11.749952,5.035018,48.779102,41.941132,11.872989,8.233958,7.396366,0.345448,0.610449,0.955897,0.085179,2.219383,,,,,,,,,8.135320177,,,308.3738165,5137.811485,1450.174596,10.51274375,117.9763465,273.9153787,,,,
178938_NVA_17-001.ILC1.RunFL_21T026643.01.czi,HighPlex FL v4.2.5_ILC1-Default,LF Excluded,6592191,90373,7407,23692,14167,4029,20314,4411,593,13574,9701,4466,1275,1123,40,215,255,31,19,,,,,,,,,8.196032,26.215794,15.676142,4.45819,22.477953,4.880883,0.656169,15.019973,10.734401,4.941741,1.41082,1.242628,0.044261,0.237903,0.282164,0.034302,0.021024,,,,,,,,,5.78100204,,,611.1776798,3081.524792,669.1250299,4.702533649,38.68213163,2.882198043,,,,
178939_NVA_17-001.ILC1.RunFL_22T007116.00.czi,HighPlex FL v4.2.5_ILC1-Default,LF Excluded,5918355,73348,12540,26642,20316,4806,18908,4560,3822,16494,15408,4908,5538,1543,136,190,326,39,438,,,,,,,,,17.096581,36.322735,27.698097,6.552326,25.778481,6.216938,5.210776,22.48732,21.006708,6.691389,7.550308,2.10367,0.185417,0.259039,0.444456,0.053171,0.597153,,,,,,,,,7.149122807,,,812.04997,3194.806665,770.484366,6.58966892,55.08287353,74.00705095,,,,
178940_NVA_17-001.ILC1.RunFL_22T023296.07.czi,HighPlex FL v4.2.5_ILC1-Default,LF Excluded,6970912,102251,13748,53440,41128,5814,45506,5191,4373,36755,35636,5492,8615,5759,129,474,603,17,1138,,,,,,,,,13.445345,52.263546,40.222591,5.686008,44.504211,5.076723,4.276731,35.945858,34.851494,5.371097,8.425345,5.632219,0.12616,0.463565,0.589725,0.016626,1.112948,,,,,,,,,11.61625891,,,834.0372106,6527.983713,744.6658343,2.438705294,86.50231132,163.2498015,,,,
178941_NVA_17-001.ILC2.RunFL_15T030077.01.czi,HighPlex FL v4.2.5_ILC2-Default,LF Excluded,25245524,268614,2197,14842,1452,1591,14236,861,11,1441,589,863,,,,,,,,1377,1102,0,58,,,,,0.817902,5.525401,0.540553,0.5923,5.299798,0.320534,0.004095,0.536458,0.219274,0.321279,,,,,,,,0.512632,0.410254,0,0.021592,,,,,,0,,63.02107257,563.9019416,34.10505561,,,,0,2.297436963,,
178942_NVA_17-001.ILC2.RunFL_21T006796.00.czi,HighPlex FL v4.2.5_ILC2-Default,LF Excluded,12361886,170855,14180,64265,36716,10281,60366,2751,675,36041,33933,2783,,,,,,,,5088,19425,20,2732,,,,,8.299436,37.613766,21.489567,6.017383,35.331715,1.610137,0.395072,21.094496,19.860701,1.628867,,,,,,,,2.977964,11.369289,0.011706,1.599017,,,,,,0.727008361,,831.6692129,4883.235455,222.5388586,,,,1.617876107,221.0018763,,
178943_NVA_17-001.ILC2.RunFL_21T011790.01.czi,HighPlex FL v4.2.5_ILC2-Default,LF Excluded,10512739,149582,5683,46612,38492,2258,43187,9290,957,37535,29183,9309,,,,,,,,41552,16381,346,8463,,,,,3.799254,31.161503,25.733044,1.50954,28.87179,6.21064,0.639783,25.09326,19.509701,6.223342,,,,,,,,27.778744,10.951184,0.231311,5.657766,,,,,,3.724434876,,214.7870312,4108.06356,883.6897787,,,,32.91245031,805.023315,,
178944_NVA_17-001.ILC2.RunFL_21T017026.01.czi,HighPlex FL v4.2.5_ILC2-Default,LF Excluded,23306018,264145,34833,105792,157292,15800,86759,63595,16796,140496,89476,67816,,,,,,,,62226,38915,4246,12989,,,,,13.187076,40.050728,59.547596,5.981563,32.845219,24.075792,6.358629,53.188969,33.873817,25.673779,,,,,,,,23.557516,14.732439,1.60745,4.917375,,,,,,6.676625521,,677.9364883,3722.600746,2728.694366,,,,182.1847044,557.3238637,,
178945_NVA_17-001.ILC2.RunFL_21T013762.00.czi,HighPlex FL v4.2.5_ILC2-Default,LF Excluded,1690198.625,20804,1236,6678,7778,383,5825,2743,437,7341,5017,2761,,,,,,,,9065,2661,127,1272,,,,,5.941165,32.099598,37.387039,1.840992,27.999424,13.184964,2.100558,35.286484,24.115555,13.271486,,,,,,,,43.573353,12.79081,0.61046,6.114209,,,,,,4.629967189,,226.6005867,3446.340515,1622.886186,,,,75.13909793,752.5742722,,
178946_NVA_17-001.ILC2.RunFL_21T026643.01.czi,HighPlex FL v4.2.5_ILC2-Default,LF Excluded,6572043,92760,2063,9321,4961,1440,8698,2123,48,4913,2831,2130,,,,,,,,3756,7239,63,349,,,,,2.224019,10.048512,5.34821,1.552393,9.376886,2.288702,0.051746,5.296464,3.051962,2.296248,,,,,,,,4.049159,7.80401,0.067917,0.37624,,,,,,2.967498822,,219.109948,1323.48495,323.0350136,,,,9.586060225,53.10373045,,
178947_NVA_17-001.ILC2.RunFL_22T007116.00.czi,HighPlex FL v4.2.5_ILC2-Default,LF Excluded,6121497.5,76712,11247,41639,8742,1243,31635,411,1724,7018,8328,414,,,,,,,,16915,8072,1,2768,,,,,14.66133,54.279644,11.39587,1.620346,41.238659,0.53577,2.247367,9.148503,10.85619,0.539681,,,,,,,,22.050005,10.522473,0.001304,3.608301,,,,,,0.243309002,,203.0548898,5167.853127,67.14043418,,,,0.163358721,452.1769387,,
178948_NVA_17-001.ILC2.RunFL_22T023296.07.czi,HighPlex FL v4.2.5_ILC2-Default,LF Excluded,6662320,98939,8378,37887,18528,4435,33944,3113,1047,17481,15360,3168,,,,,,,,17048,36699,274,9568,,,,,8.467844,38.293293,18.72669,4.48256,34.308006,3.146383,1.058228,17.668463,15.524717,3.201973,,,,,,,,17.23082,37.092552,0.276938,9.670605,,,,,,8.801798908,,665.684026,5094.921889,467.25465,,,,41.12681468,1436.136361,,
178949_NVA_17-001.ILC3.RunFL_15T030077.01.czi,HighPlex FL v4.2.5_ILC3-Default,LF Excluded,25233214,265785,6294,13251,1776,5133,12090,1209,34,1742,555,1221,,,,,,,,,,,,718,45282,153,16,2.368079,4.985609,0.668209,1.93126,4.54879,0.454879,0.012792,0.655417,0.208815,0.459394,,,,,,,,,,,,0.270143,17.037079,0.057565,0.00602,,,12.65508685,203.4223623,479.1304033,47.91304033,,,,,,6.063436865,0.634084901
