Image Tag,Algorithm Name,Analysis Region,Area Analyzed (μm²),Total Cells,CD20 Positive Cells,TCR-Alpha-Delta Positive Cells,IL7R Positive Cells,B-Cells:CD20+TCR- Cells,T-Cells:CD20-TCR+ Cells,Pool-ILCs:CD20-TCR-IL7R+ Cells,IL7R+CD20+ Cells,IL7R+CD20- Cells,IL7R+TCR+ Cells,IL7R+TCR- Cells,EOMES Positive Cells,TBX Positive Cells,ILC1:TBX+EOMES+CD20-TCR-IL7R+ Cells,ILC1:TBX+EOMES-CD20-TCR-IL7R+ Cells,ILC1s:TBX+EOMES+/-CD20-TCR-IL7R+ Positive Cells,NK/ILC1ie:TBX+EOMES+CD20-TCR-IL7R- Cells,T-Helper:CD20-TCR+TBX+EOMES+ Cells,GATA Positive Cells,ICOS Positive Cells,ILC2:GATA+ICOS+CD20-TCR-IL7R+ Cells,T-Helper:CD20-TCR+GATA+ICOS+ Cells,ROR-GammaT Positive Cells,AHR Positive Cells,ILC3:ROR+AHR+CD20-TCR-IL7R+ Cells,T-Helper:CD20-TCR+ROR+AHR+ Cells,% CD20 Positive Cells,% TCR-Alpha-Delta Positive Cells,% IL7R Positive Cells,% B-Cells:CD20+TCR- Positive Cells,% T-Cells:CD20-TCR+ Positive Cells,% Pool-ILCs:CD20-TCR-IL7R+ Positive Cells,% IL7R+CD20+ Positive Cells,% IL7R+CD20- Positive Cells,% IL7R+TCR+ Positive Cells,% IL7R+TCR- Positive Cells,% EOMES Positive Cells,% TBX Positive Cells,% ILC1:TBX+EOMES+CD20-TCR-IL7R+ Positive Cells,% ILC1:TBX+EOMES-CD20-TCR-IL7R+ Positive Cells,% ILC1s:TBX+EOMES+/-CD20-TCR-IL7R+ Positive Cells,% NK/ILC1ie:TBX+EOMES+CD20-TCR-IL7R- Positive Cells,% T-Helper:CD20-TCR+TBX+EOMES+ Positive Cells,% GATA Positive Cells,% ICOS Positive Cells,% ILC2:GATA+ICOS+CD20-TCR-IL7R+ Positive Cells,% T-Helper:CD20-TCR+GATA+ICOS+ Positive Cells,% ROR-GammaT Positive Cells,% AHR Positive Cells,% ILC3:ROR+AHR+CD20-TCR-IL7R+ Positive Cells,% T-Helper:CD20-TCR+ROR+AHR+ Positive Cells,%Pool-IL7R ILC1s:TBX+EOMES+/-CD20-TCR-IL7R+ Positive Cells,%Pool-IL7R ILC2:GATA+ICOS+CD20-TCR-IL7R+ Positive Cells,%Pool-IL7R ILC3:ROR+AHR+CD20-TCR-IL7R+ Positive Cells,B Cells - Density/mm²,T Cells - Density/mm²,Pool IL7R (Non B/T) - Density/mm²,NK/ILC1ie - Density/mm²,ILC1s - Density/mm²,TH1 - Density/mm²,ILC2 - Density/mm²,TH2 - Density/mm²,ILC3 - Density/mm²,TH17 - Density/mm²
178933_NVA_17-001.ILC1.RunFL_15T030077.01.czi,HighPlex FL v4.2.5_ILC1-Default,LymphomatousFollicle,10672766,111029,6699,9195,2161,5203,7699,1344,68,2093,796,1365,2525,772,3,22,25,10,9,,,,,,,,,6.033559,8.28162,1.946338,4.686163,6.934225,1.210495,0.061245,1.885093,0.71693,1.229409,2.274181,0.695314,0.002702,0.019815,0.022517,0.009007,0.008106,,,,,,,,,1.860119048,,,487.50249,721.3687623,125.9279928,0.936964232,2.34241058,0.843267809,,,,
178934_NVA_17-001.ILC1.RunFL_21T006796.00.czi,HighPlex FL v4.2.5_ILC1-Default,LymphomatousFollicle,28533760,428235,130095,116891,24951,101651,88447,1844,1690,23261,23032,1919,885,313,2,18,20,2,0,,,,,,,,,30.379347,27.295994,5.826474,23.7372,20.653847,0.430605,0.394643,5.431831,5.378356,0.448118,0.206662,0.073091,0.000467,0.004203,0.00467,0.000467,0,,,,,,,,,1.084598698,,,3562.481776,3099.731686,64.62520187,0.07009241,0.700924098,0,,,,
178935_NVA_17-001.ILC1.RunFL_21T011790.01.czi,HighPlex FL v4.2.5_ILC1-Default,LymphomatousFollicle,10444911,155864,67624,70475,30747,36702,39553,4675,5457,25290,25772,4975,9614,919,48,113,161,3,132,,,,,,,,,43.386543,45.215702,19.726812,23.547451,25.37661,2.99941,3.501129,16.225683,16.534927,3.191885,6.168198,0.589617,0.030796,0.072499,0.103295,0.001925,0.084689,,,,,,,,,3.443850267,,,3513.864312,3786.820204,447.5863892,0.287221212,15.41420506,12.63773334,,,,
178936_NVA_17-001.ILC1.RunFL_21T017026.01.czi,HighPlex FL v4.2.5_ILC1-Default,LymphomatousFollicle,4900782,68528,31436,26195,28967,19588,14347,9199,7265,21702,17773,11194,889,7157,116,1402,1518,22,320,,,,,,,,,45.873219,38.22525,42.270313,28.583937,20.935968,13.42371,10.601506,31.668806,25.935385,16.334929,1.29728,10.443906,0.169274,2.045879,2.215153,0.032104,0.466962,,,,,,,,,16.50179367,,,3996.913146,2927.49198,1877.047377,4.489079498,309.7464854,65.29570179,,,,
178937_NVA_17-001.ILC1.RunFL_21T013762.00.czi,HighPlex FL v4.2.5_ILC1-Default,LymphomatousFollicle,3199780,41864,17724,22163,14446,7627,12066,1903,3937,10509,12303,2143,5411,4358,71,132,203,25,1254,,,,,,,,,42.337093,52.940475,34.506973,18.218517,28.821899,4.545671,9.404262,25.102713,29.388018,5.118957,12.925186,10.409899,0.169597,0.315307,0.484904,0.059717,2.995414,,,,,,,,,10.66736731,,,2383.601373,3770.884248,594.7283876,7.813037146,63.44186163,391.9019433,,,,
178938_NVA_17-001.ILC1.RunFL_21T026643.01.czi,HighPlex FL v4.2.5_ILC1-Default,LymphomatousFollicle,6441670.5,97338,28994,27238,5804,19601,17845,1281,614,5190,4469,1335,1637,417,14,47,61,10,17,,,,,,,,,29.786928,27.982904,5.962728,20.137049,18.333025,1.316033,0.630792,5.331936,4.591218,1.37151,1.681769,0.428404,0.014383,0.048285,0.062668,0.010273,0.017465,,,,,,,,,4.761904762,,,3042.844244,2770.244147,198.8614599,1.552392349,9.46959333,2.639066994,,,,
178939_NVA_17-001.ILC1.RunFL_22T007116.00.czi,HighPlex FL v4.2.5_ILC1-Default,LymphomatousFollicle,4052117,58297,2688,13078,8271,1595,11985,2200,385,7886,6007,2264,3581,783,66,78,144,14,223,,,,,,,,,4.610872,22.433401,14.187694,2.73599,20.558519,3.773779,0.660411,13.527283,10.304132,3.883562,6.142683,1.343122,0.113213,0.133798,0.247011,0.024015,0.382524,,,,,,,,,6.545454545,,,393.6214083,2957.713215,542.9260804,3.454984148,35.53697981,55.03296178,,,,
178940_NVA_17-001.ILC1.RunFL_22T023296.07.czi,HighPlex FL v4.2.5_ILC1-Default,LymphomatousFollicle,13019825,189502,67791,62318,29567,51029,45556,3270,5420,24147,25672,3895,7660,5480,67,246,313,6,733,,,,,,,,,35.773235,32.885139,15.602474,26.927948,24.039852,1.725575,2.860128,12.742346,13.547087,2.055387,4.042174,2.89179,0.035356,0.129814,0.16517,0.003166,0.386803,,,,,,,,,9.571865443,,,3919.330713,3498.97176,251.1554495,0.460835687,24.04026168,56.29875978,,,,
178941_NVA_17-001.ILC2.RunFL_15T030077.01.czi,HighPlex FL v4.2.5_ILC2-Default,LymphomatousFollicle,11191619,120378,4330,10343,578,3223,9236,373,9,569,202,376,,,,,,,,1195,1312,1,104,,,,,3.597003,8.592101,0.480154,2.6774,7.672498,0.309857,0.007476,0.472678,0.167805,0.312349,,,,,,,,0.992706,1.0899,0.000831,0.086395,,,,,,0.268096515,,287.9833561,825.2604024,33.32851127,,,,0.089352577,9.292668022,,
178942_NVA_17-001.ILC2.RunFL_21T006796.00.czi,HighPlex FL v4.2.5_ILC2-Default,LymphomatousFollicle,28528424,437117,87268,83420,18258,73983,70135,1903,1020,17238,16265,1993,,,,,,,,4254,49098,12,2336,,,,,19.964449,19.084135,4.176914,16.925217,16.044903,0.435353,0.233347,3.943567,3.720972,0.455942,,,,,,,,0.973195,11.232233,0.002745,0.534411,,,,,,0.63058329,,2593.308344,2458.425323,66.7054023,,,,0.42063312,81.88324739,,
178943_NVA_17-001.ILC2.RunFL_21T011790.01.czi,HighPlex FL v4.2.5_ILC2-Default,LymphomatousFollicle,10354001,154312,65972,73295,22849,32173,39496,2682,3439,19410,20092,2757,,,,,,,,47797,69216,356,21553,,,,,42.752346,47.497925,14.807014,20.849318,25.594898,1.738037,2.228602,12.578413,13.020374,1.78664,,,,,,,,30.97426,44.85458,0.230701,13.967157,,,,,,13.27367636,,3107.301226,3814.564051,259.0303014,,,,34.38284389,2081.610771,,
178944_NVA_17-001.ILC2.RunFL_21T017026.01.czi,HighPlex FL v4.2.5_ILC2-Default,LymphomatousFollicle,4923575.5,69434,32136,22060,25836,22532,12456,8884,6353,19483,15057,10779,,,,,,,,9939,11090,657,1989,,,,,46.282803,31.771179,37.209435,32.450962,17.939339,12.794885,9.149696,28.05974,21.685341,15.524095,,,,,,,,14.314313,15.972002,0.946222,2.864591,,,,,,7.395317425,,4576.349037,2529.868791,1804.379764,,,,133.4396111,403.9747131,,
178945_NVA_17-001.ILC2.RunFL_21T013762.00.czi,HighPlex FL v4.2.5_ILC2-Default,LymphomatousFollicle,3158201.25,41039,13261,16188,9171,7050,9977,2139,1801,7370,6880,2291,,,,,,,,14045,17792,389,5123,,,,,32.313164,39.445404,22.347036,17.178782,24.311022,5.212115,4.388508,17.958527,16.764542,5.582495,,,,,,,,34.223545,43.353882,0.947879,12.483248,,,,,,18.18606826,,2232.283329,3159.076705,677.2842611,,,,123.171378,1622.125886,,
178946_NVA_17-001.ILC2.RunFL_21T026643.01.czi,HighPlex FL v4.2.5_ILC2-Default,LymphomatousFollicle,6526052,99091,11562,12130,2023,9138,9706,813,51,1972,1205,818,,,,,,,,3725,28585,58,1044,,,,,11.668063,12.241273,2.041558,9.221827,9.795037,0.820458,0.051468,1.99009,1.216054,0.825504,,,,,,,,3.759171,28.847221,0.058532,1.053577,,,,,,7.134071341,,1400.234016,1487.269792,124.577616,,,,8.887455999,159.974208,,
178947_NVA_17-001.ILC2.RunFL_22T007116.00.czi,HighPlex FL v4.2.5_ILC2-Default,LymphomatousFollicle,4403317,64560,2473,20479,1916,683,18689,229,97,1819,1686,230,,,,,,,,9466,2862,2,1003,,,,,3.830545,31.720881,2.967782,1.057931,28.948265,0.354709,0.150248,2.817534,2.611524,0.356258,,,,,,,,14.66233,4.433085,0.003098,1.553594,,,,,,0.873362445,,155.1103407,4244.300376,52.00624893,,,,0.454203047,227.7828283,,
