Image Tag,Algorithm Name,Analysis Region,Area Analyzed (µm²),Total Cells,CD20 Positive Cells,TCR-Alpha-Delta Positive Cells,IL7R Positive Cells,B-Cells:CD20+TCR- Cells,T-Cells:CD20-TCR+ Cells,Pool-ILCs:CD20-TCR-IL7R+ Cells,IL7R+CD20+ Cells,IL7R+CD20- Cells,IL7R+TCR+ Cells,IL7R+TCR- Cells,EOMES Positive Cells,TBX Positive Cells,ILC1:TBX+EOMES+CD20-TCR-IL7R+ Cells,ILC1:TBX+EOMES-CD20-TCR-IL7R+ Cells,ILC1s:TBX+EOMES+/-CD20-TCR-IL7R+ Positive Cells,NK/ILC1ie:TBX+EOMES+CD20-TCR-IL7R- Cells,T-Helper:CD20-TCR+TBX+EOMES+ Cells,GATA Positive Cells,ICOS Positive Cells,ILC2:GATA+ICOS+CD20-TCR-IL7R+ Cells,T-Helper:CD20-TCR+GATA+ICOS+ Cells,ROR-GammaT Positive Cells,AHR Positive Cells,ILC3:ROR+AHR+CD20-TCR-IL7R+ Cells,T-Helper:CD20-TCR+ROR+AHR+ Cells,% CD20 Positive Cells,% TCR-Alpha-Delta Positive Cells,% IL7R Positive Cells,% B-Cells:CD20+TCR- Positive Cells,% T-Cells:CD20-TCR+ Positive Cells,% Pool-ILCs:CD20-TCR-IL7R+ Positive Cells,% IL7R+CD20+ Positive Cells,% IL7R+CD20- Positive Cells,% IL7R+TCR+ Positive Cells,% IL7R+TCR- Positive Cells,% EOMES Positive Cells,% TBX Positive Cells,% ILC1:TBX+EOMES+CD20-TCR-IL7R+ Positive Cells,% ILC1:TBX+EOMES-CD20-TCR-IL7R+ Positive Cells,% ILC1s:TBX+EOMES+/-CD20-TCR-IL7R+ Positive Cells,% NK/ILC1ie:TBX+EOMES+CD20-TCR-IL7R- Positive Cells,% T-Helper:CD20-TCR+TBX+EOMES+ Positive Cells,% GATA Positive Cells,% ICOS Positive Cells,% ILC2:GATA+ICOS+CD20-TCR-IL7R+ Positive Cells,% T-Helper:CD20-TCR+GATA+ICOS+ Positive Cells,% ROR-GammaT Positive Cells,% AHR Positive Cells,% ILC3:ROR+AHR+CD20-TCR-IL7R+ Positive Cells,% T-Helper:CD20-TCR+ROR+AHR+ Positive Cells,%Pool-TCR+ T-Helper:CD20-TCR+TBX+EOMES+ Cells,%Pool-TCR+ T-Helper:CD20-TCR+GATA+ICOS+ Cells,%Pool-TCR+ T-Helper:CD20-TCR+ROR+AHR+ Cells,B Cells - Density/mm²,T Cells - Density/mm²,Pool IL7R (Non B/T) - Density/mm²,NK/ILC1ie - Density/mm²,ILC1s - Density/mm²,TH1 - Density/mm²,ILC2 - Density/mm²,TH2 - Density/mm²,ILC3 - Density/mm²,TH17 - Density/mm²
178933_NVA_17-001.ILC1.RunFL_15T030077.01.czi,HighPlex FL v4.2.5_ILC1-Default,Layer 1,35008596,363279,10690,22835,6638,8180,20325,4325,136,6502,2279,4359,6990,3350,28,118,146,64,26,,,,,,,,,2.942642,6.285802,1.827246,2.251713,5.594873,1.190545,0.037437,1.789809,0.627342,1.199904,1.924141,0.922156,0.007708,0.032482,0.04019,0.017617,0.007157,,,,,,,,,0.113860302,,,233.6568996,580.5716973,123.5410869,1.828122442,4.17040432,0.742674742,,,,
178934_NVA_17-001.ILC1.RunFL_21T006796.00.czi,HighPlex FL v4.2.5_ILC1-Default,Layer 1,40314184,586643,145629,192996,68079,111608,158975,3928,2556,65523,64055,4024,1378,638,3,44,47,2,4,,,,,,,,,24.824127,32.898373,11.604843,19.024858,27.099104,0.669572,0.435699,11.169144,10.918906,0.685937,0.234896,0.108754,0.000511,0.0075,0.008011,0.000341,0.000682,,,,,,,,,0.002072582,,,2768.454894,3943.401161,97.43468949,0.049610331,1.165842771,0.099220661,,,,
178935_NVA_17-001.ILC1.RunFL_21T011790.01.czi,HighPlex FL v4.2.5_ILC1-Default,Layer 1,21038084,306717,74062,114618,81837,39723,80279,20964,7218,74619,60389,21448,16068,2555,226,451,677,15,318,,,,,,,,,24.146688,37.369301,26.681599,12.951027,26.173639,6.834965,2.353309,24.328289,19.688833,6.992765,5.238705,0.833015,0.073684,0.147041,0.220725,0.004891,0.103679,,,,,,,,,0.277443334,,,1888.147229,3815.889318,996.4785767,0.712992685,32.17973652,15.11544492,,,,
178936_NVA_17-001.ILC1.RunFL_21T017026.01.czi,HighPlex FL v4.2.5_ILC1-Default,Layer 1,27948984,329950,62353,141417,195479,31909,110973,71678,23849,171630,117803,77676,5759,54683,916,13729,14645,245,2742,,,,,,,,,18.897713,42.86013,59.245037,9.670859,33.633278,21.723898,7.228065,52.016972,35.703289,23.541748,1.745416,16.573116,0.277618,4.160933,4.438551,0.074254,0.831035,,,,,,,,,1.93894652,,,1141.687297,3970.555781,2564.601275,8.7659716,523.9904248,98.10732297,,,,
178937_NVA_17-001.ILC1.RunFL_21T013762.00.czi,HighPlex FL v4.2.5_ILC1-Default,Layer 1,4898405,62842,19735,32375,25737,8143,20783,4388,4979,20758,21082,4655,7126,5902,145,263,408,43,1716,,,,,,,,,31.404156,51.518093,40.955093,12.957894,33.071831,6.982591,7.923045,33.032047,33.547626,7.407466,11.33955,9.391808,0.230737,0.41851,0.649247,0.068426,2.730658,,,,,,,,,5.3003861,,,1662.377856,4242.809649,895.8017967,8.778367652,83.29241865,350.3181138,,,,
178938_NVA_17-001.ILC1.RunFL_21T026643.01.czi,HighPlex FL v4.2.5_ILC1-Default,Layer 1,13003487,187202,36296,50775,19898,23573,38052,5677,1201,18697,14112,5786,2889,1537,53,262,315,41,36,,,,,,,,,19.388681,27.123108,10.62916,12.59228,20.326706,3.032553,0.641553,9.987607,7.538381,3.090779,1.543253,0.821038,0.028312,0.139956,0.168268,0.021901,0.019231,,,,,,,,,0.070901034,,,1812.821438,2926.292002,436.5752048,3.153000422,24.22427154,2.768488176,,,,
178939_NVA_17-001.ILC1.RunFL_22T007116.00.czi,HighPlex FL v4.2.5_ILC1-Default,Layer 1,9970473,131660,15251,39736,28578,6413,30898,6761,4211,24367,21407,7171,9117,2326,202,267,469,53,661,,,,,,,,,11.583625,30.180769,21.70591,4.87088,23.468023,5.135197,3.19839,18.507519,16.259304,5.446605,6.924654,1.766672,0.153425,0.202795,0.35622,0.040255,0.502051,,,,,,,,,1.663478961,,,643.1991742,3098.95027,678.1022325,5.315695655,47.03889174,66.29575147,,,,
178940_NVA_17-001.ILC1.RunFL_22T023296.07.czi,HighPlex FL v4.2.5_ILC1-Default,Layer 1,19888264,290214,81351,115151,70194,56730,90530,8376,9744,60450,60892,9302,16170,11142,195,706,901,23,1860,,,,,,,,,28.031384,39.677963,24.186979,19.547644,31.194221,2.886146,3.357522,20.829456,20.981758,3.205221,5.571751,3.839236,0.067192,0.243269,0.310461,0.007925,0.640906,,,,,,,,,1.615270384,,,2852.435989,4551.930727,421.152897,1.156460916,45.30309936,93.52249146,,,,
178941_NVA_17-001.ILC2.RunFL_15T030077.01.czi,HighPlex FL v4.2.5_ILC2-Default,Layer 1,36307960,387623,6485,25088,2022,4796,23399,1227,20,2002,790,1232,,,,,,,,2531,2395,1,162,,,,,1.673017,6.472268,0.521641,1.237285,6.036535,0.316545,0.00516,0.516481,0.203806,0.317835,,,,,,,,0.652954,0.617868,0.000258,0.041793,,,,,,0.645727041,,132.0922464,644.4592315,33.79424236,,,,0.02754217,4.46183151,,
178942_NVA_17-001.ILC2.RunFL_21T006796.00.czi,HighPlex FL v4.2.5_ILC2-Default,Layer 1,40275612,598489,98791,145690,54441,82302,129201,4599,1613,52828,49723,4718,,,,,,,,9254,67594,31,5025,,,,,16.506737,24.34297,9.096408,13.751631,21.587866,0.768435,0.269512,8.826896,8.308089,0.788319,,,,,,,,1.546227,11.294109,0.00518,0.839614,,,,,,3.449104262,,2043.469879,3207.921459,114.188209,,,,0.76969656,124.7653295,,
