"Image Location"|"Image Tag"|"Algorithm Name"|"Start Time"|"Job Id"|"Analysis Region"|"Analysis Inputs"|"TH1 Count"|"ILC1 Count"|"TH1 within 50μm of ILC1"|"% TH1 within 50μm of ILC1"|"Average Distance (μm) to ILC1"|"Number of Unique ILC1"|"Average number of TH1 within 50μm of ILC1"|"TH1 within 0-5μm of ILC1"|"TH1 within 5-10μm of ILC1"|"TH1 within 10-15μm of ILC1"|"TH1 within 15-20μm of ILC1"|"TH1 within 20-25μm of ILC1"|"TH1 within 25-30μm of ILC1"|"TH1 within 30-35μm of ILC1"|"TH1 within 35-40μm of ILC1"|"TH1 within 40-45μm of ILC1"|"TH1 within 45-50μm of ILC1"|"TH2 Count"|"TH2 within 50μm of ILC1"|"% TH2 within 50μm of ILC1"|"Average number of TH2 within 50μm of ILC1"|"TH2 within 0-5μm of ILC1"|"TH2 within 5-10μm of ILC1"|"TH2 within 10-15μm of ILC1"|"TH2 within 15-20μm of ILC1"|"TH2 within 20-25μm of ILC1"|"TH2 within 25-30μm of ILC1"|"TH2 within 30-35μm of ILC1"|"TH2 within 35-40μm of ILC1"|"TH2 within 40-45μm of ILC1"|"TH2 within 45-50μm of ILC1"|"TH17 Count"|"TH17 within 50μm of ILC1"|"% TH17 within 50μm of ILC1"|"Average number of TH17 within 50μm of ILC1"|"TH17 within 0-5μm of ILC1"|"TH17 within 5-10μm of ILC1"|"TH17 within 10-15μm of ILC1"|"TH17 within 15-20μm of ILC1"|"TH17 within 20-25μm of ILC1"|"TH17 within 25-30μm of ILC1"|"TH17 within 30-35μm of ILC1"|"TH17 within 35-40μm of ILC1"|"TH17 within 40-45μm of ILC1"|"TH17 within 45-50μm of ILC1"|"ILC2 Count"|"TH1 within 50μm of ILC2"|"% TH1 within 50μm of ILC2"|"Average Distance (μm) to ILC2"|"Number of Unique ILC2"|"Average number of TH1 within 50μm of ILC2"|"TH1 within 0-5μm of ILC2"|"TH1 within 5-10μm of ILC2"|"TH1 within 10-15μm of ILC2"|"TH1 within 15-20μm of ILC2"|"TH1 within 20-25μm of ILC2"|"TH1 within 25-30μm of ILC2"|"TH1 within 30-35μm of ILC2"|"TH1 within 35-40μm of ILC2"|"TH1 within 40-45μm of ILC2"|"TH1 within 45-50μm of ILC2"|"TH2 within 50μm of ILC2"|"% TH2 within 50μm of ILC2"|"Average number of TH2 within 50μm of ILC2"|"TH2 within 0-5μm of ILC2"|"TH2 within 5-10μm of ILC2"|"TH2 within 10-15μm of ILC2"|"TH2 within 15-20μm of ILC2"|"TH2 within 20-25μm of ILC2"|"TH2 within 25-30μm of ILC2"|"TH2 within 30-35μm of ILC2"|"TH2 within 35-40μm of ILC2"|"TH2 within 40-45μm of ILC2"|"TH2 within 45-50μm of ILC2"|"TH17 within 50μm of ILC2"|"% TH17 within 50μm of ILC2"|"Average number of TH17 within 50μm of ILC2"|"TH17 within 0-5μm of ILC2"|"TH17 within 5-10μm of ILC2"|"TH17 within 10-15μm of ILC2"|"TH17 within 15-20μm of ILC2"|"TH17 within 20-25μm of ILC2"|"TH17 within 25-30μm of ILC2"|"TH17 within 30-35μm of ILC2"|"TH17 within 35-40μm of ILC2"|"TH17 within 40-45μm of ILC2"|"TH17 within 45-50μm of ILC2"|"ILC3 Count"|"TH1 within 50μm of ILC3"|"% TH1 within 50μm of ILC3"|"Average Distance (μm) to ILC3"|"Number of Unique ILC3"|"Average number of TH1 within 50μm of ILC3"|"TH1 within 0-5μm of ILC3"|"TH1 within 5-10μm of ILC3"|"TH1 within 10-15μm of ILC3"|"TH1 within 15-20μm of ILC3"|"TH1 within 20-25μm of ILC3"|"TH1 within 25-30μm of ILC3"|"TH1 within 30-35μm of ILC3"|"TH1 within 35-40μm of ILC3"|"TH1 within 40-45μm of ILC3"|"TH1 within 45-50μm of ILC3"|"TH2 within 50μm of ILC3"|"% TH2 within 50μm of ILC3"|"Average number of TH2 within 50μm of ILC3"|"TH2 within 0-5μm of ILC3"|"TH2 within 5-10μm of ILC3"|"TH2 within 10-15μm of ILC3"|"TH2 within 15-20μm of ILC3"|"TH2 within 20-25μm of ILC3"|"TH2 within 25-30μm of ILC3"|"TH2 within 30-35μm of ILC3"|"TH2 within 35-40μm of ILC3"|"TH2 within 40-45μm of ILC3"|"TH2 within 45-50μm of ILC3"|"TH17 within 50μm of ILC3"|"% TH17 within 50μm of ILC3"|"Average number of TH17 within 50μm of ILC3"|"TH17 within 0-5μm of ILC3"|"TH17 within 5-10μm of ILC3"|"TH17 within 10-15μm of ILC3"|"TH17 within 15-20μm of ILC3"|"TH17 within 20-25μm of ILC3"|"TH17 within 25-30μm of ILC3"|"TH17 within 30-35μm of ILC3"|"TH17 within 35-40μm of ILC3"|"TH17 within 40-45μm of ILC3"|"TH17 within 45-50μm of ILC3"
"\\srvnas01.icr.local\anapath\Imagin_Data\VAN ACKER Nathalie\17-001.ILC1.RunFL\178933_NVA_17-001.ILC1.RunFL_15T030077.01.czi"|"178933_NVA_17-001.ILC1.RunFL_15T030077.01.czi"|"Proximity Analysis ILC1 & TH1"|"21/01/2025 18:26:49"|"99803"|"Layer 1"|"Proximity Analysis ILC1 & TH1:;Population:TH1;Within:50;Population 2:ILC1;Number of Bands:10;Store Object (Pair) Data:False;Generate Markup Image:False"|"26"|"146"|"2"|"7,69"|"240,07"|"24"|"0,083333336"|"0"|"0"|"0"|"0"|"0"|"1"|"0"|"0"|"0"|"1"||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
"\\srvnas01.icr.local\anapath\Imagin_Data\VAN ACKER Nathalie\17-001.ILC1.RunFL\178933_NVA_17-001.ILC1.RunFL_15T030077.01.czi"|"178933_NVA_17-001.ILC1.RunFL_15T030077.01.czi"|"Proximity Analysis ILC1 & TH2"|"21/01/2025 18:27:38"|"99804"|"Layer 1"|"Proximity Analysis ILC1 & TH2:;Population:TH2;Within:50;Population 2:ILC1;Number of Bands:10;Store Object (Pair) Data:False;Generate Markup Image:False"||"146"|||"307,1"|"38"||||||||||||"162"|"3"|"1,85"|"0,078947365"|"0"|"0"|"0"|"1"|"0"|"0"|"0"|"1"|"1"|"0"||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
"\\srvnas01.icr.local\anapath\Imagin_Data\VAN ACKER Nathalie\17-001.ILC1.RunFL\178933_NVA_17-001.ILC1.RunFL_15T030077.01.czi"|"178933_NVA_17-001.ILC1.RunFL_15T030077.01.czi"|"Proximity Analysis ILC1 & TH17"|"21/01/2025 18:28:46"|"99805"|"Layer 1"|"Proximity Analysis ILC1 & TH17:;Population:TH17;Within:50;Population 2:ILC1;Number of Bands:10;Store Object (Pair) Data:False;Generate Markup Image:False"||"146"|||"409,04"|"15"||||||||||||||||||||||||||"20"|"1"|"5"|"0,06666667"|"0"|"0"|"0"|"0"|"0"|"0"|"0"|"1"|"0"|"0"||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
"\\srvnas01.icr.local\anapath\Imagin_Data\VAN ACKER Nathalie\17-001.ILC1.RunFL\178933_NVA_17-001.ILC1.RunFL_15T030077.01.czi"|"178933_NVA_17-001.ILC1.RunFL_15T030077.01.czi"|"Proximity Analysis ILC2 & TH1"|"21/01/2025 18:29:55"|"99806"|"Layer 1"|"Proximity Analysis ILC2 & TH1:;Population:TH1;Within:50;Population 2:ILC2;Number of Bands:10;Store Object (Pair) Data:False;Generate Markup Image:False"|"26"|||||||||||||||||||||||||||||||||||||||||||||"1"|"0"|"0"|"3663,57"|"1"|"0"|"0"|"0"|"0"|"0"|"0"|"0"|"0"|"0"|"0"|"0"||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
"\\srvnas01.icr.local\anapath\Imagin_Data\VAN ACKER Nathalie\17-001.ILC1.RunFL\178933_NVA_17-001.ILC1.RunFL_15T030077.01.czi"|"178933_NVA_17-001.ILC1.RunFL_15T030077.01.czi"|"Proximity Analysis ILC2 & TH2"|"21/01/2025 18:31:19"|"99807"|"Layer 1"|"Proximity Analysis ILC2 & TH2:;Population:TH2;Within:50;Population 2:ILC2;Number of Bands:10;Store Object (Pair) Data:False;Generate Markup Image:False"||||||||||||||||||"162"||||||||||||||||||||||||||||"1"|||"2536,48"|"1"||||||||||||"0"|"0"|"0"|"0"|"0"|"0"|"0"|"0"|"0"|"0"|"0"|"0"|"0"|||||||||||||||||||||||||||||||||||||||||||||||||||||||
"\\srvnas01.icr.local\anapath\Imagin_Data\VAN ACKER Nathalie\17-001.ILC1.RunFL\178933_NVA_17-001.ILC1.RunFL_15T030077.01.czi"|"178933_NVA_17-001.ILC1.RunFL_15T030077.01.czi"|"Proximity Analysis ILC2 & TH17"|"21/01/2025 18:32:17"|"99808"|"Layer 1"|"Proximity Analysis ILC2 & TH17:;Population:TH17;Within:50;Population 2:ILC2;Number of Bands:10;Store Object (Pair) Data:False;Generate Markup Image:False"||||||||||||||||||||||||||||||||"20"||||||||||||||"1"|||"2083,86"|"1"|||||||||||||||||||||||||"0"|"0"|"0"|"0"|"0"|"0"|"0"|"0"|"0"|"0"|"0"|"0"|"0"||||||||||||||||||||||||||||||||||||||||||
"\\srvnas01.icr.local\anapath\Imagin_Data\VAN ACKER Nathalie\17-001.ILC1.RunFL\178933_NVA_17-001.ILC1.RunFL_15T030077.01.czi"|"178933_NVA_17-001.ILC1.RunFL_15T030077.01.czi"|"Proximity Analysis ILC3 & TH1"|"21/01/2025 18:33:25"|"99810"|"Layer 1"|"Proximity Analysis ILC3 & TH1:;Population:TH1;Within:50;Population 2:ILC3;Number of Bands:10;Store Object (Pair) Data:False;Generate Markup Image:False"|"26"|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||"193"|"1"|"3,85"|"261,31"|"21"|"0,04761905"|"0"|"0"|"0"|"0"|"0"|"0"|"0"|"0"|"1"|"0"||||||||||||||||||||||||||
"\\srvnas01.icr.local\anapath\Imagin_Data\VAN ACKER Nathalie\17-001.ILC1.RunFL\178933_NVA_17-001.ILC1.RunFL_15T030077.01.czi"|"178933_NVA_17-001.ILC1.RunFL_15T030077.01.czi"|"Proximity Analysis ILC3 & TH2"|"21/01/2025 18:34:36"|"99812"|"Layer 1"|"Proximity Analysis ILC3 & TH2:;Population:TH2;Within:50;Population 2:ILC3;Number of Bands:10;Store Object (Pair) Data:False;Generate Markup Image:False"||||||||||||||||||"162"||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||"193"|||"334,36"|"40"||||||||||||"3"|"1,85"|"0,075"|"0"|"0"|"0"|"1"|"0"|"0"|"0"|"1"|"0"|"1"|||||||||||||
"\\srvnas01.icr.local\anapath\Imagin_Data\VAN ACKER Nathalie\17-001.ILC1.RunFL\178933_NVA_17-001.ILC1.RunFL_15T030077.01.czi"|"178933_NVA_17-001.ILC1.RunFL_15T030077.01.czi"|"Proximity Analysis ILC3 & TH17"|"21/01/2025 18:36:02"|"99815"|"Layer 1"|"Proximity Analysis ILC3 & TH17:;Population:TH17;Within:50;Population 2:ILC3;Number of Bands:10;Store Object (Pair) Data:False;Generate Markup Image:False"||||||||||||||||||||||||||||||||"20"||||||||||||||||||||||||||||||||||||||||||||||||||||||||"193"|||"253,03"|"17"|||||||||||||||||||||||||"3"|"15"|"0,1764706"|"0"|"0"|"2"|"0"|"0"|"0"|"0"|"0"|"0"|"1"
"\\srvnas01.icr.local\anapath\Imagin_Data\VAN ACKER Nathalie\17-001.ILC1.RunFL\178934_NVA_17-001.ILC1.RunFL_21T006796.00.czi"|"178934_NVA_17-001.ILC1.RunFL_21T006796.00.czi"|"Proximity Analysis ILC1 & TH1"|"21/01/2025 18:05:54"|"99776"|"Layer 1"|"Proximity Analysis ILC1 & TH1:;Population:TH1;Within:50;Population 2:ILC1;Number of Bands:10;Store Object (Pair) Data:False;Generate Markup Image:False"|"4"|"47"|"0"|"0"|"269,24"|"4"|"0"|"0"|"0"|"0"|"0"|"0"|"0"|"0"|"0"|"0"|"0"||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
"\\srvnas01.icr.local\anapath\Imagin_Data\VAN ACKER Nathalie\17-001.ILC1.RunFL\178934_NVA_17-001.ILC1.RunFL_21T006796.00.czi"|"178934_NVA_17-001.ILC1.RunFL_21T006796.00.czi"|"Proximity Analysis ILC1 & TH2"|"21/01/2025 18:07:27"|"99777"|"Layer 1"|"Proximity Analysis ILC1 & TH2:;Population:TH2;Within:50;Population 2:ILC1;Number of Bands:10;Store Object (Pair) Data:False;Generate Markup Image:False"||"47"|||"490,62"|"46"||||||||||||"5025"|"41"|"0,82"|"0,8913044"|"1"|"0"|"4"|"0"|"4"|"7"|"3"|"9"|"5"|"8"||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
"\\srvnas01.icr.local\anapath\Imagin_Data\VAN ACKER Nathalie\17-001.ILC1.RunFL\178934_NVA_17-001.ILC1.RunFL_21T006796.00.czi"|"178934_NVA_17-001.ILC1.RunFL_21T006796.00.czi"|"Proximity Analysis ILC1 & TH17"|"21/01/2025 18:09:16"|"99780"|"Layer 1"|"Proximity Analysis ILC1 & TH17:;Population:TH17;Within:50;Population 2:ILC1;Number of Bands:10;Store Object (Pair) Data:False;Generate Markup Image:False"||"47"|||"426,76"|"35"||||||||||||||||||||||||||"101"|"3"|"2,97"|"0,08571429"|"0"|"0"|"0"|"0"|"0"|"1"|"0"|"0"|"1"|"1"||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
"\\srvnas01.icr.local\anapath\Imagin_Data\VAN ACKER Nathalie\17-001.ILC1.RunFL\178934_NVA_17-001.ILC1.RunFL_21T006796.00.czi"|"178934_NVA_17-001.ILC1.RunFL_21T006796.00.czi"|"Proximity Analysis ILC2 & TH1"|"21/01/2025 18:11:05"|"99783"|"Layer 1"|"Proximity Analysis ILC2 & TH1:;Population:TH1;Within:50;Population 2:ILC2;Number of Bands:10;Store Object (Pair) Data:False;Generate Markup Image:False"|"4"|||||||||||||||||||||||||||||||||||||||||||||"31"|"0"|"0"|"850,28"|"2"|"0"|"0"|"0"|"0"|"0"|"0"|"0"|"0"|"0"|"0"|"0"||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
"\\srvnas01.icr.local\anapath\Imagin_Data\VAN ACKER Nathalie\17-001.ILC1.RunFL\178934_NVA_17-001.ILC1.RunFL_21T006796.00.czi"|"178934_NVA_17-001.ILC1.RunFL_21T006796.00.czi"|"Proximity Analysis ILC2 & TH2"|"21/01/2025 18:13:02"|"99787"|"Layer 1"|"Proximity Analysis ILC2 & TH2:;Population:TH2;Within:50;Population 2:ILC2;Number of Bands:10;Store Object (Pair) Data:False;Generate Markup Image:False"||||||||||||||||||"5025"||||||||||||||||||||||||||||"31"|||"454,36"|"31"||||||||||||"172"|"3,42"|"5,548387"|"1"|"14"|"6"|"17"|"13"|"16"|"24"|"27"|"29"|"25"|||||||||||||||||||||||||||||||||||||||||||||||||||||||
"\\srvnas01.icr.local\anapath\Imagin_Data\VAN ACKER Nathalie\17-001.ILC1.RunFL\178934_NVA_17-001.ILC1.RunFL_21T006796.00.czi"|"178934_NVA_17-001.ILC1.RunFL_21T006796.00.czi"|"Proximity Analysis ILC2 & TH17"|"21/01/2025 18:14:24"|"99789"|"Layer 1"|"Proximity Analysis ILC2 & TH17:;Population:TH17;Within:50;Population 2:ILC2;Number of Bands:10;Store Object (Pair) Data:False;Generate Markup Image:False"||||||||||||||||||||||||||||||||"101"||||||||||||||"31"|||"598,95"|"22"|||||||||||||||||||||||||"2"|"1,98"|"0,09090909"|"0"|"0"|"0"|"0"|"0"|"0"|"0"|"0"|"1"|"1"||||||||||||||||||||||||||||||||||||||||||
"\\srvnas01.icr.local\anapath\Imagin_Data\VAN ACKER Nathalie\17-001.ILC1.RunFL\178934_NVA_17-001.ILC1.RunFL_21T006796.00.czi"|"178934_NVA_17-001.ILC1.RunFL_21T006796.00.czi"|"Proximity Analysis ILC3 & TH1"|"21/01/2025 18:16:10"|"99791"|"Layer 1"|"Proximity Analysis ILC3 & TH1:;Population:TH1;Within:50;Population 2:ILC3;Number of Bands:10;Store Object (Pair) Data:False;Generate Markup Image:False"|"4"|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||"71"|"0"|"0"|"204,45"|"4"|"0"|"0"|"0"|"0"|"0"|"0"|"0"|"0"|"0"|"0"|"0"||||||||||||||||||||||||||
"\\srvnas01.icr.local\anapath\Imagin_Data\VAN ACKER Nathalie\17-001.ILC1.RunFL\178934_NVA_17-001.ILC1.RunFL_21T006796.00.czi"|"178934_NVA_17-001.ILC1.RunFL_21T006796.00.czi"|"Proximity Analysis ILC3 & TH2"|"21/01/2025 18:18:03"|"99792"|"Layer 1"|"Proximity Analysis ILC3 & TH2:;Population:TH2;Within:50;Population 2:ILC3;Number of Bands:10;Store Object (Pair) Data:False;Generate Markup Image:False"||||||||||||||||||"5025"||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||"71"|||"438,96"|"61"||||||||||||"70"|"1,39"|"1,1475409"|"0"|"1"|"2"|"8"|"9"|"6"|"10"|"11"|"11"|"12"|||||||||||||
"\\srvnas01.icr.local\anapath\Imagin_Data\VAN ACKER Nathalie\17-001.ILC1.RunFL\178934_NVA_17-001.ILC1.RunFL_21T006796.00.czi"|"178934_NVA_17-001.ILC1.RunFL_21T006796.00.czi"|"Proximity Analysis ILC3 & TH17"|"21/01/2025 18:19:53"|"99794"|"Layer 1"|"Proximity Analysis ILC3 & TH17:;Population:TH17;Within:50;Population 2:ILC3;Number of Bands:10;Store Object (Pair) Data:False;Generate Markup Image:False"||||||||||||||||||||||||||||||||"101"||||||||||||||||||||||||||||||||||||||||||||||||||||||||"71"|||"305,72"|"37"|||||||||||||||||||||||||"12"|"11,88"|"0,3243243"|"2"|"1"|"0"|"1"|"2"|"2"|"2"|"1"|"0"|"1"
"\\srvnas01.icr.local\anapath\Imagin_Data\VAN ACKER Nathalie\17-001.ILC1.RunFL\178935_NVA_17-001.ILC1.RunFL_21T011790.01.czi"|"178935_NVA_17-001.ILC1.RunFL_21T011790.01.czi"|"Proximity Analysis ILC1 & TH1"|"21/01/2025 18:18:55"|"99793"|"Layer 1"|"Proximity Analysis ILC1 & TH1:;Population:TH1;Within:50;Population 2:ILC1;Number of Bands:10;Store Object (Pair) Data:False;Generate Markup Image:False"|"318"|"677"|"104"|"32,7"|"84,92"|"205"|"0,50731707"|"2"|"15"|"6"|"10"|"10"|"15"|"10"|"13"|"13"|"10"||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
