Image Tag,Algorithm Name,Analysis Region,% CD20 Positive Cells,% TCR-Alpha-Delta Positive Cells,% IL7R Positive Cells,% B-Cells:CD20+TCR- Positive Cells,% T-Cells:CD20-TCR+ Positive Cells,% Pool-ILCs:CD20-TCR-IL7R+ Positive Cells,% IL7R+CD20+ Positive Cells,% IL7R+CD20- Positive Cells,% IL7R+TCR+ Positive Cells,% IL7R+TCR- Positive Cells,% EOMES Positive Cells,% TBX Positive Cells,% ILC1:TBX+EOMES+CD20-TCR-IL7R+ Positive Cells,% ILC1:TBX+EOMES-CD20-TCR-IL7R+ Positive Cells,% ILC1s:TBX+EOMES+/-CD20-TCR-IL7R+ Positive Cells,% NK/ILC1ie:TBX+EOMES+CD20-TCR-IL7R- Positive Cells,% T-Helper:CD20-TCR+TBX+EOMES+ Positive Cells,% GATA Positive Cells,% ICOS Positive Cells,% ILC2:GATA+ICOS+CD20-TCR-IL7R+ Positive Cells,% T-Helper:CD20-TCR+GATA+ICOS+ Positive Cells,% ROR-GammaT Positive Cells,% AHR Positive Cells,% ILC3:ROR+AHR+CD20-TCR-IL7R+ Positive Cells,% T-Helper:CD20-TCR+ROR+AHR+ Positive Cells
168971_NVA_17-001.ILC1.RunSG_19T043732.02.czi,HighPlex FL v4.2.5_ILC1-Default,GC Excluded,9.059656,22.209227,51.392986,7.690445,20.840015,30.281551,2.059429,49.333557,19.979385,31.413601,0.816329,2.551766,0.194336,1.115807,1.310143,0.012109,0.051094,,,,,,,,
168972_NVA_17-001.ILC1.RunSG_19T057083.01.czi,HighPlex FL v4.2.5_ILC1-Default,GC Excluded,7.60808,12.40811,21.516613,3.714633,8.514662,11.608227,3.028809,18.487803,9.380772,12.13584,0.378233,0.70422,0.029434,0.096398,0.125832,0.003679,0.019868,,,,,,,,
168973_NVA_17-001.ILC1.RunSG_21T000195.21.czi,HighPlex FL v4.2.5_ILC1-Default,GC Excluded,12.701067,13.112509,40.1175,10.537841,10.949283,29.053999,1.939836,38.177666,10.012811,30.104691,0.648084,0.519351,0.033445,0.206983,0.240428,0.004417,0.004417,,,,,,,,
168974_NVA_17-001.ILC1.RunSG_21T000198.09.czi,HighPlex FL v4.2.5_ILC1-Default,GC Excluded,20.261631,43.450829,61.151188,10.403522,33.59272,17.558397,11.48173,49.669456,40.22847,20.922716,0.979712,3.015199,0.082022,0.55663,0.638652,0.00701,0.170705,,,,,,,,
168975_NVA_17-001.ILC1.RunSG_21T000204.04.czi,HighPlex FL v4.2.5_ILC1-Default,GC Excluded,19.347691,26.930597,55.963863,15.08369,22.666597,27.206955,6.6326,49.331264,25.376734,30.587132,1.998384,5.740953,0.213787,1.995776,2.209563,0.007821,0.205965,,,,,,,,
168976_NVA_17-001.ILC1.RunSG_21T000239.07.czi,HighPlex FL v4.2.5_ILC1-Default,GC Excluded,5.180392,10.07147,30.773348,4.323305,9.214383,21.109341,1.251676,29.521671,9.016962,21.756386,0.717227,0.958827,0.052006,0.514252,0.566258,0.004292,0.004544,,,,,,,,
168977_NVA_17-001.ILC1.RunSG_21T000410.06.czi,HighPlex FL v4.2.5_ILC1-Default,GC Excluded,9.795651,15.591078,46.500095,8.607447,14.402873,32.551826,1.26698,45.233116,13.250775,33.249321,0.576753,1.587945,0.095657,0.719769,0.815426,0.012192,0.017818,,,,,,,,
168978_NVA_17-001.ILC1.RunSG_21T000411.10.czi,HighPlex FL v4.2.5_ILC1-Default,GC Excluded,12.712705,44.441284,53.373676,8.665575,40.394154,12.365149,3.996894,49.376781,40.0061,13.367577,1.307179,1.032672,0.050493,0.209149,0.259642,0.003076,0.046905,,,,,,,,
168979_NVA_17-001.ILC2.RunSG_19T043732.02.czi,HighPlex FL v4.2.5_ILC2-Default,GC Excluded,8.905078,20.970648,50.416389,7.854767,19.920338,30.466171,1.573224,48.843166,19.028994,31.387396,,,,,,,,35.319111,11.540266,3.222944,4.502738,,,,
168980_NVA_17-001.ILC2.RunSG_19T057083.01.czi,HighPlex FL v4.2.5_ILC2-Default,GC Excluded,11.548257,21.319801,28.95929,8.318622,18.090166,11.096754,2.938149,26.021141,16.98958,11.969709,,,,,,,,20.902855,3.347582,0.151002,1.716612,,,,
