Image Tag,Algorithm Name,Analysis Region,% CD20 Positive Cells,% TCR-Alpha-Delta Positive Cells,% IL7R Positive Cells,% B-Cells:CD20+TCR- Positive Cells,% T-Cells:CD20-TCR+ Positive Cells,% Pool-ILCs:CD20-TCR-IL7R+ Positive Cells,% IL7R+CD20+ Positive Cells,% IL7R+CD20- Positive Cells,% IL7R+TCR+ Positive Cells,% IL7R+TCR- Positive Cells,% EOMES Positive Cells,% TBX Positive Cells,% ILC1:TBX+EOMES+CD20-TCR-IL7R+ Positive Cells,% ILC1:TBX+EOMES-CD20-TCR-IL7R+ Positive Cells,% ILC1s:TBX+EOMES+/-CD20-TCR-IL7R+ Positive Cells,% NK/ILC1ie:TBX+EOMES+CD20-TCR-IL7R- Positive Cells,% T-Helper:CD20-TCR+TBX+EOMES+ Positive Cells,% GATA Positive Cells,% ICOS Positive Cells,% ILC2:GATA+ICOS+CD20-TCR-IL7R+ Positive Cells,% T-Helper:CD20-TCR+GATA+ICOS+ Positive Cells,% ROR-GammaT Positive Cells,% AHR Positive Cells,% ILC3:ROR+AHR+CD20-TCR-IL7R+ Positive Cells,% T-Helper:CD20-TCR+ROR+AHR+ Positive Cells
168971_NVA_17-001.ILC1.RunSG_19T043732.02.czi,HighPlex FL v4.2.5_ILC1-Default,GerminalCenter,28.994595,12.043243,2.227027,24.778378,7.827027,1.578378,0.259459,1.967568,0.497297,1.72973,0.086486,0.151351,0.021622,0,0.021622,0,0,,,,,,,,
168972_NVA_17-001.ILC1.RunSG_19T057083.01.czi,HighPlex FL v4.2.5_ILC1-Default,GerminalCenter,2.890173,4.50867,21.040462,2.65896,4.277457,17.68786,0.231214,20.809248,3.236994,17.803469,0,0.115607,0,0.115607,0.115607,0,0,,,,,,,,
168973_NVA_17-001.ILC1.RunSG_21T000195.21.czi,HighPlex FL v4.2.5_ILC1-Default,GerminalCenter,27.000706,7.226535,2.131263,24.784756,5.010586,1.227946,0.127029,2.004234,0.875088,1.256175,0.988003,0.141143,0.014114,0.014114,0.028228,0,0,,,,,,,,
168974_NVA_17-001.ILC1.RunSG_21T000198.09.czi,HighPlex FL v4.2.5_ILC1-Default,GerminalCenter,37.246964,35.257374,45.3904,27.137074,25.147484,16.124928,10.341238,35.04916,22.938114,22.452284,0.508965,1.064199,0,0.242915,0.242915,0,0.034702,,,,,,,,
168975_NVA_17-001.ILC1.RunSG_21T000204.04.czi,HighPlex FL v4.2.5_ILC1-Default,GerminalCenter,57.012196,13.414634,0.304878,47.560974,3.963415,0.304878,0,0.304878,0,0.304878,0,0.304878,0,0,0,0,0,,,,,,,,
168976_NVA_17-001.ILC1.RunSG_21T000239.07.czi,HighPlex FL v4.2.5_ILC1-Default,GerminalCenter,34.911758,14.100996,18.679014,30.578367,9.767605,9.33077,2.149222,16.529793,8.142583,10.536432,0.15726,0.768828,0.034947,0.297047,0.331994,0,0,,,,,,,,
168977_NVA_17-001.ILC1.RunSG_21T000410.06.czi,HighPlex FL v4.2.5_ILC1-Default,GerminalCenter,34.253368,11.386601,8.420659,29.3881,6.521332,3.770584,1.30988,7.110778,3.95771,4.462949,0.271332,0.458458,0.018713,0.093563,0.112276,0,0,,,,,,,,
168978_NVA_17-001.ILC1.RunSG_21T000411.10.czi,HighPlex FL v4.2.5_ILC1-Default,GerminalCenter,33.64011,17.300825,5,27.870878,11.531593,1.936813,0.989011,4.010989,2.589286,2.410714,0.686813,0.130495,0,0.027473,0.027473,0,0,,,,,,,,
168979_NVA_17-001.ILC2.RunSG_19T043732.02.czi,HighPlex FL v4.2.5_ILC2-Default,GerminalCenter,38.752735,11.750547,4.004376,33.763676,6.761488,1.859956,0.634573,3.369803,1.925602,2.078775,,,,,,,,15.426696,31.094091,1.006564,4.617068,,,,
168980_NVA_17-001.ILC2.RunSG_19T057083.01.czi,HighPlex FL v4.2.5_ILC2-Default,GerminalCenter,25,35.044643,42.299107,18.638393,28.683035,12.723214,5.46875,36.830357,27.34375,14.955358,,,,,,,,19.754465,5.580357,0.223214,2.455357,,,,
