Image Tag,Algorithm Name,Analysis Region,% CD20 Positive Cells,% TCR-Alpha-Delta Positive Cells,% IL7R Positive Cells,% B-Cells:CD20+TCR- Positive Cells,% T-Cells:CD20-TCR+ Positive Cells,% Pool-ILCs:CD20-TCR-IL7R+ Positive Cells,% IL7R+CD20+ Positive Cells,% IL7R+CD20- Positive Cells,% IL7R+TCR+ Positive Cells,% IL7R+TCR- Positive Cells,% EOMES Positive Cells,% TBX Positive Cells,% ILC1:TBX+EOMES+CD20-TCR-IL7R+ Positive Cells,% ILC1:TBX+EOMES-CD20-TCR-IL7R+ Positive Cells,% ILC1s:TBX+EOMES+/-CD20-TCR-IL7R+ Positive Cells,% NK/ILC1ie:TBX+EOMES+CD20-TCR-IL7R- Positive Cells,% T-Helper:CD20-TCR+TBX+EOMES+ Positive Cells,% GATA Positive Cells,% ICOS Positive Cells,% ILC2:GATA+ICOS+CD20-TCR-IL7R+ Positive Cells,% T-Helper:CD20-TCR+GATA+ICOS+ Positive Cells,% ROR-GammaT Positive Cells,% AHR Positive Cells,% ILC3:ROR+AHR+CD20-TCR-IL7R+ Positive Cells,% T-Helper:CD20-TCR+ROR+AHR+ Positive Cells
168971_NVA_17-001.ILC1.RunSG_19T043732.02.czi,HighPlex FL v4.2.5_ILC1-Default,Layer 1,9.327999,22.071651,50.73045,7.921588,20.665241,29.89476,2.035173,48.695274,19.716852,31.013596,0.806494,2.519419,0.192008,1.100771,1.292779,0.011946,0.050406,,,,,,,,
168972_NVA_17-001.ILC1.RunSG_19T057083.01.czi,HighPlex FL v4.2.5_ILC1-Default,Layer 1,7.576722,12.359518,21.512712,3.706466,8.489263,11.645133,3.011092,18.501619,9.342576,12.170136,0.375838,0.700492,0.029248,0.096519,0.125767,0.003656,0.019742,,,,,,,,
168973_NVA_17-001.ILC1.RunSG_21T000195.21.czi,HighPlex FL v4.2.5_ILC1-Default,Layer 1,13.31485,12.860007,38.492439,11.149971,10.695129,27.862545,1.862859,36.629578,9.622355,28.870083,0.662632,0.503165,0.032618,0.198729,0.231347,0.004228,0.004228,,,,,,,,
168974_NVA_17-001.ILC1.RunSG_21T000198.09.czi,HighPlex FL v4.2.5_ILC1-Default,Layer 1,20.762087,43.210968,60.688938,10.895791,33.344673,17.515736,11.449325,49.239616,39.72068,20.968258,0.965876,2.957847,0.079611,0.547409,0.62702,0.006804,0.166706,,,,,,,,
168975_NVA_17-001.ILC1.RunSG_21T000204.04.czi,HighPlex FL v4.2.5_ILC1-Default,Layer 1,19.347691,26.930597,55.963863,15.08369,22.666597,27.206955,6.6326,49.331264,25.376734,30.587132,1.998384,5.740953,0.213787,1.995776,2.209563,0.007821,0.205965,,,,,,,,
168976_NVA_17-001.ILC1.RunSG_21T000239.07.czi,HighPlex FL v4.2.5_ILC1-Default,Layer 1,5.603074,10.129333,30.601767,4.696727,9.222985,20.942034,1.264456,29.337313,9.004736,21.597033,0.70925,0.956119,0.051763,0.511158,0.562921,0.004231,0.004479,,,,,,,,
168977_NVA_17-001.ILC1.RunSG_21T000410.06.czi,HighPlex FL v4.2.5_ILC1-Default,Layer 1,10.392598,15.48849,45.569115,9.114052,14.209943,31.848175,1.267797,44.301315,13.023798,32.545315,0.569285,1.560331,0.093775,0.704459,0.798234,0.011893,0.017383,,,,,,,,
168978_NVA_17-001.ILC1.RunSG_21T000411.10.czi,HighPlex FL v4.2.5_ILC1-Default,Layer 1,13.466119,43.465477,51.633507,9.355789,39.355145,11.989513,3.888938,47.744568,38.660824,12.972682,1.284864,1.000217,0.048677,0.202613,0.25129,0.002965,0.045217,,,,,,,,
168979_NVA_17-001.ILC2.RunSG_19T043732.02.czi,HighPlex FL v4.2.5_ILC2-Default,Layer 1,9.30779,20.845911,49.791294,8.204709,19.74283,30.080889,1.560584,48.230709,18.798639,30.992655,,,,,,,,35.050938,11.804016,3.193095,4.504587,,,,
168980_NVA_17-001.ILC2.RunSG_19T057083.01.czi,HighPlex FL v4.2.5_ILC2-Default,Layer 1,11.638945,21.411568,29.049229,8.388368,18.160992,11.107629,2.95507,26.09416,17.059557,11.989672,,,,,,,,20.895178,3.362511,0.151485,1.721552,,,,
168981_NVA_17-001.ILC2.RunSG_21T000195.21.czi,HighPlex FL v4.2.5_ILC2-Default,Layer 1,12.936724,15.589213,36.853405,11.141911,13.7944,23.631599,1.711714,35.141693,12.418721,24.434685,,,,,,,,15.640771,8.170978,1.414499,1.802091,,,,
168982_NVA_17-001.ILC2.RunSG_21T000198.09.czi,HighPlex FL v4.2.5_ILC2-Default,Layer 1,21.44698,43.017342,51.636806,12.157618,33.727982,12.806324,7.602313,44.034492,37.583992,14.052813,,,,,,,,27.977798,9.26031,0.273769,4.914862,,,,
168983_NVA_17-001.ILC2.RunSG_21T000204.04.czi,HighPlex FL v4.2.5_ILC2-Default,Layer 1,8.553926,20.313082,51.681019,6.993834,18.752991,31.334715,2.451762,49.229256,19.099825,32.581192,,,,,,,,42.701855,6.185882,2.248445,2.397279,,,,
168984_NVA_17-001.ILC2.RunSG_21T000239.07.czi,HighPlex FL v4.2.5_ILC2-Default,Layer 1,6.894063,12.459743,31.942421,5.397663,10.963344,20.503239,1.464372,30.47805,10.887596,21.054825,,,,,,,,16.036156,3.998363,0.749089,1.478606,,,,
168985_NVA_17-001.ILC2.RunSG_21T000410.06.czi,HighPlex FL v4.2.5_ILC2-Default,Layer 1,13.634347,20.395493,45.80587,11.988483,18.749628,28.067728,1.245432,44.56044,17.11154,28.694332,,,,,,,,33.953457,11.101176,3.508295,3.720745,,,,
168986_NVA_17-001.ILC2.RunSG_21T000411.10.czi,HighPlex FL v4.2.5_ILC2-Default,Layer 1,17.829336,49.028229,54.243858,12.144939,43.34383,9.328906,4.666409,49.57745,44.087456,10.156403,,,,,,,,40.626347,12.934045,0.426709,8.963574,,,,
