Image Tag,Algorithm Name,Analysis Region,Area Analyzed (μm²),Total Cells,CD20 Positive Cells,TCR-Alpha-Delta Positive Cells,IL7R Positive Cells,B-Cells:CD20+TCR- Cells,T-Cells:CD20-TCR+ Cells,Pool-ILCs:CD20-TCR-IL7R+ Cells,IL7R+CD20+ Cells,IL7R+CD20- Cells,IL7R+TCR+ Cells,IL7R+TCR- Cells,EOMES Positive Cells,TBX Positive Cells,ILC1:TBX+EOMES+CD20-TCR-IL7R+ Cells,ILC1:TBX+EOMES-CD20-TCR-IL7R+ Cells,ILC1s:TBX+EOMES+/-CD20-TCR-IL7R+ Positive Cells,NK/ILC1ie:TBX+EOMES+CD20-TCR-IL7R- Cells,T-Helper:CD20-TCR+TBX+EOMES+ Cells,GATA Positive Cells,ICOS Positive Cells,ILC2:GATA+ICOS+CD20-TCR-IL7R+ Cells,T-Helper:CD20-TCR+GATA+ICOS+ Cells,ROR-GammaT Positive Cells,AHR Positive Cells,ILC3:ROR+AHR+CD20-TCR-IL7R+ Cells,T-Helper:CD20-TCR+ROR+AHR+ Cells,% CD20 Positive Cells,% TCR-Alpha-Delta Positive Cells,% IL7R Positive Cells,% B-Cells:CD20+TCR- Positive Cells,% T-Cells:CD20-TCR+ Positive Cells,% Pool-ILCs:CD20-TCR-IL7R+ Positive Cells,% IL7R+CD20+ Positive Cells,% IL7R+CD20- Positive Cells,% IL7R+TCR+ Positive Cells,% IL7R+TCR- Positive Cells,% EOMES Positive Cells,% TBX Positive Cells,% ILC1:TBX+EOMES+CD20-TCR-IL7R+ Positive Cells,% ILC1:TBX+EOMES-CD20-TCR-IL7R+ Positive Cells,% ILC1s:TBX+EOMES+/-CD20-TCR-IL7R+ Positive Cells,% NK/ILC1ie:TBX+EOMES+CD20-TCR-IL7R- Positive Cells,% T-Helper:CD20-TCR+TBX+EOMES+ Positive Cells,% GATA Positive Cells,% ICOS Positive Cells,% ILC2:GATA+ICOS+CD20-TCR-IL7R+ Positive Cells,% T-Helper:CD20-TCR+GATA+ICOS+ Positive Cells,% ROR-GammaT Positive Cells,% AHR Positive Cells,% ILC3:ROR+AHR+CD20-TCR-IL7R+ Positive Cells,% T-Helper:CD20-TCR+ROR+AHR+ Positive Cells,%Pool-IL7R ILC1s:TBX+EOMES+/-CD20-TCR-IL7R+ Positive Cells,%Pool-IL7R ILC2:GATA+ICOS+CD20-TCR-IL7R+ Positive Cells,%Pool-IL7R ILC3:ROR+AHR+CD20-TCR-IL7R+ Positive Cells,B Cells - Density/mm²,T Cells - Density/mm²,Pool IL7R (Non B/T) - Density/mm²,NK/ILC1ie - Density/mm²,ILC1s - Density/mm²,TH1 - Density/mm²,ILC2 - Density/mm²,TH2 - Density/mm²,ILC3 - Density/mm²,TH17 - Density/mm²
168971_NVA_17-001.ILC1.RunSG_19T043732.02.czi,HighPlex FL v4.2.5_ILC1-Default,GC Excluded,25486418,338589,30675,75198,174011,26039,70562,102530,6973,167038,67648,106363,2764,8640,658,3778,4436,41,173,,,,,,,,,9.059656,22.209227,51.392986,7.690445,20.840015,30.281551,2.059429,49.333557,19.979385,31.413601,0.816329,2.551766,0.194336,1.115807,1.310143,0.012109,0.051094,,,,,,,,,4.326538574,,,1021.68143,2768.611894,4022.927035,1.608699975,174.05349,6.787929163,,,,
168972_NVA_17-001.ILC1.RunSG_19T057083.01.czi,HighPlex FL v4.2.5_ILC1-Default,GC Excluded,11318253,135895,10339,16862,29240,5048,11571,15775,4116,25124,12748,16492,514,957,40,131,171,5,27,,,,,,,,,7.60808,12.40811,21.516613,3.714633,8.514662,11.608227,3.028809,18.487803,9.380772,12.13584,0.378233,0.70422,0.029434,0.096398,0.125832,0.003679,0.019868,,,,,,,,,1.083993661,,,446.0052271,1022.33092,1393.766335,0.44176429,15.10833872,2.385527166,,,,
168973_NVA_17-001.ILC1.RunSG_21T000195.21.czi,HighPlex FL v4.2.5_ILC1-Default,GC Excluded,10711432,158467,20127,20779,63573,16699,17351,46041,3074,60499,15867,47706,1027,823,53,328,381,7,7,,,,,,,,,12.701067,13.112509,40.1175,10.537841,10.949283,29.053999,1.939836,38.177666,10.012811,30.104691,0.648084,0.519351,0.033445,0.206983,0.240428,0.004417,0.004417,,,,,,,,,0.827523294,,,1558.988565,1619.85811,4298.304839,0.653507393,35.56947381,0.653507393,,,,
168974_NVA_17-001.ILC1.RunSG_21T000198.09.czi,HighPlex FL v4.2.5_ILC1-Default,GC Excluded,23526282,285288,57804,123960,174457,29680,95836,50092,32756,141701,114767,59690,2795,8602,234,1588,1822,20,487,,,,,,,,,20.261631,43.450829,61.151188,10.403522,33.59272,17.558397,11.48173,49.669456,40.22847,20.922716,0.979712,3.015199,0.082022,0.55663,0.638652,0.00701,0.170705,,,,,,,,,3.637307354,,,1261.567807,4073.571846,2129.193215,0.850113078,77.44530139,20.70025344,,,,
168975_NVA_17-001.ILC1.RunSG_21T000204.04.czi,HighPlex FL v4.2.5_ILC1-Default,GC Excluded,5156690,76712,14842,20659,42931,11571,17388,20871,5088,37843,19467,23464,1533,4404,164,1531,1695,6,158,,,,,,,,,19.347691,26.930597,55.963863,15.08369,22.666597,27.206955,6.6326,49.331264,25.376734,30.587132,1.998384,5.740953,0.213787,1.995776,2.209563,0.007821,0.205965,,,,,,,,,8.121316659,,,2243.881249,3371.930444,4047.363716,1.163537075,328.6992237,30.63980965,,,,
168976_NVA_17-001.ILC1.RunSG_21T000239.07.czi,HighPlex FL v4.2.5_ILC1-Default,GC Excluded,30766812,396109,20520,39894,121896,17125,36499,83616,4958,116938,35717,86179,2841,3798,206,2037,2243,17,18,,,,,,,,,5.180392,10.07147,30.773348,4.323305,9.214383,21.109341,1.251676,29.521671,9.016962,21.756386,0.717227,0.958827,0.052006,0.514252,0.566258,0.004292,0.004544,,,,,,,,,2.682500957,,,556.6062548,1186.310756,2717.733641,0.552543435,72.90323092,0.58504599,,,,
168977_NVA_17-001.ILC1.RunSG_21T000410.06.czi,HighPlex FL v4.2.5_ILC1-Default,GC Excluded,29622678,426526,41781,66500,198335,36713,61432,138842,5404,192931,56518,141817,2460,6773,408,3070,3478,52,76,,,,,,,,,9.795651,15.591078,46.500095,8.607447,14.402873,32.551826,1.26698,45.233116,13.250775,33.249321,0.576753,1.587945,0.095657,0.719769,0.815426,0.012192,0.017818,,,,,,,,,2.50500569,,,1239.354524,2073.816554,4687.017156,1.75541185,117.4100465,2.565601935,,,,
168978_NVA_17-001.ILC1.RunSG_21T000411.10.czi,HighPlex FL v4.2.5_ILC1-Default,GC Excluded,27134220,390153,49599,173389,208239,33809,157599,48243,15594,192645,156085,52154,5100,4029,197,816,1013,12,183,,,,,,,,,12.712705,44.441284,53.373676,8.665575,40.394154,12.365149,3.996894,49.376781,40.0061,13.367577,1.307179,1.032672,0.050493,0.209149,0.259642,0.003076,0.046905,,,,,,,,,2.099786498,,,1245.991224,5808.127155,1777.939443,0.44224599,37.33293236,6.744251355,,,,
168979_NVA_17-001.ILC2.RunSG_19T043732.02.czi,HighPlex FL v4.2.5_ILC2-Default,GC Excluded,25096200,334663,29802,70181,168725,26287,66666,101959,5265,163460,63683,105042,,,,,,,,118200,38621,10786,15069,,,,,8.905078,20.970648,50.416389,7.854767,19.920338,30.466171,1.573224,48.843166,19.028994,31.387396,,,,,,,,35.319111,11.540266,3.222944,4.502738,,,,,,10.57876205,,1047.449415,2656.418103,4062.726628,,,,429.7861828,600.4494704,,
168980_NVA_17-001.ILC2.RunSG_19T057083.01.czi,HighPlex FL v4.2.5_ILC2-Default,GC Excluded,11475222,133111,15372,28379,38548,11073,24080,14771,3911,34637,22615,15933,,,,,,,,27824,4456,201,2285,,,,,11.548257,21.319801,28.95929,8.318622,18.090166,11.096754,2.938149,26.021141,16.98958,11.969709,,,,,,,,20.902855,3.347582,0.151002,1.716612,,,,,,1.360774491,,964.948652,2098.434348,1287.208213,,,,17.516001,199.124688,,
