Image Tag,Algorithm Name,Analysis Region,Area Analyzed (μm²),Total Cells,CD20 Positive Cells,TCR-Alpha-Delta Positive Cells,IL7R Positive Cells,B-Cells:CD20+TCR- Cells,T-Cells:CD20-TCR+ Cells,Pool-ILCs:CD20-TCR-IL7R+ Cells,IL7R+CD20+ Cells,IL7R+CD20- Cells,IL7R+TCR+ Cells,IL7R+TCR- Cells,EOMES Positive Cells,TBX Positive Cells,ILC1:TBX+EOMES+CD20-TCR-IL7R+ Cells,ILC1:TBX+EOMES-CD20-TCR-IL7R+ Cells,ILC1s:TBX+EOMES+/-CD20-TCR-IL7R+ Positive Cells,NK/ILC1ie:TBX+EOMES+CD20-TCR-IL7R- Cells,T-Helper:CD20-TCR+TBX+EOMES+ Cells,GATA Positive Cells,ICOS Positive Cells,ILC2:GATA+ICOS+CD20-TCR-IL7R+ Cells,T-Helper:CD20-TCR+GATA+ICOS+ Cells,ROR-GammaT Positive Cells,AHR Positive Cells,ILC3:ROR+AHR+CD20-TCR-IL7R+ Cells,T-Helper:CD20-TCR+ROR+AHR+ Cells,% CD20 Positive Cells,% TCR-Alpha-Delta Positive Cells,% IL7R Positive Cells,% B-Cells:CD20+TCR- Positive Cells,% T-Cells:CD20-TCR+ Positive Cells,% Pool-ILCs:CD20-TCR-IL7R+ Positive Cells,% IL7R+CD20+ Positive Cells,% IL7R+CD20- Positive Cells,% IL7R+TCR+ Positive Cells,% IL7R+TCR- Positive Cells,% EOMES Positive Cells,% TBX Positive Cells,% ILC1:TBX+EOMES+CD20-TCR-IL7R+ Positive Cells,% ILC1:TBX+EOMES-CD20-TCR-IL7R+ Positive Cells,% ILC1s:TBX+EOMES+/-CD20-TCR-IL7R+ Positive Cells,% NK/ILC1ie:TBX+EOMES+CD20-TCR-IL7R- Positive Cells,% T-Helper:CD20-TCR+TBX+EOMES+ Positive Cells,% GATA Positive Cells,% ICOS Positive Cells,% ILC2:GATA+ICOS+CD20-TCR-IL7R+ Positive Cells,% T-Helper:CD20-TCR+GATA+ICOS+ Positive Cells,% ROR-GammaT Positive Cells,% AHR Positive Cells,% ILC3:ROR+AHR+CD20-TCR-IL7R+ Positive Cells,% T-Helper:CD20-TCR+ROR+AHR+ Positive Cells,%Pool-IL7R ILC1s:TBX+EOMES+/-CD20-TCR-IL7R+ Positive Cells,%Pool-IL7R ILC2:GATA+ICOS+CD20-TCR-IL7R+ Positive Cells,%Pool-IL7R ILC3:ROR+AHR+CD20-TCR-IL7R+ Positive Cells,B Cells - Density/mm²,T Cells - Density/mm²,Pool IL7R (Non B/T) - Density/mm²,NK/ILC1ie - Density/mm²,ILC1s - Density/mm²,TH1 - Density/mm²,ILC2 - Density/mm²,TH2 - Density/mm²,ILC3 - Density/mm²,TH17 - Density/mm²
168971_NVA_17-001.ILC1.RunSG_19T043732.02.czi,HighPlex FL v4.2.5_ILC1-Default,GerminalCenter,316341.0625,4625,1341,557,103,1146,362,73,12,91,23,80,4,7,1,0,1,0,0,,,,,,,,,28.994595,12.043243,2.227027,24.778378,7.827027,1.578378,0.259459,1.967568,0.497297,1.72973,0.086486,0.151351,0.021622,0,0.021622,0,0,,,,,,,,,1.369863014,,,3622.672286,1144.334527,230.7635924,0,3.161145101,0,,,,
168972_NVA_17-001.ILC1.RunSG_19T057083.01.czi,HighPlex FL v4.2.5_ILC1-Default,GerminalCenter,58192.82813,865,25,39,182,23,37,153,2,180,28,154,0,1,0,1,1,0,0,,,,,,,,,2.890173,4.50867,21.040462,2.65896,4.277457,17.68786,0.231214,20.809248,3.236994,17.803469,0,0.115607,0,0.115607,0.115607,0,0,,,,,,,,,0.653594771,,,395.2377078,635.8171822,2629.189969,0,17.18424817,0,,,,
168973_NVA_17-001.ILC1.RunSG_21T000195.21.czi,HighPlex FL v4.2.5_ILC1-Default,GerminalCenter,492538.25,7085,1913,512,151,1756,355,87,9,142,62,89,70,10,1,1,2,0,0,,,,,,,,,27.000706,7.226535,2.131263,24.784756,5.010586,1.227946,0.127029,2.004234,0.875088,1.256175,0.988003,0.141143,0.014114,0.014114,0.028228,0,0,,,,,,,,,2.298850575,,,3565.205342,720.7562052,176.6360278,0,4.060598339,0,,,,
168974_NVA_17-001.ILC1.RunSG_21T000198.09.czi,HighPlex FL v4.2.5_ILC1-Default,GerminalCenter,641795.25,8645,3220,3048,3924,2346,2174,1394,894,3030,1983,1941,44,92,0,21,21,0,3,,,,,,,,,37.246964,35.257374,45.3904,27.137074,25.147484,16.124928,10.341238,35.04916,22.938114,22.452284,0.508965,1.064199,0,0.242915,0.242915,0,0.034702,,,,,,,,,1.506456241,,,3655.371398,3387.373154,2172.03228,0,32.72071584,4.674387977,,,,
168975_NVA_17-001.ILC1.RunSG_21T000204.04.czi,HighPlex FL v4.2.5_ILC1-Default,GerminalCenter,26248.55273,328,187,44,1,156,13,1,0,1,0,1,0,1,0,0,0,0,0,,,,,,,,,57.012196,13.414634,0.304878,47.560974,3.963415,0.304878,0,0.304878,0,0.304878,0,0.304878,0,0,0,0,0,,,,,,,,,0,,,5943.184814,495.2654012,38.09733855,0,0,0,,,,
168976_NVA_17-001.ILC1.RunSG_21T000239.07.czi,HighPlex FL v4.2.5_ILC1-Default,GerminalCenter,409653.7813,5723,1998,807,1069,1750,559,534,123,946,466,603,9,44,2,17,19,0,0,,,,,,,,,34.911758,14.100996,18.679014,30.578367,9.767605,9.33077,2.149222,16.529793,8.142583,10.536432,0.15726,0.768828,0.034947,0.297047,0.331994,0,0,,,,,,,,,3.558052434,,,4271.900029,1364.566924,1303.53978,0,46.38062889,0,,,,
168977_NVA_17-001.ILC1.RunSG_21T000410.06.czi,HighPlex FL v4.2.5_ILC1-Default,GerminalCenter,699242.875,10688,3661,1217,900,3141,697,403,140,760,423,477,29,49,2,10,12,0,0,,,,,,,,,34.253368,11.386601,8.420659,29.3881,6.521332,3.770584,1.30988,7.110778,3.95771,4.462949,0.271332,0.458458,0.018713,0.093563,0.112276,0,0,,,,,,,,,2.977667494,,,4492.001438,996.7924235,576.3376566,0,17.16141906,0,,,,
168978_NVA_17-001.ILC1.RunSG_21T000411.10.czi,HighPlex FL v4.2.5_ILC1-Default,GerminalCenter,1002418,14560,4898,2519,728,4058,1679,282,144,584,377,351,100,19,0,4,4,0,0,,,,,,,,,33.64011,17.300825,5,27.870878,11.531593,1.936813,0.989011,4.010989,2.589286,2.410714,0.686813,0.130495,0,0.027473,0.027473,0,0,,,,,,,,,1.418439716,,,4048.211425,1674.949971,281.3197688,0,3.99035133,0,,,,
168979_NVA_17-001.ILC2.RunSG_19T043732.02.czi,HighPlex FL v4.2.5_ILC2-Default,GerminalCenter,318680.875,4570,1771,537,183,1543,309,85,29,154,88,95,,,,,,,,705,1421,46,211,,,,,38.752735,11.750547,4.004376,33.763676,6.761488,1.859956,0.634573,3.369803,1.925602,2.078775,,,,,,,,15.426696,31.094091,1.006564,4.617068,,,,,,54.11764706,,4841.834327,969.6220396,266.7245093,,,,144.3450285,662.1043701,,
168980_NVA_17-001.ILC2.RunSG_19T057083.01.czi,HighPlex FL v4.2.5_ILC2-Default,GerminalCenter,58398.37109,896,224,314,379,167,257,114,49,330,245,134,,,,,,,,177,50,2,22,,,,,25,35.044643,42.299107,18.638393,28.683035,12.723214,5.46875,36.830357,27.34375,14.955358,,,,,,,,19.754465,5.580357,0.223214,2.455357,,,,,,1.754385965,,2859.668804,4400.80768,1952.109243,,,,34.24753058,376.7228364,,
