Image Tag,Algorithm Name,Analysis Region,Area Analyzed (µm²),Total Cells,CD20 Positive Cells,TCR-Alpha-Delta Positive Cells,IL7R Positive Cells,B-Cells:CD20+TCR- Cells,T-Cells:CD20-TCR+ Cells,Pool-ILCs:CD20-TCR-IL7R+ Cells,IL7R+CD20+ Cells,IL7R+CD20- Cells,IL7R+TCR+ Cells,IL7R+TCR- Cells,EOMES Positive Cells,TBX Positive Cells,ILC1:TBX+EOMES+CD20-TCR-IL7R+ Cells,ILC1:TBX+EOMES-CD20-TCR-IL7R+ Cells,ILC1s:TBX+EOMES+/-CD20-TCR-IL7R+ Positive Cells,NK/ILC1ie:TBX+EOMES+CD20-TCR-IL7R- Cells,T-Helper:CD20-TCR+TBX+EOMES+ Cells,GATA Positive Cells,ICOS Positive Cells,ILC2:GATA+ICOS+CD20-TCR-IL7R+ Cells,T-Helper:CD20-TCR+GATA+ICOS+ Cells,ROR-GammaT Positive Cells,AHR Positive Cells,ILC3:ROR+AHR+CD20-TCR-IL7R+ Cells,T-Helper:CD20-TCR+ROR+AHR+ Cells,% CD20 Positive Cells,% TCR-Alpha-Delta Positive Cells,% IL7R Positive Cells,% B-Cells:CD20+TCR- Positive Cells,% T-Cells:CD20-TCR+ Positive Cells,% Pool-ILCs:CD20-TCR-IL7R+ Positive Cells,% IL7R+CD20+ Positive Cells,% IL7R+CD20- Positive Cells,% IL7R+TCR+ Positive Cells,% IL7R+TCR- Positive Cells,% EOMES Positive Cells,% TBX Positive Cells,% ILC1:TBX+EOMES+CD20-TCR-IL7R+ Positive Cells,% ILC1:TBX+EOMES-CD20-TCR-IL7R+ Positive Cells,% ILC1s:TBX+EOMES+/-CD20-TCR-IL7R+ Positive Cells,% NK/ILC1ie:TBX+EOMES+CD20-TCR-IL7R- Positive Cells,% T-Helper:CD20-TCR+TBX+EOMES+ Positive Cells,% GATA Positive Cells,% ICOS Positive Cells,% ILC2:GATA+ICOS+CD20-TCR-IL7R+ Positive Cells,% T-Helper:CD20-TCR+GATA+ICOS+ Positive Cells,% ROR-GammaT Positive Cells,% AHR Positive Cells,% ILC3:ROR+AHR+CD20-TCR-IL7R+ Positive Cells,% T-Helper:CD20-TCR+ROR+AHR+ Positive Cells,%Pool-TCR+ T-Helper:CD20-TCR+TBX+EOMES+ Cells,%Pool-TCR+ T-Helper:CD20-TCR+GATA+ICOS+ Cells,%Pool-TCR+ T-Helper:CD20-TCR+ROR+AHR+ Cells,B Cells - Density/mm²,T Cells - Density/mm²,Pool IL7R (Non B/T) - Density/mm²,NK/ILC1ie - Density/mm²,ILC1s - Density/mm²,TH1 - Density/mm²,ILC2 - Density/mm²,TH2 - Density/mm²,ILC3 - Density/mm²,TH17 - Density/mm²
168971_NVA_17-001.ILC1.RunSG_19T043732.02.czi,HighPlex FL v4.2.5_ILC1-Default,Layer 1,25802772,343214,32015,75753,174114,27188,70926,102603,6985,167129,67671,106443,2768,8647,659,3778,4437,41,173,,,,,,,,,9.327999,22.071651,50.73045,7.921588,20.665241,29.89476,2.035173,48.695274,19.716852,31.013596,0.806494,2.519419,0.192008,1.100771,1.292779,0.011946,0.050406,,,,,,,,,0.228373794,,,1053.68524,2748.774434,3976.43323,1.588976564,171.9582687,6.704705991,,,,
168972_NVA_17-001.ILC1.RunSG_19T057083.01.czi,HighPlex FL v4.2.5_ILC1-Default,Layer 1,11376450,136761,10362,16903,29421,5069,11610,15926,4118,25303,12777,16644,514,958,40,132,172,5,27,,,,,,,,,7.576722,12.359518,21.512712,3.706466,8.489263,11.645133,3.011092,18.501619,9.342576,12.170136,0.375838,0.700492,0.029248,0.096519,0.125767,0.003656,0.019742,,,,,,,,,0.159734958,,,445.5695757,1020.529251,1399.909462,0.439504415,15.11895187,2.37332384,,,,
168973_NVA_17-001.ILC1.RunSG_21T000195.21.czi,HighPlex FL v4.2.5_ILC1-Default,Layer 1,11203972,165552,22043,21290,63725,18459,17706,46127,3084,60641,15930,47795,1097,833,54,329,383,7,7,,,,,,,,,13.31485,12.860007,38.492439,11.149971,10.695129,27.862545,1.862859,36.629578,9.622355,28.870083,0.662632,0.503165,0.032618,0.198729,0.231347,0.004228,0.004228,,,,,,,,,0.032879286,,,1647.540711,1580.332404,4117.02207,0.624778427,34.18430535,0.624778427,,,,
168974_NVA_17-001.ILC1.RunSG_21T000198.09.czi,HighPlex FL v4.2.5_ILC1-Default,Layer 1,24168080,293930,61026,127010,178383,32026,98010,51484,33653,144730,116751,61632,2839,8694,234,1609,1843,20,490,,,,,,,,,20.762087,43.210968,60.688938,10.895791,33.344673,17.515736,11.449325,49.239616,39.72068,20.968258,0.965876,2.957847,0.079611,0.547409,0.62702,0.006804,0.166706,,,,,,,,,0.385796394,,,1325.136295,4055.349039,2130.247831,0.82753781,76.25760921,20.27467635,,,,
168975_NVA_17-001.ILC1.RunSG_21T000204.04.czi,HighPlex FL v4.2.5_ILC1-Default,Layer 1,5156690,76712,14842,20659,42931,11571,17388,20871,5088,37843,19467,23464,1533,4404,164,1531,1695,6,158,,,,,,,,,19.347691,26.930597,55.963863,15.08369,22.666597,27.206955,6.6326,49.331264,25.376734,30.587132,1.998384,5.740953,0.213787,1.995776,2.209563,0.007821,0.205965,,,,,,,,,0.764799845,,,2243.881249,3371.930444,4047.363716,1.163537075,328.6992237,30.63980965,,,,
168976_NVA_17-001.ILC1.RunSG_21T000239.07.czi,HighPlex FL v4.2.5_ILC1-Default,Layer 1,31176468,401833,22515,40703,122968,18873,37061,84152,5081,117887,36184,86784,2850,3842,208,2054,2262,17,18,,,,,,,,,5.603074,10.129333,30.601767,4.696727,9.222985,20.942034,1.264456,29.337313,9.004736,21.597033,0.70925,0.956119,0.051763,0.511158,0.562921,0.004231,0.004479,,,,,,,,,0.044222785,,,605.3604276,1188.749155,2699.215318,0.545283064,72.554723,0.577358538,,,,
168977_NVA_17-001.ILC1.RunSG_21T000410.06.czi,HighPlex FL v4.2.5_ILC1-Default,Layer 1,30321930,437215,45438,67718,199235,39848,62128,139245,5543,193692,56942,142293,2489,6822,410,3080,3490,52,76,,,,,,,,,10.392598,15.48849,45.569115,9.114052,14.209943,31.848175,1.267797,44.301315,13.023798,32.545315,0.569285,1.560331,0.093775,0.704459,0.798234,0.011893,0.017383,,,,,,,,,0.112230131,,,1314.164369,2048.946093,4592.220878,1.714930415,115.0982144,2.50643676,,,,
168978_NVA_17-001.ILC1.RunSG_21T000411.10.czi,HighPlex FL v4.2.5_ILC1-Default,Layer 1,28136538,404712,54499,175910,208967,37864,159275,48523,15739,193228,156465,52502,5200,4048,197,820,1017,12,183,,,,,,,,,13.466119,43.465477,51.633507,9.355789,39.355145,11.989513,3.888938,47.744568,38.660824,12.972682,1.284864,1.000217,0.048677,0.202613,0.25129,0.002965,0.045217,,,,,,,,,0.10403047,,,1345.723486,5660.788829,1724.554741,0.426491703,36.1451718,6.503998466,,,,
168979_NVA_17-001.ILC2.RunSG_19T043732.02.czi,HighPlex FL v4.2.5_ILC2-Default,Layer 1,25414884,339232,31575,70716,168908,27833,66974,102044,5294,163614,63771,105137,,,,,,,,118904,40043,10832,15281,,,,,9.30779,20.845911,49.791294,8.204709,19.74283,30.080889,1.560584,48.230709,18.798639,30.992655,,,,,,,,35.050938,11.804016,3.193095,4.504587,,,,,,21.6089711,,1095.145663,2635.227452,4015.127513,,,,426.2069424,601.2618433,,
168980_NVA_17-001.ILC2.RunSG_19T057083.01.czi,HighPlex FL v4.2.5_ILC2-Default,Layer 1,11533639,134007,15597,28693,38928,11241,24337,14885,3960,34968,22861,16067,,,,,,,,28001,4506,203,2307,,,,,11.638945,21.411568,29.049229,8.388368,18.160992,11.107629,2.95507,26.09416,17.059557,11.989672,,,,,,,,20.895178,3.362511,0.151485,1.721552,,,,,,8.040288572,,974.6273487,2110.088585,1290.572733,,,,17.6006896,200.0236005,,
