Image Tag,Algorithm Name,Analysis Region,% CD20 Positive Cells,% TCR-Alpha-Delta Positive Cells,% IL7R Positive Cells,% B-Cells:CD20+TCR- Positive Cells,% T-Cells:CD20-TCR+ Positive Cells,% Pool-ILCs:CD20-TCR-IL7R+ Positive Cells,% IL7R+CD20+ Positive Cells,% IL7R+CD20- Positive Cells,% IL7R+TCR+ Positive Cells,% IL7R+TCR- Positive Cells,% EOMES Positive Cells,% TBX Positive Cells,% ILC1:TBX+EOMES+CD20-TCR-IL7R+ Positive Cells,% ILC1:TBX+EOMES-CD20-TCR-IL7R+ Positive Cells,% ILC1s:TBX+EOMES+/-CD20-TCR-IL7R+ Positive Cells,% NK/ILC1ie:TBX+EOMES+CD20-TCR-IL7R- Positive Cells,% T-Helper:CD20-TCR+TBX+EOMES+ Positive Cells,% GATA Positive Cells,% ICOS Positive Cells,% ILC2:GATA+ICOS+CD20-TCR-IL7R+ Positive Cells,% T-Helper:CD20-TCR+GATA+ICOS+ Positive Cells,% ROR-GammaT Positive Cells,% AHR Positive Cells,% ILC3:ROR+AHR+CD20-TCR-IL7R+ Positive Cells,% T-Helper:CD20-TCR+ROR+AHR+ Positive Cells
173926_NVA_17-001.ILC1.RunSR_19T000001.25.czi,HighPlex FL v4.2.5_ILC1-SR,Layer 1,4.070319,17.727999,11.681838,3.189172,16.846851,4.010138,0.32528,11.356558,7.582614,4.099224,10.659189,10.17019,0.438525,0.240293,0.678818,1.926877,1.553926,,,,,,,,
173927_NVA_17-001.ILC1.RunSR_19T005759.03.czi,HighPlex FL v4.2.5_ILC1-SR,Layer 1,8.223056,25.730425,18.668215,6.121805,23.629173,4.079637,1.01493,17.653286,14.4355,4.232716,6.583951,5.562531,0.17143,0.167402,0.338832,0.370835,1.103778,,,,,,,,
173928_NVA_17-001.ILC1.RunSR_19T012874.03.czi,HighPlex FL v4.2.5_ILC1-SR,Layer 1,2.060096,8.787425,6.174551,1.824585,8.551914,1.758923,0.086123,6.088429,4.40253,1.772021,0.386696,1.086807,0.013098,0.031761,0.044859,0.106412,0.01541,,,,,,,,
173929_NVA_17-001.ILC1.RunSR_19T016147.12.czi,HighPlex FL v4.2.5_ILC1-SR,Layer 1,5.336194,7.298522,6.481325,4.579226,6.541554,2.857555,0.230115,6.25121,3.579008,2.902317,3.742327,2.010546,0.104904,0.070253,0.175157,0.579133,0.06671,,,,,,,,
173930_NVA_17-001.ILC1.RunSR_19T036652.01.czi,HighPlex FL v4.2.5_ILC1-SR,Layer 1,2.806155,13.080502,13.047947,2.341312,12.615658,5.661103,0.280087,12.76786,7.308762,5.739185,5.116157,2.54759,0.165022,0.090125,0.255147,0.341776,0.374252,,,,,,,,
173931_NVA_17-001.ILC1.RunSR_19T046428.02.czi,HighPlex FL v4.2.5_ILC1-SR,Layer 1,1.98994,11.370738,8.392144,1.533738,10.914536,3.799454,0.085305,8.306839,4.582341,3.809803,2.326442,2.603511,0.122364,0.108971,0.231335,0.495697,0.130202,,,,,,,,
173932_NVA_17-001.ILC1.RunSR_20T000642.07.czi,HighPlex FL v4.2.5_ILC1-SR,Layer 1,4.998374,9.49911,12.502911,4.201503,8.702239,5.832049,0.515612,11.987298,6.505238,5.997672,6.158758,6.250771,0.639123,0.225709,0.864832,1.5423,0.261829,,,,,,,,
173933_NVA_17-001.ILC1.RunSR_20T051138.22.czi,HighPlex FL v4.2.5_ILC1-SR,Layer 1,5.329937,12.663742,12.923891,4.55127,11.885076,5.15779,0.357247,12.566644,7.677012,5.24688,7.526223,5.056143,1.026555,0.181046,1.207601,1.631591,0.426759,,,,,,,,
173934_NVA_17-001.ILC2.RunSR_19T000001.25.czi,HighPlex FL v4.2.5_ILC2-Default,Layer 1,2.532592,9.638837,6.432766,2.154398,9.260643,3.239561,0.115173,6.317593,3.169518,3.263249,,,,,,,,0.232185,1.155411,0.004084,0.056157,,,,
173935_NVA_17-001.ILC2.RunSR_19T005759.03.czi,HighPlex FL v4.2.5_ILC2-Default,Layer 1,8.49746,20.280483,12.700627,6.754508,18.537529,3.385507,0.550156,12.150471,9.268764,3.431863,,,,,,,,0.203736,0.242177,0.000678,0.009723,,,,
173936_NVA_17-001.ILC2.RunSR_19T012874.03.czi,HighPlex FL v4.2.5_ILC2-Default,Layer 1,2.666593,8.996108,6.275896,2.317517,8.647032,1.896637,0.102734,6.173162,4.364984,1.910913,,,,,,,,0.01674,0.043337,0,0.001275,,,,
173937_NVA_17-001.ILC2.RunSR_19T016147.12.czi,HighPlex FL v4.2.5_ILC2-Default,Layer 1,4.323651,8.733732,6.611685,3.685786,8.095866,2.250766,0.153475,6.458209,4.341272,2.270413,,,,,,,,0.057443,1.350794,0.000617,0.016299,,,,
173938_NVA_17-001.ILC2.RunSR_19T036652.01.czi,HighPlex FL v4.2.5_ILC2-Default,Layer 1,3.462136,10.870786,9.183791,2.95664,10.36529,3.710074,0.214697,8.969094,5.442745,3.741046,,,,,,,,0.227524,0.289157,0.00133,0.016581,,,,
173939_NVA_17-001.ILC2.RunSR_19T046428.02.czi,HighPlex FL v4.2.5_ILC2-Default,Layer 1,2.629674,15.273534,10.348518,1.804678,14.448538,3.482681,0.146002,10.202517,6.856996,3.491523,,,,,,,,0.140994,0.829612,0.001878,0.02316,,,,
173940_NVA_17-001.ILC2.RunSR_20T000642.07.czi,HighPlex FL v4.2.5_ILC2-Default,Layer 1,5.936883,8.88022,8.546125,5.19904,8.142377,3.307851,0.260034,8.286091,5.184954,3.361172,,,,,,,,0.457242,0.652635,0.002074,0.049604,,,,
