Image Tag,Algorithm Name,Analysis Region,% CD20 Positive Cells,% TCR-Alpha-Delta Positive Cells,% IL7R Positive Cells,% B-Cells:CD20+TCR- Positive Cells,% T-Cells:CD20-TCR+ Positive Cells,% Pool-ILCs:CD20-TCR-IL7R+ Positive Cells,% IL7R+CD20+ Positive Cells,% IL7R+CD20- Positive Cells,% IL7R+TCR+ Positive Cells,% IL7R+TCR- Positive Cells,% EOMES Positive Cells,% TBX Positive Cells,% ILC1:TBX+EOMES+CD20-TCR-IL7R+ Positive Cells,% ILC1:TBX+EOMES-CD20-TCR-IL7R+ Positive Cells,% ILC1s:TBX+EOMES+/-CD20-TCR-IL7R+ Positive Cells,% NK/ILC1ie:TBX+EOMES+CD20-TCR-IL7R- Positive Cells,% T-Helper:CD20-TCR+TBX+EOMES+ Positive Cells,% GATA Positive Cells,% ICOS Positive Cells,% ILC2:GATA+ICOS+CD20-TCR-IL7R+ Positive Cells,% T-Helper:CD20-TCR+GATA+ICOS+ Positive Cells,% ROR-GammaT Positive Cells,% AHR Positive Cells,% ILC3:ROR+AHR+CD20-TCR-IL7R+ Positive Cells,% T-Helper:CD20-TCR+ROR+AHR+ Positive Cells
173926_NVA_17-001.ILC1.RunSR_19T000001.25.czi,HighPlex FL v4.2.5_ILC1-SR,RedPulp,3.204764,17.648518,12.094105,2.470639,16.914392,4.391365,0.285617,11.808488,7.618443,4.475662,11.60444,11.293781,0.483219,0.264295,0.747514,2.169898,1.749653,,,,,,,,
173927_NVA_17-001.ILC1.RunSR_19T005759.03.czi,HighPlex FL v4.2.5_ILC1-SR,RedPulp,5.425359,26.028984,19.08802,3.796665,24.40029,4.323102,0.82052,18.2675,14.632074,4.455945,6.979237,5.925375,0.184944,0.180253,0.365197,0.401001,1.198063,,,,,,,,
173928_NVA_17-001.ILC1.RunSR_19T012874.03.czi,HighPlex FL v4.2.5_ILC1-SR,RedPulp,1.115643,4.811866,3.445967,0.998107,4.694329,1.758526,0.042028,3.403939,1.678794,1.767173,0.437872,1.228253,0.015082,0.033682,0.048764,0.12377,0.01659,,,,,,,,
173929_NVA_17-001.ILC1.RunSR_19T016147.12.czi,HighPlex FL v4.2.5_ILC1-SR,RedPulp,2.257414,5.246903,5.518866,1.905428,4.894917,2.980022,0.126962,5.391903,2.509644,3.009221,4.204,2.269971,0.119687,0.079326,0.199013,0.663013,0.075938,,,,,,,,
173930_NVA_17-001.ILC1.RunSR_19T036652.01.czi,HighPlex FL v4.2.5_ILC1-SR,RedPulp,2.257668,11.998767,12.438567,1.878245,11.619344,5.934566,0.238431,12.200135,6.42979,6.008777,5.546774,2.752379,0.179507,0.097695,0.277202,0.371994,0.406751,,,,,,,,
173931_NVA_17-001.ILC1.RunSR_19T046428.02.czi,HighPlex FL v4.2.5_ILC1-SR,RedPulp,0.965638,7.992538,6.426901,0.7479,7.7748,3.764007,0.034619,6.392282,2.655782,3.771119,2.555011,2.835559,0.134104,0.114996,0.2491,0.549528,0.141816,,,,,,,,
173932_NVA_17-001.ILC1.RunSR_20T000642.07.czi,HighPlex FL v4.2.5_ILC1-SR,RedPulp,3.77695,5.686966,9.667107,3.176594,5.08661,6.071599,0.393333,9.273773,3.446583,6.220523,6.972185,7.073781,0.72225,0.248552,0.970802,1.792472,0.285938,,,,,,,,
173933_NVA_17-001.ILC1.RunSR_20T051138.22.czi,HighPlex FL v4.2.5_ILC1-SR,RedPulp,2.818621,9.31569,10.879965,2.388944,8.886013,5.694226,0.205164,10.674801,5.118373,5.761591,8.443004,5.75121,1.198778,0.208586,1.407364,1.914907,0.490082,,,,,,,,
173934_NVA_17-001.ILC2.RunSR_19T000001.25.czi,HighPlex FL v4.2.5_ILC2-Default,RedPulp,2.134721,9.171491,6.375548,1.825573,8.862342,3.475929,0.086318,6.28923,2.879681,3.495867,,,,,,,,0.159969,0.403207,0.002346,0.015012,,,,
173935_NVA_17-001.ILC2.RunSR_19T005759.03.czi,HighPlex FL v4.2.5_ILC2-Default,RedPulp,5.131696,20.377934,13.054134,3.908486,19.154724,3.60979,0.410895,12.64324,9.409937,3.644197,,,,,,,,0.208938,0.224396,0.000748,0.009225,,,,
173936_NVA_17-001.ILC2.RunSR_19T012874.03.czi,HighPlex FL v4.2.5_ILC2-Default,RedPulp,1.416424,5.17756,3.781229,1.236784,4.997921,1.886766,0.050283,3.730946,1.885466,1.895763,,,,,,,,0.017294,0.016295,0,0.001,,,,
173937_NVA_17-001.ILC2.RunSR_19T016147.12.czi,HighPlex FL v4.2.5_ILC2-Default,RedPulp,1.87976,6.623387,5.370451,1.569754,6.313381,2.247211,0.071477,5.298974,3.112462,2.257989,,,,,,,,0.04311,0.662105,0.000508,0.010879,,,,
173938_NVA_17-001.ILC2.RunSR_19T036652.01.czi,HighPlex FL v4.2.5_ILC2-Default,RedPulp,2.184759,9.666354,8.432055,1.853686,9.33528,3.877124,0.152889,8.279165,4.528345,3.90371,,,,,,,,0.213546,0.141876,0.001377,0.010841,,,,
173939_NVA_17-001.ILC2.RunSR_19T046428.02.czi,HighPlex FL v4.2.5_ILC2-Default,RedPulp,1.129172,10.900289,7.301108,0.78753,10.558646,3.387251,0.056573,7.244535,3.909275,3.391833,,,,,,,,0.136762,0.444302,0.001586,0.017183,,,,
173940_NVA_17-001.ILC2.RunSR_20T000642.07.czi,HighPlex FL v4.2.5_ILC2-Default,RedPulp,3.659071,4.757872,5.585091,3.235399,4.3342,3.36946,0.137416,5.447675,2.177896,3.407195,,,,,,,,0.345478,0.197476,0.001677,0.01415,,,,
173941_NVA_17-001.ILC2.RunSR_20T051138.22.czi,HighPlex FL v4.2.5_ILC2-Default,RedPulp,2.766214,10.479486,7.827393,2.337849,10.051121,2.655725,0.127596,7.699798,5.154327,2.673066,,,,,,,,0.256246,0.613608,0.003046,0.030932,,,,
173942_NVA_17-001.ILC3.RunSR_19T000001.25.czi,HighPlex FL v4.2.5_ILC3-SR,RedPulp,3.211955,8.306615,5.955514,2.571844,7.666504,3.339658,0.116529,5.838985,2.591684,3.36383,,,,,,,,,,,,8.364765,4.696729,0.08027,0.083007
173943_NVA_17-001.ILC3.RunSR_19T005759.03.czi,HighPlex FL v4.2.5_ILC3-SR,RedPulp,6.540559,21.316643,13.309014,4.502384,19.278467,3.452671,0.62219,12.686825,9.821378,3.487637,,,,,,,,,,,,19.830231,12.682361,0.235584,1.698685
