Image Tag,Algorithm Name,Analysis Region,% CD20 Positive Cells,% TCR-Alpha-Delta Positive Cells,% IL7R Positive Cells,% B-Cells:CD20+TCR- Positive Cells,% T-Cells:CD20-TCR+ Positive Cells,% Pool-ILCs:CD20-TCR-IL7R+ Positive Cells,% IL7R+CD20+ Positive Cells,% IL7R+CD20- Positive Cells,% IL7R+TCR+ Positive Cells,% IL7R+TCR- Positive Cells,% EOMES Positive Cells,% TBX Positive Cells,% ILC1:TBX+EOMES+CD20-TCR-IL7R+ Positive Cells,% ILC1:TBX+EOMES-CD20-TCR-IL7R+ Positive Cells,% ILC1s:TBX+EOMES+/-CD20-TCR-IL7R+ Positive Cells,% NK/ILC1ie:TBX+EOMES+CD20-TCR-IL7R- Positive Cells,% T-Helper:CD20-TCR+TBX+EOMES+ Positive Cells,% GATA Positive Cells,% ICOS Positive Cells,% ILC2:GATA+ICOS+CD20-TCR-IL7R+ Positive Cells,% T-Helper:CD20-TCR+GATA+ICOS+ Positive Cells,% ROR-GammaT Positive Cells,% AHR Positive Cells,% ILC3:ROR+AHR+CD20-TCR-IL7R+ Positive Cells,% T-Helper:CD20-TCR+ROR+AHR+ Positive Cells
173926_NVA_17-001.ILC1.RunSR_19T000001.25.czi,HighPlex FL v4.2.5_ILC1-SR,WhitePulp,9.813046,18.182564,8.818469,7.950058,16.319574,1.440252,0.581672,8.236797,7.260245,1.558225,4.30437,2.624896,0.137635,0.078649,0.216284,0.298209,0.2425,,,,,,,,
173927_NVA_17-001.ILC1.RunSR_19T005759.03.czi,HighPlex FL v4.2.5_ILC1-SR,WhitePulp,35.354622,22.823597,14.576174,28.67268,16.141657,1.720599,2.889939,11.686235,12.502386,2.073788,2.765846,2.05231,0.038183,0.042955,0.081138,0.083524,0.190913,,,,,,,,
173928_NVA_17-001.ILC1.RunSR_19T012874.03.czi,HighPlex FL v4.2.5_ILC1-SR,WhitePulp,7.48026,31.577431,21.818914,6.565616,30.662786,1.767622,0.338885,21.48003,20.013256,1.80566,0.093366,0.276065,0.001729,0.020748,0.022477,0.006916,0.008645,,,,,,,,
173929_NVA_17-001.ILC1.RunSR_19T016147.12.czi,HighPlex FL v4.2.5_ILC1-SR,WhitePulp,25.374342,20.550621,12.624834,21.966377,17.142654,2.044266,0.892639,11.732196,10.437901,2.186934,0.734547,0.321324,0.008354,0.010925,0.019279,0.03149,0.006426,,,,,,,,
173930_NVA_17-001.ILC1.RunSR_19T036652.01.czi,HighPlex FL v4.2.5_ILC1-SR,WhitePulp,8.339122,24.00638,19.199272,7.010007,22.677265,2.912047,0.697999,18.501274,16.171465,3.027808,0.770886,0.482769,0.019722,0.014577,0.034299,0.036872,0.046305,,,,,,,,
173931_NVA_17-001.ILC1.RunSR_19T046428.02.czi,HighPlex FL v4.2.5_ILC1-SR,WhitePulp,10.108953,38.153431,23.975204,7.766759,35.811237,4.079469,0.486654,23.48855,19.859713,4.115492,0.512482,0.763286,0.028547,0.061172,0.089719,0.067968,0.038742,,,,,,,,
173932_NVA_17-001.ILC1.RunSR_20T000642.07.czi,HighPlex FL v4.2.5_ILC1-SR,WhitePulp,10.836226,27.614899,25.962631,9.102725,25.881397,4.683554,1.100362,24.86227,21.033405,4.929227,2.301159,2.346454,0.244689,0.115206,0.359895,0.362356,0.147207,,,,,,,,
173933_NVA_17-001.ILC1.RunSR_20T051138.22.czi,HighPlex FL v4.2.5_ILC1-SR,WhitePulp,18.33316,29.986504,23.498446,15.748075,27.401419,2.385387,1.144448,22.353998,20.908474,2.589971,2.78112,1.457126,0.134964,0.038474,0.173438,0.164889,0.098933,,,,,,,,
173934_NVA_17-001.ILC2.RunSR_19T000001.25.czi,HighPlex FL v4.2.5_ILC2-Default,WhitePulp,5.157709,12.682227,6.749614,4.323557,11.848075,1.63712,0.310273,6.439341,5.065719,1.683895,,,,,,,,0.729688,6.252241,0.015592,0.338338,,,,
173935_NVA_17-001.ILC2.RunSR_19T005759.03.czi,HighPlex FL v4.2.5_ILC2-Default,WhitePulp,41.329453,19.340126,9.245512,34.526928,12.537603,1.198447,1.901989,7.343523,7.882096,1.363416,,,,,,,,0.15769,0.414847,0,0.014556,,,,
173936_NVA_17-001.ILC2.RunSR_19T012874.03.czi,HighPlex FL v4.2.5_ILC2-Default,WhitePulp,9.756816,30.645582,20.419056,8.442876,29.33164,1.954763,0.401718,20.017338,18.420666,1.998391,,,,,,,,0.013598,0.197176,0,0.002833,,,,
173937_NVA_17-001.ILC2.RunSR_19T016147.12.czi,HighPlex FL v4.2.5_ILC2-Default,WhitePulp,20.204082,22.326468,14.563746,17.390766,19.513149,2.280275,0.685714,13.878033,12.205832,2.357915,,,,,,,,0.152671,5.823672,0.001305,0.051543,,,,
