Image Tag,Algorithm Name,Analysis Region,Area Analyzed (μm²),Total Cells,CD20 Positive Cells,TCR-Alpha-Delta Positive Cells,IL7R Positive Cells,B-Cells:CD20+TCR- Cells,T-Cells:CD20-TCR+ Cells,Pool-ILCs:CD20-TCR-IL7R+ Cells,IL7R+CD20+ Cells,IL7R+CD20- Cells,IL7R+TCR+ Cells,IL7R+TCR- Cells,EOMES Positive Cells,TBX Positive Cells,ILC1:TBX+EOMES+CD20-TCR-IL7R+ Cells,ILC1:TBX+EOMES-CD20-TCR-IL7R+ Cells,ILC1s:TBX+EOMES+/-CD20-TCR-IL7R+ Positive Cells,NK/ILC1ie:TBX+EOMES+CD20-TCR-IL7R- Cells,T-Helper:CD20-TCR+TBX+EOMES+ Cells,GATA Positive Cells,ICOS Positive Cells,ILC2:GATA+ICOS+CD20-TCR-IL7R+ Cells,T-Helper:CD20-TCR+GATA+ICOS+ Cells,ROR-GammaT Positive Cells,AHR Positive Cells,ILC3:ROR+AHR+CD20-TCR-IL7R+ Cells,T-Helper:CD20-TCR+ROR+AHR+ Cells,% CD20 Positive Cells,% TCR-Alpha-Delta Positive Cells,% IL7R Positive Cells,% B-Cells:CD20+TCR- Positive Cells,% T-Cells:CD20-TCR+ Positive Cells,% Pool-ILCs:CD20-TCR-IL7R+ Positive Cells,% IL7R+CD20+ Positive Cells,% IL7R+CD20- Positive Cells,% IL7R+TCR+ Positive Cells,% IL7R+TCR- Positive Cells,% EOMES Positive Cells,% TBX Positive Cells,% ILC1:TBX+EOMES+CD20-TCR-IL7R+ Positive Cells,% ILC1:TBX+EOMES-CD20-TCR-IL7R+ Positive Cells,% ILC1s:TBX+EOMES+/-CD20-TCR-IL7R+ Positive Cells,% NK/ILC1ie:TBX+EOMES+CD20-TCR-IL7R- Positive Cells,% T-Helper:CD20-TCR+TBX+EOMES+ Positive Cells,% GATA Positive Cells,% ICOS Positive Cells,% ILC2:GATA+ICOS+CD20-TCR-IL7R+ Positive Cells,% T-Helper:CD20-TCR+GATA+ICOS+ Positive Cells,% ROR-GammaT Positive Cells,% AHR Positive Cells,% ILC3:ROR+AHR+CD20-TCR-IL7R+ Positive Cells,% T-Helper:CD20-TCR+ROR+AHR+ Positive Cells,%Pool-IL7R ILC1s:TBX+EOMES+/-CD20-TCR-IL7R+ Positive Cells,%Pool-IL7R ILC2:GATA+ICOS+CD20-TCR-IL7R+ Positive Cells,%Pool-IL7R ILC3:ROR+AHR+CD20-TCR-IL7R+ Positive Cells,B Cells - Density/mm²,T Cells - Density/mm²,Pool IL7R (Non B/T) - Density/mm²,NK/ILC1ie - Density/mm²,ILC1s - Density/mm²,TH1 - Density/mm²,ILC2 - Density/mm²,TH2 - Density/mm²,ILC3 - Density/mm²,TH17 - Density/mm²
173926_NVA_17-001.ILC1.RunSR_19T000001.25.czi,HighPlex FL v4.2.5_ILC1-SR,RedPulp,40756464,403337,12926,71183,48780,9965,68222,17712,1152,47628,30728,18052,46805,45552,1949,1066,3015,8752,7057,,,,,,,,,3.204764,17.648518,12.094105,2.470639,16.914392,4.391365,0.285617,11.808488,7.618443,4.475662,11.60444,11.293781,0.483219,0.264295,0.747514,2.169898,1.749653,,,,,,,,,17.02235772,,,244.5010931,1673.893986,434.5813709,214.738943,73.97599556,173.150448,,,,
173927_NVA_17-001.ILC1.RunSR_19T005759.03.czi,HighPlex FL v4.2.5_ILC1-SR,RedPulp,36903788,404987,21972,105414,77304,15376,98818,17508,3323,73981,59258,18046,28265,23997,749,730,1479,1624,4852,,,,,,,,,5.425359,26.028984,19.08802,3.796665,24.40029,4.323102,0.82052,18.2675,14.632074,4.455945,6.979237,5.925375,0.184944,0.180253,0.365197,0.401001,1.198063,,,,,,,,,8.447566827,,,416.6509953,2677.719696,474.4228424,44.0063226,40.07718666,131.477018,,,,
173928_NVA_17-001.ILC1.RunSR_19T012874.03.czi,HighPlex FL v4.2.5_ILC1-SR,RedPulp,92207104,994583,11096,47858,34273,9927,46689,17490,418,33855,16697,17576,4355,12216,150,335,485,1231,165,,,,,,,,,1.115643,4.811866,3.445967,0.998107,4.694329,1.758526,0.042028,3.403939,1.678794,1.767173,0.437872,1.228253,0.015082,0.033682,0.048764,0.12377,0.01659,,,,,,,,,2.77301315,,,107.6598176,506.3492722,189.6816974,13.35038133,5.259898413,1.789449976,,,,
173929_NVA_17-001.ILC1.RunSR_19T016147.12.czi,HighPlex FL v4.2.5_ILC1-SR,RedPulp,95682784,1003449,22652,52650,55379,19120,49118,29903,1274,54105,25183,30196,42185,22778,1201,796,1997,6653,762,,,,,,,,,2.257414,5.246903,5.518866,1.905428,4.894917,2.980022,0.126962,5.391903,2.509644,3.009221,4.204,2.269971,0.119687,0.079326,0.199013,0.663013,0.075938,,,,,,,,,6.678259706,,,199.8269616,513.3420867,312.5222611,69.53183971,20.87104823,7.9638151,,,,
173930_NVA_17-001.ILC1.RunSR_19T036652.01.czi,HighPlex FL v4.2.5_ILC1-SR,RedPulp,109522904,1170987,26437,140504,145654,21994,136061,69493,2792,142862,75292,70362,64952,32230,2102,1144,3246,4356,4763,,,,,,,,,2.257668,11.998767,12.438567,1.878245,11.619344,5.934566,0.238431,12.200135,6.42979,6.008777,5.546774,2.752379,0.179507,0.097695,0.277202,0.371994,0.406751,,,,,,,,,4.670974055,,,200.8164429,1242.306358,634.5065503,39.77250275,29.63763634,43.48862043,,,,
173931_NVA_17-001.ILC1.RunSR_19T046428.02.czi,HighPlex FL v4.2.5_ILC1-SR,RedPulp,116843760,1167001,11269,93273,75002,8728,90732,43926,404,74598,30993,44009,29817,33091,1565,1342,2907,6413,1655,,,,,,,,,0.965638,7.992538,6.426901,0.7479,7.7748,3.764007,0.034619,6.392282,2.655782,3.771119,2.555011,2.835559,0.134104,0.114996,0.2491,0.549528,0.141816,,,,,,,,,6.617948368,,,74.69804121,776.5241379,375.9379191,54.88525874,24.87937738,14.16421382,,,,
173932_NVA_17-001.ILC1.RunSR_20T000642.07.czi,HighPlex FL v4.2.5_ILC1-SR,RedPulp,106644920,965594,36470,54913,93345,30673,49116,58627,3798,89547,33280,60065,67323,68304,6974,2400,9374,17308,2761,,,,,,,,,3.77695,5.686966,9.667107,3.176594,5.08661,6.071599,0.393333,9.273773,3.446583,6.220523,6.972185,7.073781,0.72225,0.248552,0.970802,1.792472,0.285938,,,,,,,,,15.98921998,,,287.6180131,460.5563959,549.7402033,162.295588,87.89917044,25.88965325,,,,
173933_NVA_17-001.ILC1.RunSR_20T051138.22.czi,HighPlex FL v4.2.5_ILC1-SR,RedPulp,86568408,847613,23891,78961,92220,20249,75319,48265,1739,90481,43384,48836,71564,48748,10161,1768,11929,16231,4154,,,,,,,,,2.818621,9.31569,10.879965,2.388944,8.886013,5.694226,0.205164,10.674801,5.118373,5.761591,8.443004,5.75121,1.198778,0.208586,1.407364,1.914907,0.490082,,,,,,,,,24.71563245,,,233.9075012,870.0518092,557.5359547,187.4933405,137.7985373,47.9851726,,,,
173934_NVA_17-001.ILC2.RunSR_19T000001.25.czi,HighPlex FL v4.2.5_ILC2-Default,RedPulp,41321076,426332,9101,39101,27181,7783,37783,14819,368,26813,12277,14904,,,,,,,,682,1719,10,64,,,,,2.134721,9.171491,6.375548,1.825573,8.862342,3.475929,0.086318,6.28923,2.879681,3.495867,,,,,,,,0.159969,0.403207,0.002346,0.015012,,,,,,0.067480937,,188.3542432,914.3759954,358.6305449,,,,0.242007251,1.548846405,,
173935_NVA_17-001.ILC2.RunSR_19T005759.03.czi,HighPlex FL v4.2.5_ILC2-Default,RedPulp,36911948,401076,20582,81731,52357,15676,76825,14478,1648,50709,37741,14616,,,,,,,,838,900,3,37,,,,,5.131696,20.377934,13.054134,3.908486,19.154724,3.60979,0.410895,12.64324,9.409937,3.644197,,,,,,,,0.208938,0.224396,0.000748,0.009225,,,,,,0.020721094,,424.6863373,2081.304406,392.2307216,,,,0.081274497,1.002385461,,
