Image Tag,Algorithm Name,Analysis Region,Area Analyzed (μm²),Total Cells,CD20 Positive Cells,TCR-Alpha-Delta Positive Cells,IL7R Positive Cells,B-Cells:CD20+TCR- Cells,T-Cells:CD20-TCR+ Cells,Pool-ILCs:CD20-TCR-IL7R+ Cells,IL7R+CD20+ Cells,IL7R+CD20- Cells,IL7R+TCR+ Cells,IL7R+TCR- Cells,EOMES Positive Cells,TBX Positive Cells,ILC1:TBX+EOMES+CD20-TCR-IL7R+ Cells,ILC1:TBX+EOMES-CD20-TCR-IL7R+ Cells,ILC1s:TBX+EOMES+/-CD20-TCR-IL7R+ Positive Cells,NK/ILC1ie:TBX+EOMES+CD20-TCR-IL7R- Cells,T-Helper:CD20-TCR+TBX+EOMES+ Cells,GATA Positive Cells,ICOS Positive Cells,ILC2:GATA+ICOS+CD20-TCR-IL7R+ Cells,T-Helper:CD20-TCR+GATA+ICOS+ Cells,ROR-GammaT Positive Cells,AHR Positive Cells,ILC3:ROR+AHR+CD20-TCR-IL7R+ Cells,T-Helper:CD20-TCR+ROR+AHR+ Cells,% CD20 Positive Cells,% TCR-Alpha-Delta Positive Cells,% IL7R Positive Cells,% B-Cells:CD20+TCR- Positive Cells,% T-Cells:CD20-TCR+ Positive Cells,% Pool-ILCs:CD20-TCR-IL7R+ Positive Cells,% IL7R+CD20+ Positive Cells,% IL7R+CD20- Positive Cells,% IL7R+TCR+ Positive Cells,% IL7R+TCR- Positive Cells,% EOMES Positive Cells,% TBX Positive Cells,% ILC1:TBX+EOMES+CD20-TCR-IL7R+ Positive Cells,% ILC1:TBX+EOMES-CD20-TCR-IL7R+ Positive Cells,% ILC1s:TBX+EOMES+/-CD20-TCR-IL7R+ Positive Cells,% NK/ILC1ie:TBX+EOMES+CD20-TCR-IL7R- Positive Cells,% T-Helper:CD20-TCR+TBX+EOMES+ Positive Cells,% GATA Positive Cells,% ICOS Positive Cells,% ILC2:GATA+ICOS+CD20-TCR-IL7R+ Positive Cells,% T-Helper:CD20-TCR+GATA+ICOS+ Positive Cells,% ROR-GammaT Positive Cells,% AHR Positive Cells,% ILC3:ROR+AHR+CD20-TCR-IL7R+ Positive Cells,% T-Helper:CD20-TCR+ROR+AHR+ Positive Cells,%Pool-IL7R ILC1s:TBX+EOMES+/-CD20-TCR-IL7R+ Positive Cells,%Pool-IL7R ILC2:GATA+ICOS+CD20-TCR-IL7R+ Positive Cells,%Pool-IL7R ILC3:ROR+AHR+CD20-TCR-IL7R+ Positive Cells,B Cells - Density/mm²,T Cells - Density/mm²,Pool IL7R (Non B/T) - Density/mm²,NK/ILC1ie - Density/mm²,ILC1s - Density/mm²,TH1 - Density/mm²,ILC2 - Density/mm²,TH2 - Density/mm²,ILC3 - Density/mm²,TH17 - Density/mm²
173926_NVA_17-001.ILC1.RunSR_19T000001.25.czi,HighPlex FL v4.2.5_ILC1-SR,WhitePulp,4267601.5,61031,5989,11097,5382,4852,9960,879,355,5027,4431,951,2627,1602,84,48,132,182,148,,,,,,,,,9.813046,18.182564,8.818469,7.950058,16.319574,1.440252,0.581672,8.236797,7.260245,1.558225,4.30437,2.624896,0.137635,0.078649,0.216284,0.298209,0.2425,,,,,,,,,15.01706485,,,1136.938395,2333.863647,205.9704965,42.646906,30.93072303,34.67990158,,,,
173927_NVA_17-001.ILC1.RunSR_19T005759.03.czi,HighPlex FL v4.2.5_ILC1-SR,WhitePulp,3084207.25,41904,14815,9564,6108,12015,6764,721,1211,4897,5239,869,1159,860,16,18,34,35,80,,,,,,,,,35.354622,22.823597,14.576174,28.67268,16.141657,1.720599,2.889939,11.686235,12.502386,2.073788,2.765846,2.05231,0.038183,0.042955,0.081138,0.083524,0.190913,,,,,,,,,4.715672677,,,3895.652602,2193.108132,233.7715794,11.34813492,11.0239025,25.93859411,,,,
173928_NVA_17-001.ILC1.RunSR_19T012874.03.czi,HighPlex FL v4.2.5_ILC1-SR,WhitePulp,11952210,173510,12979,54790,37858,11392,53203,3067,588,37270,34725,3133,162,479,3,36,39,12,15,,,,,,,,,7.48026,31.577431,21.818914,6.565616,30.662786,1.767622,0.338885,21.48003,20.013256,1.80566,0.093366,0.276065,0.001729,0.020748,0.022477,0.006916,0.008645,,,,,,,,,1.271600913,,,953.1291703,4451.310678,256.6052638,1.003998424,3.262994877,1.25499803,,,,
173929_NVA_17-001.ILC1.RunSR_19T016147.12.czi,HighPlex FL v4.2.5_ILC1-SR,WhitePulp,11422795,155606,39484,31978,19645,34181,26675,3181,1389,18256,16242,3403,1143,500,13,17,30,49,10,,,,,,,,,25.374342,20.550621,12.624834,21.966377,17.142654,2.044266,0.892639,11.732196,10.437901,2.186934,0.734547,0.321324,0.008354,0.010925,0.019279,0.03149,0.006426,,,,,,,,,0.943099654,,,2992.349946,2335.242819,278.4782534,4.289668159,2.626327444,0.875442481,,,,
173930_NVA_17-001.ILC1.RunSR_19T036652.01.czi,HighPlex FL v4.2.5_ILC1-SR,WhitePulp,8027395.5,116619,9725,27996,22390,8175,26446,3396,814,21576,18859,3531,899,563,23,17,40,43,54,,,,,,,,,8.339122,24.00638,19.199272,7.010007,22.677265,2.912047,0.697999,18.501274,16.171465,3.027808,0.770886,0.482769,0.019722,0.014577,0.034299,0.036872,0.046305,,,,,,,,,1.177856302,,,1018.387595,3294.468299,423.0512873,5.356656465,4.982936246,6.726963932,,,,
173931_NVA_17-001.ILC1.RunSR_19T046428.02.czi,HighPlex FL v4.2.5_ILC1-SR,WhitePulp,10754896,147127,14873,56134,35274,11427,52688,6002,716,34558,29219,6055,754,1123,42,90,132,100,57,,,,,,,,,10.108953,38.153431,23.975204,7.766759,35.811237,4.079469,0.486654,23.48855,19.859713,4.115492,0.512482,0.763286,0.028547,0.061172,0.089719,0.067968,0.038742,,,,,,,,,2.199266911,,,1062.49284,4898.978103,558.0714123,9.298090842,12.27347991,5.29991178,,,,
173932_NVA_17-001.ILC1.RunSR_20T000642.07.czi,HighPlex FL v4.2.5_ILC1-SR,WhitePulp,15215770,203115,22010,56090,52734,18489,52569,9513,2235,50499,42722,10012,4674,4766,497,234,731,736,299,,,,,,,,,10.836226,27.614899,25.962631,9.102725,25.881397,4.683554,1.100362,24.86227,21.033405,4.929227,2.301159,2.346454,0.244689,0.115206,0.359895,0.362356,0.147207,,,,,,,,,7.684221592,,,1215.120891,3454.902381,625.2066113,48.37086786,48.04226142,19.65066507,,,,
173933_NVA_17-001.ILC1.RunSR_20T051138.22.czi,HighPlex FL v4.2.5_ILC1-SR,WhitePulp,12433919,163747,30020,49102,38478,25787,44869,3906,1874,36604,34237,4241,4554,2386,221,63,284,270,162,,,,,,,,,18.33316,29.986504,23.498446,15.748075,27.401419,2.385387,1.144448,22.353998,20.908474,2.589971,2.78112,1.457126,0.134964,0.038474,0.173438,0.164889,0.098933,,,,,,,,,7.270865335,,,2073.923756,3608.596775,314.1406985,21.71479483,22.84074715,13.0288769,,,,
173934_NVA_17-001.ILC2.RunSR_19T000001.25.czi,HighPlex FL v4.2.5_ILC2-Default,WhitePulp,4313982,64137,3308,8134,4329,2773,7599,1050,199,4130,3249,1080,,,,,,,,468,4010,10,217,,,,,5.157709,12.682227,6.749614,4.323557,11.848075,1.63712,0.310273,6.439341,5.065719,1.683895,,,,,,,,0.729688,6.252241,0.015592,0.338338,,,,,,0.952380952,,642.7935953,1761.48162,243.3946178,,,,2.318043979,50.30155434,,
173935_NVA_17-001.ILC2.RunSR_19T005759.03.czi,HighPlex FL v4.2.5_ILC2-Default,WhitePulp,3069301.75,41220,17036,7972,3811,14232,5168,494,784,3027,3249,562,,,,,,,,65,171,0,6,,,,,41.329453,19.340126,9.245512,34.526928,12.537603,1.198447,1.901989,7.343523,7.882096,1.363416,,,,,,,,0.15769,0.414847,0,0.014556,,,,,,0,,4636.885246,1683.770584,160.9486588,,,,0,1.954842009,,
173936_NVA_17-001.ILC2.RunSR_19T012874.03.czi,HighPlex FL v4.2.5_ILC2-Default,WhitePulp,12169632,176492,17220,54087,36038,14901,51768,3450,709,35329,32511,3527,,,,,,,,24,348,0,5,,,,,9.756816,30.645582,20.419056,8.442876,29.33164,1.954763,0.401718,20.017338,18.420666,1.998391,,,,,,,,0.013598,0.197176,0,0.002833,,,,,,0,,1224.441298,4253.867331,283.4925493,,,,0,0.410858767,,
173937_NVA_17-001.ILC2.RunSR_19T016147.12.czi,HighPlex FL v4.2.5_ILC2-Default,WhitePulp,11556713,153271,30967,34220,22322,26655,29908,3495,1051,21271,18708,3614,,,,,,,,234,8926,2,79,,,,,20.204082,22.326468,14.563746,17.390766,19.513149,2.280275,0.685714,13.878033,12.205832,2.357915,,,,,,,,0.152671,5.823672,0.001305,0.051543,,,,,,0.057224607,,2306.45167,2587.933091,302.4216315,,,,0.173059589,6.835853759,,
173938_NVA_17-001.ILC2.RunSR_19T036652.01.czi,HighPlex FL v4.2.5_ILC2-Default,WhitePulp,8122188.5,116727,19047,26751,19491,16408,24112,2377,974,18517,17024,2467,,,,,,,,426,2051,1,86,,,,,16.317562,22.917578,16.697937,14.05673,20.656746,2.036376,0.834426,15.86351,14.584457,2.113478,,,,,,,,0.364954,1.757091,0.000857,0.073676,,,,,,0.042069836,,2020.145186,2968.658016,292.6551138,,,,0.123119526,10.58827926,,
173939_NVA_17-001.ILC2.RunSR_19T046428.02.czi,HighPlex FL v4.2.5_ILC2-Default,WhitePulp,10590707,143256,20794,71511,49413,14128,64845,6073,1223,48190,43280,6133,,,,,,,,250,5560,6,101,,,,,14.515273,49.918327,34.492798,9.862065,45.265121,4.239264,0.853716,33.63908,30.211649,4.281147,,,,,,,,0.174513,3.881164,0.004188,0.070503,,,,,,0.098797958,,1333.999704,6122.820696,573.4272509,,,,0.566534416,9.536662661,,
173940_NVA_17-001.ILC2.RunSR_20T000642.07.czi,HighPlex FL v4.2.5_ILC2-Default,WhitePulp,15159886,203496,33849,57377,45605,29352,52880,6125,1697,43908,39224,6381,,,,,,,,1997,5678,8,441,,,,,16.633741,28.195641,22.410759,14.423871,25.985769,3.009887,0.833923,21.576838,19.275072,3.135688,,,,,,,,0.981346,2.790227,0.003931,0.216712,,,,,,0.130612245,,1936.162317,3488.152879,404.0267849,,,,0.527708454,29.08992851,,
173941_NVA_17-001.ILC2.RunSR_20T051138.22.czi,HighPlex FL v4.2.5_ILC2-Default,WhitePulp,12417737,164003,26905,50833,37414,22895,46823,2696,1354,36060,34597,2817,,,,,,,,968,5811,5,323,,,,,16.405188,30.995165,22.812998,13.960111,28.550087,1.643872,0.825595,21.987402,21.095346,1.717651,,,,,,,,0.590233,3.543228,0.003049,0.196948,,,,,,0.185459941,,1843.733685,3770.65483,217.1088017,,,,0.402649855,26.01118062,,
173942_NVA_17-001.ILC3.RunSR_19T000001.25.czi,HighPlex FL v4.2.5_ILC3-SR,WhitePulp,4341525.5,64336,5981,7590,2661,4882,6491,718,182,2479,1909,752,,,,,,,,,,,,1549,3077,51,132,9.296506,11.797439,4.136098,7.588286,10.089219,1.116016,0.28289,3.853208,2.967235,1.168863,,,,,,,,,,,,2.407672,4.782703,0.079271,0.205173,,,7.103064067,1124.489537,1495.096597,165.3796574,,,,,,11.74702302,30.40405959
173943_NVA_17-001.ILC3.RunSR_19T005759.03.czi,HighPlex FL v4.2.5_ILC3-SR,WhitePulp,2930519,39633,17881,8486,3773,14415,5020,453,889,2884,3263,510,,,,,,,,,,,,5844,7375,38,465,45.116444,21.411449,9.519845,36.371204,12.666212,1.142987,2.24308,7.276764,8.233038,1.286806,,,,,,,,,,,,14.745288,18.608231,0.09588,1.173265,,,8.388520971,4918.923918,1713.00715,154.5801273,,,,,,12.96698639,158.6749651
