Image Tag,Algorithm Name,Analysis Region,Area Analyzed (µm²),Total Cells,CD20 Positive Cells,TCR-Alpha-Delta Positive Cells,IL7R Positive Cells,B-Cells:CD20+TCR- Cells,T-Cells:CD20-TCR+ Cells,Pool-ILCs:CD20-TCR-IL7R+ Cells,IL7R+CD20+ Cells,IL7R+CD20- Cells,IL7R+TCR+ Cells,IL7R+TCR- Cells,EOMES Positive Cells,TBX Positive Cells,ILC1:TBX+EOMES+CD20-TCR-IL7R+ Cells,ILC1:TBX+EOMES-CD20-TCR-IL7R+ Cells,ILC1s:TBX+EOMES+/-CD20-TCR-IL7R+ Positive Cells,NK/ILC1ie:TBX+EOMES+CD20-TCR-IL7R- Cells,T-Helper:CD20-TCR+TBX+EOMES+ Cells,GATA Positive Cells,ICOS Positive Cells,ILC2:GATA+ICOS+CD20-TCR-IL7R+ Cells,T-Helper:CD20-TCR+GATA+ICOS+ Cells,ROR-GammaT Positive Cells,AHR Positive Cells,ILC3:ROR+AHR+CD20-TCR-IL7R+ Cells,T-Helper:CD20-TCR+ROR+AHR+ Cells,% CD20 Positive Cells,% TCR-Alpha-Delta Positive Cells,% IL7R Positive Cells,% B-Cells:CD20+TCR- Positive Cells,% T-Cells:CD20-TCR+ Positive Cells,% Pool-ILCs:CD20-TCR-IL7R+ Positive Cells,% IL7R+CD20+ Positive Cells,% IL7R+CD20- Positive Cells,% IL7R+TCR+ Positive Cells,% IL7R+TCR- Positive Cells,% EOMES Positive Cells,% TBX Positive Cells,% ILC1:TBX+EOMES+CD20-TCR-IL7R+ Positive Cells,% ILC1:TBX+EOMES-CD20-TCR-IL7R+ Positive Cells,% ILC1s:TBX+EOMES+/-CD20-TCR-IL7R+ Positive Cells,% NK/ILC1ie:TBX+EOMES+CD20-TCR-IL7R- Positive Cells,% T-Helper:CD20-TCR+TBX+EOMES+ Positive Cells,% GATA Positive Cells,% ICOS Positive Cells,% ILC2:GATA+ICOS+CD20-TCR-IL7R+ Positive Cells,% T-Helper:CD20-TCR+GATA+ICOS+ Positive Cells,% ROR-GammaT Positive Cells,% AHR Positive Cells,% ILC3:ROR+AHR+CD20-TCR-IL7R+ Positive Cells,% T-Helper:CD20-TCR+ROR+AHR+ Positive Cells,%Pool-TCR+ T-Helper:CD20-TCR+TBX+EOMES+ Cells,%Pool-TCR+ T-Helper:CD20-TCR+GATA+ICOS+ Cells,%Pool-TCR+ T-Helper:CD20-TCR+ROR+AHR+ Cells,B Cells - Density/mm²,T Cells - Density/mm²,Pool IL7R (Non B/T) - Density/mm²,NK/ILC1ie - Density/mm²,ILC1s - Density/mm²,TH1 - Density/mm²,ILC2 - Density/mm²,TH2 - Density/mm²,ILC3 - Density/mm²,TH17 - Density/mm²
173926_NVA_17-001.ILC1.RunSR_19T000001.25.czi,HighPlex FL v4.2.5_ILC1-SR,Layer 1,44977136,463600,18870,82187,54157,14785,78102,18591,1508,52649,35153,19004,49416,47149,2033,1114,3147,8933,7204,,,,,,,,,4.070319,17.727999,11.681838,3.189172,16.846851,4.010138,0.32528,11.356558,7.582614,4.099224,10.659189,10.17019,0.438525,0.240293,0.678818,1.926877,1.553926,,,,,,,,,8.765376519,,,328.7225758,1736.482287,413.3433485,198.6120237,69.96888375,160.1702696,,,,
173927_NVA_17-001.ILC1.RunSR_19T005759.03.czi,HighPlex FL v4.2.5_ILC1-SR,Layer 1,39983196,446829,36743,114971,83415,27354,105582,18229,4535,78880,64502,18913,29419,24855,766,748,1514,1657,4932,,,,,,,,,8.223056,25.730425,18.668215,6.121805,23.629173,4.079637,1.01493,17.653286,14.4355,4.232716,6.583951,5.562531,0.17143,0.167402,0.338832,0.370835,1.103778,,,,,,,,,4.289777422,,,684.1374061,2640.659341,455.9165305,41.44240996,37.86590747,123.3518201,,,,
173928_NVA_17-001.ILC1.RunSR_19T012874.03.czi,HighPlex FL v4.2.5_ILC1-SR,Layer 1,104159168,1168101,24064,102646,72125,21313,99895,20546,1006,71119,51426,20699,4517,12695,153,371,524,1243,180,,,,,,,,,2.060096,8.787425,6.174551,1.824585,8.551914,1.758923,0.086123,6.088429,4.40253,1.772021,0.386696,1.086807,0.013098,0.031761,0.044859,0.106412,0.01541,,,,,,,,,0.175359975,,,204.61953,959.0610401,197.2557999,11.93365907,5.03076215,1.728124403,,,,
173929_NVA_17-001.ILC1.RunSR_19T016147.12.czi,HighPlex FL v4.2.5_ILC1-SR,Layer 1,106969216,1157248,61753,84462,75005,52993,75702,33069,2663,72342,41418,33587,43308,23267,1214,813,2027,6702,772,,,,,,,,,5.336194,7.298522,6.481325,4.579226,6.541554,2.857555,0.230115,6.25121,3.579008,2.902317,3.742327,2.010546,0.104904,0.070253,0.175157,0.579133,0.06671,,,,,,,,,0.914020506,,,495.4042105,707.6989327,309.1450161,62.6535395,18.94937699,7.217029617,,,,
173930_NVA_17-001.ILC1.RunSR_19T036652.01.czi,HighPlex FL v4.2.5_ILC1-SR,Layer 1,117516752,1287099,36118,168359,167940,30135,162376,72864,3605,164335,94071,73869,65850,32790,2124,1160,3284,4399,4817,,,,,,,,,2.806155,13.080502,13.047947,2.341312,12.615658,5.661103,0.280087,12.76786,7.308762,5.739185,5.116157,2.54759,0.165022,0.090125,0.255147,0.341776,0.374252,,,,,,,,,2.861147904,,,256.4315256,1381.726411,620.030751,37.43296105,27.94495205,40.98990074,,,,
173931_NVA_17-001.ILC1.RunSR_19T046428.02.czi,HighPlex FL v4.2.5_ILC1-SR,Layer 1,127598672,1314110,26150,149424,110282,20155,143429,49929,1121,109161,60217,50065,30572,34213,1608,1432,3040,6514,1711,,,,,,,,,1.98994,11.370738,8.392144,1.533738,10.914536,3.799454,0.085305,8.306839,4.582341,3.809803,2.326442,2.603511,0.122364,0.108971,0.231335,0.495697,0.130202,,,,,,,,,1.145063711,,,157.9561894,1124.063423,391.2971759,51.05068805,23.82469937,13.40923047,,,,
173932_NVA_17-001.ILC1.RunSR_20T000642.07.czi,HighPlex FL v4.2.5_ILC1-SR,Layer 1,121823680,1168320,58397,110980,146074,49087,101670,68137,6024,140050,76002,70072,71954,73029,7467,2637,10104,18019,3059,,,,,,,,,4.998374,9.49911,12.502911,4.201503,8.702239,5.832049,0.515612,11.987298,6.505238,5.997672,6.158758,6.250771,0.639123,0.225709,0.864832,1.5423,0.261829,,,,,,,,,2.756352496,,,402.9347989,834.56681,559.3083381,147.9104883,82.93954016,25.1100607,,,,
173933_NVA_17-001.ILC1.RunSR_20T051138.22.czi,HighPlex FL v4.2.5_ILC1-SR,Layer 1,99000672,1011344,53904,128074,130705,46029,120199,52163,3613,127092,77641,53064,76116,51135,10382,1831,12213,16501,4316,,,,,,,,,5.329937,12.663742,12.923891,4.55127,11.885076,5.15779,0.357247,12.566644,7.677012,5.24688,7.526223,5.056143,1.026555,0.181046,1.207601,1.631591,0.426759,,,,,,,,,3.369926761,,,464.936238,1214.123072,526.8954134,166.6756363,123.362799,43.59566367,,,,
173934_NVA_17-001.ILC2.RunSR_19T000001.25.czi,HighPlex FL v4.2.5_ILC2-Default,Layer 1,45587488,489696,12402,47201,31501,10550,45349,15864,564,30937,15521,15980,,,,,,,,1137,5658,20,275,,,,,2.532592,9.638837,6.432766,2.154398,9.260643,3.239561,0.115173,6.317593,3.169518,3.263249,,,,,,,,0.232185,1.155411,0.004084,0.056157,,,,,,0.582614775,,231.4231484,994.7685646,347.9902205,,,,0.438716869,6.032356948,,
173935_NVA_17-001.ILC2.RunSR_19T005759.03.czi,HighPlex FL v4.2.5_ILC2-Default,Layer 1,39976484,442238,37579,89688,56167,29871,81980,14972,2433,53734,40990,15177,,,,,,,,901,1071,3,43,,,,,8.49746,20.280483,12.700627,6.754508,18.537529,3.385507,0.550156,12.150471,9.268764,3.431863,,,,,,,,0.203736,0.242177,0.000678,0.009723,,,,,,0.047943984,,747.2142873,2050.70561,374.5201804,,,,0.075044118,1.075632364,,
