Image Tag,Algorithm Name,Analysis Region,% TdT Positive Cells,% TCR-Alpha-Delta Positive Cells,% IL7R Positive Cells,% Early T-Cells:TdT+TCR- Positive Cells,% Mature T-Cells:TdT-TCR+ Positive Cells,% Pool-IL7R Non T:TdT-TCR-IL7R+ Positive Cells,% Pool-IL7R Early T:TdT+TCR-IL7R+ Positive Cells,% Pool-IL7R Mature T:TdT-TCR+IL7R+ Positive Cells,% EOMES Positive Cells,% TBX Positive Cells,% ILC1:TBX+EOMES+TdT-TCR-IL7R+ Positive Cells,% ILC1:TBX+EOMES-TdT-TCR-IL7R+ Positive Cells,% ILC1s:TBX+EOMES+/-TdT-TCR-IL7R+ Positive Cells,% NK/ILC1ie:TBX+EOMES+TdT-TCR-IL7R- Positive Cells,% T-Helper:TdT-TCR+TBX+EOMES+ Positive Cells,% T-Helper:TdT+TCR+TBX+EOMES+ Positive Cells,% Immature T-Helper:TdT+TCR-TBX+EOMES+ Positive Cells,% GATA Positive Cells,% ICOS Positive Cells,% ILC2:GATA+ICOS+TdT-TCR-IL7R+ Positive Cells,% T-Helper:TdT-TCR+GATA+ICOS+ Positive Cells,% T-Helper:TdT+TCR+GATA+ICOS+ Positive Cells,% Immature T-Helper:TdT+TCR-GATA+ICOS+ Positive Cells,% ROR-GammaT Positive Cells,% AHR Positive Cells,% ILC3:ROR+AHR+TdT-TCR-IL7R+ Positive Cells,% T-Helper:TdT-TCR+ROR+AHR+ Positive Cells,% T-Helper:TdT+TCR+ROR+AHR+ Positive Cells,% Immature T-Helper:TdT+TCR-ROR+AHR+ Positive Cells
178688_NVA_17-001.ILC1.RunST.TdTv2_15T044696.05.czi,HighPlex FL v4.2.5_ILC1-ST,Cortex,2.31212,0.068441,0.587598,2.305592,0.061912,0.441262,0.13508,0.009906,0.001351,0.005853,0,0.00045,0.00045,0,0,0,0,,,,,,,,,,,,
178689_NVA_17-001.ILC1.RunST.TdTv2_16T051943.03.czi,HighPlex FL v4.2.5_ILC1-ST,Cortex,24.408627,9.056876,55.503284,21.325132,5.97338,30.447378,16.579149,5.492209,0.318637,0.121454,0.016432,0.058584,0.075016,0.005001,0.000357,0,0.000357,,,,,,,,,,,,
178690_NVA_17-001.ILC1.RunST.TdTv2_17T034208.07.czi,HighPlex FL v4.2.5_ILC1-ST,Cortex,33.404911,11.150883,38.096951,26.641069,4.38704,10.724387,17.78981,3.473228,0.09666,0.040449,0.006989,0.014425,0.021414,0.002528,0.000892,0.000297,0.000595,,,,,,,,,,,,
178691_NVA_17-001.ILC1.RunST.TdTv2_18T020199.06.czi,HighPlex FL v4.2.5_ILC1-ST,Cortex,34.124386,6.408142,65.923531,31.195454,3.47921,32.463333,27.285368,3.289892,0.276514,0.13865,0.009427,0.068736,0.078163,0.000786,0.001571,0,0.000393,,,,,,,,,,,,
178692_NVA_17-001.ILC1.RunST.TdTv2_18T022817.01.czi,HighPlex FL v4.2.5_ILC1-ST,Cortex,57.218948,57.972179,76.095787,13.995433,14.748664,11.395131,9.987933,12.961929,0.124565,0.023356,0.000649,0.007785,0.008434,0,0.000649,0.001298,0.000649,,,,,,,,,,,,
178693_NVA_17-001.ILC1.RunST.TdTv2_19T052700.04.czi,HighPlex FL v4.2.5_ILC1-ST,Cortex,66.11676,14.825665,40.945225,55.49736,4.206264,7.830506,22.207026,3.461834,0.404075,0.074598,0.020981,0.017095,0.038076,0.006994,0.001554,0.000777,0.003108,,,,,,,,,,,,
178694_NVA_17-001.ILC1.RunST.TdTv2_20T038573.01.czi,HighPlex FL v4.2.5_ILC1-ST,Cortex,67.931671,37.071705,75.960129,36.813419,5.953455,7.746661,32.081226,5.637142,0.228702,0.172569,0.007206,0.054236,0.061442,0.001517,0.003413,0.001896,0.000759,,,,,,,,,,,,
178695_NVA_17-001.ILC1.RunST.TdTv2_21T003344.02.czi,HighPlex FL v4.2.5_ILC1-ST,Cortex,15.724462,34.511154,63.703327,8.245009,27.031702,27.969471,2.917417,26.099413,2.255969,0.313894,0.093933,0.066536,0.160469,0.004697,0.041487,0.002348,0.002348,,,,,,,,,,,,
178696_NVA_17-001.ILC2.RunST.TdTv2_15T044696.05.czi,HighPlex FL v4.2.5_ILC2-Default,Cortex,5.47978,0.368156,6.119611,5.416562,0.304937,4.432127,1.492457,0.150816,,,,,,,,,,4.666821,0.076234,0.005991,0.004132,0.000207,0.002273,,,,,,
178697_NVA_17-001.ILC2.RunST.TdTv2_16T051943.03.czi,HighPlex FL v4.2.5_ILC2-Default,Cortex,16.637783,5.358326,17.710936,15.092199,3.812744,8.40838,5.468194,2.585422,,,,,,,,,,19.487595,3.184729,0.329956,0.47172,0.28849,0.329247,,,,,,
