Image Tag,Algorithm Name,Analysis Region,% TdT Positive Cells,% TCR-Alpha-Delta Positive Cells,% IL7R Positive Cells,% Early T-Cells:TdT+TCR- Positive Cells,% Mature T-Cells:TdT-TCR+ Positive Cells,% Pool-IL7R Non T:TdT-TCR-IL7R+ Positive Cells,% Pool-IL7R Early T:TdT+TCR-IL7R+ Positive Cells,% Pool-IL7R Mature T:TdT-TCR+IL7R+ Positive Cells,% EOMES Positive Cells,% TBX Positive Cells,% ILC1:TBX+EOMES+TdT-TCR-IL7R+ Positive Cells,% ILC1:TBX+EOMES-TdT-TCR-IL7R+ Positive Cells,% ILC1s:TBX+EOMES+/-TdT-TCR-IL7R+ Positive Cells,% NK/ILC1ie:TBX+EOMES+TdT-TCR-IL7R- Positive Cells,% T-Helper:TdT-TCR+TBX+EOMES+ Positive Cells,% T-Helper:TdT+TCR+TBX+EOMES+ Positive Cells,% Immature T-Helper:TdT+TCR-TBX+EOMES+ Positive Cells,% GATA Positive Cells,% ICOS Positive Cells,% ILC2:GATA+ICOS+TdT-TCR-IL7R+ Positive Cells,% T-Helper:TdT-TCR+GATA+ICOS+ Positive Cells,% T-Helper:TdT+TCR+GATA+ICOS+ Positive Cells,% Immature T-Helper:TdT+TCR-GATA+ICOS+ Positive Cells,% ROR-GammaT Positive Cells,% AHR Positive Cells,% ILC3:ROR+AHR+TdT-TCR-IL7R+ Positive Cells,% T-Helper:TdT-TCR+ROR+AHR+ Positive Cells,% T-Helper:TdT+TCR+ROR+AHR+ Positive Cells,% Immature T-Helper:TdT+TCR-ROR+AHR+ Positive Cells
178688_NVA_17-001.ILC1.RunST.TdTv2_15T044696.05.czi,HighPlex FL v4.2.5_ILC1-ST,Layer 1,2.476093,0.502697,3.917364,2.466501,0.493105,3.42117,0.182902,0.31004,0.012519,0.009267,0.000163,0.001463,0.001626,0.000325,0,0,0,,,,,,,,,,,,
178689_NVA_17-001.ILC1.RunST.TdTv2_16T051943.03.czi,HighPlex FL v4.2.5_ILC1-ST,Layer 1,20.177187,15.387625,61.213806,17.42107,12.631508,32.971954,13.52083,12.052013,0.592273,0.166129,0.025037,0.081108,0.106145,0.006781,0.001304,0,0.000261,,,,,,,,,,,,
178690_NVA_17-001.ILC1.RunST.TdTv2_17T034208.07.czi,HighPlex FL v4.2.5_ILC1-ST,Layer 1,28.874313,16.204174,44.93066,22.655125,9.984984,15.428048,15.12907,8.737139,0.472828,0.141627,0.03178,0.047726,0.079506,0.003433,0.007973,0.000775,0.000775,,,,,,,,,,,,
178691_NVA_17-001.ILC1.RunST.TdTv2_18T020199.06.czi,HighPlex FL v4.2.5_ILC1-ST,Layer 1,24.054211,10.84323,66.118362,21.830076,8.619094,36.828144,18.903128,8.204469,1.099066,0.348304,0.025765,0.192044,0.217809,0.001909,0.007157,0,0.000239,,,,,,,,,,,,
178692_NVA_17-001.ILC1.RunST.TdTv2_18T022817.01.czi,HighPlex FL v4.2.5_ILC1-ST,Layer 1,45.651569,59.237354,77.256607,11.226362,24.812149,13.195191,7.991102,22.797678,0.338227,0.036513,0.00048,0.01105,0.01153,0.00048,0.002402,0.001441,0.00048,,,,,,,,,,,,
178693_NVA_17-001.ILC1.RunST.TdTv2_19T052700.04.czi,HighPlex FL v4.2.5_ILC1-ST,Layer 1,52.210987,17.233007,46.197659,43.07148,8.0935,15.114614,17.41766,7.150856,1.854065,0.277787,0.121128,0.08129,0.202418,0.006999,0.012382,0.000538,0.00323,,,,,,,,,,,,
178694_NVA_17-001.ILC1.RunST.TdTv2_20T038573.01.czi,HighPlex FL v4.2.5_ILC1-ST,Layer 1,56.367245,39.672092,76.965088,30.368069,13.672915,11.746506,26.414318,13.320857,0.554823,0.28387,0.012616,0.086813,0.099429,0.001802,0.010814,0.001502,0.000601,,,,,,,,,,,,
178695_NVA_17-001.ILC1.RunST.TdTv2_21T003344.02.czi,HighPlex FL v4.2.5_ILC1-ST,Layer 1,10.642126,43.860535,71.973549,5.402514,38.620926,28.177685,1.937805,37.150429,3.120912,0.479467,0.097255,0.088016,0.185271,0.006322,0.114275,0.002918,0.001459,,,,,,,,,,,,
178696_NVA_17-001.ILC2.RunST.TdTv2_15T044696.05.czi,HighPlex FL v4.2.5_ILC2-Default,Layer 1,5.331382,1.612264,11.848856,5.241944,1.522826,8.95823,1.605705,1.2168,,,,,,,,,,6.559063,0.813883,0.109561,0.137436,0.003279,0.0079,,,,,,
178697_NVA_17-001.ILC2.RunST.TdTv2_16T051943.03.czi,HighPlex FL v4.2.5_ILC2-Default,Layer 1,13.820981,9.458663,22.996212,12.47384,8.111523,11.137034,4.477292,6.285881,,,,,,,,,,19.068731,7.242883,0.546711,1.48201,0.284465,0.29325,,,,,,
