Image Tag,Algorithm Name,Analysis Region,% TdT Positive Cells,% TCR-Alpha-Delta Positive Cells,% IL7R Positive Cells,% Early T-Cells:TdT+TCR- Positive Cells,% Mature T-Cells:TdT-TCR+ Positive Cells,% Pool-IL7R Non T:TdT-TCR-IL7R+ Positive Cells,% Pool-IL7R Early T:TdT+TCR-IL7R+ Positive Cells,% Pool-IL7R Mature T:TdT-TCR+IL7R+ Positive Cells,% EOMES Positive Cells,% TBX Positive Cells,% ILC1:TBX+EOMES+TdT-TCR-IL7R+ Positive Cells,% ILC1:TBX+EOMES-TdT-TCR-IL7R+ Positive Cells,% ILC1s:TBX+EOMES+/-TdT-TCR-IL7R+ Positive Cells,% NK/ILC1ie:TBX+EOMES+TdT-TCR-IL7R- Positive Cells,% T-Helper:TdT-TCR+TBX+EOMES+ Positive Cells,% T-Helper:TdT+TCR+TBX+EOMES+ Positive Cells,% Immature T-Helper:TdT+TCR-TBX+EOMES+ Positive Cells,% GATA Positive Cells,% ICOS Positive Cells,% ILC2:GATA+ICOS+TdT-TCR-IL7R+ Positive Cells,% T-Helper:TdT-TCR+GATA+ICOS+ Positive Cells,% T-Helper:TdT+TCR+GATA+ICOS+ Positive Cells,% Immature T-Helper:TdT+TCR-GATA+ICOS+ Positive Cells,% ROR-GammaT Positive Cells,% AHR Positive Cells,% ILC3:ROR+AHR+TdT-TCR-IL7R+ Positive Cells,% T-Helper:TdT-TCR+ROR+AHR+ Positive Cells,% T-Helper:TdT+TCR+ROR+AHR+ Positive Cells,% Immature T-Helper:TdT+TCR-ROR+AHR+ Positive Cells
178688_NVA_17-001.ILC1.RunST.TdTv2_15T044696.05.czi,HighPlex FL v4.2.5_ILC1-ST,Medulla,2.894987,1.638045,12.629438,2.877505,1.620563,11.218657,0.306514,1.096109,0.041374,0.019813,0.000583,0.004662,0.005245,0.001165,0,0,0,,,,,,,,,,,,
178689_NVA_17-001.ILC1.RunST.TdTv2_16T051943.03.czi,HighPlex FL v4.2.5_ILC1-ST,Medulla,8.724541,32.501183,76.642494,6.855824,30.632467,39.798351,5.241098,29.788404,1.333694,0.286826,0.048287,0.141965,0.190252,0.011589,0.003863,0,0,,,,,,,,,,,,
178690_NVA_17-001.ILC1.RunST.TdTv2_17T034208.07.czi,HighPlex FL v4.2.5_ILC1-ST,Medulla,15.638292,30.805225,64.510857,10.989209,26.156141,28.962795,7.331874,23.942129,1.555572,0.433943,0.103217,0.144074,0.247291,0.006021,0.028385,0.00215,0.00129,,,,,,,,,,,,
178691_NVA_17-001.ILC1.RunST.TdTv2_18T020199.06.czi,HighPlex FL v4.2.5_ILC1-ST,Medulla,8.488113,17.697186,66.406509,7.350494,16.559566,43.564217,5.941376,15.802165,2.374242,0.672975,0.051627,0.383256,0.434883,0.003037,0.015792,0,0,,,,,,,,,,,,
178692_NVA_17-001.ILC1.RunST.TdTv2_18T022817.01.czi,HighPlex FL v4.2.5_ILC1-ST,Medulla,12.63911,62.774059,80.461792,3.312752,53.447701,18.319962,2.283063,50.776424,0.950198,0.075794,0,0.022184,0.022184,0.001849,0.007395,0.001849,0,,,,,,,,,,,,
178693_NVA_17-001.ILC1.RunST.TdTv2_19T052700.04.czi,HighPlex FL v4.2.5_ILC1-ST,Medulla,20.849617,22.688,58.027374,15.03654,16.874924,31.51189,6.615727,15.49044,5.124341,0.736054,0.346997,0.226074,0.573071,0.00701,0.036803,0,0.003505,,,,,,,,,,,,
178694_NVA_17-001.ILC1.RunST.TdTv2_20T038573.01.czi,HighPlex FL v4.2.5_ILC1-ST,Medulla,12.327462,49.568295,80.785446,5.833093,43.073925,26.967947,4.842622,42.585907,1.799018,0.707479,0.033208,0.209356,0.242564,0.002888,0.038984,0,0,,,,,,,,,,,,
178695_NVA_17-001.ILC1.RunST.TdTv2_21T003344.02.czi,HighPlex FL v4.2.5_ILC1-ST,Medulla,2.310773,59.196877,85.537125,0.740731,57.626835,28.529064,0.329927,55.26086,4.539386,0.751001,0.102701,0.123241,0.225942,0.008986,0.233645,0.003851,0,,,,,,,,,,,,
178696_NVA_17-001.ILC2.RunST.TdTv2_15T044696.05.czi,HighPlex FL v4.2.5_ILC2-Default,Medulla,4.928688,4.81832,26.672709,4.7714,4.661033,20.684599,1.893311,3.964704,,,,,,,,,,11.43238,2.713337,0.376423,0.481459,0.011197,0.022393,,,,,,
178697_NVA_17-001.ILC2.RunST.TdTv2_16T051943.03.czi,HighPlex FL v4.2.5_ILC2-Default,Medulla,6.233445,20.466888,37.202477,5.422582,19.656027,18.479277,1.813244,16.22868,,,,,,,,,,17.941877,18.14102,1.124345,4.196284,0.274416,0.196284,,,,,,
178698_NVA_17-001.ILC2.RunST.TdTv2_17T034208.07.czi,HighPlex FL v4.2.5_ILC2-Default,Medulla,14.053735,22.345318,55.996796,11.285587,19.577171,27.159468,7.98344,18.171026,,,,,,,,,,49.376213,21.822887,4.145149,9.159442,1.174716,0.91543,,,,,,
178699_NVA_17-001.ILC2.RunST.TdTv2_18T020199.06.czi,HighPlex FL v4.2.5_ILC2-Default,Medulla,12.779493,16.223522,53.206738,10.321876,13.765904,31.106199,7.13376,12.57284,,,,,,,,,,21.735291,17.366726,2.798837,3.553964,0.728094,0.510627,,,,,,
178700_NVA_17-001.ILC2.RunST.TdTv2_18T022817.01.czi,HighPlex FL v4.2.5_ILC2-Default,Medulla,6.107087,58.709862,67.500313,1.634815,54.237587,14.897536,1.206185,47.381287,,,,,,,,,,10.164899,35.478844,0.182433,5.545617,1.045006,0.037195,,,,,,
178701_NVA_17-001.ILC2.RunST.TdTv2_19T052700.04.czi,HighPlex FL v4.2.5_ILC2-Default,Medulla,18.418407,16.87208,42.066471,14.475888,12.92956,21.92189,5.649299,11.340915,,,,,,,,,,29.7029,7.892092,1.445826,2.115842,0.454906,0.253901,,,,,,
178702_NVA_17-001.ILC2.RunST.TdTv2_20T038573.01.czi,HighPlex FL v4.2.5_ILC2-Default,Medulla,12.869501,40.341534,55.510468,6.794037,34.266068,17.892467,3.220898,29.765829,,,,,,,,,,52.885563,19.053455,1.768253,11.639474,1.503367,0.280384,,,,,,
178703_NVA_17-001.ILC2.RunST.TdTv2_21T003344.02.czi,HighPlex FL v4.2.5_ILC2-Default,Medulla,2.29334,58.212669,87.163818,0.846567,56.765896,28.748264,0.629189,56.401184,,,,,,,,,,42.225712,19.426363,1.536139,11.86281,0.566391,0.060383,,,,,,
178704_NVA_17-001.ILC3.RunST.TdTv2_15T044696.05.czi,HighPlex FL v4.2.5_ILC3-Default,Medulla,4.574453,1.556654,11.970407,4.533822,1.516023,9.875521,1.03689,1.028975,,,,,,,,,,,,,,,,2.169818,0.160415,0.001055,0,0,0.001055
178705_NVA_17-001.ILC3.RunST.TdTv2_16T051943.03.czi,HighPlex FL v4.2.5_ILC3-Default,Medulla,6.507571,20.041965,27.444933,5.712739,19.247133,12.445609,1.759848,12.660272,,,,,,,,,,,,,,,,8.231643,7.49386,0.062852,0.059951,0.072521,0.176952
178706_NVA_17-001.ILC3.RunST.TdTv2_17T034208.07.czi,HighPlex FL v4.2.5_ILC3-Default,Medulla,15.952477,25.832558,47.521759,12.570145,22.450226,19.366838,7.912179,17.28064,,,,,,,,,,,,,,,,23.495247,18.000666,0.393751,0.483434,0.352326,0.827646
178707_NVA_17-001.ILC3.RunST.TdTv2_18T020199.06.czi,HighPlex FL v4.2.5_ILC3-Default,Medulla,7.200602,11.816971,40.944424,6.364685,10.981053,26.700964,4.241729,9.199873,,,,,,,,,,,,,,,,6.003191,3.028185,0.073494,0.013145,0.022705,0.040033
178708_NVA_17-001.ILC3.RunST.TdTv2_18T022817.01.czi,HighPlex FL v4.2.5_ILC3-Default,Medulla,11.933949,60.634193,68.60939,3.504471,52.204716,12.35398,2.57968,45.583359,,,,,,,,,,,,,,,,10.801846,36.508511,0.246971,1.755841,1.559345,0.201904
178709_NVA_17-001.ILC3.RunST.TdTv2_19T052700.04.czi,HighPlex FL v4.2.5_ILC3-Default,Medulla,19.816658,13.141261,27.368605,16.046797,9.371399,14.356557,4.250044,6.357605,,,,,,,,,,,,,,,,11.059892,32.922997,0.190327,0.12572,0.410337,1.260695
178710_NVA_17-001.ILC3.RunST.TdTv2_20T038573.01.czi,HighPlex FL v4.2.5_ILC3-Default,Medulla,14.151627,48.779202,66.768272,6.813243,41.440815,16.901068,5.073339,38.059093,,,,,,,,,,,,,,,,10.508842,23.975372,0.141848,0.23239,1.542222,1.094042
178711_NVA_17-001.ILC3.RunST.TdTv2_21T003344.02.czi,HighPlex FL v4.2.5_ILC3-Default,Medulla,2.494672,34.180084,78.880905,1.309549,32.994961,44.05529,0.937504,32.785534,,,,,,,,,,,,,,,,2.758306,19.744249,0.266098,0.186022,0.35603,0.236532
