Image Tag,Algorithm Name,Analysis Region,Area Analyzed (μm²),Total Cells,TdT Positive Cells,TCR-Alpha-Delta Positive Cells,IL7R Positive Cells,Early T-Cells:TdT+TCR- Cells,Mature T-Cells:TdT-TCR+ Cells,Pool-IL7R Non T:TdT-TCR-IL7R+ Cells,Pool-IL7R Early T:TdT+TCR-IL7R+ Cells,Pool-IL7R Mature T:TdT-TCR+IL7R+ Cells,EOMES Positive Cells,TBX Positive Cells,ILC1:TBX+EOMES+TdT-TCR-IL7R+ Cells,ILC1:TBX+EOMES-TdT-TCR-IL7R+ Cells,ILC1s:TBX+EOMES+/-TdT-TCR-IL7R+ Positive Cells,NK/ILC1ie:TBX+EOMES+TdT-TCR-IL7R- Cells,T-Helper:TdT-TCR+TBX+EOMES+ Cells,T-Helper:TdT+TCR+TBX+EOMES+ Cells,Immature T-Helper:TdT+TCR-TBX+EOMES+ Cells,GATA Positive Cells,ICOS Positive Cells,ILC2:GATA+ICOS+TdT-TCR-IL7R+ Cells,T-Helper:TdT-TCR+GATA+ICOS+ Cells,T-Helper:TdT+TCR+GATA+ICOS+ Cells,Immature T-Helper:TdT+TCR-GATA+ICOS+ Cells,ROR-GammaT Positive Cells,AHR Positive Cells,ILC3:ROR+AHR+TdT-TCR-IL7R+ Cells,T-Helper:TdT-TCR+ROR+AHR+ Cells,T-Helper:TdT+TCR+ROR+AHR+ Cells,Immature T-Helper:TdT+TCR-ROR+AHR+ Cells,% TdT Positive Cells,% TCR-Alpha-Delta Positive Cells,% IL7R Positive Cells,% Early T-Cells:TdT+TCR- Positive Cells,% Mature T-Cells:TdT-TCR+ Positive Cells,% Pool-IL7R Non T:TdT-TCR-IL7R+ Positive Cells,% Pool-IL7R Early T:TdT+TCR-IL7R+ Positive Cells,% Pool-IL7R Mature T:TdT-TCR+IL7R+ Positive Cells,% EOMES Positive Cells,% TBX Positive Cells,% ILC1:TBX+EOMES+TdT-TCR-IL7R+ Positive Cells,% ILC1:TBX+EOMES-TdT-TCR-IL7R+ Positive Cells,% ILC1s:TBX+EOMES+/-TdT-TCR-IL7R+ Positive Cells,% NK/ILC1ie:TBX+EOMES+TdT-TCR-IL7R- Positive Cells,% T-Helper:TdT-TCR+TBX+EOMES+ Positive Cells,% T-Helper:TdT+TCR+TBX+EOMES+ Positive Cells,% Immature T-Helper:TdT+TCR-TBX+EOMES+ Positive Cells,% GATA Positive Cells,% ICOS Positive Cells,% ILC2:GATA+ICOS+TdT-TCR-IL7R+ Positive Cells,% T-Helper:TdT-TCR+GATA+ICOS+ Positive Cells,% T-Helper:TdT+TCR+GATA+ICOS+ Positive Cells,% Immature T-Helper:TdT+TCR-GATA+ICOS+ Positive Cells,% ROR-GammaT Positive Cells,% AHR Positive Cells,% ILC3:ROR+AHR+TdT-TCR-IL7R+ Positive Cells,% T-Helper:TdT-TCR+ROR+AHR+ Positive Cells,% T-Helper:TdT+TCR+ROR+AHR+ Positive Cells,% Immature T-Helper:TdT+TCR-ROR+AHR+ Positive Cells,%Pool-IL7R ILC1s:TBX+EOMES+/-TdT-TCR-IL7R+ Positive Cells,%Pool-IL7R ILC2:GATA+ICOS+TdT-TCR-IL7R+ Positive Cells,%Pool-IL7R ILC3:ROR+AHR+TdT-TCR-IL7R+ Positive Cells,Early T-Cells - Density/mm²,Mature T-Cells - Density/mm²,Pool-IL7R Non T - Density/mm²,Pool-IL7R Early T - Density/mm²,Pool-IL7R Mature T - Density/mm²,NK/ILC1ie - Density/mm²,ILC1s - Density/mm²,TH1 TdT- - Density/mm²,TH1 TdT+ - Density/mm²,Immature TH1 - Density/mm²,ILC2 - Density/mm²,TH2 TdT- - Density/mm²,TH2 TdT+ - Density/mm²,Immature TH2 - Density/mm²,ILC3 - Density/mm²,TH17 TdT- - Density/mm²,TH17 TdT+ - Density/mm²,Immature TH17 - Density/mm²
178688_NVA_17-001.ILC1.RunST.TdTv2_15T044696.05.czi,HighPlex FL v4.2.5_ILC1-ST,Layer 1,45982716,615082,15230,3092,24095,15171,3033,21043,1125,1907,77,57,1,9,10,2,0,0,0,,,,,,,,,,,,,2.476093,0.502697,3.917364,2.466501,0.493105,3.42117,0.182902,0.31004,0.012519,0.009267,0.000163,0.001463,0.001626,0.000325,0,0,0,,,,,,,,,,,,,0.047521741,,,329.9283148,65.9595662,457.6284707,24.46571447,41.47210443,0.043494603,0.217473017,0,0,0,,,,,,,,
178689_NVA_17-001.ILC1.RunST.TdTv2_16T051943.03.czi,HighPlex FL v4.2.5_ILC1-ST,Layer 1,30177730,383438,77367,59002,234717,66799,48434,126427,51844,46212,2271,637,96,311,407,26,5,0,1,,,,,,,,,,,,,20.177187,15.387625,61.213806,17.42107,12.631508,32.971954,13.52083,12.052013,0.592273,0.166129,0.025037,0.081108,0.106145,0.006781,0.001304,0,0.000261,,,,,,,,,,,,,0.321924905,,,2213.519705,1604.958358,4189.413849,1717.955592,1531.327903,0.861562483,13.48676657,0.165685093,0,0.033137019,,,,,,,,
178690_NVA_17-001.ILC1.RunST.TdTv2_17T034208.07.czi,HighPlex FL v4.2.5_ILC1-ST,Layer 1,75380912,903076,260757,146336,405758,204593,90172,139327,136627,78903,4270,1279,287,431,718,31,72,7,7,,,,,,,,,,,,,28.874313,16.204174,44.93066,22.655125,9.984984,15.428048,15.12907,8.737139,0.472828,0.141627,0.03178,0.047726,0.079506,0.003433,0.007973,0.000775,0.000775,,,,,,,,,,,,,0.515334429,,,2714.122111,1196.21795,1848.306107,1812.488021,1046.723871,0.411244693,9.524957724,0.955148964,0.092861705,0.092861705,,,,,,,,
178691_NVA_17-001.ILC1.RunST.TdTv2_18T020199.06.czi,HighPlex FL v4.2.5_ILC1-ST,Layer 1,32068254,419174,100829,45452,277151,91506,36129,154374,79237,34391,4607,1460,108,805,913,8,30,0,1,,,,,,,,,,,,,24.054211,10.84323,66.118362,21.830076,8.619094,36.828144,18.903128,8.204469,1.099066,0.348304,0.025765,0.192044,0.217809,0.001909,0.007157,0,0.000239,,,,,,,,,,,,,0.591420835,,,2853.476214,1126.628222,4813.91971,2470.886005,1072.431321,0.249467901,28.47052415,0.935504627,0,0.031183488,,,,,,,,
178692_NVA_17-001.ILC1.RunST.TdTv2_18T022817.01.czi,HighPlex FL v4.2.5_ILC1-ST,Layer 1,13776566,208144,95021,123299,160805,23367,51645,27465,16633,47452,704,76,1,23,24,1,5,3,1,,,,,,,,,,,,,45.651569,59.237354,77.256607,11.226362,24.812149,13.195191,7.991102,22.797678,0.338227,0.036513,0.00048,0.01105,0.01153,0.00048,0.002402,0.001441,0.00048,,,,,,,,,,,,,0.087383943,,,1696.141114,3748.757129,1993.60276,1207.340058,3444.399715,0.072587029,1.742088703,0.362935147,0.217761088,0.072587029,,,,,,,,
178693_NVA_17-001.ILC1.RunST.TdTv2_19T052700.04.czi,HighPlex FL v4.2.5_ILC1-ST,Layer 1,13175913,185754,96984,32011,85814,80007,15034,28076,32354,13283,3444,516,225,151,376,13,23,1,6,,,,,,,,,,,,,52.210987,17.233007,46.197659,43.07148,8.0935,15.114614,17.41766,7.150856,1.854065,0.277787,0.121128,0.08129,0.202418,0.006999,0.012382,0.000538,0.00323,,,,,,,,,,,,,1.339222111,,,6072.216779,1141.021499,2130.858029,2455.541411,1008.127482,0.986648895,28.53692188,1.745609583,0.075896069,0.455376413,,,,,,,,
178694_NVA_17-001.ILC1.RunST.TdTv2_20T038573.01.czi,HighPlex FL v4.2.5_ILC1-ST,Layer 1,30694520,332899,187646,132068,256216,101095,45517,39104,87933,44345,1847,945,42,289,331,6,36,5,2,,,,,,,,,,,,,56.367245,39.672092,76.965088,30.368069,13.672915,11.746506,26.414318,13.320857,0.554823,0.28387,0.012616,0.086813,0.099429,0.001802,0.010814,0.001502,0.000601,,,,,,,,,,,,,0.84646072,,,3293.584653,1482.903137,1273.973335,2864.778469,1444.720426,0.195474632,10.78368386,1.172847792,0.162895527,0.065158211,,,,,,,,
178695_NVA_17-001.ILC1.RunST.TdTv2_21T003344.02.czi,HighPlex FL v4.2.5_ILC1-ST,Layer 1,14474399,205645,21885,90197,148010,11110,79422,57946,3985,76398,6418,986,200,181,381,13,235,6,3,,,,,,,,,,,,,10.642126,43.860535,71.973549,5.402514,38.620926,28.177685,1.937805,37.150429,3.120912,0.479467,0.097255,0.088016,0.185271,0.006322,0.114275,0.002918,0.001459,,,,,,,,,,,,,0.657508715,,,767.5620936,5487.067201,4003.344111,275.3136762,5278.146609,0.898137463,26.32233642,16.23556184,0.414524983,0.207262492,,,,,,,,
178696_NVA_17-001.ILC2.RunST.TdTv2_15T044696.05.czi,HighPlex FL v4.2.5_ILC2-Default,Layer 1,46023088,670858,35766,10816,79489,35166,10216,60097,10772,8163,,,,,,,,,,44002,5460,735,922,22,53,,,,,,,5.331382,1.612264,11.848856,5.241944,1.522826,8.95823,1.605705,1.2168,,,,,,,,,,6.559063,0.813883,0.109561,0.137436,0.003279,0.0079,,,,,,,,1.22302278,,764.0947517,221.9755441,1305.801123,234.0564371,177.3674987,,,,,,15.9702452,20.03342322,0.478020945,1.151595912,,,,
178697_NVA_17-001.ILC2.RunST.TdTv2_16T051943.03.czi,HighPlex FL v4.2.5_ILC2-Default,Layer 1,30412930,387042,53493,36609,89005,48279,31395,43105,17329,24329,,,,,,,,,,73804,28033,2116,5736,1101,1135,,,,,,,13.820981,9.458663,22.996212,12.47384,8.111523,11.137034,4.477292,6.285881,,,,,,,,,,19.068731,7.242883,0.546711,1.48201,0.284465,0.29325,,,,,,,,4.908943278,,1587.449812,1032.2912,1417.324802,569.7905463,799.9558083,,,,,,69.57567061,188.6039918,36.20170763,37.31965319,,,,
