Image Tag,Algorithm Name,Analysis Region,Total Cells,CD20 Positive Cells,B-Cells:CD20+TCR- Cells,% CD20 Positive Cells,% B-Cells:CD20+TCR- Positive Cells,Area Analyzed (µm²),B-Cells - Density/mm²
174167_NVA_17-001.ILC1.RunST_15T044696.05.czi,HighPlex FL v4.2.5_ILC1-ST,Cortex,560682,477,245,0.085075,0.043697,41562780,5.89469713
174168_NVA_17-001.ILC1.RunST_16T051943.03.czi,HighPlex FL v4.2.5_ILC1-ST,Cortex,357234,1580,634,0.442287,0.177475,30749950,20.6179197
174169_NVA_17-001.ILC1.RunST_17T034208.07.czi,HighPlex FL v4.2.5_ILC1-ST,Cortex,632294,1530,294,0.241976,0.046497,53094300,5.537317565
174170_NVA_17-001.ILC1.RunST_18T020199.06.czi,HighPlex FL v4.2.5_ILC1-ST,Cortex,290668,883,535,0.303783,0.184059,22513746,23.76326001
174171_NVA_17-001.ILC1.RunST_18T022817.01.czi,HighPlex FL v4.2.5_ILC1-ST,Cortex,146080,2222,616,1.521084,0.421687,12493204,49.30680712
174172_NVA_17-001.ILC1.RunST_19T052700.04.czi,HighPlex FL v4.2.5_ILC1-ST,Cortex,156205,1787,309,1.144009,0.197817,12093057,25.55185178
174173_NVA_17-001.ILC1.RunST_20T038573.01.czi,HighPlex FL v4.2.5_ILC1-ST,Cortex,442056,4300,1233,0.972727,0.278924,47564980,25.92243285
174174_NVA_17-001.ILC1.RunST_21T003344.02.czi,HighPlex FL v4.2.5_ILC1-ST,Cortex,127981,1071,409,0.836843,0.319579,10672710,38.32203817
174175_NVA_17-001.ILC2.RunST_15T044696.05.czi,HighPlex FL v4.2.5_ILC2-Default,Cortex,569704,851,357,0.149376,0.062664,40385284,8.839853646
174176_NVA_17-001.ILC2.RunST_16T051943.03.czi,HighPlex FL v4.2.5_ILC2-Default,Cortex,369760,1387,624,0.375108,0.168758,31543718,19.78206881
174177_NVA_17-001.ILC2.RunST_17T034208.07.czi,HighPlex FL v4.2.5_ILC2-Default,Cortex,636163,1901,337,0.298823,0.052974,53216300,6.332646201
174178_NVA_17-001.ILC2.RunST_18T020199.06.czi,HighPlex FL v4.2.5_ILC2-Default,Cortex,291607,1126,622,0.386136,0.213301,22754916,27.33475263
174179_NVA_17-001.ILC2.RunST_18T022817.01.czi,HighPlex FL v4.2.5_ILC2-Default,Cortex,143399,1454,452,1.013954,0.315204,12411029,36.41922036
174180_NVA_17-001.ILC2.RunST_19T052700.04.czi,HighPlex FL v4.2.5_ILC2-Default,Cortex,168367,2812,927,1.670161,0.550583,12662057,73.2108535
174181_NVA_17-001.ILC2.RunST_20T038573.01.czi,HighPlex FL v4.2.5_ILC2-Default,Cortex,414715,7873,1901,1.898412,0.458387,45976516,41.3471956
174182_NVA_17-001.ILC2.RunST_21T003344.02.czi,HighPlex FL v4.2.5_ILC2-Default,Cortex,118813,1552,577,1.306254,0.485637,10028735,57.53467411
174183_NVA_17-001.ILC3.RunST_15T044696.05.czi,HighPlex FL v4.2.5_ILC3-Default,Cortex,567866,733,368,0.12908,0.064804,40558040,9.073416763
174184_NVA_17-001.ILC3.RunST_16T051943.03.czi,HighPlex FL v4.2.5_ILC3-Default,Cortex,368297,1695,647,0.460226,0.175673,31670996,20.42878601
174185_NVA_17-001.ILC3.RunST_17T034208.07.czi,HighPlex FL v4.2.5_ILC3-Default,Cortex,626296,2493,477,0.398055,0.076162,52657020,9.058621244
174186_NVA_17-001.ILC3.RunST_18T020199.06.czi,HighPlex FL v4.2.5_ILC3-Default,Cortex,297650,1558,768,0.523434,0.258021,23083692,33.27024117
174187_NVA_17-001.ILC3.RunST_18T022817.01.czi,HighPlex FL v4.2.5_ILC3-Default,Cortex,149220,1089,320,0.729795,0.214448,12748747,25.10050596
174188_NVA_17-001.ILC3.RunST_19T052700.04.czi,HighPlex FL v4.2.5_ILC3-Default,Cortex,162000,2064,799,1.274074,0.49321,12426249,64.29937144
174189_NVA_17-001.ILC3.RunST_20T038573.01.czi,HighPlex FL v4.2.5_ILC3-Default,Cortex,421774,8541,1933,2.025018,0.458302,46783404,41.31807083
174190_NVA_17-001.ILC3.RunST_21T003344.02.czi,HighPlex FL v4.2.5_ILC3-Default,Cortex,107962,3270,736,3.028843,0.681721,10094764,72.90908435
