Image Tag,Algorithm Name,Analysis Region,Total Cells,CD20 Positive Cells,B-Cells:CD20+TCR- Cells,% CD20 Positive Cells,% B-Cells:CD20+TCR- Positive Cells,Area Analyzed (µm²),B-Cells - Density/mm²
174167_NVA_17-001.ILC1.RunST_15T044696.05.czi,HighPlex FL v4.2.5_ILC1-ST,Layer 1,696902,7834,2160,1.124118,0.309943,51780692,41.71439038
174168_NVA_17-001.ILC1.RunST_16T051943.03.czi,HighPlex FL v4.2.5_ILC1-ST,Layer 1,469135,10197,1543,2.173575,0.328903,38488548,40.08984699
174169_NVA_17-001.ILC1.RunST_17T034208.07.czi,HighPlex FL v4.2.5_ILC1-ST,Layer 1,861636,32856,2280,3.813211,0.264613,69648016,32.73603659
174170_NVA_17-001.ILC1.RunST_18T020199.06.czi,HighPlex FL v4.2.5_ILC1-ST,Layer 1,450166,12880,3619,2.861167,0.803926,33498520,108.0346236
174171_NVA_17-001.ILC1.RunST_18T022817.01.czi,HighPlex FL v4.2.5_ILC1-ST,Layer 1,183054,8260,1792,4.51233,0.978946,14974355,119.6712646
174172_NVA_17-001.ILC1.RunST_19T052700.04.czi,HighPlex FL v4.2.5_ILC1-ST,Layer 1,216567,11158,589,5.152216,0.271971,17053736,34.5378866
174173_NVA_17-001.ILC1.RunST_20T038573.01.czi,HighPlex FL v4.2.5_ILC1-ST,Layer 1,553454,17330,1904,3.131245,0.344021,56297012,33.82062266
174174_NVA_17-001.ILC1.RunST_21T003344.02.czi,HighPlex FL v4.2.5_ILC1-ST,Layer 1,229864,5287,1033,2.300056,0.449396,17590690,58.72424561
174175_NVA_17-001.ILC2.RunST_15T044696.05.czi,HighPlex FL v4.2.5_ILC2-Default,Layer 1,709311,8579,2630,1.209484,0.370782,50378696,52.20460649
174176_NVA_17-001.ILC2.RunST_16T051943.03.czi,HighPlex FL v4.2.5_ILC2-Default,Layer 1,485228,9844,1772,2.028737,0.365189,39477212,44.88665512
174177_NVA_17-001.ILC2.RunST_17T034208.07.czi,HighPlex FL v4.2.5_ILC2-Default,Layer 1,862962,33838,3118,3.921146,0.361314,69747648,44.7040164
174178_NVA_17-001.ILC2.RunST_18T020199.06.czi,HighPlex FL v4.2.5_ILC2-Default,Layer 1,451427,14962,4074,3.314379,0.902471,33858584,120.3239923
174179_NVA_17-001.ILC2.RunST_18T022817.01.czi,HighPlex FL v4.2.5_ILC2-Default,Layer 1,180366,5435,1333,3.013317,0.739053,14857982,89.71608661
174180_NVA_17-001.ILC2.RunST_19T052700.04.czi,HighPlex FL v4.2.5_ILC2-Default,Layer 1,234386,15102,3649,6.443218,1.556834,18002104,202.698529
174181_NVA_17-001.ILC2.RunST_20T038573.01.czi,HighPlex FL v4.2.5_ILC2-Default,Layer 1,520710,20949,2835,4.02316,0.544449,54348208,52.16363344
174182_NVA_17-001.ILC2.RunST_21T003344.02.czi,HighPlex FL v4.2.5_ILC2-Default,Layer 1,217195,6624,1360,3.049794,0.626165,16714483,81.36656096
174183_NVA_17-001.ILC3.RunST_15T044696.05.czi,HighPlex FL v4.2.5_ILC3-Default,Layer 1,708161,9278,2995,1.310154,0.422926,50644228,59.13803247
174184_NVA_17-001.ILC3.RunST_16T051943.03.czi,HighPlex FL v4.2.5_ILC3-Default,Layer 1,483280,10905,1832,2.256456,0.379076,39617272,46.24245708
174185_NVA_17-001.ILC3.RunST_17T034208.07.czi,HighPlex FL v4.2.5_ILC3-Default,Layer 1,851277,38461,3235,4.518036,0.380017,68850432,46.98590707
174186_NVA_17-001.ILC3.RunST_18T020199.06.czi,HighPlex FL v4.2.5_ILC3-Default,Layer 1,456134,17711,4498,3.88285,0.986114,34059892,132.0614875
174187_NVA_17-001.ILC3.RunST_18T022817.01.czi,HighPlex FL v4.2.5_ILC3-Default,Layer 1,185883,5096,1155,2.741509,0.621359,15247252,75.75135506
174188_NVA_17-001.ILC3.RunST_19T052700.04.czi,HighPlex FL v4.2.5_ILC3-Default,Layer 1,226301,13592,3242,6.00616,1.432605,17649716,183.6856752
174189_NVA_17-001.ILC3.RunST_20T038573.01.czi,HighPlex FL v4.2.5_ILC3-Default,Layer 1,531468,23305,3097,4.385024,0.582726,55388228,55.91440838
174190_NVA_17-001.ILC3.RunST_21T003344.02.czi,HighPlex FL v4.2.5_ILC3-Default,Layer 1,201430,9439,1686,4.685995,0.837015,16755443,100.6240181
