Image Tag,Algorithm Name,Analysis Region,Total Cells,CD20 Positive Cells,B-Cells:CD20+TCR- Cells,% CD20 Positive Cells,% B-Cells:CD20+TCR- Positive Cells,Area Analyzed (µm²),B-Cells - Density/mm²
174167_NVA_17-001.ILC1.RunST_15T044696.05.czi,HighPlex FL v4.2.5_ILC1-ST,Medulla,136525,7362,1919,5.392419,1.405603,10243041,187.3467069
174168_NVA_17-001.ILC1.RunST_16T051943.03.czi,HighPlex FL v4.2.5_ILC1-ST,Medulla,112008,8621,909,7.696772,0.811549,7748010,117.3204474
174169_NVA_17-001.ILC1.RunST_17T034208.07.czi,HighPlex FL v4.2.5_ILC1-ST,Medulla,230840,31532,1993,13.659678,0.863369,16667900,119.5711517
174170_NVA_17-001.ILC1.RunST_18T020199.06.czi,HighPlex FL v4.2.5_ILC1-ST,Medulla,161536,12213,3137,7.560544,1.941982,11124694,281.9852843
174171_NVA_17-001.ILC1.RunST_18T022817.01.czi,HighPlex FL v4.2.5_ILC1-ST,Medulla,37220,6063,1175,16.289629,3.156905,2500975.25,469.8167245
174172_NVA_17-001.ILC1.RunST_19T052700.04.czi,HighPlex FL v4.2.5_ILC1-ST,Medulla,60357,9376,278,15.534238,0.460593,4960653.5,56.04100347
174173_NVA_17-001.ILC1.RunST_20T038573.01.czi,HighPlex FL v4.2.5_ILC1-ST,Medulla,111426,13033,674,11.696552,0.604886,8734504,77.16522884
174174_NVA_17-001.ILC1.RunST_21T003344.02.czi,HighPlex FL v4.2.5_ILC1-ST,Medulla,101926,4234,630,4.153994,0.618095,6920187.5,91.03799572
174175_NVA_17-001.ILC2.RunST_15T044696.05.czi,HighPlex FL v4.2.5_ILC2-Default,Medulla,139988,7742,2273,5.530474,1.623711,10018537,226.8794336
174176_NVA_17-001.ILC2.RunST_16T051943.03.czi,HighPlex FL v4.2.5_ILC2-Default,Medulla,115594,8452,1153,7.311798,0.997457,7943021.5,145.1588668
174177_NVA_17-001.ILC2.RunST_17T034208.07.czi,HighPlex FL v4.2.5_ILC2-Default,Medulla,228403,32160,2792,14.080376,1.222401,16639317,167.7953488
174178_NVA_17-001.ILC2.RunST_18T020199.06.czi,HighPlex FL v4.2.5_ILC2-Default,Medulla,161858,14049,3491,8.679831,2.156829,11243759,310.4833535
174179_NVA_17-001.ILC2.RunST_18T022817.01.czi,HighPlex FL v4.2.5_ILC2-Default,Medulla,37178,4012,870,10.791328,2.340094,2462296.5,353.3286913
174180_NVA_17-001.ILC2.RunST_19T052700.04.czi,HighPlex FL v4.2.5_ILC2-Default,Medulla,66027,12274,2718,18.589365,4.116498,5340045.5,508.9844272
174181_NVA_17-001.ILC2.RunST_20T038573.01.czi,HighPlex FL v4.2.5_ILC2-Default,Medulla,106023,13082,934,12.338832,0.880941,8374180,111.5333083
174182_NVA_17-001.ILC2.RunST_21T003344.02.czi,HighPlex FL v4.2.5_ILC2-Default,Medulla,98393,5076,777,5.158904,0.78969,6686597,116.2026065
174183_NVA_17-001.ILC3.RunST_15T044696.05.czi,HighPlex FL v4.2.5_ILC3-Default,Medulla,140672,8567,2645,6.090054,1.88026,10111008,261.5960743
174184_NVA_17-001.ILC3.RunST_16T051943.03.czi,HighPlex FL v4.2.5_ILC3-Default,Medulla,115103,9228,1177,8.017167,1.022562,7955893.5,147.940643
174185_NVA_17-001.ILC3.RunST_17T034208.07.czi,HighPlex FL v4.2.5_ILC3-Default,Medulla,226747,36212,2784,15.970222,1.2278,16310555,170.6870183
174186_NVA_17-001.ILC3.RunST_18T020199.06.czi,HighPlex FL v4.2.5_ILC3-Default,Medulla,160352,16347,3780,10.194448,2.357314,11106862,340.3301491
174187_NVA_17-001.ILC3.RunST_18T022817.01.czi,HighPlex FL v4.2.5_ILC3-Default,Medulla,36862,4008,830,10.872986,2.251641,2514198,330.1251532
174188_NVA_17-001.ILC3.RunST_19T052700.04.czi,HighPlex FL v4.2.5_ILC3-Default,Medulla,64304,11542,2450,17.949116,3.810027,5223464,469.0374051
174189_NVA_17-001.ILC3.RunST_20T038573.01.czi,HighPlex FL v4.2.5_ILC3-Default,Medulla,109705,14781,1155,13.473406,1.052823,8607276,134.1887956
174190_NVA_17-001.ILC3.RunST_21T003344.02.czi,HighPlex FL v4.2.5_ILC3-Default,Medulla,93513,6154,946,6.580903,1.011624,6662976.5,141.9785887
