Image Tag,Algorithm Name,Analysis Region,Area Analyzed (µm²),Total Cells,TdT Positive Cells,TCR-Alpha-Delta Positive Cells,IL7R Positive Cells,Early T-Cells:TdT+TCR- Cells,Mature T-Cells:TdT-TCR+ Cells,Pool-IL7R Non T:TdT-TCR-IL7R+ Cells,Pool-IL7R Early T:TdT+TCR-IL7R+ Cells,Pool-IL7R Mature T:TdT-TCR+IL7R+ Cells,EOMES Positive Cells,TBX Positive Cells,ILC1:TBX+EOMES+TdT-TCR-IL7R+ Cells,ILC1:TBX+EOMES-TdT-TCR-IL7R+ Cells,ILC1s:TBX+EOMES+/-TdT-TCR-IL7R+ Positive Cells,NK/ILC1ie:TBX+EOMES+TdT-TCR-IL7R- Cells,T-Helper:TdT-TCR+TBX+EOMES+ Cells,T-Helper:TdT+TCR+TBX+EOMES+ Cells,Immature T-Helper:TdT+TCR-TBX+EOMES+ Cells,GATA Positive Cells,ICOS Positive Cells,ILC2:GATA+ICOS+TdT-TCR-IL7R+ Cells,T-Helper:TdT-TCR+GATA+ICOS+ Cells,T-Helper:TdT+TCR+GATA+ICOS+ Cells,Immature T-Helper:TdT+TCR-GATA+ICOS+ Cells,ROR-GammaT Positive Cells,AHR Positive Cells,ILC3:ROR+AHR+TdT-TCR-IL7R+ Cells,T-Helper:TdT-TCR+ROR+AHR+ Cells,T-Helper:TdT+TCR+ROR+AHR+ Cells,Immature T-Helper:TdT+TCR-ROR+AHR+ Cells,% TdT Positive Cells,% TCR-Alpha-Delta Positive Cells,% IL7R Positive Cells,% Early T-Cells:TdT+TCR- Positive Cells,% Mature T-Cells:TdT-TCR+ Positive Cells,% Pool-IL7R Non T:TdT-TCR-IL7R+ Positive Cells,% Pool-IL7R Early T:TdT+TCR-IL7R+ Positive Cells,% Pool-IL7R Mature T:TdT-TCR+IL7R+ Positive Cells,% EOMES Positive Cells,% TBX Positive Cells,% ILC1:TBX+EOMES+TdT-TCR-IL7R+ Positive Cells,% ILC1:TBX+EOMES-TdT-TCR-IL7R+ Positive Cells,% ILC1s:TBX+EOMES+/-TdT-TCR-IL7R+ Positive Cells,% NK/ILC1ie:TBX+EOMES+TdT-TCR-IL7R- Positive Cells,% T-Helper:TdT-TCR+TBX+EOMES+ Positive Cells,% T-Helper:TdT+TCR+TBX+EOMES+ Positive Cells,% Immature T-Helper:TdT+TCR-TBX+EOMES+ Positive Cells,% GATA Positive Cells,% ICOS Positive Cells,% ILC2:GATA+ICOS+TdT-TCR-IL7R+ Positive Cells,% T-Helper:TdT-TCR+GATA+ICOS+ Positive Cells,% T-Helper:TdT+TCR+GATA+ICOS+ Positive Cells,% Immature T-Helper:TdT+TCR-GATA+ICOS+ Positive Cells,% ROR-GammaT Positive Cells,% AHR Positive Cells,% ILC3:ROR+AHR+TdT-TCR-IL7R+ Positive Cells,% T-Helper:TdT-TCR+ROR+AHR+ Positive Cells,% T-Helper:TdT+TCR+ROR+AHR+ Positive Cells,% Immature T-Helper:TdT+TCR-ROR+AHR+ Positive Cells,%Pool-TCR+ TH1 Cells,%Pool-TCR+ TH2 Cells,%Pool-TCR+ TH17 Cells,%Pool-TCR+ T-Helper:TdT-TCR+TBX+EOMES+ Cells,%Pool-TCR+ T-Helper:TdT+TCR+TBX+EOMES+ Cells,%Pool-TCR+ Immature T-Helper:TdT+TCR-TBX+EOMES+ Cells,%Pool-TCR+ T-Helper:TdT-TCR+GATA+ICOS+ Cells,%Pool-TCR+ T-Helper:TdT+TCR+GATA+ICOS+ Cells,%Pool-TCR+ Immature T-Helper:TdT+TCR-GATA+ICOS+ Cells,%Pool-TCR+ T-Helper:TdT-TCR+ROR+AHR+ Cells,%Pool-TCR+ T-Helper:TdT+TCR+ROR+AHR+ Cells,%Pool-TCR+ Immature T-Helper:TdT+TCR-ROR+AHR+ Cells,Early T-Cells - Density/mm²,Mature T-Cells - Density/mm²,Pool-IL7R Non T - Density/mm²,Pool-IL7R Early T - Density/mm²,Pool-IL7R Mature T - Density/mm²,NK/ILC1ie - Density/mm²,ILC1s - Density/mm²,TH1 TdT- - Density/mm²,TH1 TdT+ - Density/mm²,Immature TH1 - Density/mm²,ILC2 - Density/mm²,TH2 TdT- - Density/mm²,TH2 TdT+ - Density/mm²,Immature TH2 - Density/mm²,ILC3 - Density/mm²,TH17 TdT- - Density/mm²,TH17 TdT+ - Density/mm²,Immature TH17 - Density/mm²
178688_NVA_17-001.ILC1.RunST.TdTv2_15T044696.05.czi,HighPlex FL v4.2.5_ILC1-ST,Medulla,13375801,171607,4968,2811,21673,4938,2781,19252,526,1881,71,34,1,8,9,2,0,0,0,,,,,,,,,,,,,2.894987,1.638045,12.629438,2.877505,1.620563,11.218657,0.306514,1.096109,0.041374,0.019813,0.000583,0.004662,0.005245,0.001165,0,0,0,,,,,,,,,,,,,0,,,0,0,0,,,,,,,369.1741526,207.9127822,1439.315672,39.32474773,140.6270922,0.149523756,0.6728569,0,0,0,,,,,,,,
178689_NVA_17-001.ILC1.RunST.TdTv2_16T051943.03.czi,HighPlex FL v4.2.5_ILC1-ST,Medulla,7375925,103547,9034,33654,79361,7099,31719,41210,5427,30845,1381,297,50,147,197,12,4,0,0,,,,,,,,,,,,,8.724541,32.501183,76.642494,6.855824,30.632467,39.798351,5.241098,29.788404,1.333694,0.286826,0.048287,0.141965,0.190252,0.011589,0.003863,0,0,,,,,,,,,,,,,0.01188566,,,0.01188566,0,0,,,,,,,962.4555564,4300.341991,5587.095856,735.7721235,4181.848378,1.62691459,26.70851453,0.542304863,0,0,,,,,,,,
178690_NVA_17-001.ILC1.RunST.TdTv2_17T034208.07.czi,HighPlex FL v4.2.5_ILC1-ST,Medulla,16808314,232519,36362,71628,150000,25552,60818,67344,17048,55670,3617,1009,240,335,575,14,66,5,3,,,,,,,,,,,,,15.638292,30.805225,64.510857,10.989209,26.156141,28.962795,7.331874,23.942129,1.555572,0.433943,0.103217,0.144074,0.247291,0.006021,0.028385,0.00215,0.00129,,,,,,,,,,,,,0.103311554,,,0.092142737,0.00698051,0.004188306,,,,,,,1520.200063,3618.328406,4006.588644,1014.259967,3312.051405,0.832921137,34.20926096,3.926628215,0.297471834,0.178483101,,,,,,,,
178691_NVA_17-001.ILC1.RunST.TdTv2_18T020199.06.czi,HighPlex FL v4.2.5_ILC1-ST,Medulla,11626414,164642,13975,29137,109333,12102,27264,71725,9782,26017,3909,1108,85,631,716,5,26,0,0,,,,,,,,,,,,,8.488113,17.697186,66.406509,7.350494,16.559566,43.564217,5.941376,15.802165,2.374242,0.672975,0.051627,0.383256,0.434883,0.003037,0.015792,0,0,,,,,,,,,,,,,0.08923362,,,0.08923362,0,0,,,,,,,1040.905648,2345.005089,6169.142093,841.3600273,2237.749318,0.430055217,61.58390713,2.23628713,0,0,,,,,,,,
178692_NVA_17-001.ILC1.RunST.TdTv2_18T022817.01.czi,HighPlex FL v4.2.5_ILC1-ST,Medulla,3808744.75,54094,6837,33957,43525,1792,28912,9910,1235,27467,514,41,0,12,12,1,4,1,0,,,,,,,,,,,,,12.63911,62.774059,80.461792,3.312752,53.447701,18.319962,2.283063,50.776424,0.950198,0.075794,0,0.022184,0.022184,0.001849,0.007395,0.001849,0,,,,,,,,,,,,,0.014724505,,,0.011779604,0.002944901,0,,,,,,,470.4962179,7590.952373,2601.907098,324.2538109,7211.562287,0.262553693,3.150644317,1.050214772,0.262553693,0,,,,,,,,
178693_NVA_17-001.ILC1.RunST.TdTv2_19T052700.04.czi,HighPlex FL v4.2.5_ILC1-ST,Medulla,4061552.25,57061,11897,12946,33111,8580,9629,17981,3775,8839,2924,420,198,129,327,4,21,0,2,,,,,,,,,,,,,20.849617,22.688,58.027374,15.03654,16.874924,31.51189,6.615727,15.49044,5.124341,0.736054,0.346997,0.226074,0.573071,0.00701,0.036803,0,0.003505,,,,,,,,,,,,,0.177661054,,,0.162212266,0,0.015448787,,,,,,,2112.492828,2370.768467,4427.125122,929.4476022,2176.261551,0.984845141,80.51109031,5.170436992,0,0.492422571,,,,,,,,
178694_NVA_17-001.ILC1.RunST.TdTv2_20T038573.01.czi,HighPlex FL v4.2.5_ILC1-ST,Medulla,5336682,69260,8538,34331,55952,4040,29833,18678,3354,29495,1246,490,23,145,168,2,27,0,0,,,,,,,,,,,,,12.327462,49.568295,80.785446,5.833093,43.073925,26.967947,4.842622,42.585907,1.799018,0.707479,0.033208,0.209356,0.242564,0.002888,0.038984,0,0,,,,,,,,,,,,,0.078646122,,,0.078646122,0,0,,,,,,,757.0246831,5590.177567,3499.927483,628.4803929,5526.842334,0.374764695,31.48023435,5.059323377,0,0,,,,,,,,
178695_NVA_17-001.ILC1.RunST.TdTv2_21T003344.02.czi,HighPlex FL v4.2.5_ILC1-ST,Medulla,5214265.5,77896,1800,46112,66630,577,44889,22223,257,43046,3536,585,80,96,176,7,182,3,0,,,,,,,,,,,,,2.310773,59.196877,85.537125,0.740731,57.626835,28.529064,0.329927,55.26086,4.539386,0.751001,0.102701,0.123241,0.225942,0.008986,0.233645,0.003851,0,,,,,,,,,,,,,0.401197085,,,0.394691187,0.006505899,0,,,,,,,110.6579632,8608.882689,4261.961728,49.28786231,8255.429264,1.342470958,33.75355551,34.9042449,0.575344696,0,,,,,,,,
178696_NVA_17-001.ILC2.RunST.TdTv2_15T044696.05.czi,HighPlex FL v4.2.5_ILC2-Default,Medulla,13131495,187555,9244,9037,50026,8949,8742,38795,3551,7436,,,,,,,,,,21442,5089,706,903,21,42,,,,,,,4.928688,4.81832,26.672709,4.7714,4.661033,20.684599,1.893311,3.964704,,,,,,,,,,11.43238,2.713337,0.376423,0.481459,0.011197,0.022393,,,,,,,,10.68938807,,,,,9.992254067,0.232378002,0.464756003,,,,681.4913306,665.7277027,2954.347544,270.4185624,566.2721571,,,,,,53.76387076,68.76597067,1.59920862,3.19841724,,,,
178697_NVA_17-001.ILC2.RunST.TdTv2_16T051943.03.czi,HighPlex FL v4.2.5_ILC2-Default,Medulla,7464493,104950,6542,21480,39044,5691,20629,19394,1903,17032,,,,,,,,,,18830,19039,1180,4404,288,206,,,,,,,6.233445,20.466888,37.202477,5.422582,19.656027,18.479277,1.813244,16.22868,,,,,,,,,,17.941877,18.14102,1.124345,4.196284,0.274416,0.196284,,,,,,,,22.80260708,,,,,20.5027933,1.340782123,0.959031657,,,,762.4094496,2763.617033,2598.167082,254.9402886,2281.735678,,,,,,158.0817344,589.9931851,38.5826606,27.59731974,,,,
