"Image Location"|"Image Tag"|"Algorithm Name"|"Start Time"|"Job Id"|"Analysis Region"|"Analysis Inputs"|"TH1 Count"|"ILC1 Count"|"TH1 within 50μm of ILC1"|"% TH1 within 50μm of ILC1"|"Average Distance (μm) to ILC1"|"Number of Unique ILC1"|"Average number of TH1 within 50μm of ILC1"|"TH1 within 0-5μm of ILC1"|"TH1 within 5-10μm of ILC1"|"TH1 within 10-15μm of ILC1"|"TH1 within 15-20μm of ILC1"|"TH1 within 20-25μm of ILC1"|"TH1 within 25-30μm of ILC1"|"TH1 within 30-35μm of ILC1"|"TH1 within 35-40μm of ILC1"|"TH1 within 40-45μm of ILC1"|"TH1 within 45-50μm of ILC1"|"TH2 Count"|"TH2 within 50μm of ILC1"|"% TH2 within 50μm of ILC1"|"Average number of TH2 within 50μm of ILC1"|"TH2 within 0-5μm of ILC1"|"TH2 within 5-10μm of ILC1"|"TH2 within 10-15μm of ILC1"|"TH2 within 15-20μm of ILC1"|"TH2 within 20-25μm of ILC1"|"TH2 within 25-30μm of ILC1"|"TH2 within 30-35μm of ILC1"|"TH2 within 35-40μm of ILC1"|"TH2 within 40-45μm of ILC1"|"TH2 within 45-50μm of ILC1"|"TH17 Count"|"TH17 within 50μm of ILC1"|"% TH17 within 50μm of ILC1"|"Average number of TH17 within 50μm of ILC1"|"TH17 within 0-5μm of ILC1"|"TH17 within 5-10μm of ILC1"|"TH17 within 10-15μm of ILC1"|"TH17 within 15-20μm of ILC1"|"TH17 within 20-25μm of ILC1"|"TH17 within 25-30μm of ILC1"|"TH17 within 30-35μm of ILC1"|"TH17 within 35-40μm of ILC1"|"TH17 within 40-45μm of ILC1"|"TH17 within 45-50μm of ILC1"|"ILC2 Count"|"TH1 within 50μm of ILC2"|"% TH1 within 50μm of ILC2"|"Average Distance (μm) to ILC2"|"Number of Unique ILC2"|"Average number of TH1 within 50μm of ILC2"|"TH1 within 0-5μm of ILC2"|"TH1 within 5-10μm of ILC2"|"TH1 within 10-15μm of ILC2"|"TH1 within 15-20μm of ILC2"|"TH1 within 20-25μm of ILC2"|"TH1 within 25-30μm of ILC2"|"TH1 within 30-35μm of ILC2"|"TH1 within 35-40μm of ILC2"|"TH1 within 40-45μm of ILC2"|"TH1 within 45-50μm of ILC2"|"TH2 within 50μm of ILC2"|"% TH2 within 50μm of ILC2"|"Average number of TH2 within 50μm of ILC2"|"TH2 within 0-5μm of ILC2"|"TH2 within 5-10μm of ILC2"|"TH2 within 10-15μm of ILC2"|"TH2 within 15-20μm of ILC2"|"TH2 within 20-25μm of ILC2"|"TH2 within 25-30μm of ILC2"|"TH2 within 30-35μm of ILC2"|"TH2 within 35-40μm of ILC2"|"TH2 within 40-45μm of ILC2"|"TH2 within 45-50μm of ILC2"|"TH17 within 50μm of ILC2"|"% TH17 within 50μm of ILC2"|"Average number of TH17 within 50μm of ILC2"|"TH17 within 0-5μm of ILC2"|"TH17 within 5-10μm of ILC2"|"TH17 within 10-15μm of ILC2"|"TH17 within 15-20μm of ILC2"|"TH17 within 20-25μm of ILC2"|"TH17 within 25-30μm of ILC2"|"TH17 within 30-35μm of ILC2"|"TH17 within 35-40μm of ILC2"|"TH17 within 40-45μm of ILC2"|"TH17 within 45-50μm of ILC2"|"ILC3 Count"|"TH1 within 50μm of ILC3"|"% TH1 within 50μm of ILC3"|"Average Distance (μm) to ILC3"|"Number of Unique ILC3"|"Average number of TH1 within 50μm of ILC3"|"TH1 within 0-5μm of ILC3"|"TH1 within 5-10μm of ILC3"|"TH1 within 10-15μm of ILC3"|"TH1 within 15-20μm of ILC3"|"TH1 within 20-25μm of ILC3"|"TH1 within 25-30μm of ILC3"|"TH1 within 30-35μm of ILC3"|"TH1 within 35-40μm of ILC3"|"TH1 within 40-45μm of ILC3"|"TH1 within 45-50μm of ILC3"|"TH2 within 50μm of ILC3"|"% TH2 within 50μm of ILC3"|"Average number of TH2 within 50μm of ILC3"|"TH2 within 0-5μm of ILC3"|"TH2 within 5-10μm of ILC3"|"TH2 within 10-15μm of ILC3"|"TH2 within 15-20μm of ILC3"|"TH2 within 20-25μm of ILC3"|"TH2 within 25-30μm of ILC3"|"TH2 within 30-35μm of ILC3"|"TH2 within 35-40μm of ILC3"|"TH2 within 40-45μm of ILC3"|"TH2 within 45-50μm of ILC3"|"TH17 within 50μm of ILC3"|"% TH17 within 50μm of ILC3"|"Average number of TH17 within 50μm of ILC3"|"TH17 within 0-5μm of ILC3"|"TH17 within 5-10μm of ILC3"|"TH17 within 10-15μm of ILC3"|"TH17 within 15-20μm of ILC3"|"TH17 within 20-25μm of ILC3"|"TH17 within 25-30μm of ILC3"|"TH17 within 30-35μm of ILC3"|"TH17 within 35-40μm of ILC3"|"TH17 within 40-45μm of ILC3"|"TH17 within 45-50μm of ILC3"
"\\srvnas01.icr.local\anapath\Imagin_Data\VAN ACKER Nathalie\17-001.ILC1.RunST.TdTv2\178689_NVA_17-001.ILC1.RunST.TdTv2_16T051943.03.czi"|"178689_NVA_17-001.ILC1.RunST.TdTv2_16T051943.03.czi"|"Proximity Analysis ILC1 & TH1"|"23/01/2025 17:00:10"|"100022"|"Layer 1"|"Proximity Analysis ILC1 & TH1:;Population:TH1;Within:50;Population 2:ILC1;Number of Bands:10;Store Object (Pair) Data:False;Generate Markup Image:False"|"6"|"407"|"2"|"33,33"|"113,56"|"6"|"0,33333334"|"0"|"0"|"0"|"0"|"0"|"1"|"0"|"1"|"0"|"0"||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
"\\srvnas01.icr.local\anapath\Imagin_Data\VAN ACKER Nathalie\17-001.ILC1.RunST.TdTv2\178689_NVA_17-001.ILC1.RunST.TdTv2_16T051943.03.czi"|"178689_NVA_17-001.ILC1.RunST.TdTv2_16T051943.03.czi"|"Proximity Analysis ILC1 & TH2"|"23/01/2025 17:03:43"|"100023"|"Layer 1"|"Proximity Analysis ILC1 & TH2:;Population:TH2;Within:50;Population 2:ILC1;Number of Bands:10;Store Object (Pair) Data:False;Generate Markup Image:False"||"407"|||"177,55"|"303"||||||||||||"7972"|"899"|"11,28"|"2,9669967"|"7"|"30"|"40"|"57"|"85"|"102"|"128"|"141"|"127"|"182"||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
"\\srvnas01.icr.local\anapath\Imagin_Data\VAN ACKER Nathalie\17-001.ILC1.RunST.TdTv2\178689_NVA_17-001.ILC1.RunST.TdTv2_16T051943.03.czi"|"178689_NVA_17-001.ILC1.RunST.TdTv2_16T051943.03.czi"|"Proximity Analysis ILC1 & TH17"|"23/01/2025 17:07:34"|"100024"|"Layer 1"|"Proximity Analysis ILC1 & TH17:;Population:TH17;Within:50;Population 2:ILC1;Number of Bands:10;Store Object (Pair) Data:False;Generate Markup Image:False"||"407"|||"166,65"|"183"||||||||||||||||||||||||||"1631"|"179"|"10,97"|"0,9781421"|"1"|"3"|"10"|"10"|"28"|"16"|"21"|"26"|"29"|"35"||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
"\\srvnas01.icr.local\anapath\Imagin_Data\VAN ACKER Nathalie\17-001.ILC1.RunST.TdTv2\178689_NVA_17-001.ILC1.RunST.TdTv2_16T051943.03.czi"|"178689_NVA_17-001.ILC1.RunST.TdTv2_16T051943.03.czi"|"Proximity Analysis ILC2 & TH1"|"23/01/2025 17:08:58"|"100025"|"Layer 1"|"Proximity Analysis ILC2 & TH1:;Population:TH1;Within:50;Population 2:ILC2;Number of Bands:10;Store Object (Pair) Data:False;Generate Markup Image:False"|"6"|||||||||||||||||||||||||||||||||||||||||||||"2116"|"5"|"83,33"|"36,26"|"6"|"0,8333333"|"0"|"1"|"0"|"0"|"1"|"0"|"1"|"0"|"1"|"1"||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
"\\srvnas01.icr.local\anapath\Imagin_Data\VAN ACKER Nathalie\17-001.ILC1.RunST.TdTv2\178689_NVA_17-001.ILC1.RunST.TdTv2_16T051943.03.czi"|"178689_NVA_17-001.ILC1.RunST.TdTv2_16T051943.03.czi"|"Proximity Analysis ILC2 & TH2"|"23/01/2025 17:11:46"|"100026"|"Layer 1"|"Proximity Analysis ILC2 & TH2:;Population:TH2;Within:50;Population 2:ILC2;Number of Bands:10;Store Object (Pair) Data:False;Generate Markup Image:False"||||||||||||||||||"7972"||||||||||||||||||||||||||||"2116"|||"36,99"|"1670"||||||||||||"6314"|"79,2"|"3,7808383"|"100"|"958"|"961"|"892"|"829"|"754"|"572"|"531"|"379"|"338"|||||||||||||||||||||||||||||||||||||||||||||||||||||||
"\\srvnas01.icr.local\anapath\Imagin_Data\VAN ACKER Nathalie\17-001.ILC1.RunST.TdTv2\178689_NVA_17-001.ILC1.RunST.TdTv2_16T051943.03.czi"|"178689_NVA_17-001.ILC1.RunST.TdTv2_16T051943.03.czi"|"Proximity Analysis ILC2 & TH17"|"23/01/2025 17:14:12"|"100027"|"Layer 1"|"Proximity Analysis ILC2 & TH17:;Population:TH17;Within:50;Population 2:ILC2;Number of Bands:10;Store Object (Pair) Data:False;Generate Markup Image:False"||||||||||||||||||||||||||||||||"1631"||||||||||||||"2116"|||"92,42"|"376"|||||||||||||||||||||||||"586"|"35,93"|"1,5585107"|"12"|"33"|"54"|"84"|"77"|"78"|"66"|"62"|"56"|"64"||||||||||||||||||||||||||||||||||||||||||
"\\srvnas01.icr.local\anapath\Imagin_Data\VAN ACKER Nathalie\17-001.ILC1.RunST.TdTv2\178689_NVA_17-001.ILC1.RunST.TdTv2_16T051943.03.czi"|"178689_NVA_17-001.ILC1.RunST.TdTv2_16T051943.03.czi"|"Proximity Analysis ILC3 & TH1"|"23/01/2025 17:15:46"|"100028"|"Layer 1"|"Proximity Analysis ILC3 & TH1:;Population:TH1;Within:50;Population 2:ILC3;Number of Bands:10;Store Object (Pair) Data:False;Generate Markup Image:False"|"6"|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||"226"|"0"|"0"|"233,88"|"6"|"0"|"0"|"0"|"0"|"0"|"0"|"0"|"0"|"0"|"0"|"0"||||||||||||||||||||||||||
"\\srvnas01.icr.local\anapath\Imagin_Data\VAN ACKER Nathalie\17-001.ILC1.RunST.TdTv2\178689_NVA_17-001.ILC1.RunST.TdTv2_16T051943.03.czi"|"178689_NVA_17-001.ILC1.RunST.TdTv2_16T051943.03.czi"|"Proximity Analysis ILC3 & TH2"|"23/01/2025 17:17:02"|"100029"|"Layer 1"|"Proximity Analysis ILC3 & TH2:;Population:TH2;Within:50;Population 2:ILC3;Number of Bands:10;Store Object (Pair) Data:False;Generate Markup Image:False"||||||||||||||||||"7972"||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||"226"|||"248,38"|"190"||||||||||||"784"|"9,83"|"4,1263156"|"6"|"21"|"38"|"66"|"78"|"107"|"105"|"105"|"123"|"135"|||||||||||||
"\\srvnas01.icr.local\anapath\Imagin_Data\VAN ACKER Nathalie\17-001.ILC1.RunST.TdTv2\178689_NVA_17-001.ILC1.RunST.TdTv2_16T051943.03.czi"|"178689_NVA_17-001.ILC1.RunST.TdTv2_16T051943.03.czi"|"Proximity Analysis ILC3 & TH17"|"23/01/2025 17:18:24"|"100030"|"Layer 1"|"Proximity Analysis ILC3 & TH17:;Population:TH17;Within:50;Population 2:ILC3;Number of Bands:10;Store Object (Pair) Data:False;Generate Markup Image:False"||||||||||||||||||||||||||||||||"1631"||||||||||||||||||||||||||||||||||||||||||||||||||||||||"226"|||"129,42"|"196"|||||||||||||||||||||||||"512"|"31,39"|"2,6122448"|"5"|"62"|"39"|"54"|"56"|"62"|"65"|"45"|"61"|"63"
"\\srvnas01.icr.local\anapath\Imagin_Data\VAN ACKER Nathalie\17-001.ILC1.RunST.TdTv2\178695_NVA_17-001.ILC1.RunST.TdTv2_21T003344.02.czi"|"178695_NVA_17-001.ILC1.RunST.TdTv2_21T003344.02.czi"|"Proximity Analysis ILC1 & TH1"|"24/01/2025 13:04:35"|"100060"|"Layer 1"|"Proximity Analysis ILC1 & TH1:;Population:TH1;Within:50;Population 2:ILC1;Number of Bands:10;Store Object (Pair) Data:False;Generate Markup Image:False"|"244"|"381"|"70"|"28,69"|"91,41"|"121"|"0,5785124"|"1"|"10"|"5"|"13"|"8"|"10"|"5"|"6"|"6"|"6"||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
