Image Tag,Analysis Region,Phenotypes,# Cells / mm²
174167_THYMUS_ILC1,Medulla,B,187.3467069
174168_THYMUS_ILC1,Medulla,B,117.3204474
174169_THYMUS_ILC1,Medulla,B,119.5711517
174170_THYMUS_ILC1,Medulla,B,281.9852843
174171_THYMUS_ILC1,Medulla,B,469.8167245
174172_THYMUS_ILC1,Medulla,B,56.04100347
174173_THYMUS_ILC1,Medulla,B,77.16522884
174174_THYMUS_ILC1,Medulla,B,91.03799572
174175_THYMUS_ILC2,Medulla,B,226.8794336
174176_THYMUS_ILC2,Medulla,B,145.1588668
174177_THYMUS_ILC2,Medulla,B,167.7953488
174178_THYMUS_ILC2,Medulla,B,310.4833535
174179_THYMUS_ILC2,Medulla,B,353.3286913
174180_THYMUS_ILC2,Medulla,B,508.9844272
174181_THYMUS_ILC2,Medulla,B,111.5333083
174182_THYMUS_ILC2,Medulla,B,116.2026065
174183_THYMUS_ILC3,Medulla,B,261.5960743
174184_THYMUS_ILC3,Medulla,B,147.940643
174185_THYMUS_ILC3,Medulla,B,170.6870183
174186_THYMUS_ILC3,Medulla,B,340.3301491
174187_THYMUS_ILC3,Medulla,B,330.1251532
174188_THYMUS_ILC3,Medulla,B,469.0374051
174189_THYMUS_ILC3,Medulla,B,134.1887956
174190_THYMUS_ILC3,Medulla,B,141.9785887
174167_THYMUS_ILC1,Cortex,B,5.89469713
174168_THYMUS_ILC1,Cortex,B,20.6179197
174169_THYMUS_ILC1,Cortex,B,5.537317565
174170_THYMUS_ILC1,Cortex,B,23.76326001
174171_THYMUS_ILC1,Cortex,B,49.30680712
174172_THYMUS_ILC1,Cortex,B,25.55185178
174173_THYMUS_ILC1,Cortex,B,25.92243285
174174_THYMUS_ILC1,Cortex,B,38.32203817
174175_THYMUS_ILC2,Cortex,B,8.839853646
174176_THYMUS_ILC2,Cortex,B,19.78206881
174177_THYMUS_ILC2,Cortex,B,6.332646201
174178_THYMUS_ILC2,Cortex,B,27.33475263
174179_THYMUS_ILC2,Cortex,B,36.41922036
174180_THYMUS_ILC2,Cortex,B,73.2108535
174181_THYMUS_ILC2,Cortex,B,41.3471956
174182_THYMUS_ILC2,Cortex,B,57.53467411
174183_THYMUS_ILC3,Cortex,B,9.073416763
174184_THYMUS_ILC3,Cortex,B,20.42878601
174185_THYMUS_ILC3,Cortex,B,9.058621244
174186_THYMUS_ILC3,Cortex,B,33.27024117
174187_THYMUS_ILC3,Cortex,B,25.10050596
174188_THYMUS_ILC3,Cortex,B,64.29937144
174189_THYMUS_ILC3,Cortex,B,41.31807083
174190_THYMUS_ILC3,Cortex,B,72.90908435
178688_THYMUS_ILC1,Medulla,Immature T,369.1741526
178689_THYMUS_ILC1,Medulla,Immature T,962.4555564
178690_THYMUS_ILC1,Medulla,Immature T,1520.200063
178691_THYMUS_ILC1,Medulla,Immature T,1040.905648
178692_THYMUS_ILC1,Medulla,Immature T,470.4962179
178693_THYMUS_ILC1,Medulla,Immature T,2112.492828
178694_THYMUS_ILC1,Medulla,Immature T,757.0246831
178695_THYMUS_ILC1,Medulla,Immature T,110.6579632
178696_THYMUS_ILC2,Medulla,Immature T,681.4913306
178697_THYMUS_ILC2,Medulla,Immature T,762.4094496
178698_THYMUS_ILC2,Medulla,Immature T,1558.116079
178699_THYMUS_ILC2,Medulla,Immature T,1448.507709
178700_THYMUS_ILC2,Medulla,Immature T,237.4024011
178701_THYMUS_ILC2,Medulla,Immature T,2046.81714
178702_THYMUS_ILC2,Medulla,Immature T,869.7930454
178703_THYMUS_ILC2,Medulla,Immature T,125.2756601
178704_THYMUS_ILC3,Medulla,Immature T,644.2769914
178705_THYMUS_ILC3,Medulla,Immature T,805.1476573
178706_THYMUS_ILC3,Medulla,Immature T,1738.723609
178707_THYMUS_ILC3,Medulla,Immature T,918.8382544
178708_THYMUS_ILC3,Medulla,Immature T,508.6513909
178709_THYMUS_ILC3,Medulla,Immature T,2276.64268
178710_THYMUS_ILC3,Medulla,Immature T,881.5699169
178711_THYMUS_ILC3,Medulla,Immature T,191.4760207
178688_THYMUS_ILC1,Medulla,Mature T,207.9127822
178689_THYMUS_ILC1,Medulla,Mature T,4300.341991
178690_THYMUS_ILC1,Medulla,Mature T,3618.328406
178691_THYMUS_ILC1,Medulla,Mature T,2345.005089
178692_THYMUS_ILC1,Medulla,Mature T,7590.952373
178693_THYMUS_ILC1,Medulla,Mature T,2370.768467
178694_THYMUS_ILC1,Medulla,Mature T,5590.177567
178695_THYMUS_ILC1,Medulla,Mature T,8608.882689
178696_THYMUS_ILC2,Medulla,Mature T,665.7277027
178697_THYMUS_ILC2,Medulla,Mature T,2763.617033
178698_THYMUS_ILC2,Medulla,Mature T,2702.872536
178699_THYMUS_ILC2,Medulla,Mature T,1931.821334
178700_THYMUS_ILC2,Medulla,Mature T,7876.204036
178701_THYMUS_ILC2,Medulla,Mature T,1828.174189
178702_THYMUS_ILC2,Medulla,Mature T,4386.845057
178703_THYMUS_ILC2,Medulla,Mature T,8400.260202
178704_THYMUS_ILC3,Medulla,Mature T,215.4338683
178705_THYMUS_ILC3,Medulla,Mature T,2712.671652
178706_THYMUS_ILC3,Medulla,Mature T,3105.353041
178707_THYMUS_ILC3,Medulla,Mature T,1585.280646
178708_THYMUS_ILC3,Medulla,Mature T,7577.178822
178709_THYMUS_ILC3,Medulla,Mature T,1329.569235
178710_THYMUS_ILC3,Medulla,Mature T,5362.053833
178711_THYMUS_ILC3,Medulla,Mature T,4824.367134
178688_THYMUS_ILC1,Medulla,IL7R Non T,1439.315672
178689_THYMUS_ILC1,Medulla,IL7R Non T,5587.095856
178690_THYMUS_ILC1,Medulla,IL7R Non T,4006.588644
178691_THYMUS_ILC1,Medulla,IL7R Non T,6169.142093
178692_THYMUS_ILC1,Medulla,IL7R Non T,2601.907098
178693_THYMUS_ILC1,Medulla,IL7R Non T,4427.125122
178694_THYMUS_ILC1,Medulla,IL7R Non T,3499.927483
178695_THYMUS_ILC1,Medulla,IL7R Non T,4261.961728
178696_THYMUS_ILC2,Medulla,IL7R Non T,2954.347544
178697_THYMUS_ILC2,Medulla,IL7R Non T,2598.167082
178698_THYMUS_ILC2,Medulla,IL7R Non T,3749.703116
178699_THYMUS_ILC2,Medulla,IL7R Non T,4365.250214
178700_THYMUS_ILC2,Medulla,IL7R Non T,2163.371176
178701_THYMUS_ILC2,Medulla,IL7R Non T,3099.644032
178702_THYMUS_ILC2,Medulla,IL7R Non T,2290.647425
178703_THYMUS_ILC2,Medulla,IL7R Non T,4254.189854
178704_THYMUS_ILC3,Medulla,IL7R Non T,1403.357064
178705_THYMUS_ILC3,Medulla,IL7R Non T,1754.071682
178706_THYMUS_ILC3,Medulla,IL7R Non T,2678.853603
178707_THYMUS_ILC3,Medulla,IL7R Non T,3854.68692
178708_THYMUS_ILC3,Medulla,IL7R Non T,1793.100814
178709_THYMUS_ILC3,Medulla,IL7R Non T,2036.839621
178710_THYMUS_ILC3,Medulla,IL7R Non T,2186.840104
178711_THYMUS_ILC3,Medulla,IL7R Non T,6441.555953
178688_THYMUS_ILC1,Medulla,IL7R Immature T,39.32474773
178689_THYMUS_ILC1,Medulla,IL7R Immature T,735.7721235
178690_THYMUS_ILC1,Medulla,IL7R Immature T,1014.259967
178691_THYMUS_ILC1,Medulla,IL7R Immature T,841.3600273
178692_THYMUS_ILC1,Medulla,IL7R Immature T,324.2538109
178693_THYMUS_ILC1,Medulla,IL7R Immature T,929.4476022
178694_THYMUS_ILC1,Medulla,IL7R Immature T,628.4803929
178695_THYMUS_ILC1,Medulla,IL7R Immature T,49.28786231
178696_THYMUS_ILC2,Medulla,IL7R Immature T,270.4185624
178697_THYMUS_ILC2,Medulla,IL7R Immature T,254.9402886
178698_THYMUS_ILC2,Medulla,IL7R Immature T,1102.213432
178699_THYMUS_ILC2,Medulla,IL7R Immature T,1001.107499
178700_THYMUS_ILC2,Medulla,IL7R Immature T,175.1582179
178701_THYMUS_ILC2,Medulla,IL7R Immature T,798.7822311
178702_THYMUS_ILC2,Medulla,IL7R Immature T,412.3490049
178703_THYMUS_ILC2,Medulla,IL7R Immature T,93.10787289
