Image Tag,Analysis Region,Phenotypes,# Cells / mm²
169508_APPENDIX_ILC1,Germinal center,NK/ILC1ie,0.989753005
169509_APPENDIX_ILC1,Germinal center,NK/ILC1ie,1.302217815
169510_APPENDIX_ILC1,Germinal center,NK/ILC1ie,2.231642543
169511_APPENDIX_ILC1,Germinal center,NK/ILC1ie,0.0
169512_APPENDIX_ILC1,Germinal center,NK/ILC1ie,0.0
169513_APPENDIX_ILC1,Germinal center,NK/ILC1ie,0.0
169514_APPENDIX_ILC1,Germinal center,NK/ILC1ie,0.0
169515_APPENDIX_ILC1,Germinal center,NK/ILC1ie,0.0
169508_APPENDIX_ILC1,Germinal center,ILC1,13.19670673
169509_APPENDIX_ILC1,Germinal center,ILC1,8.789970253
169510_APPENDIX_ILC1,Germinal center,ILC1,57.18584017
169511_APPENDIX_ILC1,Germinal center,ILC1,0.0
169512_APPENDIX_ILC1,Germinal center,ILC1,93.0222474
169513_APPENDIX_ILC1,Germinal center,ILC1,17.14755825
169514_APPENDIX_ILC1,Germinal center,ILC1,2.755163197
169515_APPENDIX_ILC1,Germinal center,ILC1,35.35969181
169516_APPENDIX_ILC2,Germinal center,ILC2,3.642154964
169517_APPENDIX_ILC2,Germinal center,ILC2,7.449796872
169518_APPENDIX_ILC2,Germinal center,ILC2,18.93878703
169519_APPENDIX_ILC2,Germinal center,ILC2,2.392999102
169520_APPENDIX_ILC2,Germinal center,ILC2,251.2479743
169521_APPENDIX_ILC2,Germinal center,ILC2,4.7802523
169522_APPENDIX_ILC2,Germinal center,ILC2,1.393877446
169523_APPENDIX_ILC2,Germinal center,ILC2,12.68161746
169524_APPENDIX_ILC3,Germinal center,ILC3,14.84077946
169525_APPENDIX_ILC3,Germinal center,ILC3,2.902912573
169526_APPENDIX_ILC3,Germinal center,ILC3,18.38906279
169527_APPENDIX_ILC3,Germinal center,ILC3,2.594958029
169528_APPENDIX_ILC3,Germinal center,ILC3,114.5912722
169529_APPENDIX_ILC3,Germinal center,ILC3,21.0751269
169530_APPENDIX_ILC3,Germinal center,ILC3,4.182224761
169531_APPENDIX_ILC3,Germinal center,ILC3,51.93475428
169508_APPENDIX_ILC1,Germinal center,TH1,1.649588341
169509_APPENDIX_ILC1,Germinal center,TH1,2.604435631
169510_APPENDIX_ILC1,Germinal center,TH1,17.01627439
169511_APPENDIX_ILC1,Germinal center,TH1,0.0
169512_APPENDIX_ILC1,Germinal center,TH1,3.875926975
169513_APPENDIX_ILC1,Germinal center,TH1,4.676606794
169514_APPENDIX_ILC1,Germinal center,TH1,0.0
169515_APPENDIX_ILC1,Germinal center,TH1,1.861036411
169516_APPENDIX_ILC2,Germinal center,TH2,482.0888752
169517_APPENDIX_ILC2,Germinal center,TH2,189.8078681
169518_APPENDIX_ILC2,Germinal center,TH2,380.8343043
169519_APPENDIX_ILC2,Germinal center,TH2,126.8289524
169520_APPENDIX_ILC2,Germinal center,TH2,329.7629663
169521_APPENDIX_ILC2,Germinal center,TH2,203.9574315
169522_APPENDIX_ILC2,Germinal center,TH2,234.1714109
169523_APPENDIX_ILC2,Germinal center,TH2,216.4933267
169524_APPENDIX_ILC3,Germinal center,TH17,5.606516685
169525_APPENDIX_ILC3,Germinal center,TH17,3.548004256
169526_APPENDIX_ILC3,Germinal center,TH17,4.286172531
169527_APPENDIX_ILC3,Germinal center,TH17,0.0
169528_APPENDIX_ILC3,Germinal center,TH17,31.61138543
169529_APPENDIX_ILC3,Germinal center,TH17,36.12878897
169530_APPENDIX_ILC3,Germinal center,TH17,8.364449521
169531_APPENDIX_ILC3,Germinal center,TH17,113.7192033
169508_APPENDIX_ILC1,Extra-follicular zone,NK/ILC1ie,1.707721018
169509_APPENDIX_ILC1,Extra-follicular zone,NK/ILC1ie,2.979680733
169510_APPENDIX_ILC1,Extra-follicular zone,NK/ILC1ie,3.624412233
169511_APPENDIX_ILC1,Extra-follicular zone,NK/ILC1ie,0.347230317
169512_APPENDIX_ILC1,Extra-follicular zone,NK/ILC1ie,0.345813473
169513_APPENDIX_ILC1,Extra-follicular zone,NK/ILC1ie,0.360492123
169514_APPENDIX_ILC1,Extra-follicular zone,NK/ILC1ie,0.279916794
169515_APPENDIX_ILC1,Extra-follicular zone,NK/ILC1ie,0.393637276
169508_APPENDIX_ILC1,Extra-follicular zone,ILC1,87.82113457
169509_APPENDIX_ILC1,Extra-follicular zone,ILC1,88.56625498
169510_APPENDIX_ILC1,Extra-follicular zone,ILC1,207.83886
169511_APPENDIX_ILC1,Extra-follicular zone,ILC1,43.15576802
169512_APPENDIX_ILC1,Extra-follicular zone,ILC1,157.9214858
169513_APPENDIX_ILC1,Extra-follicular zone,ILC1,84.58690178
169514_APPENDIX_ILC1,Extra-follicular zone,ILC1,54.10028228
169515_APPENDIX_ILC1,Extra-follicular zone,ILC1,42.40547016
169516_APPENDIX_ILC2,Extra-follicular zone,ILC2,4.924054042
169517_APPENDIX_ILC2,Extra-follicular zone,ILC2,48.77428447
169518_APPENDIX_ILC2,Extra-follicular zone,ILC2,37.17731093
169519_APPENDIX_ILC2,Extra-follicular zone,ILC2,15.08197149
169520_APPENDIX_ILC2,Extra-follicular zone,ILC2,75.23459462
169521_APPENDIX_ILC2,Extra-follicular zone,ILC2,5.053555736
169522_APPENDIX_ILC2,Extra-follicular zone,ILC2,2.202416409
169523_APPENDIX_ILC2,Extra-follicular zone,ILC2,3.067064795
169524_APPENDIX_ILC3,Extra-follicular zone,ILC3,116.1391886
169525_APPENDIX_ILC3,Extra-follicular zone,ILC3,47.32346574
169526_APPENDIX_ILC3,Extra-follicular zone,ILC3,87.05754462
169527_APPENDIX_ILC3,Extra-follicular zone,ILC3,77.50039462
169528_APPENDIX_ILC3,Extra-follicular zone,ILC3,216.696348
169529_APPENDIX_ILC3,Extra-follicular zone,ILC3,72.89818612
169530_APPENDIX_ILC3,Extra-follicular zone,ILC3,44.63239304
169531_APPENDIX_ILC3,Extra-follicular zone,ILC3,42.75478552
169508_APPENDIX_ILC1,Extra-follicular zone,TH1,3.352193109
169509_APPENDIX_ILC1,Extra-follicular zone,TH1,7.9246828
169510_APPENDIX_ILC1,Extra-follicular zone,TH1,101.0128396
169511_APPENDIX_ILC1,Extra-follicular zone,TH1,1.736151587
169512_APPENDIX_ILC1,Extra-follicular zone,TH1,2.190151993
169513_APPENDIX_ILC1,Extra-follicular zone,TH1,1.107225807
169514_APPENDIX_ILC1,Extra-follicular zone,TH1,1.145114159
169515_APPENDIX_ILC1,Extra-follicular zone,TH1,0.214711241
169516_APPENDIX_ILC2,Extra-follicular zone,TH2,145.1333364
169517_APPENDIX_ILC2,Extra-follicular zone,TH2,386.8961447
169518_APPENDIX_ILC2,Extra-follicular zone,TH2,1091.912251
169519_APPENDIX_ILC2,Extra-follicular zone,TH2,63.6848409
169520_APPENDIX_ILC2,Extra-follicular zone,TH2,61.61851768
169521_APPENDIX_ILC2,Extra-follicular zone,TH2,189.3724918
169522_APPENDIX_ILC2,Extra-follicular zone,TH2,60.28474683
169523_APPENDIX_ILC2,Extra-follicular zone,TH2,12.94586652
169524_APPENDIX_ILC3,Extra-follicular zone,TH17,31.42552801
169525_APPENDIX_ILC3,Extra-follicular zone,TH17,45.62885888
169526_APPENDIX_ILC3,Extra-follicular zone,TH17,78.23509103
169527_APPENDIX_ILC3,Extra-follicular zone,TH17,18.10376672
