Image Tag,Analysis Region,Phenotypes,# Cells / mm²
193700_ILEUM_ILC1,Germinal center,NK/ILC1ie,0.0
193701_ILEUM_ILC1,Germinal center,NK/ILC1ie,0.0
193702_ILEUM_ILC1,Germinal center,NK/ILC1ie,0.0
193703_ILEUM_ILC1,Germinal center,NK/ILC1ie,4.541974516
193704_ILEUM_ILC1,Germinal center,NK/ILC1ie,0.857880236
193705_ILEUM_ILC1,Germinal center,NK/ILC1ie,1.050311427
193706_ILEUM_ILC1,Germinal center,NK/ILC1ie,0.0
193707_ILEUM_ILC1,Germinal center,NK/ILC1ie,0.0
193700_ILEUM_ILC1,Germinal center,ILC1,0.0
193701_ILEUM_ILC1,Germinal center,ILC1,23.38520464
193702_ILEUM_ILC1,Germinal center,ILC1,27.77142856
193703_ILEUM_ILC1,Germinal center,ILC1,23.84536621
193704_ILEUM_ILC1,Germinal center,ILC1,5.361751474
193705_ILEUM_ILC1,Germinal center,ILC1,168.0498283
193706_ILEUM_ILC1,Germinal center,ILC1,50.65681526
193707_ILEUM_ILC1,Germinal center,ILC1,123.4961569
173918_ILEUM_ILC3,Germinal center,ILC3,4.884562026
173919_ILEUM_ILC3,Germinal center,ILC3,60.48222855
173920_ILEUM_ILC3,Germinal center,ILC3,362.6796676
173921_ILEUM_ILC3,Germinal center,ILC3,88.25948653
173922_ILEUM_ILC3,Germinal center,ILC3,19.10132016
173923_ILEUM_ILC3,Germinal center,ILC3,16.13051493
173924_ILEUM_ILC3,Germinal center,ILC3,144.1726242
173925_ILEUM_ILC3,Germinal center,ILC3,200.5712939
193700_ILEUM_ILC1,Germinal center,icCD3+ NK/ILC1ie,0.0
193701_ILEUM_ILC1,Germinal center,icCD3+ NK/ILC1ie,0.0
193702_ILEUM_ILC1,Germinal center,icCD3+ NK/ILC1ie,0.0
193703_ILEUM_ILC1,Germinal center,icCD3+ NK/ILC1ie,1.135493629
193704_ILEUM_ILC1,Germinal center,icCD3+ NK/ILC1ie,0.428940118
193705_ILEUM_ILC1,Germinal center,icCD3+ NK/ILC1ie,2.100622854
193706_ILEUM_ILC1,Germinal center,icCD3+ NK/ILC1ie,0.0
193707_ILEUM_ILC1,Germinal center,icCD3+ NK/ILC1ie,0.0
193700_ILEUM_ILC1,Germinal center,icCD3+ ILC1,0.0
193701_ILEUM_ILC1,Germinal center,icCD3+ ILC1,6.68148704
193702_ILEUM_ILC1,Germinal center,icCD3+ ILC1,27.77142856
193703_ILEUM_ILC1,Germinal center,icCD3+ ILC1,3.406480887
193704_ILEUM_ILC1,Germinal center,icCD3+ ILC1,0.214470059
193705_ILEUM_ILC1,Germinal center,icCD3+ ILC1,32.55965424
193706_ILEUM_ILC1,Germinal center,icCD3+ ILC1,25.32840763
193707_ILEUM_ILC1,Germinal center,icCD3+ ILC1,0.0
173918_ILEUM_ILC3,Germinal center,icCD3+ ILC3,0.0
173919_ILEUM_ILC3,Germinal center,icCD3+ ILC3,0.679575602
173920_ILEUM_ILC3,Germinal center,icCD3+ ILC3,17.83670497
173921_ILEUM_ILC3,Germinal center,icCD3+ ILC3,2.729674841
173922_ILEUM_ILC3,Germinal center,icCD3+ ILC3,0.0
173923_ILEUM_ILC3,Germinal center,icCD3+ ILC3,1.466410448
173924_ILEUM_ILC3,Germinal center,icCD3+ ILC3,27.03236704
173925_ILEUM_ILC3,Germinal center,icCD3+ ILC3,4.457139864
193700_ILEUM_ILC1,Germinal center,TH1,0.0
193701_ILEUM_ILC1,Germinal center,TH1,5.01111528
193702_ILEUM_ILC1,Germinal center,TH1,0.0
193703_ILEUM_ILC1,Germinal center,TH1,19.30339169
193704_ILEUM_ILC1,Germinal center,TH1,4.503871238
193705_ILEUM_ILC1,Germinal center,TH1,23.1068514
193706_ILEUM_ILC1,Germinal center,TH1,2.302582512
193707_ILEUM_ILC1,Germinal center,TH1,0.0
173918_ILEUM_ILC3,Germinal center,TH17,0.0
173919_ILEUM_ILC3,Germinal center,TH17,31.94005328
173920_ILEUM_ILC3,Germinal center,TH17,214.0404596
173921_ILEUM_ILC3,Germinal center,TH17,50.95393037
173922_ILEUM_ILC3,Germinal center,TH17,27.48726559
173923_ILEUM_ILC3,Germinal center,TH17,19.06333583
173924_ILEUM_ILC3,Germinal center,TH17,51.06113773
