Image Tag,Analysis Region,Phenotypes,# Cells / mm²
178933_FOLLICULAR-LYMPHOMA_ILC1,LymphomatousFollicle,NK/ILC1ie,0.936964232
178934_FOLLICULAR-LYMPHOMA_ILC1,LymphomatousFollicle,NK/ILC1ie,0.07009241
178935_FOLLICULAR-LYMPHOMA_ILC1,LymphomatousFollicle,NK/ILC1ie,0.287221212
178936_FOLLICULAR-LYMPHOMA_ILC1,LymphomatousFollicle,NK/ILC1ie,4.489079498
178937_FOLLICULAR-LYMPHOMA_ILC1,LymphomatousFollicle,NK/ILC1ie,7.813037146
178938_FOLLICULAR-LYMPHOMA_ILC1,LymphomatousFollicle,NK/ILC1ie,1.552392349
178939_FOLLICULAR-LYMPHOMA_ILC1,LymphomatousFollicle,NK/ILC1ie,3.454984148
178940_FOLLICULAR-LYMPHOMA_ILC1,LymphomatousFollicle,NK/ILC1ie,0.460835687
178933_FOLLICULAR-LYMPHOMA_ILC1,LymphomatousFollicle,ILC1,2.34241058
178934_FOLLICULAR-LYMPHOMA_ILC1,LymphomatousFollicle,ILC1,0.700924098
178935_FOLLICULAR-LYMPHOMA_ILC1,LymphomatousFollicle,ILC1,15.41420506
178936_FOLLICULAR-LYMPHOMA_ILC1,LymphomatousFollicle,ILC1,309.7464854
178937_FOLLICULAR-LYMPHOMA_ILC1,LymphomatousFollicle,ILC1,63.44186163
178938_FOLLICULAR-LYMPHOMA_ILC1,LymphomatousFollicle,ILC1,9.46959333
178939_FOLLICULAR-LYMPHOMA_ILC1,LymphomatousFollicle,ILC1,35.53697981
178940_FOLLICULAR-LYMPHOMA_ILC1,LymphomatousFollicle,ILC1,24.04026168
178941_FOLLICULAR-LYMPHOMA_ILC2,LymphomatousFollicle,ILC2,0.089352577
178942_FOLLICULAR-LYMPHOMA_ILC2,LymphomatousFollicle,ILC2,0.42063312
178943_FOLLICULAR-LYMPHOMA_ILC2,LymphomatousFollicle,ILC2,34.38284389
178944_FOLLICULAR-LYMPHOMA_ILC2,LymphomatousFollicle,ILC2,133.4396111
178945_FOLLICULAR-LYMPHOMA_ILC2,LymphomatousFollicle,ILC2,123.171378
178946_FOLLICULAR-LYMPHOMA_ILC2,LymphomatousFollicle,ILC2,8.887455999
178947_FOLLICULAR-LYMPHOMA_ILC2,LymphomatousFollicle,ILC2,0.454203047
178948_FOLLICULAR-LYMPHOMA_ILC2,LymphomatousFollicle,ILC2,13.44835461
178949_FOLLICULAR-LYMPHOMA_ILC3,LymphomatousFollicle,ILC3,3.573759812
178950_FOLLICULAR-LYMPHOMA_ILC3,LymphomatousFollicle,ILC3,0.660546437
178951_FOLLICULAR-LYMPHOMA_ILC3,LymphomatousFollicle,ILC3,3.146136916
178952_FOLLICULAR-LYMPHOMA_ILC3,LymphomatousFollicle,ILC3,34.4423779
178953_FOLLICULAR-LYMPHOMA_ILC3,LymphomatousFollicle,ILC3,1.546353891
178954_FOLLICULAR-LYMPHOMA_ILC3,LymphomatousFollicle,ILC3,1.068345495
178955_FOLLICULAR-LYMPHOMA_ILC3,LymphomatousFollicle,ILC3,6.559050738
178956_FOLLICULAR-LYMPHOMA_ILC3,LymphomatousFollicle,ILC3,0.859698058
178933_FOLLICULAR-LYMPHOMA_ILC1,LymphomatousFollicle,TH1,0.843267809
178934_FOLLICULAR-LYMPHOMA_ILC1,LymphomatousFollicle,TH1,0.0
178935_FOLLICULAR-LYMPHOMA_ILC1,LymphomatousFollicle,TH1,12.63773334
178936_FOLLICULAR-LYMPHOMA_ILC1,LymphomatousFollicle,TH1,65.29570179
178937_FOLLICULAR-LYMPHOMA_ILC1,LymphomatousFollicle,TH1,391.9019433
178938_FOLLICULAR-LYMPHOMA_ILC1,LymphomatousFollicle,TH1,2.639066994
178939_FOLLICULAR-LYMPHOMA_ILC1,LymphomatousFollicle,TH1,55.03296178
178940_FOLLICULAR-LYMPHOMA_ILC1,LymphomatousFollicle,TH1,56.29875978
178941_FOLLICULAR-LYMPHOMA_ILC2,LymphomatousFollicle,TH2,9.292668022
178942_FOLLICULAR-LYMPHOMA_ILC2,LymphomatousFollicle,TH2,81.88324739
178943_FOLLICULAR-LYMPHOMA_ILC2,LymphomatousFollicle,TH2,2081.610771
178944_FOLLICULAR-LYMPHOMA_ILC2,LymphomatousFollicle,TH2,403.9747131
178945_FOLLICULAR-LYMPHOMA_ILC2,LymphomatousFollicle,TH2,1622.125886
178946_FOLLICULAR-LYMPHOMA_ILC2,LymphomatousFollicle,TH2,159.974208
178947_FOLLICULAR-LYMPHOMA_ILC2,LymphomatousFollicle,TH2,227.7828283
178948_FOLLICULAR-LYMPHOMA_ILC2,LymphomatousFollicle,TH2,1064.352712
178949_FOLLICULAR-LYMPHOMA_ILC3,LymphomatousFollicle,TH17,0.357375981
178950_FOLLICULAR-LYMPHOMA_ILC3,LymphomatousFollicle,TH17,1.286327273
178951_FOLLICULAR-LYMPHOMA_ILC3,LymphomatousFollicle,TH17,5.720248938
178952_FOLLICULAR-LYMPHOMA_ILC3,LymphomatousFollicle,TH17,29.95875474
178953_FOLLICULAR-LYMPHOMA_ILC3,LymphomatousFollicle,TH17,50.41113684
178954_FOLLICULAR-LYMPHOMA_ILC3,LymphomatousFollicle,TH17,0.763103925
178955_FOLLICULAR-LYMPHOMA_ILC3,LymphomatousFollicle,TH17,14.47514646
178956_FOLLICULAR-LYMPHOMA_ILC3,LymphomatousFollicle,TH17,3.204329127
178933_FOLLICULAR-LYMPHOMA_ILC1,LF Excluded,NK/ILC1ie,2.248404369
178934_FOLLICULAR-LYMPHOMA_ILC1,LF Excluded,NK/ILC1ie,0.0
178935_FOLLICULAR-LYMPHOMA_ILC1,LF Excluded,NK/ILC1ie,1.131645126
178936_FOLLICULAR-LYMPHOMA_ILC1,LF Excluded,NK/ILC1ie,9.675396941
178937_FOLLICULAR-LYMPHOMA_ILC1,LF Excluded,NK/ILC1ie,10.51274375
178938_FOLLICULAR-LYMPHOMA_ILC1,LF Excluded,NK/ILC1ie,4.702533649
178939_FOLLICULAR-LYMPHOMA_ILC1,LF Excluded,NK/ILC1ie,6.58966892
178940_FOLLICULAR-LYMPHOMA_ILC1,LF Excluded,NK/ILC1ie,2.438705294
178933_FOLLICULAR-LYMPHOMA_ILC1,LF Excluded,ILC1,4.946489611
178934_FOLLICULAR-LYMPHOMA_ILC1,LF Excluded,ILC1,2.17772125
178935_FOLLICULAR-LYMPHOMA_ILC1,LF Excluded,ILC1,48.75504419
178936_FOLLICULAR-LYMPHOMA_ILC1,LF Excluded,ILC1,569.5034092
178937_FOLLICULAR-LYMPHOMA_ILC1,LF Excluded,ILC1,117.9763465
178938_FOLLICULAR-LYMPHOMA_ILC1,LF Excluded,ILC1,38.68213163
178939_FOLLICULAR-LYMPHOMA_ILC1,LF Excluded,ILC1,55.08287353
178940_FOLLICULAR-LYMPHOMA_ILC1,LF Excluded,ILC1,86.50231132
178941_FOLLICULAR-LYMPHOMA_ILC2,LF Excluded,ILC2,0.0
178942_FOLLICULAR-LYMPHOMA_ILC2,LF Excluded,ILC2,1.617876107
178943_FOLLICULAR-LYMPHOMA_ILC2,LF Excluded,ILC2,32.91245031
178944_FOLLICULAR-LYMPHOMA_ILC2,LF Excluded,ILC2,182.1847044
178945_FOLLICULAR-LYMPHOMA_ILC2,LF Excluded,ILC2,75.13909793
178946_FOLLICULAR-LYMPHOMA_ILC2,LF Excluded,ILC2,9.586060225
178947_FOLLICULAR-LYMPHOMA_ILC2,LF Excluded,ILC2,0.163358721
178948_FOLLICULAR-LYMPHOMA_ILC2,LF Excluded,ILC2,41.12681468
178949_FOLLICULAR-LYMPHOMA_ILC3,LF Excluded,ILC3,6.063436865
178950_FOLLICULAR-LYMPHOMA_ILC3,LF Excluded,ILC3,4.298110582
178951_FOLLICULAR-LYMPHOMA_ILC3,LF Excluded,ILC3,19.76939145
178952_FOLLICULAR-LYMPHOMA_ILC3,LF Excluded,ILC3,84.61576753
178953_FOLLICULAR-LYMPHOMA_ILC3,LF Excluded,ILC3,6.911905887
178954_FOLLICULAR-LYMPHOMA_ILC3,LF Excluded,ILC3,7.716291626
178955_FOLLICULAR-LYMPHOMA_ILC3,LF Excluded,ILC3,16.16187337
178956_FOLLICULAR-LYMPHOMA_ILC3,LF Excluded,ILC3,4.510180241
178933_FOLLICULAR-LYMPHOMA_ILC1,LF Excluded,TH1,0.69496135
178934_FOLLICULAR-LYMPHOMA_ILC1,LF Excluded,TH1,0.32262537
178935_FOLLICULAR-LYMPHOMA_ILC1,LF Excluded,TH1,17.72910698
178936_FOLLICULAR-LYMPHOMA_ILC1,LF Excluded,TH1,105.1711309
178937_FOLLICULAR-LYMPHOMA_ILC1,LF Excluded,TH1,273.9153787
178938_FOLLICULAR-LYMPHOMA_ILC1,LF Excluded,TH1,2.882198043
178939_FOLLICULAR-LYMPHOMA_ILC1,LF Excluded,TH1,74.00705095
178940_FOLLICULAR-LYMPHOMA_ILC1,LF Excluded,TH1,163.2498015
178941_FOLLICULAR-LYMPHOMA_ILC2,LF Excluded,TH2,2.297436963
178942_FOLLICULAR-LYMPHOMA_ILC2,LF Excluded,TH2,221.0018763
178943_FOLLICULAR-LYMPHOMA_ILC2,LF Excluded,TH2,805.023315
178944_FOLLICULAR-LYMPHOMA_ILC2,LF Excluded,TH2,557.3238637
178945_FOLLICULAR-LYMPHOMA_ILC2,LF Excluded,TH2,752.5742722
178946_FOLLICULAR-LYMPHOMA_ILC2,LF Excluded,TH2,53.10373045
178947_FOLLICULAR-LYMPHOMA_ILC2,LF Excluded,TH2,452.1769387
178948_FOLLICULAR-LYMPHOMA_ILC2,LF Excluded,TH2,1436.136361
178949_FOLLICULAR-LYMPHOMA_ILC3,LF Excluded,TH17,0.634084901
178950_FOLLICULAR-LYMPHOMA_ILC3,LF Excluded,TH17,5.094056987
178951_FOLLICULAR-LYMPHOMA_ILC3,LF Excluded,TH17,11.3369496
178952_FOLLICULAR-LYMPHOMA_ILC3,LF Excluded,TH17,72.93114666
178953_FOLLICULAR-LYMPHOMA_ILC3,LF Excluded,TH17,31.10357649
178954_FOLLICULAR-LYMPHOMA_ILC3,LF Excluded,TH17,0.756499179
178955_FOLLICULAR-LYMPHOMA_ILC3,LF Excluded,TH17,46.17678104
178956_FOLLICULAR-LYMPHOMA_ILC3,LF Excluded,TH17,11.7846645
