Image Tag,Analysis Region,Phenotypes,# Cells / mm²
178688_THYMUS_ILC1,Medulla,ILC1,0.04674839
178689_THYMUS_ILC1,Medulla,ILC1,0.478039311
178690_THYMUS_ILC1,Medulla,ILC1,0.853825137
178691_THYMUS_ILC1,Medulla,ILC1,0.998257232
178692_THYMUS_ILC1,Medulla,ILC1,0.121089808
178693_THYMUS_ILC1,Medulla,ILC1,1.818586286
178694_THYMUS_ILC1,Medulla,ILC1,0.899453903
178695_THYMUS_ILC1,Medulla,ILC1,0.791972281
178696_THYMUS_ILC2,Medulla,ILC2,1.819822142
178697_THYMUS_ILC2,Medulla,ILC2,6.084355986
178698_THYMUS_ILC2,Medulla,ILC2,15.26226094
178699_THYMUS_ILC2,Medulla,ILC2,8.997682503
178700_THYMUS_ILC2,Medulla,ILC2,1.224586851
178701_THYMUS_ILC2,Medulla,ILC2,6.595351082
178702_THYMUS_ILC2,Medulla,ILC2,9.882667927
178703_THYMUS_ILC2,Medulla,ILC2,5.343415249
178704_THYMUS_ILC3,Medulla,ILC3,0.010686615
178705_THYMUS_ILC3,Medulla,ILC3,0.505011266
178706_THYMUS_ILC3,Medulla,ILC3,2.033120907
178707_THYMUS_ILC3,Medulla,ILC3,0.275247835
178708_THYMUS_ILC3,Medulla,ILC3,1.999124471
178709_THYMUS_ILC3,Medulla,ILC3,1.325711506
178710_THYMUS_ILC3,Medulla,ILC3,0.839285714
178711_THYMUS_ILC3,Medulla,ILC3,0.604009955
178688_THYMUS_ILC1,Cortex,ILC1,0.102040816
178689_THYMUS_ILC1,Cortex,ILC1,0.246377662
178690_THYMUS_ILC1,Cortex,ILC1,0.199675527
178691_THYMUS_ILC1,Cortex,ILC1,0.240771437
178692_THYMUS_ILC1,Cortex,ILC1,0.074015031
178693_THYMUS_ILC1,Cortex,ILC1,0.48625583
178694_THYMUS_ILC1,Cortex,ILC1,0.793145655
178695_THYMUS_ILC1,Cortex,ILC1,0.573731494
178696_THYMUS_ILC2,Cortex,ILC2,0.135179229
178697_THYMUS_ILC2,Cortex,ILC2,3.924130664
178698_THYMUS_ILC2,Cortex,ILC2,4.29688747
178699_THYMUS_ILC2,Cortex,ILC2,5.048406971
178700_THYMUS_ILC2,Cortex,ILC2,0.364367383
178701_THYMUS_ILC2,Cortex,ILC2,1.534741932
178702_THYMUS_ILC2,Cortex,ILC2,4.861603974
178703_THYMUS_ILC2,Cortex,ILC2,3.321422771
178704_THYMUS_ILC3,Cortex,ILC3,0.01621534
178705_THYMUS_ILC3,Cortex,ILC3,0.761492902
178706_THYMUS_ILC3,Cortex,ILC3,1.578159071
178707_THYMUS_ILC3,Cortex,ILC3,0.657850574
178708_THYMUS_ILC3,Cortex,ILC3,2.409113546
178709_THYMUS_ILC3,Cortex,ILC3,1.275127513
178710_THYMUS_ILC3,Cortex,ILC3,2.449520026
178711_THYMUS_ILC3,Cortex,ILC3,0.942192352
173926_SPLEEN_ILC1,White pulp,ILC1,15.01706485
173927_SPLEEN_ILC1,White pulp,ILC1,4.715672677
173928_SPLEEN_ILC1,White pulp,ILC1,1.271600913
173929_SPLEEN_ILC1,White pulp,ILC1,0.943099654
173930_SPLEEN_ILC1,White pulp,ILC1,1.177856302
173931_SPLEEN_ILC1,White pulp,ILC1,2.199266911
173932_SPLEEN_ILC1,White pulp,ILC1,7.684221592
173933_SPLEEN_ILC1,White pulp,ILC1,7.270865335
