Image Tag,Analysis Region,Phenotypes,# Cells / mm²
168971_LYMPH-NODE_ILC1,Germinal center,NK/ILC1ie,0.0
168972_LYMPH-NODE_ILC1,Germinal center,NK/ILC1ie,0.0
168973_LYMPH-NODE_ILC1,Germinal center,NK/ILC1ie,0.0
168974_LYMPH-NODE_ILC1,Germinal center,NK/ILC1ie,0.0
168975_LYMPH-NODE_ILC1,Germinal center,NK/ILC1ie,0.0
168976_LYMPH-NODE_ILC1,Germinal center,NK/ILC1ie,0.0
168977_LYMPH-NODE_ILC1,Germinal center,NK/ILC1ie,0.0
168978_LYMPH-NODE_ILC1,Germinal center,NK/ILC1ie,0.0
168971_LYMPH-NODE_ILC1,Germinal center,ILC1,3.161145101
168972_LYMPH-NODE_ILC1,Germinal center,ILC1,17.18424817
168973_LYMPH-NODE_ILC1,Germinal center,ILC1,4.060598339
168974_LYMPH-NODE_ILC1,Germinal center,ILC1,32.72071584
168975_LYMPH-NODE_ILC1,Germinal center,ILC1,0.0
168976_LYMPH-NODE_ILC1,Germinal center,ILC1,46.38062889
168977_LYMPH-NODE_ILC1,Germinal center,ILC1,17.16141906
168978_LYMPH-NODE_ILC1,Germinal center,ILC1,3.99035133
168979_LYMPH-NODE_ILC2,Germinal center,ILC2,144.3450285
168980_LYMPH-NODE_ILC2,Germinal center,ILC2,34.24753058
168981_LYMPH-NODE_ILC2,Germinal center,ILC2,44.64438024
168982_LYMPH-NODE_ILC2,Germinal center,ILC2,26.63679892
168983_LYMPH-NODE_ILC2,Germinal center,ILC2,37.44445404
168984_LYMPH-NODE_ILC2,Germinal center,ILC2,132.6892082
168985_LYMPH-NODE_ILC2,Germinal center,ILC2,203.7415969
168986_LYMPH-NODE_ILC2,Germinal center,ILC2,76.92178731
168987_LYMPH-NODE_ILC3,Germinal center,ILC3,0.0
168988_LYMPH-NODE_ILC3,Germinal center,ILC3,106.5101411
168989_LYMPH-NODE_ILC3,Germinal center,ILC3,2.039041138
168990_LYMPH-NODE_ILC3,Germinal center,ILC3,8.970474524
168991_LYMPH-NODE_ILC3,Germinal center,ILC3,0.0
168992_LYMPH-NODE_ILC3,Germinal center,ILC3,2.364661901
168993_LYMPH-NODE_ILC3,Germinal center,ILC3,2.936165828
168994_LYMPH-NODE_ILC3,Germinal center,ILC3,13.21536334
168971_LYMPH-NODE_ILC1,Germinal center,TH1,0.0
168972_LYMPH-NODE_ILC1,Germinal center,TH1,0.0
168973_LYMPH-NODE_ILC1,Germinal center,TH1,0.0
168974_LYMPH-NODE_ILC1,Germinal center,TH1,4.674387977
168975_LYMPH-NODE_ILC1,Germinal center,TH1,0.0
168976_LYMPH-NODE_ILC1,Germinal center,TH1,0.0
168977_LYMPH-NODE_ILC1,Germinal center,TH1,0.0
168978_LYMPH-NODE_ILC1,Germinal center,TH1,0.0
168979_LYMPH-NODE_ILC2,Germinal center,TH2,662.1043701
168980_LYMPH-NODE_ILC2,Germinal center,TH2,376.7228364
168981_LYMPH-NODE_ILC2,Germinal center,TH2,263.8077014
168982_LYMPH-NODE_ILC2,Germinal center,TH2,1198.655952
168983_LYMPH-NODE_ILC2,Germinal center,TH2,149.7778162
168984_LYMPH-NODE_ILC2,Germinal center,TH2,625.5348386
168985_LYMPH-NODE_ILC2,Germinal center,TH2,453.0757189
168986_LYMPH-NODE_ILC2,Germinal center,TH2,977.3011695
168987_LYMPH-NODE_ILC3,Germinal center,TH17,3.139589895
168988_LYMPH-NODE_ILC3,Germinal center,TH17,53.25507057
168989_LYMPH-NODE_ILC3,Germinal center,TH17,0.0
168990_LYMPH-NODE_ILC3,Germinal center,TH17,43.35729353
168991_LYMPH-NODE_ILC3,Germinal center,TH17,37.25731173
168992_LYMPH-NODE_ILC3,Germinal center,TH17,7.093985704
168993_LYMPH-NODE_ILC3,Germinal center,TH17,1.468082914
168994_LYMPH-NODE_ILC3,Germinal center,TH17,9.149097699
168971_LYMPH-NODE_ILC1,Extra-follicular zone,NK/ILC1ie,1.608699975
168972_LYMPH-NODE_ILC1,Extra-follicular zone,NK/ILC1ie,0.44176429
168973_LYMPH-NODE_ILC1,Extra-follicular zone,NK/ILC1ie,0.653507393
168974_LYMPH-NODE_ILC1,Extra-follicular zone,NK/ILC1ie,0.850113078
168975_LYMPH-NODE_ILC1,Extra-follicular zone,NK/ILC1ie,1.163537075
168976_LYMPH-NODE_ILC1,Extra-follicular zone,NK/ILC1ie,0.552543435
168977_LYMPH-NODE_ILC1,Extra-follicular zone,NK/ILC1ie,1.75541185
168978_LYMPH-NODE_ILC1,Extra-follicular zone,NK/ILC1ie,0.44224599
168971_LYMPH-NODE_ILC1,Extra-follicular zone,ILC1,174.05349
168972_LYMPH-NODE_ILC1,Extra-follicular zone,ILC1,15.10833872
168973_LYMPH-NODE_ILC1,Extra-follicular zone,ILC1,35.56947381
168974_LYMPH-NODE_ILC1,Extra-follicular zone,ILC1,77.44530139
168975_LYMPH-NODE_ILC1,Extra-follicular zone,ILC1,328.6992237
168976_LYMPH-NODE_ILC1,Extra-follicular zone,ILC1,72.90323092
168977_LYMPH-NODE_ILC1,Extra-follicular zone,ILC1,117.4100465
168978_LYMPH-NODE_ILC1,Extra-follicular zone,ILC1,37.33293236
168979_LYMPH-NODE_ILC2,Extra-follicular zone,ILC2,429.7861828
