Image Tag,Analysis Region,Phenotypes,# Cells / mm²
173926_SPLEEN_ILC1,White pulp,NK/ILC1ie,42.646906
173927_SPLEEN_ILC1,White pulp,NK/ILC1ie,11.34813492
173928_SPLEEN_ILC1,White pulp,NK/ILC1ie,1.003998424
173929_SPLEEN_ILC1,White pulp,NK/ILC1ie,4.289668159
173930_SPLEEN_ILC1,White pulp,NK/ILC1ie,5.356656465
173931_SPLEEN_ILC1,White pulp,NK/ILC1ie,9.298090842
173932_SPLEEN_ILC1,White pulp,NK/ILC1ie,48.37086786
173933_SPLEEN_ILC1,White pulp,NK/ILC1ie,21.71479483
173926_SPLEEN_ILC1,White pulp,ILC1,30.93072303
173927_SPLEEN_ILC1,White pulp,ILC1,11.0239025
173928_SPLEEN_ILC1,White pulp,ILC1,3.262994877
173929_SPLEEN_ILC1,White pulp,ILC1,2.626327444
173930_SPLEEN_ILC1,White pulp,ILC1,4.982936246
173931_SPLEEN_ILC1,White pulp,ILC1,12.27347991
173932_SPLEEN_ILC1,White pulp,ILC1,48.04226142
173933_SPLEEN_ILC1,White pulp,ILC1,22.84074715
173934_SPLEEN_ILC2,White pulp,ILC2,2.318043979
173935_SPLEEN_ILC2,White pulp,ILC2,0.0
173936_SPLEEN_ILC2,White pulp,ILC2,0.0
173937_SPLEEN_ILC2,White pulp,ILC2,0.173059589
173938_SPLEEN_ILC2,White pulp,ILC2,0.123119526
173939_SPLEEN_ILC2,White pulp,ILC2,0.566534416
173940_SPLEEN_ILC2,White pulp,ILC2,0.527708454
173941_SPLEEN_ILC2,White pulp,ILC2,0.402649855
173942_SPLEEN_ILC3,White pulp,ILC3,11.74702302
173943_SPLEEN_ILC3,White pulp,ILC3,12.96698639
173944_SPLEEN_ILC3,White pulp,ILC3,2.952938527
173945_SPLEEN_ILC3,White pulp,ILC3,11.68855862
173946_SPLEEN_ILC3,White pulp,ILC3,23.44570113
173947_SPLEEN_ILC3,White pulp,ILC3,15.07136571
173948_SPLEEN_ILC3,White pulp,ILC3,39.96136807
173949_SPLEEN_ILC3,White pulp,ILC3,6.13838559
173926_SPLEEN_ILC1,White pulp,TH1,34.67990158
173927_SPLEEN_ILC1,White pulp,TH1,25.93859411
173928_SPLEEN_ILC1,White pulp,TH1,1.25499803
173929_SPLEEN_ILC1,White pulp,TH1,0.875442481
173930_SPLEEN_ILC1,White pulp,TH1,6.726963932
173931_SPLEEN_ILC1,White pulp,TH1,5.29991178
173932_SPLEEN_ILC1,White pulp,TH1,19.65066507
173933_SPLEEN_ILC1,White pulp,TH1,13.0288769
173934_SPLEEN_ILC2,White pulp,TH2,50.30155434
173935_SPLEEN_ILC2,White pulp,TH2,1.954842009
173936_SPLEEN_ILC2,White pulp,TH2,0.410858767
173937_SPLEEN_ILC2,White pulp,TH2,6.835853759
173938_SPLEEN_ILC2,White pulp,TH2,10.58827926
173939_SPLEEN_ILC2,White pulp,TH2,9.536662661
173940_SPLEEN_ILC2,White pulp,TH2,29.08992851
173941_SPLEEN_ILC2,White pulp,TH2,26.01118062
173942_SPLEEN_ILC3,White pulp,TH17,30.40405959
173943_SPLEEN_ILC3,White pulp,TH17,158.6749651
173944_SPLEEN_ILC3,White pulp,TH17,15.83103155
173945_SPLEEN_ILC3,White pulp,TH17,43.46412167
173946_SPLEEN_ILC3,White pulp,TH17,134.9348945
173947_SPLEEN_ILC3,White pulp,TH17,93.12615477
173948_SPLEEN_ILC3,White pulp,TH17,222.0728967
173949_SPLEEN_ILC3,White pulp,TH17,71.33799469
173926_SPLEEN_ILC1,Red pulp,NK/ILC1ie,214.738943
173927_SPLEEN_ILC1,Red pulp,NK/ILC1ie,44.0063226
173928_SPLEEN_ILC1,Red pulp,NK/ILC1ie,13.35038133
173929_SPLEEN_ILC1,Red pulp,NK/ILC1ie,69.53183971
173930_SPLEEN_ILC1,Red pulp,NK/ILC1ie,39.77250275
173931_SPLEEN_ILC1,Red pulp,NK/ILC1ie,54.88525874
173932_SPLEEN_ILC1,Red pulp,NK/ILC1ie,162.295588
173933_SPLEEN_ILC1,Red pulp,NK/ILC1ie,187.4933405
173926_SPLEEN_ILC1,Red pulp,ILC1,73.97599556
173927_SPLEEN_ILC1,Red pulp,ILC1,40.07718666
173928_SPLEEN_ILC1,Red pulp,ILC1,5.259898413
173929_SPLEEN_ILC1,Red pulp,ILC1,20.87104823
173930_SPLEEN_ILC1,Red pulp,ILC1,29.63763634
