Image Tag,Analysis Region,Phenotypes,# Cells / mm²
178688_THYMUS_ILC1,Medulla,TH1 TdT–,0.0
178689_THYMUS_ILC1,Medulla,TH1 TdT–,0.542304863
178690_THYMUS_ILC1,Medulla,TH1 TdT–,3.926628215
178691_THYMUS_ILC1,Medulla,TH1 TdT–,2.23628713
178692_THYMUS_ILC1,Medulla,TH1 TdT–,1.050214772
178693_THYMUS_ILC1,Medulla,TH1 TdT–,5.170436992
178694_THYMUS_ILC1,Medulla,TH1 TdT–,5.059323377
178695_THYMUS_ILC1,Medulla,TH1 TdT–,34.9042449
178688_THYMUS_ILC1,Medulla,TH1 TdT+,0.0
178689_THYMUS_ILC1,Medulla,TH1 TdT+,0.0
178690_THYMUS_ILC1,Medulla,TH1 TdT+,0.297471834
178691_THYMUS_ILC1,Medulla,TH1 TdT+,0.0
178692_THYMUS_ILC1,Medulla,TH1 TdT+,0.262553693
178693_THYMUS_ILC1,Medulla,TH1 TdT+,0.0
178694_THYMUS_ILC1,Medulla,TH1 TdT+,0.0
178695_THYMUS_ILC1,Medulla,TH1 TdT+,0.575344696
178688_THYMUS_ILC1,Medulla,Immature TH1,0.0
178689_THYMUS_ILC1,Medulla,Immature TH1,0.0
178690_THYMUS_ILC1,Medulla,Immature TH1,0.178483101
178691_THYMUS_ILC1,Medulla,Immature TH1,0.0
178692_THYMUS_ILC1,Medulla,Immature TH1,0.0
178693_THYMUS_ILC1,Medulla,Immature TH1,0.492422571
178694_THYMUS_ILC1,Medulla,Immature TH1,0.0
178695_THYMUS_ILC1,Medulla,Immature TH1,0.0
178696_THYMUS_ILC2,Medulla,TH2 TdT–,68.76597067
178697_THYMUS_ILC2,Medulla,TH2 TdT–,589.9931851
178698_THYMUS_ILC2,Medulla,TH2 TdT–,1264.575128
178699_THYMUS_ILC2,Medulla,TH2 TdT–,498.741218
178700_THYMUS_ILC2,Medulla,TH2 TdT–,805.3162705
178701_THYMUS_ILC2,Medulla,TH2 TdT–,299.1693749
178702_THYMUS_ILC2,Medulla,TH2 TdT–,1490.120354
178703_THYMUS_ILC2,Medulla,TH2 TdT–,1755.46763
178696_THYMUS_ILC2,Medulla,TH2 TdT+,1.59920862
178697_THYMUS_ILC2,Medulla,TH2 TdT+,38.5826606
178698_THYMUS_ILC2,Medulla,TH2 TdT+,162.1841861
