Image Tag,Analysis Region,Phenotypes,# Cells / mm²
178688_THYMUS_ILC1,Medulla,NK/ILC1ie,0.149523756
178689_THYMUS_ILC1,Medulla,NK/ILC1ie,1.62691459
178690_THYMUS_ILC1,Medulla,NK/ILC1ie,0.832921137
178691_THYMUS_ILC1,Medulla,NK/ILC1ie,0.430055217
178692_THYMUS_ILC1,Medulla,NK/ILC1ie,0.262553693
178693_THYMUS_ILC1,Medulla,NK/ILC1ie,0.984845141
178694_THYMUS_ILC1,Medulla,NK/ILC1ie,0.374764695
178695_THYMUS_ILC1,Medulla,NK/ILC1ie,1.342470958
178688_THYMUS_ILC1,Medulla,ILC1,0.6728569
178689_THYMUS_ILC1,Medulla,ILC1,26.70851453
178690_THYMUS_ILC1,Medulla,ILC1,34.20926096
178691_THYMUS_ILC1,Medulla,ILC1,61.58390713
178692_THYMUS_ILC1,Medulla,ILC1,3.150644317
178693_THYMUS_ILC1,Medulla,ILC1,80.51109031
178694_THYMUS_ILC1,Medulla,ILC1,31.48023435
178695_THYMUS_ILC1,Medulla,ILC1,33.75355551
178696_THYMUS_ILC2,Medulla,ILC2,53.76387076
178697_THYMUS_ILC2,Medulla,ILC2,158.0817344
178698_THYMUS_ILC2,Medulla,ILC2,572.2894739
178699_THYMUS_ILC2,Medulla,ILC2,392.7713547
178700_THYMUS_ILC2,Medulla,ILC2,26.49235895
178701_THYMUS_ILC2,Medulla,ILC2,204.4324062
178702_THYMUS_ILC2,Medulla,ILC2,226.3770784
178703_THYMUS_ILC2,Medulla,ILC2,227.3190294
178704_THYMUS_ILC3,Medulla,ILC3,0.149971367
178705_THYMUS_ILC3,Medulla,ILC3,8.858259601
178706_THYMUS_ILC3,Medulla,ILC3,54.46433266
178707_THYMUS_ILC3,Medulla,ILC3,10.60994229
178708_THYMUS_ILC3,Medulla,ILC3,35.84631716
178709_THYMUS_ILC3,Medulla,ILC3,27.00261721
178710_THYMUS_ILC3,Medulla,ILC3,18.35383659
178711_THYMUS_ILC3,Medulla,ILC3,38.90763921
178688_THYMUS_ILC1,Medulla,TH1,0.0
178689_THYMUS_ILC1,Medulla,TH1,0.18076829
178690_THYMUS_ILC1,Medulla,TH1,1.46752772
178691_THYMUS_ILC1,Medulla,TH1,0.74542904
178692_THYMUS_ILC1,Medulla,TH1,0.43758949
178693_THYMUS_ILC1,Medulla,TH1,1.88761985
178694_THYMUS_ILC1,Medulla,TH1,1.68644113
178695_THYMUS_ILC1,Medulla,TH1,11.82652987
178696_THYMUS_ILC2,Medulla,TH2,24.52119884
178697_THYMUS_ILC2,Medulla,TH2,218.72438848
178698_THYMUS_ILC2,Medulla,TH2,517.7152744
178699_THYMUS_ILC2,Medulla,TH2,224.19187722
178700_THYMUS_ILC2,Medulla,TH2,320.82332421
178701_THYMUS_ILC2,Medulla,TH2,133.13037183
178702_THYMUS_ILC2,Medulla,TH2,572.82720466
178703_THYMUS_ILC2,Medulla,TH2,616.07269434
178704_THYMUS_ILC3,Medulla,TH17,0.04999046
178705_THYMUS_ILC3,Medulla,TH17,14.53663114
178706_THYMUS_ILC3,Medulla,TH17,76.69507437
178707_THYMUS_ILC3,Medulla,TH17,3.65166036
178708_THYMUS_ILC3,Medulla,TH17,170.16098487
178709_THYMUS_ILC3,Medulla,TH17,84.97153855
178710_THYMUS_ILC3,Medulla,TH17,123.72568564
178711_THYMUS_ILC3,Medulla,TH17,37.94695676
178688_THYMUS_ILC1,Cortex,NK/ILC1ie,0.0
178689_THYMUS_ILC1,Cortex,NK/ILC1ie,0.613848187
178690_THYMUS_ILC1,Cortex,NK/ILC1ie,0.28965391
178691_THYMUS_ILC1,Cortex,NK/ILC1ie,0.097827017
178692_THYMUS_ILC1,Cortex,NK/ILC1ie,0.0
178693_THYMUS_ILC1,Cortex,NK/ILC1ie,0.987423949
178694_THYMUS_ILC1,Cortex,NK/ILC1ie,0.157732675
178695_THYMUS_ILC1,Cortex,NK/ILC1ie,0.647910031
178688_THYMUS_ILC1,Cortex,ILC1,0.06123833
178689_THYMUS_ILC1,Cortex,ILC1,9.207722807
178690_THYMUS_ILC1,Cortex,ILC1,2.453539002
178691_THYMUS_ILC1,Cortex,ILC1,9.733788229
178692_THYMUS_ILC1,Cortex,ILC1,1.303103994
178693_THYMUS_ILC1,Cortex,ILC1,5.375974834
178694_THYMUS_ILC1,Cortex,ILC1,6.38817333
178695_THYMUS_ILC1,Cortex,ILC1,22.13692607
178696_THYMUS_ILC2,Cortex,ILC2,0.880294997
178697_THYMUS_ILC2,Cortex,ILC2,40.5600935
178698_THYMUS_ILC2,Cortex,ILC2,69.47498863
178699_THYMUS_ILC2,Cortex,ILC2,67.41421541
178700_THYMUS_ILC2,Cortex,ILC2,8.435006674
178701_THYMUS_ILC2,Cortex,ILC2,16.22150848
178702_THYMUS_ILC2,Cortex,ILC2,10.41247697
178703_THYMUS_ILC2,Cortex,ILC2,125.3729257
178704_THYMUS_ILC3,Cortex,ILC3,0.030484955
178705_THYMUS_ILC3,Cortex,ILC3,7.157780547
178706_THYMUS_ILC3,Cortex,ILC3,24.47953569
178707_THYMUS_ILC3,Cortex,ILC3,19.22524612
178708_THYMUS_ILC3,Cortex,ILC3,37.10200905
178709_THYMUS_ILC3,Cortex,ILC3,9.265069608
178710_THYMUS_ILC3,Cortex,ILC3,12.22420581
178711_THYMUS_ILC3,Cortex,ILC3,45.57037444
178688_THYMUS_ILC1,Cortex,TH1,0.0
178689_THYMUS_ILC1,Cortex,TH1,0.02923087
178690_THYMUS_ILC1,Cortex,TH1,0.06815386
178691_THYMUS_ILC1,Cortex,TH1,0.08152251
178692_THYMUS_ILC1,Cortex,TH1,0.13365169
178693_THYMUS_ILC1,Cortex,TH1,0.2559988
178694_THYMUS_ILC1,Cortex,TH1,0.21031023
178695_THYMUS_ILC1,Cortex,TH1,2.1237051
178696_THYMUS_ILC2,Cortex,TH2,0.32378667
178697_THYMUS_ILC2,Cortex,TH2,44.64079035
178698_THYMUS_ILC2,Cortex,TH2,140.11993743
178699_THYMUS_ILC2,Cortex,TH2,122.66817251
178700_THYMUS_ILC2,Cortex,TH2,295.25755163
178701_THYMUS_ILC2,Cortex,TH2,51.03479151
178702_THYMUS_ILC2,Cortex,TH2,157.37787584
178703_THYMUS_ILC2,Cortex,TH2,333.95314767
178704_THYMUS_ILC3,Cortex,TH17,0.07113156
178705_THYMUS_ILC3,Cortex,TH17,19.33778983
178706_THYMUS_ILC3,Cortex,TH17,43.45274176
178707_THYMUS_ILC3,Cortex,TH17,15.57964248
178708_THYMUS_ILC3,Cortex,TH17,652.27313245
178709_THYMUS_ILC3,Cortex,TH17,114.66886151
178710_THYMUS_ILC3,Cortex,TH17,410.88749442
178711_THYMUS_ILC3,Cortex,TH17,162.08514673
